dcid,year,climateFinanceReceivedCommitmentsCrossCuttingCurrentUSD
country/WSM,2021,4946765.600000001
country/STP,2019,591.2
country/STP,2020,1622173.6
country/STP,2021,1207435.6
country/SEN,2013,8650789.2
country/SEN,2014,3448374.0
country/SEN,2015,9629058.200000001
country/SEN,2016,21454286.8
country/SEN,2017,14444927.6
country/SEN,2018,49838926.8
country/SEN,2019,17521225.0
country/SEN,2020,15182363.200000001
country/SEN,2021,11283109.8
country/SRB,2013,20214750.51003717
country/SRB,2014,48842119.2
country/SRB,2015,14743152.11363492
country/SRB,2016,17810915.66593358
country/SRB,2017,18539049.6
country/SRB,2018,40910083.4
country/SRB,2019,45551433.321954474
country/SRB,2020,206061594.9205492
country/SRB,2021,35497593.85884579
country/SYC,2014,22683.2
country/SYC,2017,31112.800000000003
country/SLE,2013,1598.0000000000002
country/SLE,2014,26587.600000000002
country/SLE,2016,1325826.0
country/SLE,2017,214754.0
country/SLE,2018,259202.4
country/SLE,2019,547168.8
country/SLE,2020,1736546.4
country/SLE,2021,1876969.0
country/SLB,2013,2142942.2
country/SLB,2014,917746.8
country/SLB,2015,154575.6
country/SLB,2016,620207.2000000001
country/SLB,2017,122579460.4
country/SLB,2018,674207.0
country/SLB,2019,9285807.4
country/SLB,2020,6689768.6
country/SLB,2021,15718247.200000001
country/SOM,2013,7397059.4
country/SOM,2014,3799260.8000000003
country/SOM,2015,574726.2
country/SOM,2016,8030243.600000001
country/SOM,2017,688293.6
country/SOM,2018,2065432.8
country/SOM,2019,23427330.4
country/SOM,2020,12971033.2
country/SOM,2021,1736180.8
country/ZAF,2013,67753961.2
country/ZAF,2014,1652098.4000000001
country/ZAF,2015,3871222.8000000003
country/ZAF,2016,28640730.8
country/ZAF,2017,1480104.2000000002
country/ZAF,2018,89293796.8
country/ZAF,2019,5089868.600000001
country/ZAF,2020,21776327.2
country/ZAF,2021,18193621.6
country/SSD,2013,2154205.2
country/SSD,2014,610648.4
country/SSD,2015,547718.2
country/SSD,2016,20068377.4
country/SSD,2017,25466.4
country/SSD,2018,6443946.8
country/SSD,2019,118260.0
country/SSD,2020,2302632.8000000003
country/SSD,2021,1977516.8
country/LKA,2013,567718.8
country/LKA,2014,72892128.8
country/LKA,2015,1054644.0
country/LKA,2016,6657355.2
country/LKA,2017,1208773.4
country/LKA,2018,499948.60000000003
country/LKA,2019,1560388.6
country/LKA,2020,5251838.0
country/LKA,2021,5526032.800000001
country/SDN,2013,147348.0
country/SDN,2014,706185.6000000001
country/SDN,2015,2753021.4000000004
country/SDN,2016,8798.400000000001
country/SDN,2017,603434.2
country/SDN,2018,1689449.8
country/SDN,2019,2152384.6
country/SDN,2020,1924772.6
country/SDN,2021,8549413.8
country/SUR,2015,136557.2
country/SUR,2016,18543.600000000002
country/SUR,2017,25888.4
country/SUR,2018,605708.0
country/SUR,2020,27170.8
country/SUR,2021,2585.2000000000003
country/SYR,2013,958.4000000000001
country/SYR,2014,1857502.8
country/SYR,2015,4199223.600000001
country/SYR,2016,177994.4
country/SYR,2017,171344.80000000002
country/SYR,2018,960240.8
country/SYR,2019,3014210.4000000004
country/SYR,2020,599720.8
country/SYR,2021,264186.0
country/TJK,2013,411656.8
country/TJK,2014,76995972.96675065
country/TJK,2015,1686933.4833056
country/TJK,2016,482904.2
country/TJK,2017,85225453.6
country/TJK,2018,39173846.1402101
country/TJK,2019,23351096.87780141
country/TJK,2020,580475.937094017
country/TJK,2021,2806459.77327342
country/TZA,2013,15868351.0
country/TZA,2014,24080369.400000002
country/TZA,2015,33500826.6
country/TZA,2016,31438409.400000002
country/TZA,2017,30283545.400000002
country/TZA,2018,7829789.4
country/TZA,2019,20548773.8
country/TZA,2020,13606614.6
country/TZA,2021,94929738.0
country/THA,2013,2220079.2
country/THA,2014,1563362.2
country/THA,2015,1505102.8
country/THA,2016,4774143.800000001
country/THA,2017,1569807.0
country/THA,2018,1573997.0
country/THA,2019,1492148.6
country/THA,2020,83925.6
country/THA,2021,2134781.2
country/TLS,2013,6173634.4
country/TLS,2014,4532436.0
country/TLS,2015,1793658.0
country/TLS,2016,5130273.8
country/TLS,2017,9790759.0
country/TLS,2018,4251076.0
country/TLS,2019,8188610.4
country/TLS,2020,3410489.4000000004
country/TLS,2021,3037274.0
country/TGO,2013,218391.2
country/TGO,2014,373976.80000000005
country/TGO,2015,2509753.8000000003
country/TGO,2016,24454961.0
country/TGO,2017,357144.0
country/TGO,2018,323065.4
country/TGO,2019,9596965.4
country/TGO,2020,882282.4
country/TGO,2021,41034373.4
country/TKL,2013,64317.200000000004
country/TKL,2014,87379.20000000001
country/TON,2013,332690.6
country/TON,2014,1430832.8000000003
country/TON,2015,121487.60000000002
country/TON,2016,125304.40000000001
country/TON,2018,3043718.8000000003
country/TON,2019,727402.4
country/TON,2020,1363675.8
country/TON,2021,6783566.4
country/TUN,2013,71808.8
country/TUN,2014,962845.6000000001
country/TUN,2015,24361789.94054354
country/TUN,2016,66491229.2
country/TUN,2017,56999303.0
country/TUN,2018,2173154.0
country/TUN,2019,11798980.99898
country/TUN,2020,11821568.4
country/TUN,2021,98066825.2
country/TKM,2014,15534.400000000001
country/TKM,2018,4720.8
country/TKM,2021,29036272.0
country/TUV,2013,6548147.0
country/TUV,2014,17322572.4
country/TUV,2015,218809.0
country/TUV,2016,335271.2
country/TUV,2017,3461370.4000000004
country/TUV,2018,242248.80000000002
country/TUV,2019,387597.6
country/TUV,2020,1370817.2
country/TUV,2021,3567429.4
country/TUR,2013,127156249.8
country/TUR,2014,311396906.90740734
country/TUR,2015,112040402.200192
country/TUR,2016,86690853.6214752
country/TUR,2017,100789271.16780522
country/TUR,2018,88750568.8896022
country/TUR,2019,205350676.8870256
country/TUR,2020,43273817.08159544
country/TUR,2021,52880936.90066225
country/UGA,2013,101727664.8
country/UGA,2014,26182734.0
country/UGA,2015,50593087.8
country/UGA,2016,97011211.2
country/UGA,2017,23437547.0
country/UGA,2018,52559128.326000005
country/UGA,2019,92278413.2
country/UGA,2020,8702399.0
country/UGA,2021,135683818.4
country/UKR,2013,24338523.26286511
country/UKR,2014,1211698.2
country/UKR,2015,17555353.0
country/UKR,2016,6586779.0
country/UKR,2017,18785913.1594183
country/UKR,2018,29553808.513537124
country/UKR,2019,24814458.6
country/UKR,2020,19822276.4
country/UKR,2021,3673203.6
country/URY,2013,21762.0
country/URY,2014,32071805.6
country/URY,2015,14775.2
country/URY,2016,136048.0
country/URY,2017,15630230.8
country/UZB,2013,2534120.0
country/UZB,2015,8892.0
country/UZB,2016,7194.6
country/UZB,2017,152399.4
country/UZB,2018,20814029.355694603
country/UZB,2019,2100764.0
country/UZB,2020,7921020.41641026
country/UZB,2021,46986371.75075686
country/VUT,2013,2098420.0
country/VUT,2014,3053194.4000000004
country/VUT,2015,2531456.8
country/VUT,2016,4875033.4
country/VUT,2017,6151776.0
country/VUT,2018,3196703.8
country/VUT,2019,941182.4
country/VUT,2020,2271732.4000000004
country/VUT,2021,3873061.4000000004
country/VEN,2013,52158.0
country/VEN,2014,81382.40000000001
country/VEN,2015,23465.8
country/VEN,2016,14848.0
country/VEN,2017,166218.0
country/VEN,2018,5781.2
country/VEN,2019,38537.4
country/VEN,2020,3691084.0
country/VEN,2021,43691.2
country/VNM,2013,196529866.0
country/VNM,2014,236770872.6
country/VNM,2015,155386256.0
country/VNM,2016,168608787.6
country/VNM,2017,114506105.2
country/VNM,2018,22667048.150000002
country/VNM,2019,13990779.606550552
country/VNM,2020,12321440.6
country/VNM,2021,31160860.6
country/WLF,2018,30685.600000000002
country/WLF,2020,608500.0
country/WLF,2021,19708.000000000004
country/PSE,2013,1438124.0
country/PSE,2014,11578536.799999999
country/PSE,2015,5100130.600000001
country/PSE,2016,16693997.4
country/PSE,2017,35079455.6
country/PSE,2018,4514836.4
country/PSE,2019,33239928.8
country/PSE,2020,9690548.6
country/PSE,2021,15518014.0
country/YEM,2013,264.8
country/YEM,2014,4595160.0
country/YEM,2015,1552967.2000000002
country/YEM,2016,729516.0
country/YEM,2018,5814629.2
country/YEM,2019,16883408.0
country/YEM,2020,1278205.2
country/YEM,2021,7489276.0
country/ZMB,2013,8365786.4
country/ZMB,2014,17310969.2
country/ZMB,2015,10782611.8
country/ZMB,2016,16252567.0
country/ZMB,2017,30810276.400000002
country/ZMB,2018,25460700.6
country/ZMB,2019,2694402.6
country/ZMB,2020,11891248.8
country/ZMB,2021,2331144.2
country/ZWE,2013,729625.2000000001
country/ZWE,2014,446248.80000000005
country/ZWE,2015,5632678.4
country/ZWE,2016,1001410.2
country/ZWE,2017,17912276.0
country/ZWE,2018,4981417.600000001
country/ZWE,2019,14756526.4
country/ZWE,2020,11783783.0
country/ZWE,2021,1302944.8
