dcid,year,climateFinanceReceivedCommitmentsEquityInvestmentByProviderCurrentUSDAustria,climateFinanceReceivedCommitmentsEquityInvestmentByProviderCurrentUSDClimateInvestmentFunds,climateFinanceReceivedCommitmentsEquityInvestmentByProviderCurrentUSDDenmark,climateFinanceReceivedCommitmentsEquityInvestmentByProviderCurrentUSDEUInstitutions,climateFinanceReceivedCommitmentsEquityInvestmentByProviderCurrentUSDFinland,climateFinanceReceivedCommitmentsEquityInvestmentByProviderCurrentUSDFrance,climateFinanceReceivedCommitmentsEquityInvestmentByProviderCurrentUSDGermany,climateFinanceReceivedCommitmentsEquityInvestmentByProviderCurrentUSDGlobalEnvironmentFacility,climateFinanceReceivedCommitmentsEquityInvestmentByProviderCurrentUSDInterAmericanDevelopmentBank,climateFinanceReceivedCommitmentsEquityInvestmentByProviderCurrentUSDJapan,climateFinanceReceivedCommitmentsEquityInvestmentByProviderCurrentUSDNordicDevelopmentFund,climateFinanceReceivedCommitmentsEquityInvestmentByProviderCurrentUSDNorway,climateFinanceReceivedCommitmentsEquityInvestmentByProviderCurrentUSDSpain,climateFinanceReceivedCommitmentsEquityInvestmentByProviderCurrentUSDSwitzerland,climateFinanceReceivedCommitmentsEquityInvestmentByProviderCurrentUSDUnitedKingdom
country/MMR,2013,,,,,,,,,,,,51749.6,,,
country/MMR,2014,,,,,,,,,,3885590.0,,,,,
country/MMR,2020,,,,,1866548.8,,,,,,,,,,
country/MNG,2017,,,7103368.0,,,,,,,,,,,,
country/MUS,2014,,,,,800000.0,,,,,,,,,,
country/NAM,2017,,,,,,,33254424.999999996,,,,,,,,
country/NGA,2013,,,,,,,2655337.2,,,,,,,,
country/NGA,2018,,,,,,,14634722.0,,,,,,,,
country/NGA,2019,,,,,,2983858.0,10531736.4,,,,,,,,
country/NGA,2020,,,,,,4364630.0,,,,,,,,,
country/NPL,2014,4371263.0,,,,3200000.0,,,,,,,,,,
country/NPL,2018,1500000.0,,,,,,,,,,,,,,
country/PAK,2019,,,,,,,16791671.0,,,,,,,,
country/PER,2019,,,,,,,17911116.0,,,,,,,,
country/PHL,2014,,,,,217062.40000000002,,,,,,,,,,
country/PHL,2019,,,,,,6015806.4,,,,,,,,,
country/SLV,2017,,,,,,,,,600000.0,,,,,,
country/SRB,2013,,,,,,,4514073.2,,,,,,,,
country/SRB,2014,,,,,,,14594666.6,,,,,,,,
country/SRB,2016,,,,,,,1503682.4000000001,,,,,,,,
country/SRB,2017,,,,,835306.0,,24799909.0,,,,,,,,
country/SRB,2019,,,,,12023956.0,,,,,,,,,,
country/THA,2021,,,,,10054991.0,,,,,,,,,,
country/TZA,2013,,,,,354222.0,,,,,,,,,,
country/TZA,2021,,,,,345000.0,,,,,,,,,,
country/UGA,2013,,,,,,,,,,,,8685.2,,,
country/ZAF,2014,,,,,,,19901818.0,,,,,,,,
country/ZAF,2017,,,,,,,8454515.0,,,,,,,,
country/ZAF,2020,,,,,,,13834.800000000001,,,,,,,,17168142.0
country/ZAF,2021,,,,,,,,,,,,,,,88477014.0
