dcid,year,climateFinanceReceivedCommitmentsMitigationOdaGrantsCurrentUSD
country/BIH,2015,7862751.8
country/BIH,2016,10675970.8
country/BIH,2017,28872034.6
country/BIH,2018,13766774.2
country/BIH,2019,25678718.8
country/BIH,2020,22203681.200000003
country/BIH,2021,12906129.8
country/BWA,2013,1506275.8
country/BWA,2014,5351108.0
country/BWA,2015,938144.0
country/BWA,2016,1524653.5999999999
country/BWA,2017,824326.8
country/BWA,2018,551057.2000000001
country/BWA,2019,1244584.4
country/BWA,2020,71619.0
country/BWA,2021,11380241.399999999
country/BRA,2013,260977537.6
country/BRA,2014,169188441.60000002
country/BRA,2015,183562744.2
country/BRA,2016,182394777.6
country/BRA,2017,241895412.35
country/BRA,2018,186515035.0
country/BRA,2019,151760056.6
country/BRA,2020,83344061.2
country/BRA,2021,99630198.2
country/BFA,2013,16086411.000000002
country/BFA,2014,11283425.6
country/BFA,2015,2171231.6
country/BFA,2016,6486940.8
country/BFA,2017,9811713.6
country/BFA,2018,34390310.0187183
country/BFA,2019,50365375.7792
country/BFA,2020,38321670.72
country/BFA,2021,72120290.0354608
country/BDI,2013,129728576.2
country/BDI,2014,116743040.8
country/BDI,2015,2500630.2
country/BDI,2016,17425334.6
country/BDI,2017,67496450.2
country/BDI,2018,12513971.6
country/BDI,2019,27024340.6
country/BDI,2020,92520000.0
country/BDI,2021,58256894.45
country/CPV,2013,2134640.0
country/CPV,2014,497464.0
country/CPV,2015,500612.2
country/CPV,2016,2290136.0
country/CPV,2017,2919172.2
country/CPV,2018,1776736.2
country/CPV,2019,2410637.0
country/CPV,2020,8984.800000000001
country/CPV,2021,2612087.2
country/KHM,2013,16923755.0
country/KHM,2014,6845663.0
country/KHM,2015,2650651.8000000003
country/KHM,2016,4278818.4
country/KHM,2017,3473190.4
country/KHM,2018,26113161.6
country/KHM,2019,13851444.799
country/KHM,2020,10959492.89344338
country/KHM,2021,4281659.958
country/CMR,2013,7605675.8
country/CMR,2014,4278762.4
country/CMR,2015,4099807.0
country/CMR,2016,13199869.399999999
country/CMR,2017,10562472.0
country/CMR,2018,39588999.0
country/CMR,2019,20402418.2
country/CMR,2020,1458241.0
country/CMR,2021,2014714.2
country/CAF,2013,624854.0
country/CAF,2014,5307.0
country/CAF,2015,5546312.0
country/CAF,2016,4434814.0
country/CAF,2018,35876219.26066
country/CAF,2019,65212896.4
country/CAF,2020,4228167.20735
country/CAF,2021,1676009.48
country/TCD,2013,7312574.0
country/TCD,2014,779164.8
country/TCD,2015,51041.0
country/TCD,2016,5385107.6
country/TCD,2017,1203466.8
country/TCD,2018,7851532.4
country/TCD,2019,6044944.2
country/TCD,2020,102342618.0
country/TCD,2021,9764149.8
country/CHL,2013,9661945.4
country/CHL,2014,16798986.6
country/CHL,2015,16974249.0
country/CHL,2016,1295397.6
country/CHL,2017,7099212.4
country/CHN,2013,35844651.8
country/CHN,2014,60775973.0
country/CHN,2015,45724626.1724918
country/CHN,2016,19420898.19
country/CHN,2017,63050682.4
country/CHN,2018,27867665.799999997
country/CHN,2019,74749469.05088848
country/CHN,2020,42218012.199999996
country/CHN,2021,53163901.686611526
country/COL,2013,29795066.8
country/COL,2014,14587362.8
country/COL,2015,86176887.210805
country/COL,2016,24667139.07
country/COL,2017,95036505.6
country/COL,2018,21831449.6
country/COL,2019,56067494.4
country/COL,2020,144445394.80746305
country/COL,2021,71603345.85063696
country/COM,2013,10369500.0
country/COM,2014,418000.0
country/COM,2016,5921692.8
country/COM,2017,10936343.6
country/COM,2018,169630.0
country/COM,2019,7968477.92
country/COM,2020,16298567.6
country/COM,2021,24750.4
country/COG,2013,2009133.0
country/COG,2014,693749.6
country/COG,2015,29385.2
country/COG,2016,199208.8
country/COG,2017,6641897.4
country/COG,2018,1632912.0
country/COG,2019,214368.0
country/COG,2020,92193.00000000001
country/COG,2021,57407733.199999996
country/COK,2013,5338237.4
country/COK,2014,17688819.8
country/COK,2015,5079686.8
country/COK,2016,4799196.8
country/COK,2018,764067.6000000001
country/CRI,2013,4021367.2
country/CRI,2014,4247986.0
country/CRI,2015,5911445.600000001
country/CRI,2016,4836765.4
country/CRI,2017,5748939.399999999
country/CRI,2018,4279505.8
country/CRI,2019,14918174.4
country/CRI,2020,54824284.0
country/CRI,2021,1634774.4
country/CUB,2013,4614870.6
country/CUB,2014,550104.8
country/CUB,2015,1184860.6
country/CUB,2016,4659377.4
country/CUB,2017,29184287.8
country/CUB,2018,1538004.8
country/CUB,2019,9264049.0
country/CUB,2020,14011857.32
country/CUB,2021,388468.2
country/CIV,2013,352000.0
country/CIV,2014,726800.0
country/CIV,2015,31408925.2
country/CIV,2016,36330605.4
country/CIV,2017,4530270.4
country/CIV,2018,9354371.6
country/CIV,2019,35463083.6
country/CIV,2020,14776586.2
country/CIV,2021,4617722.4
country/PRK,2013,193566.0
country/PRK,2017,600690.0
country/COD,2013,73702673.6
country/COD,2014,95692157.2
country/COD,2015,146111504.2
country/COD,2016,16549355.0
country/COD,2017,75319047.4
country/COD,2018,43496840.8
country/COD,2019,25814070.084661055
country/COD,2020,47686467.6
country/COD,2021,158324386.6348236
country/DJI,2013,2974478.4
country/DJI,2014,3797532.4
country/DJI,2015,8915.6
country/DJI,2016,831602.0
country/DJI,2017,56268.8
country/DJI,2018,1568391.2
country/DJI,2019,4223747.4
country/DJI,2020,6116327.4
country/DJI,2021,1136283.2
country/DMA,2014,2026000.0
country/DMA,2015,548750.0
country/DMA,2016,10632.800000000001
country/DMA,2017,4906000.0
country/DMA,2018,1928000.0
country/DMA,2019,872000.0
country/DMA,2021,900000.0
country/DOM,2013,342988.0
country/DOM,2014,2284711.2
country/DOM,2015,1022243.2
country/DOM,2016,1464984.0
country/DOM,2017,8953068.5
country/DOM,2018,5420748.0
country/DOM,2019,1549673.6
country/DOM,2020,2130639.8
country/DOM,2021,1040755.8
country/ECU,2013,11099139.6
country/ECU,2014,37461358.6
country/ECU,2015,5960867.4
country/ECU,2016,59098888.6
country/ECU,2017,10780648.8
country/ECU,2018,39394341.8
country/ECU,2019,26326585.400000002
country/ECU,2020,4142390.0
country/ECU,2021,11616342.4
country/EGY,2013,221566970.4
country/EGY,2014,15672099.2
country/EGY,2015,28212222.4
country/EGY,2016,3619341.4
country/EGY,2017,22796302.0
country/EGY,2018,13512008.0
country/EGY,2019,14608004.0
country/EGY,2020,8619513.6
country/EGY,2021,12106321.8
country/SLV,2013,1673152.2
country/SLV,2014,421302.4
country/SLV,2015,1024704.8
country/SLV,2016,9177006.2
country/SLV,2017,6191899.6
country/SLV,2018,6849079.6
country/SLV,2019,1167786.8
country/SLV,2020,1654230.0
country/SLV,2021,1485460.0
country/GNQ,2013,3652968.0
country/GNQ,2014,636.4000000000001
country/GNQ,2015,15803.000000000002
country/GNQ,2018,6001481.2
country/GNQ,2019,1010378.7999999999
country/GNQ,2020,2507.0
country/ERI,2013,170000.0
country/ERI,2014,200000.0
country/ERI,2015,13928947.0
country/ERI,2016,8298205.4
country/ERI,2017,360910.0
country/ERI,2019,1210345.0
country/ERI,2020,32407.8
country/ERI,2021,7568.6
country/SWZ,2013,87583.6
country/SWZ,2014,200000.0
country/SWZ,2015,377.20000000000005
country/SWZ,2017,4371.6
country/SWZ,2018,1142587.6
country/SWZ,2019,1169120.0
country/SWZ,2020,52130.0
country/SWZ,2021,196849.0
country/ETH,2013,42101447.8
country/ETH,2014,78251353.6
country/ETH,2015,44229336.8
country/ETH,2016,20293347.93
country/ETH,2017,204519124.6
country/ETH,2018,206617260.4
country/ETH,2019,387947471.0527966
country/ETH,2020,227861778.57440338
country/ETH,2021,55580105.168
country/FJI,2013,13783122.0
country/FJI,2014,4867008.4
country/FJI,2015,655504.3653812201
country/FJI,2016,841440.8400000001
country/FJI,2017,3554160.4
country/FJI,2018,9488103.4
country/FJI,2019,2755333.499258376
country/FJI,2020,3805168.9994248715
country/FJI,2021,1321602.4
country/GAB,2013,1331099.6
country/GAB,2014,1461281.4
country/GAB,2015,409598.0
country/GAB,2016,1511250.0
country/GAB,2017,14185.800000000001
country/GAB,2018,1136539.8
country/GAB,2019,69665.6
country/GAB,2020,123078.8
country/GAB,2021,1565525.2000000002
country/GMB,2013,13260828.4
country/GMB,2014,728130.8
country/GMB,2015,3549.6000000000004
country/GMB,2016,1546506.3705
country/GMB,2017,15477164.0
country/GMB,2018,59998098.37980001
country/GMB,2019,1679514.20043
country/GMB,2020,21267094.0
country/GMB,2021,9148784.0
country/GEO,2013,11595913.8
country/GEO,2014,9491687.2
country/GEO,2015,9313242.0
country/GEO,2016,3437357.8
country/GEO,2017,2622484.8000000003
country/GEO,2018,13591971.0
country/GEO,2019,33926019.0
country/GEO,2020,42907316.63000001
country/GEO,2021,4032082.6
country/GHA,2013,17492117.2
country/GHA,2014,25073347.6
country/GHA,2015,3606661.6
country/GHA,2016,102635771.6
country/GHA,2017,28198115.0
country/GHA,2018,56045310.2
country/GHA,2019,45282998.0
country/GHA,2020,41758581.2
country/GHA,2021,42817663.4
country/GRD,2013,913242.0
country/GRD,2014,1944767.4000000001
country/GRD,2015,1616401.0
country/GRD,2017,37347.2
country/GRD,2019,201500.0
country/GRD,2020,1200000.0
country/GTM,2013,5821316.2
country/GTM,2014,2048605.0
country/GTM,2015,4507057.0
country/GTM,2016,4533432.2
country/GTM,2017,2104264.0
country/GTM,2018,17431782.0
country/GTM,2019,25823419.8
country/GTM,2020,25684911.2
country/GTM,2021,12166116.8
country/GIN,2013,6537667.2
country/GIN,2016,65983.4
country/GIN,2017,31335318.400000002
country/GIN,2018,5412817.2
country/GIN,2019,7218873.99923
country/GIN,2020,20742262.8
country/GIN,2021,7505580.15
country/GNB,2013,8349770.200000001
country/GNB,2014,1169154.2
country/GNB,2015,5079389.2
country/GNB,2016,617503.6
country/GNB,2017,3287959.0
country/GNB,2018,8324604.02984
country/GNB,2019,964915.2
country/GNB,2020,12307.6
country/GNB,2021,221972.0
country/GUY,2013,317669.2
country/GUY,2014,98209978.0
country/GUY,2015,2591193.0
country/GUY,2016,6574330.8
country/GUY,2017,10092589.8
country/GUY,2018,17192105.8
country/GUY,2019,2644010.04
country/GUY,2020,317621.43290690694
country/GUY,2021,16192446.884093093
country/HTI,2013,33282398.8
country/HTI,2014,11795018.0
country/HTI,2015,14735789.0
country/HTI,2016,5430911.800000001
country/HTI,2017,70792319.2
country/HTI,2018,31616969.0
country/HTI,2019,23629656.0
country/HTI,2020,27031579.0
country/HTI,2021,67688963.8
country/HND,2013,8616545.6
country/HND,2014,5029750.0
country/HND,2015,3111219.0
country/HND,2016,6061905.200000001
country/HND,2017,29932475.35
country/HND,2018,15409316.6
country/HND,2019,14632001.1928
country/HND,2020,777675.4
country/HND,2021,16255550.0
country/IND,2013,52622961.8
country/IND,2014,48545165.2
country/IND,2015,64552112.2
country/IND,2016,96058768.39
country/IND,2017,116436959.6
country/IND,2018,42891825.4
country/IND,2019,115247622.04092844
country/IND,2020,48498185.45267156
country/IND,2021,106671569.208
country/IDN,2013,435313507.2
country/IDN,2014,61482106.2
country/IDN,2015,72963569.0
country/IDN,2016,246038728.54
country/IDN,2017,91445850.2
country/IDN,2018,107327722.0
country/IDN,2019,138310632.00027
country/IDN,2020,206199488.8
country/IDN,2021,62048789.198
country/IRN,2013,1044687.9999999999
country/IRN,2014,1022301.0
country/IRN,2015,1287146.0
country/IRN,2016,1086268.0
country/IRN,2017,2389358.0
country/IRN,2018,6107659.8
country/IRN,2019,1240302.8
country/IRN,2020,2210851.8
country/IRN,2021,600237.2
country/IRQ,2013,1993691.2
country/IRQ,2014,507912.4
country/IRQ,2015,27764.0
country/IRQ,2016,91697.2
country/IRQ,2017,461864.0
country/IRQ,2018,6634177.600000001
country/IRQ,2019,38017228.2
country/IRQ,2020,188623.40000000002
country/IRQ,2021,820984.0
country/JAM,2013,1119869.0
country/JAM,2014,1955000.0
country/JAM,2015,56727.0
country/JAM,2016,3130608.8
country/JAM,2017,3786763.56
country/JAM,2018,4431921.2
country/JAM,2019,3200977.6
country/JAM,2020,1035704.0
country/JAM,2021,1226399.6
country/JOR,2013,15970177.8
country/JOR,2014,1436331.4
country/JOR,2015,29580388.8
country/JOR,2016,108961501.0
country/JOR,2017,49545896.6
country/JOR,2018,10438048.4
country/JOR,2019,16501363.8042
country/JOR,2020,13826377.6
country/JOR,2021,58947232.400000006
country/KAZ,2013,12027558.6
country/KAZ,2014,7707472.0
country/KAZ,2015,6499320.0
country/KAZ,2016,3456314.0000000005
country/KAZ,2017,12260552.0
country/KAZ,2018,7665067.2
country/KAZ,2019,8663003.2
country/KAZ,2020,586235.4
country/KAZ,2021,1574509.2
country/KEN,2013,33656480.6
country/KEN,2014,13264426.0
country/KEN,2015,98642395.4
country/KEN,2016,28818692.562421106
country/KEN,2017,21051451.6
country/KEN,2018,33281051.6
country/KEN,2019,53308813.510800004
country/KEN,2020,87969839.0
country/KEN,2021,63292721.2
country/KIR,2013,11471179.8
country/KIR,2014,4663288.0
country/KIR,2015,400433.0
country/KIR,2016,173454.2
country/KIR,2017,6465689.4
country/KIR,2018,7357641.6
country/KIR,2019,1088679.2
country/KIR,2020,12073394.0
country/KIR,2021,5571330.800000001
country/XKX,2013,882743.4
country/XKX,2014,1398512.2000000002
country/XKX,2015,2532480.0
country/XKX,2016,6586446.600000001
country/XKX,2017,2646784.6
country/XKX,2018,36801672.2
country/XKX,2019,26068687.400000002
country/XKX,2020,17340490.0
country/XKX,2021,16210579.2
country/KGZ,2013,4648225.2
country/KGZ,2014,13261499.2
country/KGZ,2015,6178762.800000001
country/KGZ,2016,52623119.636
country/KGZ,2017,32673841.6
country/KGZ,2018,3679265.6
country/KGZ,2019,45331155.2
country/KGZ,2020,11990146.8
country/KGZ,2021,26857544.0
country/LAO,2013,36217925.599999994
country/LAO,2014,17605775.4
country/LAO,2015,2470572.6
country/LAO,2016,17131411.6
country/LAO,2017,4215655.2
country/LAO,2018,7292445.399999999
country/LAO,2019,21643538.99306008
country/LAO,2020,30963492.092936244
country/LAO,2021,8579972.86416187
country/LBN,2013,3651868.0000000005
country/LBN,2014,1314887.6
country/LBN,2015,2930998.4000000004
country/LBN,2016,1946787.6
country/LBN,2017,18669037.0
country/LBN,2018,29619134.4
country/LBN,2019,14959522.4
country/LBN,2020,11467761.600000001
country/LBN,2021,7839176.6
country/LSO,2013,8398172.0
country/LSO,2014,6233192.098
country/LSO,2015,2418.8
country/LSO,2016,7743492.4
country/LSO,2018,12345.2
country/LSO,2019,5519497.0
country/LSO,2021,1349588.0
country/LBR,2013,66519527.0
country/LBR,2014,138040.0
country/LBR,2015,119945097.0
country/LBR,2016,71046285.0
country/LBR,2017,80886816.0
country/LBR,2018,7914424.600000001
country/LBR,2019,39593584.2
country/LBR,2020,15984143.377
country/LBR,2021,10444984.195
country/LBY,2013,4109589.0
country/LBY,2016,3793.0
country/LBY,2020,32678.0
country/LBY,2021,6729660.4
country/MDG,2013,14685942.4
country/MDG,2014,3103614.2
country/MDG,2015,6215308.8
country/MDG,2016,26037014.2
country/MDG,2017,40049126.8
country/MDG,2018,17840658.2
country/MDG,2019,32719250.16140177
country/MDG,2020,40293818.28
country/MDG,2021,62550240.175
country/MWI,2013,309868091.2
country/MWI,2014,7190124.2
country/MWI,2015,4892552.2
country/MWI,2016,6319699.2
country/MWI,2017,15909700.6
country/MWI,2018,11260416.2
country/MWI,2019,28567278.6
country/MWI,2020,45786457.0
country/MWI,2021,43465908.9498549
country/MYS,2013,6466280.2
country/MYS,2014,3242592.6
country/MYS,2015,977279.8
country/MYS,2016,13499943.6
country/MYS,2017,1541579.4
country/MYS,2018,608997.0
country/MYS,2019,6618962.60123
country/MYS,2020,903310.6
country/MYS,2021,8113837.800000001
country/MDV,2014,90313221.0
country/MDV,2015,65367.99999999999
country/MDV,2016,500000.0
country/MDV,2017,2436977.0
country/MDV,2018,5911891.0
country/MDV,2019,5065500.2
country/MDV,2020,38780568.0
country/MDV,2021,1689900.6
country/MLI,2013,48187662.0
country/MLI,2014,97894145.39999999
country/MLI,2015,7992841.000000001
country/MLI,2016,7294001.2
country/MLI,2017,16908649.6
country/MLI,2018,47905020.94
country/MLI,2019,26004187.67607747
country/MLI,2020,16916995.8
country/MLI,2021,34552505.4383314
country/MHL,2013,4487954.8
country/MHL,2015,4136058.0
country/MHL,2016,10069638.8
country/MHL,2017,48268011.2
country/MHL,2018,54557.200000000004
country/MHL,2019,1382545.0
country/MHL,2020,2031909.0000000002
country/MHL,2021,20430596.0
country/MRT,2013,9973352.0
country/MRT,2014,1533406.0
country/MRT,2015,524692.0
country/MRT,2016,8660641.2
country/MRT,2018,2047137.1999999997
country/MRT,2019,10077537.8
country/MRT,2020,47725498.8
country/MRT,2021,18435049.0882036
country/MUS,2013,56761.0
country/MUS,2014,1589591.4
country/MUS,2015,16526.0
country/MUS,2016,39527340.0
country/MUS,2017,5151870.0
country/MUS,2018,937534.0
country/MUS,2019,6506814.8
country/MUS,2020,4755617.2
country/MUS,2021,57142.0
country/MEX,2013,37277603.6
country/MEX,2014,40664546.0
country/MEX,2015,15168315.864188667
country/MEX,2016,34365149.87
country/MEX,2017,40577312.6
country/MEX,2018,27913421.6
country/MEX,2019,17226886.710065715
country/MEX,2020,18509906.687106222
country/MEX,2021,39271477.00442807
country/FSM,2013,13883.0
country/FSM,2014,9072000.0
country/FSM,2015,4062670.8
country/FSM,2016,5248997.600000001
country/FSM,2017,3265726.8
country/FSM,2018,11385556.0
country/FSM,2019,30096615.0
country/FSM,2020,9863076.0
country/FSM,2021,103983.6
country/MDA,2013,18743134.8
country/MDA,2014,4049193.2
country/MDA,2015,5117261.6
country/MDA,2016,8267920.0
country/MDA,2017,5032761.2
country/MDA,2018,2189264.6
country/MDA,2019,7721643.000000001
country/MDA,2020,2286106.0
country/MDA,2021,2226174.0
country/MNG,2013,5243464.800000001
country/MNG,2014,5534685.4
country/MNG,2015,3882015.3737120302
country/MNG,2016,10180275.61
country/MNG,2017,39389577.2
country/MNG,2018,48908655.400000006
country/MNG,2019,4146648.3172
country/MNG,2020,11677550.647859283
country/MNG,2021,28220562.81614072
country/MNE,2013,4512618.0
country/MNE,2014,5561717.800000001
country/MNE,2015,37401.8
country/MNE,2016,856813.0
country/MNE,2017,6068198.4
country/MNE,2018,1204500.0
country/MNE,2019,23129119.8
country/MNE,2020,144046.6
country/MNE,2021,5367087.0
country/MSR,2015,883471.2000000001
country/MSR,2016,3166339.6
country/MSR,2017,38114.8
country/MSR,2018,8837483.600000001
country/MSR,2020,49110.0
country/MSR,2021,14177.6
country/MAR,2013,26554999.2
country/MAR,2014,113075451.0
country/MAR,2015,10580451.8
country/MAR,2016,31450089.0
country/MAR,2017,12737304.2
country/MAR,2018,10688395.200000001
country/MAR,2019,44216511.2
country/MAR,2020,38134249.874400005
country/MAR,2021,1665743.603
country/MOZ,2013,16229990.4
country/MOZ,2014,29502491.0
country/MOZ,2015,14833758.8
country/MOZ,2016,7063507.6
country/MOZ,2017,111558232.2
country/MOZ,2018,50713678.0
country/MOZ,2019,104561785.9057411
country/MOZ,2020,254143190.15545893
country/MOZ,2021,514587370.0001083
country/MMR,2013,16476928.0
country/MMR,2014,6761001.2
country/MMR,2015,9124780.4
country/MMR,2016,21057910.6
country/MMR,2017,24564162.6
country/MMR,2018,21527070.6
country/MMR,2019,20929050.149973784
country/MMR,2020,20633351.94823459
country/MMR,2021,10128312.921991628
country/NAM,2013,3778796.8
country/NAM,2014,1018574.2
country/NAM,2015,385090.8
country/NAM,2016,6047252.4
country/NAM,2017,24819870.8
country/NAM,2018,60942.40000000001
country/NAM,2019,14963775.0
country/NAM,2020,528916.0
country/NAM,2021,23652385.0
country/NRU,2013,2729358.0
country/NRU,2014,7804.0
country/NRU,2015,4080698.0
country/NRU,2016,2716561.8
country/NRU,2017,1142348.0000000002
country/NRU,2018,9990868.4
country/NRU,2019,22325428.0
country/NRU,2020,2975057.6
country/NRU,2021,255692.40000000002
country/NPL,2013,32918337.0
country/NPL,2014,89499289.0
country/NPL,2015,22323185.8
country/NPL,2016,51357715.6
country/NPL,2017,27679128.8
country/NPL,2018,63376896.8
country/NPL,2019,55238627.451000005
country/NPL,2020,21673904.189999998
country/NPL,2021,57929173.317
country/NIC,2013,982247.0
country/NIC,2014,1340846.6
country/NIC,2015,224350.60000000003
country/NIC,2016,24867821.2
country/NIC,2017,3093112.7
country/NIC,2018,1222829.0
country/NIC,2019,903044.8
country/NIC,2020,29917814.800000004
country/NIC,2021,684358.6
country/NER,2013,27583611.4
country/NER,2014,11120364.8
country/NER,2015,11763021.600000001
country/NER,2016,306092.4
country/NER,2017,32556301.6
country/NER,2018,16187584.2
country/NER,2019,36985281.65050935
country/NER,2020,38424213.0
country/NER,2021,166447810.02169842
country/NGA,2013,12154396.0
country/NGA,2014,14739187.2
country/NGA,2015,6848006.6
country/NGA,2016,60651348.6
country/NGA,2017,135574415.6
country/NGA,2018,14255731.0
country/NGA,2019,19520060.0
country/NGA,2020,25929945.4
country/NGA,2021,40373716.0
country/NIU,2013,4333632.399999999
country/NIU,2015,409827.8
country/NIU,2016,575396.0
country/NIU,2017,7460591.0
country/NIU,2018,368161.60000000003
country/NIU,2019,98814.0
country/NIU,2021,1600000.0
country/MKD,2013,6594388.6
country/MKD,2014,675553.4
country/MKD,2015,278073.60000000003
country/MKD,2016,88816.6
country/MKD,2017,1867027.2
country/MKD,2018,14217454.8
country/MKD,2019,14324415.2
country/MKD,2020,181046.0
country/MKD,2021,38715975.8
country/PAK,2013,18559177.0
country/PAK,2014,37950930.4
country/PAK,2015,79984223.2
country/PAK,2016,16558075.8
country/PAK,2017,18063252.8
country/PAK,2018,108721822.0
country/PAK,2019,53096270.8015
country/PAK,2020,19328028.2
country/PAK,2021,7926250.4
country/PLW,2013,2821917.0
country/PLW,2015,5141993.2
country/PLW,2016,1695112.4000000001
country/PLW,2017,410091.4
country/PLW,2018,1956134.0
country/PLW,2019,764794.8
country/PLW,2020,64606.0
country/PLW,2021,5248.400000000001
country/PAN,2013,3610601.2
country/PAN,2014,177530.0
country/PAN,2015,1918043.0
country/PAN,2016,334049.0
country/PAN,2017,1501410.4
country/PAN,2018,1485969.2
country/PAN,2019,3043093.6
country/PAN,2020,2428942.8
country/PAN,2021,650746.4
country/PNG,2013,3805343.2
country/PNG,2014,4242369.8
country/PNG,2015,8347357.6
country/PNG,2016,1122269.2
country/PNG,2017,2762704.2
country/PNG,2018,10713893.6
country/PNG,2019,5233163.2
country/PNG,2020,4370687.6
country/PNG,2021,5114650.0
country/PRY,2013,3999545.2
country/PRY,2014,2693140.8
country/PRY,2015,19692.0
country/PRY,2016,8975465.8
country/PRY,2017,637294.2
country/PRY,2018,15709005.6
country/PRY,2019,60660095.0
country/PRY,2020,4582632.2
country/PRY,2021,428716.8
country/PER,2013,16826710.0
country/PER,2014,19259508.2
country/PER,2015,24131030.0
country/PER,2016,39196761.83
country/PER,2017,41926362.4
country/PER,2018,28232171.2
country/PER,2019,55271435.11118159
country/PER,2020,33082133.454818413
country/PER,2021,64751429.4
country/PHL,2013,12085049.7
country/PHL,2014,93705133.0
country/PHL,2015,11399817.6
country/PHL,2016,1082253.4
country/PHL,2017,19260876.4
country/PHL,2018,17261045.6
country/PHL,2019,24913335.61066456
country/PHL,2020,25574994.236990932
country/PHL,2021,8598888.981344508
country/RWA,2013,61998549.2
country/RWA,2014,12950944.8
country/RWA,2015,10915044.6
country/RWA,2016,82085414.57000001
country/RWA,2017,52071668.4
country/RWA,2018,8979193.3
country/RWA,2019,27512855.347438328
country/RWA,2020,58126421.25578083
country/RWA,2021,39329449.78548084
country/SHN,2014,2208438.0
country/SHN,2015,624847.2000000001
