dcid,year,climateFinanceReceivedDisbursementsMitigationOdaLoansCurrentUSD
country/BOL,2019,126723816.09
country/BOL,2020,19409198.0
country/BOL,2021,9959408.0
country/BIH,2013,9911076.0
country/BIH,2014,1685481.0
country/BIH,2015,817747.0
country/BIH,2016,26751473.6
country/BIH,2017,54146043.0
country/BIH,2018,18476241.1687
country/BIH,2019,16498989.990034988
country/BIH,2020,57108768.288887724
country/BIH,2021,59947352.332756735
country/BRA,2013,84610939.8
country/BRA,2014,463372444.6
country/BRA,2015,192893133.6
country/BRA,2016,159394065.0
country/BRA,2017,43370310.2
country/BRA,2018,116218932.0
country/BRA,2019,136694902.0
country/BRA,2020,183178119.6
country/BRA,2021,359254614.0
country/BFA,2014,314530.34
country/BFA,2015,401024.7
country/BFA,2016,6903895.13
country/BFA,2017,15879150.76
country/BFA,2018,14220732.200000001
country/BFA,2019,8085216.859999999
country/BFA,2020,29852219.206515662
country/BFA,2021,30078569.8373
country/CPV,2013,19820990.0
country/CPV,2014,18165623.0
country/CPV,2015,13947341.0
country/CPV,2016,6952217.0
country/CPV,2017,5418626.0
country/CPV,2018,8822830.0
country/CPV,2019,3230030.5713603827
country/CPV,2020,7769975.539427853
country/CPV,2021,2376901.6334877936
country/KHM,2016,4252005.0
country/KHM,2017,1363596.4
country/KHM,2018,12629777.0
country/KHM,2019,31348624.444294676
country/KHM,2020,82416648.1098
country/KHM,2021,10971290.4734
country/CMR,2013,1320716.0
country/CMR,2014,26642.0
country/CMR,2015,23140.0
country/CMR,2016,5566866.0
country/CMR,2017,3405810.0
country/CMR,2018,6339106.43
country/CMR,2019,12475485.8452
country/CMR,2020,18669895.137627184
country/CMR,2021,32769349.555814326
country/CHL,2014,21127239.0
country/CHL,2015,4903900.0
country/CHL,2016,153673185.8
country/CHL,2017,32402072.0
country/CHN,2013,143856308.6
country/CHN,2014,48616767.8
country/CHN,2015,86199954.0
country/CHN,2016,105364027.80000001
country/CHN,2017,116584172.0
country/CHN,2018,64781027.4
country/CHN,2019,78253227.2
country/CHN,2020,67434367.8
country/CHN,2021,47025455.0
country/COL,2013,97997286.4
country/COL,2014,120742.0
country/COL,2015,9072902.8
country/COL,2016,49340429.60000001
country/COL,2017,4765453.2
country/COL,2018,57160762.800000004
country/COL,2019,6346159.4
country/COL,2020,53859089.0
country/COL,2021,27623843.0
country/COG,2018,411387.97
country/COG,2019,1625713.1500000001
country/COG,2020,2536212.6999999997
country/COG,2021,1809127.64
country/CRI,2015,22985266.0
country/CRI,2016,24582019.0
country/CRI,2017,34282675.0
country/CRI,2018,32059302.2
country/CRI,2019,12183237.8
country/CRI,2020,5410889.600000001
country/CRI,2021,5084034.4
country/CUB,2018,4701880.0
country/CUB,2019,4911516.0
country/CIV,2016,12571401.81
country/CIV,2017,16473608.26
country/CIV,2018,11644279.077599999
country/CIV,2019,171917011.9108
country/CIV,2020,180295144.55
country/CIV,2021,139137682.8002
country/COD,2018,1153250.0
country/COD,2019,1708893.85
country/COD,2020,1388907.47
country/COD,2021,15598667.96335921
country/DJI,2015,75111.70999999999
country/DJI,2016,265681.33999999997
country/DJI,2018,3429053.32
country/DJI,2019,14272075.325305551
country/DJI,2020,310569.8395108062
country/DJI,2021,890960.4954
country/DMA,2013,2791792.0
country/DMA,2019,115101.6
country/DMA,2020,773034.0800000001
country/DMA,2021,161413.1968
country/DOM,2013,1259493.0
country/DOM,2018,1669298.8
country/DOM,2019,28687900.6
country/DOM,2020,66217795.8
country/DOM,2021,28542466.0
country/ECU,2015,55355519.0
country/ECU,2016,33016697.999999996
country/ECU,2018,17436660.400000002
country/ECU,2019,122765278.0
country/ECU,2020,122896224.0
country/ECU,2021,16217792.0
country/EGY,2013,61842241.07556042
country/EGY,2014,79938885.02579482
country/EGY,2015,151807680.547638
country/EGY,2016,184075714.0
country/EGY,2017,277315756.6
country/EGY,2018,146389800.0
country/EGY,2019,214540759.92760313
country/EGY,2020,280570399.721336
country/EGY,2021,445336611.5778398
country/SLV,2013,11254580.0
country/SLV,2014,111778.8
country/SLV,2015,2859311.4
country/SLV,2016,17433095.4
country/SLV,2017,9014733.8
country/SLV,2018,435358.0
country/SLV,2019,1613376.4000000001
country/SLV,2020,11439354.0
country/ETH,2013,25077070.0
country/ETH,2015,9210205.0
country/ETH,2016,3302795.0
country/ETH,2017,1225693.12
country/ETH,2018,148131991.2355
country/ETH,2019,174222204.0768
country/ETH,2020,223850779.3763
country/ETH,2021,49891804.3337
country/GAB,2013,645348.0
country/GMB,2016,470075.9879443018
country/GMB,2017,3928897.5
country/GMB,2018,6472293.2510828115
country/GMB,2019,144780.27985789257
country/GMB,2020,5259739.0
country/GMB,2021,10259485.0
country/GEO,2013,3457722.0
country/GEO,2014,2733290.2
country/GEO,2015,14442880.2
country/GEO,2016,3624688.8000000007
country/GEO,2017,21147041.46919878
country/GEO,2018,46710204.642657265
country/GEO,2019,135533384.4
country/GEO,2020,241431649.88596976
country/GEO,2021,182482904.6464643
country/GHA,2013,19325051.6
country/GHA,2014,288438.4
country/GHA,2015,105268.8
country/GHA,2016,60860.4
country/GHA,2017,65493.600000000006
country/GHA,2018,11920.09
country/GHA,2019,19301569.22
country/GHA,2020,29291878.29
country/GHA,2021,27454831.001000002
country/GRD,2018,84451.75
country/GRD,2020,534942.0
country/GRD,2021,270528.59
country/GTM,2019,18743820.0
country/GTM,2020,1011171.525
country/GIN,2016,7589328.0
country/GIN,2017,4001812.5
country/GIN,2018,16676009.64
country/GIN,2019,13856461.319
country/GIN,2020,2635780.9202
country/GIN,2021,22927304.487999998
country/GNB,2016,130118.00000000001
country/GNB,2018,10734163.541781843
country/GNB,2019,6162419.143822862
country/GNB,2020,15586155.875606744
country/GNB,2021,11073424.057339864
country/GUY,2013,16920000.0
country/GUY,2019,42090.759999999995
country/GUY,2021,363380.0175
country/HTI,2020,5446839.0
country/HTI,2021,1507867.0
country/HND,2014,43341999.99999999
country/HND,2015,15520000.0
country/HND,2016,157604.0
country/HND,2017,770047.0
country/HND,2018,15517022.006
country/HND,2019,1401373.81
country/HND,2020,35152776.25
country/HND,2021,2039487.14
country/IND,2013,1160361136.4
country/IND,2014,1086003036.6
country/IND,2015,1348194999.4
country/IND,2016,1606099157.15
country/IND,2017,2267961571.6
country/IND,2018,1874622118.4
country/IND,2019,1942454055.4
country/IND,2020,1208878730.26
country/IND,2021,1662521557.5883
country/IDN,2013,43159926.6
country/IDN,2014,45395999.8
country/IDN,2015,259407703.2
country/IDN,2016,53325357.8
country/IDN,2017,389259059.8
country/IDN,2018,509141662.40000004
country/IDN,2019,234916357.2
country/IDN,2020,174955417.6
country/IDN,2021,104060555.2
country/IRQ,2013,4484123.0
country/IRQ,2014,4661613.0
country/IRQ,2015,13148923.0
country/IRQ,2016,132762422.0
country/IRQ,2017,84325496.0
country/IRQ,2018,34450855.2
country/IRQ,2019,48874541.6
country/IRQ,2020,54391000.6
country/IRQ,2021,31268954.2
country/JAM,2018,5945196.0
country/JAM,2019,187659.2
country/JAM,2021,482064.4
country/JOR,2013,5531447.6
country/JOR,2014,564019.8
country/JOR,2015,784856.4
country/JOR,2016,22957510.0
country/JOR,2017,13309048.0
country/JOR,2018,18416340.400000002
country/JOR,2019,61755614.8
country/JOR,2020,10386131.8
country/JOR,2021,61864537.50959846
country/KEN,2013,264772576.0
country/KEN,2014,48576205.6
country/KEN,2015,59218225.8
country/KEN,2016,62769702.78
country/KEN,2017,80399996.16
country/KEN,2018,127783924.12
country/KEN,2019,280759080.9186155
country/KEN,2020,296812463.0627412
country/KEN,2021,364975347.7363661
country/XKX,2013,2095466.0
country/XKX,2014,8595306.0
country/XKX,2015,11661441.4
country/XKX,2016,6327658.0
country/XKX,2017,5165415.6
country/XKX,2018,6102179.0
country/XKX,2019,2417411.0
country/XKX,2020,4146003.0
country/XKX,2021,4491575.663652468
country/KGZ,2013,2389533.2
country/KGZ,2014,14219322.0
country/KGZ,2015,7919573.6
country/KGZ,2016,1899094.0
country/KGZ,2017,1754730.0
country/KGZ,2018,4521617.625
country/KGZ,2019,4870252.8592
country/KGZ,2020,3315365.2808
country/KGZ,2021,11458201.4271
country/LAO,2013,1400744.0
country/LAO,2014,5820225.9864
country/LAO,2015,24654603.836
country/LAO,2016,4210531.0378
country/LAO,2017,25421823.792251725
country/LAO,2018,6385660.651900001
country/LAO,2019,16990094.5713
country/LAO,2020,8697015.0232
country/LAO,2021,7316235.861210458
country/LBN,2013,1276842.4000000001
country/LBN,2014,1256116.0
country/LBN,2015,1343560.0
country/LBN,2016,1349724.0
country/LBN,2017,1117947.2000000002
country/LBN,2018,909751.2000000001
country/LBN,2019,601489.6
country/LBN,2020,96237.20000000001
country/LBN,2021,50180.0
country/LSO,2018,1567349.98
country/LSO,2019,1495045.3800000001
country/LSO,2020,1169714.9000000001
country/LSO,2021,3993648.6305
country/LBR,2019,415137.17000000004
country/LBR,2020,1439983.42
country/LBR,2021,17457123.85422609
country/MDG,2016,1745442.55
country/MDG,2017,189208.49
country/MDG,2018,5348805.31
country/MDG,2019,10484394.802000001
country/MDG,2020,13139215.461
country/MDG,2021,22428437.835264843
country/MWI,2018,380949.08
country/MWI,2019,281829.53
country/MWI,2020,1429848.73
country/MWI,2021,3834503.1586229363
country/MDV,2019,501955.5
country/MLI,2013,197350.0
country/MLI,2015,802424.42
country/MLI,2016,804051.59
country/MLI,2018,4837966.36
country/MLI,2019,34007205.36350001
country/MLI,2020,5004966.139628193
country/MLI,2021,27584170.2266
country/MRT,2016,32669.999999999996
country/MRT,2017,155000.0
country/MRT,2020,310373.0
country/MUS,2013,31629224.0
country/MUS,2014,23497776.0
country/MUS,2017,6101635.0
country/MUS,2018,2977300.8
country/MUS,2019,9732776.0
country/MUS,2020,5698006.0
country/MUS,2021,8308248.0
country/MEX,2013,219700052.6
country/MEX,2014,57365859.6
country/MEX,2015,56659545.4
country/MEX,2016,332475860.0
country/MEX,2017,321610903.6373577
country/MEX,2018,186290640.0
country/MEX,2019,357062114.0
country/MEX,2020,412515734.0
country/MEX,2021,31356982.0
country/FSM,2016,1286701.1352000001
country/FSM,2017,605808.8064
country/FSM,2018,35881.128
country/FSM,2019,63064.6992
country/MDA,2015,2211176.65
country/MDA,2020,429209.83999999997
country/MDA,2021,70082.14
country/MNG,2013,12085188.600000001
country/MNG,2014,5771970.2
country/MNG,2015,3968651.2
country/MNG,2016,21567624.8
country/MNG,2017,51957869.8
country/MNG,2018,29968372.6
country/MNG,2019,5896587.0
country/MNG,2020,7267924.5
country/MNG,2021,15428235.58597143
country/MNE,2013,14566048.0
country/MNE,2014,3424244.2
country/MNE,2015,6741559.0
country/MNE,2016,17303914.2
country/MNE,2017,13206709.3108556
country/MNE,2018,11787913.641999999
country/MNE,2019,13047627.326659732
country/MNE,2020,13473094.228580585
country/MNE,2021,9807020.8
country/MAR,2013,269680855.4
country/MAR,2014,61205377.4
country/MAR,2015,155978985.4
country/MAR,2016,425630742.4
country/MAR,2017,366834075.5942764
country/MAR,2018,270883853.2
country/MAR,2019,129814001.67745194
country/MAR,2020,140968549.3657024
country/MAR,2021,36617797.7774022
country/MOZ,2013,15585916.25
country/MOZ,2014,2010.0
country/MOZ,2015,18024322.0
country/MOZ,2016,23537564.0
country/MOZ,2017,94696977.0
country/MOZ,2018,35312911.0
country/MOZ,2019,7716122.65
country/MOZ,2020,9345778.55
country/MOZ,2021,30236249.05
country/MMR,2014,190486.0
country/MMR,2015,3767234.0
country/MMR,2016,43963989.269999996
country/MMR,2017,13072894.357499998
country/MMR,2018,69530468.37
country/MMR,2019,64366208.468200006
country/MMR,2020,116025824.683
country/MMR,2021,21903448.476800002
country/NAM,2015,27731560.0
country/NPL,2014,970000.0
country/NPL,2015,2488020.9
country/NPL,2016,5081127.08
country/NPL,2017,8079576.758259099
country/NPL,2018,68071729.4820904
country/NPL,2019,43729623.293252245
country/NPL,2020,90112891.19025035
country/NPL,2021,61778485.50799453
country/NIC,2014,9920.0
country/NIC,2015,7040544.0
country/NIC,2016,4890833.2
country/NIC,2017,25075842.0
country/NIC,2018,4116342.1999999997
country/NIC,2019,5109402.584
country/NIC,2020,1853589.582
country/NIC,2021,5761551.194600001
country/NER,2016,1871750.0
country/NER,2017,6807054.96
country/NER,2018,17389106.700000003
country/NER,2019,39982795.26
country/NER,2020,19583660.52
country/NER,2021,24682180.1622
country/NGA,2013,38593901.0
country/NGA,2018,756800.0
country/NGA,2019,32890307.3637
country/NGA,2020,36638566.327
country/NGA,2021,65655754.8728
country/MKD,2013,37522875.715627685
country/MKD,2014,53603699.58524193
country/MKD,2015,38391570.66312614
country/MKD,2016,3958751.3781472836
country/MKD,2017,290204.0
country/MKD,2018,3855383.7159924945
country/MKD,2019,23276663.571049757
country/MKD,2020,31314716.85426676
country/MKD,2021,9106645.8
country/PAK,2013,32920293.200000003
country/PAK,2014,68626492.0
country/PAK,2015,111412464.8
country/PAK,2016,85982296.11999999
country/PAK,2017,148087828.868
country/PAK,2018,39654651.59
country/PAK,2019,207951214.30203333
country/PAK,2020,155456249.59143335
country/PAK,2021,311944909.68757033
country/PAN,2021,29048530.8
country/PNG,2014,469807.68
country/PNG,2015,630984.1599999999
country/PNG,2016,2648419.2800000003
country/PNG,2017,1133057.6
country/PNG,2018,29017188.497
country/PNG,2019,13883268.160022523
country/PNG,2020,40108910.619951054
country/PNG,2021,25769501.70844885
country/PRY,2021,29373876.0
country/PER,2013,28164889.0
country/PER,2014,30691301.6
country/PER,2015,77664841.2
country/PER,2016,38216245.4
country/PER,2017,96556158.6
country/PER,2018,57024156.0
country/PER,2019,157918813.6
country/PER,2020,152391522.0
country/PER,2021,3913743.0
country/PHL,2013,397373.0
country/PHL,2014,2358128.6
country/PHL,2015,11857774.0
country/PHL,2016,11004829.0
country/PHL,2017,10649762.0
country/PHL,2018,74842460.0
country/PHL,2019,263438469.8
country/PHL,2020,131035566.0
country/PHL,2021,202995258.20000002
country/RWA,2016,5277388.699999999
country/RWA,2017,86544457.95
country/RWA,2018,78885513.6583
country/RWA,2019,87707993.8877
country/RWA,2020,72722860.5858
country/RWA,2021,29472440.0692
country/LCA,2018,30065.270000000004
country/LCA,2019,23501.57
country/LCA,2020,345948.92000000004
country/LCA,2021,70023.29000000001
country/VCT,2017,3405.6
country/VCT,2018,70004.84
country/VCT,2019,1797003.5
country/VCT,2020,833553.26
country/VCT,2021,1313206.12
country/STP,2015,4608073.2
country/STP,2016,587845.6
country/STP,2017,86934.8
country/SEN,2013,10621349.0
country/SEN,2015,42130.200000000004
country/SEN,2016,1326485.0
country/SEN,2017,29977981.0
country/SEN,2018,22273233.506
country/SEN,2019,176538642.7104
country/SEN,2020,118556848.72102794
country/SEN,2021,126724120.5703681
country/SRB,2013,74153718.47760971
country/SRB,2014,32738012.60450414
country/SRB,2015,54025644.0119327
country/SRB,2016,37394806.8509949
country/SRB,2017,40167574.524202466
country/SRB,2018,104483752.28758341
country/SRB,2019,108601242.262388
country/SRB,2020,55479586.39379511
country/SRB,2021,131701232.46989307
country/SLE,2015,2592352.76
country/SLE,2016,2209.6
country/SLE,2017,1471421.0
country/SLE,2018,5463035.2
country/SLE,2019,38281754.28
country/SLE,2020,27293408.999999993
country/SLE,2021,14622882.54
country/SLB,2019,185656.14
country/SLB,2021,64684.62430000001
country/ZAF,2013,8156017.0
country/ZAF,2014,68051067.0
country/ZAF,2015,288433877.40000004
country/ZAF,2016,250366759.6
country/ZAF,2019,2258345.4509217897
country/ZAF,2020,40813005.2
country/SSD,2015,853369.0000000001
country/SSD,2016,472774.50000000006
country/SSD,2018,7283967.9
country/SSD,2019,112945.25000000001
country/LKA,2013,19234819.2
country/LKA,2014,39287144.8
country/LKA,2015,5394438.2
country/LKA,2016,23418561.2
country/LKA,2017,83526364.0922112
country/LKA,2018,72041575.94929709
country/LKA,2019,106890649.83951318
country/LKA,2020,82737817.31657133
country/LKA,2021,73276729.52662541
country/TJK,2013,1972523.0
country/TJK,2014,1126792.0
country/TJK,2015,259567.0
country/TJK,2016,363050.0
country/TJK,2018,6236185.75
country/TJK,2019,863024.0
country/TJK,2020,3168714.12
country/TJK,2021,7673686.21
country/TZA,2013,21319307.0
country/TZA,2014,1046872.7500000001
country/TZA,2015,17874815.8
country/TZA,2016,10206058.6
country/TZA,2017,36055291.984207876
country/TZA,2018,30972267.82
country/TZA,2019,26497068.3189
country/TZA,2020,55597271.0908
country/TZA,2021,38471576.1866782
country/THA,2013,419212421.0
country/THA,2014,311027847.0
country/THA,2015,113095949.0
country/THA,2016,336725762.0
country/THA,2017,142671274.20000002
country/THA,2018,96278348.00000001
country/THA,2019,91949956.0
country/THA,2020,76600647.6
country/THA,2021,70989162.8
country/TGO,2017,849905.1000000001
country/TGO,2018,2497000.3089
country/TGO,2019,20316701.5414
country/TGO,2020,4681755.6438
country/TGO,2021,3783749.7613447965
country/TON,2014,373803.75
country/TON,2018,683331.55
country/TON,2019,2457198.1500000004
country/TON,2020,148166.15000000002
country/TUN,2013,88719159.03812775
country/TUN,2014,48879469.97353414
country/TUN,2015,11729162.735264078
country/TUN,2016,46205519.64630113
country/TUN,2017,131219843.87473789
country/TUN,2018,144466814.17371297
country/TUN,2019,220811054.95377675
country/TUN,2020,76442410.0
country/TUN,2021,95107768.6
country/TUR,2013,117098452.0
country/TUR,2014,152046878.0
country/TUR,2015,146127422.0
country/TUR,2016,166838720.57502648
country/TUR,2017,444700421.76196766
country/TUR,2018,97180722.8706077
country/TUR,2019,95486067.0
country/TUR,2020,106432090.4
country/TUR,2021,143864325.0
country/UGA,2016,160735.73
country/UGA,2018,950173.9600000001
country/UGA,2019,6122731.604
country/UGA,2020,1662871.9194
country/UGA,2021,9315300.193
country/UKR,2013,728611.2649064914
country/UKR,2016,1603583.6
country/UKR,2017,9794346.827695042
country/UKR,2018,9960364.4
country/UKR,2019,8292566.609896433
country/UKR,2020,11449684.0
country/UKR,2021,10623743.526205787
country/URY,2013,5711107.2
country/URY,2014,66550920.6
country/URY,2015,16618518.4
country/URY,2017,9819391.200000001
country/UZB,2013,38268795.0
country/UZB,2014,46273698.47
country/UZB,2015,103708374.0
country/UZB,2016,171107048.1
country/UZB,2017,224681445.8396
country/UZB,2018,339097561.5054579
country/UZB,2019,403894103.26573443
country/UZB,2020,335217502.2968672
country/UZB,2021,169778561.09846476
country/VUT,2018,189573.0
country/VUT,2020,775.0
country/VNM,2013,155538907.6
country/VNM,2014,164833615.8
country/VNM,2015,195476069.8
country/VNM,2016,223627316.38
country/VNM,2017,151907904.8
country/VNM,2018,127932552.78
country/VNM,2019,213971501.41
country/VNM,2020,223961008.43
country/VNM,2021,337668201.5715
country/PSE,2018,10206176.0
country/PSE,2019,3358334.0
country/PSE,2020,7977208.0
country/PSE,2021,7512189.0
country/ZMB,2014,10259260.0
country/ZMB,2015,842615.0
country/ZMB,2016,2731132.0
country/ZMB,2018,22046178.78
country/ZMB,2019,20273977.46
country/ZMB,2020,17426706.35
country/ZMB,2021,16581940.45
