dcid,year,HivPeopleLivingWithHIVReceivingARTPercent
country/GNB,2014,22.154073
country/GNB,2019,47.414501
country/GNB,2020,50.889365
country/GUY,2010,44.294816
country/GUY,2012,50.447883
country/GUY,2013,53.553501
country/GUY,2018,62.277261
country/HTI,2014,28.689455
country/HTI,2017,47.798973
country/HTI,2018,48.194225
country/HND,2012,37.340771
country/HND,2016,50.779385
country/HND,2020,60.014055
country/HND,2021,63.037409
country/ISL,2011,71.707317
country/ISL,2012,72.685185
country/ISL,2014,74.166667
country/ISL,2017,77.586207
country/ISL,2020,84.117647
country/IDN,2011,5.332861
country/IDN,2013,7.409862
country/IDN,2015,11.815106
country/IDN,2016,14.3496
country/IDN,2019,23.289509
country/IRN,2014,11.107085
country/IRN,2016,18.873316
country/IRN,2017,24.097338
country/IRN,2018,28.999546
country/IRN,2019,32.809435
country/IRQ,2010,14.768683
country/IRQ,2016,17.495808
country/IRQ,2019,21.823731
country/IRQ,2020,21.908245
country/IRL,2016,74.554048
country/IRL,2018,79.643801
country/ITA,2010,62.547278
country/ITA,2017,79.354989
country/JAM,2010,22.282567
country/JAM,2011,25.093112
country/JAM,2014,34.103276
country/JAM,2015,35.890206
country/JOR,2010,35.472973
country/JOR,2011,36.942675
country/JOR,2016,45.121951
country/JOR,2018,53.492647
country/JOR,2020,57.641196
country/JOR,2021,44.197138
country/KEN,2011,39.578285
country/KEN,2017,80.456529
country/KWT,2015,43.874172
country/KWT,2021,85.509138
country/KGZ,2010,8.668128
country/KGZ,2014,26.07271
country/KGZ,2015,29.763441
country/KGZ,2018,42.959704
country/KGZ,2021,49.758311
country/KGZ,2022,53.995135
country/LAO,2010,17.562091
country/LAO,2012,21.438888
country/LAO,2013,23.692935
country/LAO,2017,39.068896
country/LAO,2018,43.065887
country/LAO,2020,50.372147
country/LVA,2012,13.309495
country/LBN,2015,30.276103
country/LBN,2016,36.534109
country/LBN,2018,52.222222
country/LBN,2022,79.765507
country/LSO,2015,52.140719
country/LSO,2021,83.603633
country/LBR,2013,16.477011
country/LBR,2015,19.896627
country/LBY,2010,34.686495
country/LBY,2012,44.28866
country/LBY,2014,47.212358
country/LBY,2019,61.032473
country/LTU,2010,7.255814
country/LTU,2013,16.863672
country/LTU,2014,13.16182
country/LTU,2019,36.247777
country/LTU,2022,41.174848
country/LUX,2010,56.648199
country/LUX,2011,59.691913
country/LUX,2013,63.157895
country/LUX,2018,76.107732
country/MDG,2016,4.371109
country/MDG,2019,9.613667
country/MDG,2020,9.965118
country/MDG,2021,13.97781
country/MWI,2012,42.96509
country/MWI,2014,55.219742
country/MYS,2014,27.034388
country/MYS,2015,31.6684
country/MYS,2018,49.252311
country/MYS,2019,52.073238
country/MYS,2021,54.712523
country/MDV,2012,75.0
country/MDV,2015,71.875
country/MDV,2016,63.888889
country/MLI,2010,21.366298
country/MLI,2014,26.77511
country/MLI,2016,32.087164
country/MLI,2018,38.833392
country/MLI,2020,45.929701
country/MLT,2010,36.734694
country/MLT,2012,41.966427
country/MLT,2017,53.198128
country/MLT,2018,60.672515
country/MLT,2019,66.392318
country/MRT,2017,36.59157
country/MRT,2019,40.134887
country/MRT,2022,45.067211
country/MEX,2011,30.462843
country/MEX,2015,41.654383
country/MEX,2016,44.754203
country/MEX,2017,46.041782
country/MEX,2019,52.496647
country/MEX,2022,61.730978
country/MNG,2015,28.323699
country/MNG,2019,33.730835
country/MNE,2013,27.572016
country/MNE,2015,32.055749
country/MNE,2017,42.553191
country/MNE,2018,46.131805
country/MNE,2021,51.38539
country/MAR,2010,16.160354
country/MAR,2014,33.990816
country/MAR,2015,40.620665
country/MAR,2021,72.077308
country/MAR,2022,74.16585
country/MOZ,2012,17.590824
country/MOZ,2014,33.902829
country/MOZ,2016,47.756828
country/MMR,2011,16.352945
country/MMR,2015,40.828866
country/MMR,2016,48.258699
country/MMR,2018,61.95924
country/MMR,2020,72.884245
country/NAM,2011,49.463862
country/NAM,2013,57.570994
country/NPL,2012,23.601174
country/NPL,2019,62.70576
country/NLD,2012,70.237475
country/NLD,2015,78.913167
country/NZL,2014,66.048302
country/NZL,2016,73.714653
country/NZL,2020,81.750995
country/NZL,2021,83.37085
country/NIC,2012,23.411119
country/NIC,2016,36.629792
country/NIC,2018,46.545289
country/MKD,2011,26.136364
country/MKD,2012,30.693069
country/MKD,2013,33.62069
country/MKD,2017,52.0
country/MKD,2018,56.730769
country/OMN,2017,47.467092
country/OMN,2019,60.144928
country/PAK,2012,3.187356
country/PAK,2015,4.778336
country/PAK,2017,7.245148
country/PAK,2019,11.322179
country/PAK,2021,10.832648
country/PAN,2012,32.616242
country/PAN,2014,39.649234
country/PAN,2015,42.182723
country/PAN,2022,65.966532
country/PNG,2012,30.167197
country/PNG,2014,42.720075
country/PRY,2015,36.916577
country/PRY,2017,46.672228
country/PRY,2021,53.087453
country/PER,2011,30.855343
country/PER,2017,58.355264
country/PER,2021,78.425293
country/PHL,2010,7.71616
country/PHL,2022,41.359301
country/POL,2011,46.111846
country/POL,2014,55.961088
country/POL,2015,57.988006
country/POL,2016,60.919834
country/PRT,2010,50.304528
country/PRT,2011,54.50032
country/AFG,2012,1.834549
country/ALB,2016,42.869058
country/ALB,2019,44.893461
country/DZA,2011,24.937192
country/DZA,2013,34.701353
country/DZA,2015,46.935052
country/DZA,2016,52.975761
country/DZA,2021,66.074838
country/AGO,2011,9.918355
country/AGO,2014,21.403442
country/AGO,2016,22.765677
country/AGO,2019,29.753231
country/AGO,2020,35.494406
country/ARM,2012,18.849706
country/ARM,2015,27.538777
country/ARM,2019,45.501766
country/AUS,2011,63.715286
country/AUS,2012,66.441544
country/AUS,2015,80.497456
country/AUS,2020,83.21338
country/AZE,2011,9.169909
country/AZE,2017,37.683927
country/AZE,2018,44.232437
country/AZE,2019,53.106401
country/BHS,2010,31.919381
country/BHS,2011,31.570325
country/BHS,2014,56.932722
country/BHS,2016,55.732095
country/BHS,2017,73.020167
country/BGD,2010,6.015635
country/BGD,2015,13.012196
country/BGD,2018,22.371611
country/BGD,2021,29.815166
country/BRB,2011,44.577735
country/BRB,2014,51.491146
country/BRB,2016,55.293574
country/BRB,2017,58.598432
country/BLR,2014,29.454509
country/BLR,2018,62.558936
country/BLR,2020,71.814007
country/BEL,2014,75.478142
country/BEL,2020,82.558264
country/BEL,2021,84.25494
country/BLZ,2013,34.273319
country/BLZ,2016,40.330531
country/BLZ,2019,43.807149
country/BLZ,2021,45.521573
country/BEN,2012,37.235633
country/BEN,2016,49.918791
country/BEN,2017,50.291048
country/BEN,2019,65.487554
country/BEN,2022,81.40545
country/BTN,2011,8.713693
country/BTN,2014,19.589744
country/BTN,2019,47.555129
country/BTN,2020,50.281426
country/BTN,2021,53.253896
country/BOL,2011,6.306665
country/BOL,2017,31.011697
country/BWA,2011,55.477678
country/BWA,2013,67.796682
country/BWA,2021,92.059709
country/BRA,2011,40.542473
country/BRA,2016,61.219365
country/BRA,2017,65.3332
country/BFA,2010,26.498929
country/BFA,2014,41.540148
country/BFA,2015,47.31066
country/BFA,2016,52.533647
country/BFA,2018,57.273551
country/BDI,2011,27.686297
country/BDI,2012,30.978994
country/BDI,2016,60.628475
country/BDI,2017,66.793824
country/BDI,2019,77.521461
country/BDI,2020,80.449945
country/CPV,2013,49.388379
country/KHM,2012,56.56973
country/KHM,2014,62.493805
country/KHM,2015,65.71536
country/KHM,2016,69.170506
country/KHM,2022,85.900065
country/CMR,2010,17.648684
country/CMR,2014,28.580944
country/CMR,2016,40.983695
country/CAN,2010,46.116396
country/CAN,2016,72.408813
country/CAF,2012,12.783619
country/CAF,2020,42.046677
country/CAF,2021,46.15606
country/TCD,2014,36.865517
country/TCD,2020,66.307651
country/CHL,2010,43.120175
country/CHL,2013,53.390707
country/COL,2010,19.626891
country/COL,2011,27.646935
country/COL,2012,32.507137
country/COL,2015,48.375642
country/COL,2016,52.733001
country/COL,2018,57.892742
country/COG,2012,17.681519
country/COG,2016,20.027389
country/CRI,2014,37.741336
country/CRI,2015,43.243867
country/CRI,2016,45.429831
country/CRI,2017,49.069374
country/CRI,2019,59.256836
country/HRV,2013,54.84115
country/HRV,2014,58.478261
country/CUB,2014,43.133025
country/CUB,2015,49.248716
country/CUB,2017,56.674528
country/CUB,2020,63.427638
country/CUB,2022,66.752356
country/CYP,2013,41.71123
country/CZE,2012,40.201005
country/CIV,2013,25.700252
country/CIV,2017,52.264754
country/COD,2021,74.199406
country/DNK,2011,66.770401
country/DNK,2016,79.849716
country/DNK,2017,82.144473
country/DOM,2012,26.500007
country/DOM,2017,40.859328
country/DOM,2020,50.360564
country/ECU,2011,28.159129
country/ECU,2019,70.951252
country/ECU,2020,75.253279
country/ECU,2022,80.228926
country/EGY,2011,11.763775
country/EGY,2016,21.920841
country/EGY,2018,34.144475
country/SLV,2011,42.839244
country/SLV,2014,48.16895
country/SLV,2015,48.886777
country/SLV,2016,51.861176
country/SLV,2018,53.293198
country/SLV,2021,65.234756
country/SLV,2022,66.447861
country/GNQ,2016,25.932316
country/ERI,2014,52.7474
country/ERI,2021,69.471934
country/EST,2014,45.821326
country/EST,2015,52.35119
country/EST,2016,56.894283
country/EST,2017,59.286328
country/SWZ,2014,52.696263
country/SWZ,2016,77.281198
country/SWZ,2019,84.680937
country/SWZ,2021,88.548526
country/ETH,2013,47.979992
country/ETH,2020,77.405646
country/ETH,2021,77.794158
country/FJI,2010,15.643564
country/FJI,2014,24.375
country/FJI,2017,24.226348
country/FRA,2013,74.619977
country/FRA,2014,75.396637
country/FRA,2016,80.603784
country/FRA,2020,79.618643
country/GAB,2010,23.22144
country/GAB,2015,43.14739
country/GAB,2016,44.226289
country/GAB,2018,46.462769
country/GAB,2020,49.587251
country/GMB,2014,18.396245
country/GMB,2015,19.882022
country/GMB,2021,33.36019
country/GEO,2010,24.397413
country/GEO,2017,63.026616
country/GEO,2022,71.529913
country/DEU,2014,77.137771
country/DEU,2019,84.100634
country/GHA,2016,28.2622
country/GHA,2018,33.529893
country/GHA,2019,36.217091
country/GHA,2020,48.352437
country/GHA,2022,62.711769
country/GRC,2012,46.136572
country/GRC,2013,48.792421
country/GRC,2018,65.514538
country/GRD,2018,37.359551
country/GTM,2011,45.427186
country/GTM,2015,55.326484
country/GTM,2022,76.502662
country/GIN,2015,29.455297
country/GIN,2020,49.526592
country/GIN,2022,64.360125
country/GNB,2010,10.23954
country/GNB,2011,13.667158
country/GNB,2016,32.826815
country/GUY,2011,48.202247
country/GUY,2014,55.39791
country/GUY,2015,57.196874
country/GUY,2016,60.510733
country/GUY,2017,63.164878
country/HTI,2013,25.347357
country/HTI,2019,61.243106
country/HTI,2021,74.910614
country/HTI,2022,76.830238
country/HND,2017,55.078985
country/HND,2018,56.829031
country/ISL,2013,73.684211
country/ISL,2021,84.180791
country/IND,2022,67.918524
country/IDN,2010,4.594541
country/IRN,2010,3.100033
country/IRN,2012,6.169789
country/IRQ,2011,14.944492
country/IRQ,2015,16.335404
country/IRQ,2017,20.287698
country/IRQ,2018,21.185702
country/IRL,2011,64.241331
country/IRL,2013,69.112932
country/IRL,2015,73.008495
country/IRL,2019,83.719053
country/IRL,2020,85.53197
country/ITA,2014,71.204651
country/ITA,2016,74.281807
country/ITA,2018,83.413425
country/JAM,2016,38.742121
country/JAM,2018,44.003334
country/JAM,2020,44.484494
country/JOR,2012,41.230769
country/JOR,2015,39.316239
country/KEN,2012,44.122122
country/KEN,2014,54.65017
country/KEN,2015,64.915143
country/KEN,2019,80.292571
country/KEN,2020,81.527346
country/KEN,2021,92.620693
country/KWT,2013,49.087221
country/KWT,2014,49.709865
country/KWT,2019,60.519481
country/KWT,2022,93.008739
country/KGZ,2017,39.611914
country/LAO,2016,33.774353
country/LVA,2010,10.760432
country/LVA,2014,15.642458
country/LVA,2019,42.713495
country/LBN,2017,43.926789
country/LSO,2011,34.434452
country/LSO,2014,45.045011
country/LSO,2018,71.392815
country/LSO,2019,77.281492
country/LSO,2020,80.758214
country/LSO,2022,85.946494
country/LBR,2011,14.399862
country/LBR,2016,22.387936
country/LBR,2017,32.978965
country/LBR,2019,44.982063
country/LBR,2021,61.29295
country/LBR,2022,72.182045
country/LBY,2013,44.60076
country/AFG,2010,0.750845
country/AFG,2011,1.364779
country/AFG,2013,2.329378
country/AFG,2016,5.372903
country/AFG,2017,7.468605
country/AFG,2020,9.456306
country/AFG,2022,9.302326
country/ALB,2015,38.834951
country/ALB,2022,57.307954
country/DZA,2018,60.172609
country/DZA,2020,63.640824
country/DZA,2022,62.843249
country/AGO,2021,40.937505
country/AGO,2022,45.92069
country/ARM,2016,31.562168
country/ARM,2018,41.913082
country/AUS,2010,61.013977
country/AUS,2014,77.901344
country/AUS,2017,82.446868
country/AUS,2021,83.348588
country/AZE,2015,27.245793
country/AZE,2016,32.404624
country/AZE,2021,60.633837
country/BHS,2013,47.721823
country/BHS,2018,76.376598
country/BHS,2021,76.467637
country/BGD,2014,12.1875
country/BGD,2016,14.860555
country/BGD,2017,19.054231
country/BGD,2019,23.860835
country/BGD,2022,38.442164
country/BRB,2010,42.461089
country/BRB,2012,48.102467
country/BRB,2019,64.538356
country/BLR,2012,24.91983
country/BLR,2013,27.772715
country/BLR,2021,75.472904
country/BEL,2010,59.976491
country/BEL,2012,68.855422
country/BEL,2016,80.803415
country/LBY,2021,62.21528
country/LTU,2017,25.291451
country/LTU,2020,35.810617
country/LTU,2021,36.877637
country/LUX,2020,77.058353
country/LUX,2022,89.105935
country/MDG,2013,1.954655
country/MDG,2014,2.544772
country/MWI,2010,27.538699
country/MWI,2015,60.05822
country/MWI,2022,92.577625
country/MYS,2011,19.071189
country/MYS,2016,43.725911
country/MYS,2020,54.909325
country/MYS,2022,54.638852
country/MDV,2013,73.076923
country/MDV,2014,72.413793
country/MDV,2019,70.833333
country/MDV,2022,66.666667
country/MLI,2011,24.978214
country/MLI,2012,24.679394
country/MLI,2021,44.91286
country/MLT,2013,43.478261
country/MLT,2016,50.833333
country/MRT,2010,17.322919
country/MRT,2011,18.918036
country/MRT,2012,20.292748
country/MRT,2013,24.26404
country/MRT,2014,26.213367
country/MRT,2018,37.066015
country/MEX,2010,28.923862
country/MEX,2013,34.53226
country/MEX,2014,36.030377
country/MEX,2018,51.548317
country/MEX,2021,60.069976
country/MNG,2016,28.996283
country/MNG,2017,32.437276
country/MNE,2010,25.142857
country/MNE,2011,24.365482
country/MNE,2014,30.566038
country/MNE,2020,50.913838
country/MAR,2016,47.329249
country/MAR,2019,62.5
country/MOZ,2010,13.629506
country/MMR,2012,21.578719
country/MMR,2017,54.970217
country/NAM,2010,41.521299
country/NAM,2014,56.283931
country/NAM,2017,71.37855
country/NAM,2021,88.006414
country/NPL,2014,33.065387
country/NPL,2017,50.424611
country/NLD,2014,76.591944
country/NLD,2016,80.488535
country/NLD,2021,88.086122
country/NZL,2013,64.214418
country/NZL,2015,70.10101
country/NIC,2010,15.531619
country/NIC,2011,19.690043
country/NIC,2015,32.801332
country/NIC,2019,50.757441
country/NIC,2020,50.401466
country/NER,2010,18.882476
country/NER,2012,30.534393
country/BEL,2017,82.445838
country/BEL,2019,83.685932
country/BLZ,2011,30.218688
country/BLZ,2012,31.042199
country/BLZ,2014,35.619335
country/BLZ,2018,42.833052
country/BLZ,2020,44.141914
country/BEN,2013,32.688634
country/BEN,2018,58.422158
country/BTN,2012,12.177503
country/BOL,2010,6.461365
country/BOL,2012,11.362976
country/BOL,2015,23.207921
country/BOL,2019,44.242977
country/BOL,2021,51.550238
country/BOL,2022,52.470684
country/BWA,2010,50.673849
country/BWA,2012,63.03602
country/BWA,2014,69.469466
country/BWA,2016,79.625455
country/BWA,2018,88.400137
country/BRA,2012,43.663783
country/BRA,2014,52.442154
country/BGR,2013,27.374302
country/BGR,2015,32.194175
country/BGR,2019,52.518213
country/BGR,2020,54.300424
country/BGR,2022,60.344349
country/BFA,2011,30.797203
country/BFA,2021,75.003027
country/BFA,2022,80.653148
country/BDI,2022,84.98403
country/CPV,2010,32.50322
country/CPV,2014,54.108584
country/CPV,2015,53.664553
country/CPV,2017,59.729817
country/CPV,2018,67.895879
country/CPV,2019,70.470201
country/CPV,2022,86.526781
country/CMR,2011,20.795419
country/CAN,2014,66.051715
country/CAF,2011,10.64097
country/CAF,2017,31.397995
country/TCD,2010,26.13321
country/TCD,2012,33.249586
country/TCD,2013,34.811226
country/TCD,2015,41.600255
country/TCD,2016,45.992647
country/TCD,2018,55.676528
country/CHL,2011,43.27957
country/CHL,2012,48.701448
country/CHL,2016,61.165085
country/CHL,2017,67.851687
country/COL,2013,37.714862
country/COL,2019,69.389623
country/COM,2010,16.666667
country/COM,2012,22.222222
country/COM,2016,38.596491
country/COM,2018,51.724138
country/COG,2013,19.523562
country/COG,2015,19.477694
country/COG,2019,20.741201
country/COG,2020,20.949545
country/COG,2022,23.600901
country/NER,2013,33.626765
country/NER,2016,43.351189
country/NER,2020,63.248725
country/NER,2022,74.564306
country/MKD,2010,24.183007
country/MKD,2014,36.363636
country/MKD,2016,49.702381
country/MKD,2019,56.64488
country/OMN,2015,39.123031
country/OMN,2021,66.243343
country/OMN,2022,70.71064
country/PAK,2010,2.555713
country/PAK,2013,3.07945
country/PAK,2016,5.873296
country/PAN,2010,28.636508
country/PAN,2016,48.662404
country/PAN,2020,52.88029
country/PNG,2013,36.199427
country/PNG,2016,49.938296
country/PNG,2022,60.737455
country/PRY,2010,28.770324
country/PRY,2011,27.858164
country/PRY,2012,29.536074
country/PRY,2014,34.93631
country/PRY,2016,41.010101
country/PRY,2022,56.411594
country/PER,2012,38.800973
country/PER,2015,48.297933
country/PHL,2012,13.173501
country/PHL,2020,39.078662
country/POL,2010,43.348086
country/POL,2012,49.586582
country/POL,2013,53.198653
country/POL,2018,63.492883
country/CRI,2011,36.428219
country/CRI,2020,58.346521
country/HRV,2010,44.833625
country/HRV,2011,47.963425
country/HRV,2015,64.623955
country/HRV,2018,74.38948
country/HRV,2020,76.650943
country/HRV,2022,79.331476
country/CUB,2010,27.266118
country/CUB,2011,31.316353
country/CUB,2018,60.974661
country/CYP,2010,27.760736
country/CYP,2015,52.302026
country/CYP,2016,57.581069
country/CYP,2019,75.232919
country/CZE,2013,41.354864
country/CZE,2019,71.927294
country/CZE,2021,75.019973
country/CIV,2010,15.6118
country/CIV,2015,34.561717
country/CIV,2016,42.273311
country/CIV,2019,63.132795
country/CIV,2021,69.890524
country/COD,2013,15.702714
country/COD,2014,20.221082
country/COD,2015,24.609669
country/COD,2016,31.862773
country/COD,2022,82.29441
country/DNK,2012,69.726004
country/DNK,2014,74.572479
country/DNK,2015,77.345216
country/DNK,2022,88.532908
country/DOM,2010,20.350641
country/DOM,2014,32.323092
country/DOM,2018,43.964953
country/ECU,2012,28.509011
country/ECU,2014,35.734707
country/ECU,2016,47.911806
country/ECU,2018,60.325761
country/EGY,2010,10.949319
country/EGY,2012,12.536716
country/EGY,2013,13.785336
country/EGY,2017,28.139246
country/EGY,2019,37.04327
country/EGY,2020,39.938272
country/SLV,2020,61.79359
country/GNQ,2010,5.847953
country/GNQ,2014,22.076282
country/GNQ,2017,30.715225
country/GNQ,2020,37.875394
country/GNQ,2021,38.980331
country/GNQ,2022,41.68471
country/ERI,2013,45.736234
country/ERI,2015,58.237204
country/ERI,2020,70.464954
country/EST,2013,42.059553
country/SWZ,2012,39.176507
country/SWZ,2022,94.671555
country/ETH,2014,54.917013
country/ETH,2016,64.709176
country/ETH,2017,67.872511
country/ETH,2018,70.515291
country/FJI,2016,21.980198
country/FJI,2022,27.856793
country/FRA,2011,73.964933
country/GMB,2011,13.487468
country/GMB,2012,16.115096
country/GMB,2016,23.373024
country/GMB,2017,26.128385
country/GMB,2020,31.73983
country/GEO,2011,28.813559
country/GEO,2012,38.307096
country/GEO,2015,53.012887
country/GEO,2016,59.000973
country/GEO,2018,65.869036
country/DEU,2016,80.586648
country/GHA,2014,26.302031
country/GRC,2011,44.781903
country/GRC,2016,59.152334
country/GRD,2011,29.674797
country/GRD,2015,44.164038
country/GRD,2022,51.752022
country/GTM,2010,40.27736
country/GTM,2016,56.191119
country/GTM,2019,70.054568
country/GTM,2021,73.560132
country/GIN,2013,25.755003
country/GIN,2014,29.162495
country/GIN,2018,35.68286
country/GNB,2012,17.334226
country/GNB,2021,57.373504
country/GUY,2020,64.031749
country/GUY,2021,65.365802
country/GUY,2022,66.888243
country/HTI,2010,12.959159
country/HTI,2011,16.698591
country/HTI,2012,20.591802
country/HTI,2015,31.579735
country/HTI,2020,74.933207
country/HND,2011,33.58119
country/HND,2013,41.181787
country/HND,2014,44.066593
country/HND,2015,47.785953
country/HND,2022,66.537025
country/ISL,2015,74.409449
country/ISL,2019,82.262997
country/IDN,2017,16.731736
country/IDN,2018,19.796305
country/IDN,2021,28.138234
country/IRN,2013,8.391361
country/IRN,2021,34.909388
country/IRN,2022,36.535764
country/IRQ,2013,15.571956
country/IRQ,2014,15.814588
country/IRQ,2022,30.313676
country/IRL,2017,76.422646
country/ITA,2011,64.976366
country/ITA,2019,87.671252
country/JAM,2012,27.740765
country/JAM,2022,49.532647
country/JOR,2014,39.150943
country/JOR,2017,47.683398
country/JOR,2022,49.92224
country/KEN,2010,31.837503
country/KEN,2013,47.668152
country/KEN,2016,73.664055
country/KEN,2022,94.196333
country/KWT,2010,43.4375
country/KWT,2012,47.331787
country/KWT,2018,53.450609
country/KWT,2020,71.908602
country/KGZ,2011,10.404624
country/KGZ,2013,19.165379
country/KGZ,2019,44.252999
country/LAO,2014,26.851256
country/LAO,2015,29.624255
country/LAO,2021,52.842193
country/LAO,2022,58.275326
country/LVA,2011,11.986864
country/LVA,2013,14.522023
country/LVA,2015,16.61599
country/LVA,2017,34.368497
country/LVA,2021,41.848122
country/LVA,2022,42.423838
country/LBN,2010,22.645503
country/LBN,2011,25.256975
country/LBN,2013,25.222341
country/LBN,2019,63.1947
country/LBN,2020,68.186833
country/LBN,2021,72.082718
country/LSO,2016,61.764967
country/LSO,2017,69.111706
country/LBR,2010,11.166511
country/LBR,2012,13.77247
country/LBR,2014,18.131248
country/LBR,2018,40.212069
country/LBR,2020,53.891606
country/LBY,2017,53.284122
country/LBY,2018,58.585422
country/LBY,2020,61.376442
country/LTU,2011,9.022556
country/LUX,2015,69.97992
country/MDG,2011,1.993857
country/MDG,2015,3.573601
country/MDG,2017,5.313401
country/MDG,2018,7.215689
country/MWI,2011,34.927208
country/MWI,2016,67.637072
country/MWI,2017,74.197879
country/MWI,2018,80.236549
country/MWI,2020,84.821309
country/MYS,2010,17.756287
country/MYS,2012,19.428283
country/MYS,2013,21.995872
country/MYS,2017,46.923142
country/MDV,2010,70.0
country/MDV,2011,68.181818
country/MDV,2017,62.5
country/MDV,2018,56.818182
country/MLI,2013,24.495382
country/MLI,2015,29.741313
country/MLT,2022,65.32721
country/MRT,2016,31.343641
country/MRT,2020,41.369193
country/MNG,2010,6.684492
country/MNG,2012,12.128146
country/MNG,2013,20.12848
country/MNG,2018,33.913043
