dcid,date,SdrAllocationsSdr
country/IND,1978-05-31,326220000.0
country/IDN,1978-05-31,90156000.0
country/IRN,1978-05-31,61896000.0
country/IRQ,1978-05-31,23217000.0
country/IRL,1978-05-31,39213000.0
country/ISR,1978-05-31,42810000.0
country/ITA,1978-05-31,318000000.0
country/JAM,1978-05-31,17673000.0
country/JPN,1978-05-31,377400000.0
country/JOR,1978-05-31,7587000.0
country/KEN,1978-05-31,15600000.0
country/KOR,1978-05-31,22230000.0
country/LAO,1978-05-31,4449000.0
country/LSO,1978-05-31,1569000.0
country/LBR,1978-05-31,9537000.0
country/LUX,1978-05-31,7345000.0
country/MDG,1978-05-31,8730000.0
country/MWI,1978-05-31,5085000.0
country/MYS,1978-05-31,60618000.0
country/MLI,1978-05-31,7542000.0
country/MLT,1978-05-31,5088000.0
country/MRT,1978-05-31,4449000.0
country/MUS,1978-05-31,7374000.0
country/MEX,1978-05-31,124170000.0
country/MAR,1978-05-31,39189000.0
country/MMR,1978-05-31,20844000.0
country/NPL,1978-05-31,2214800.0
country/NLD,1978-05-31,236460000.0
country/NZL,1978-05-31,69402000.0
country/NIC,1978-05-31,8943000.0
country/NER,1978-05-31,4449000.0
country/NGA,1978-05-31,45555000.0
country/NOR,1978-05-31,76320000.0
country/OMN,1978-05-31,742000.0
country/PAK,1978-05-31,81639000.0
country/PAN,1978-05-31,12372000.0
country/PNG,1978-05-31,0.0
country/PRY,1978-05-31,6567000.0
country/PER,1978-05-31,40479000.0
country/PHL,1978-05-31,51495000.0
country/ROU,1978-05-31,0.0
country/RWA,1978-05-31,6567000.0
country/WSM,1978-05-31,212000.0
country/SEN,1978-05-31,11442000.0
country/SLE,1978-05-31,7845000.0
country/SOM,1978-05-31,6567000.0
country/ZAF,1978-05-31,88920000.0
country/ESP,1978-05-31,126135000.0
country/LKA,1978-05-31,33978000.0
country/SDN,1978-05-31,24912000.0
country/SWE,1978-05-31,107025000.0
country/SYR,1978-05-31,17034000.0
country/TZA,1978-05-31,14322000.0
country/THA,1978-05-31,28542000.0
country/TGO,1978-05-31,5085000.0
country/TTO,1978-05-31,20811000.0
country/TUN,1978-05-31,14713000.0
country/TUR,1978-05-31,50307000.0
country/UGA,1978-05-31,13896000.0
country/GBR,1978-05-31,1006320000.0
country/USA,1978-05-31,2293980000.0
country/URY,1978-05-31,23937000.0
country/VEN,1978-05-31,112290000.0
country/VNM,1978-05-31,19758000.0
country/YUG,1978-05-31,69291000.0
country/ZMB,1978-05-31,24588000.0
Earth,1978-05-31,9314835400.0
country/AFG,2022-04-30,465662004.0
country/ALB,2022-04-30,179963045.0
country/DZA,2022-04-30,3076660983.0
country/AND,2022-04-30,114444729.0
country/AGO,2022-04-30,982361190.0
country/ATG,2022-04-30,31668625.0
country/ARG,2022-04-30,5074923669.0
country/ARM,2022-04-30,211437666.0
country/AUS,2022-04-30,9382520830.0
country/AUT,2022-04-30,5504959016.0
country/AZE,2022-04-30,529003053.0
country/BHS,2022-04-30,299235548.0
country/BHR,2022-04-30,502940031.0
country/BGD,2022-04-30,1532693117.0
country/BRB,2022-04-30,154947832.0
country/BLR,2022-04-30,1021830679.0
country/BEL,2022-04-30,10467711237.0
country/BLZ,2022-04-30,43485004.0
country/BEN,2022-04-30,177823861.0
country/BTN,2022-04-30,25541945.0
country/BOL,2022-04-30,394256208.0
country/BIH,2022-04-30,415068496.0
country/BWA,2022-04-30,246439427.0
country/BRA,2022-04-30,13470338217.0
country/BRN,2022-04-30,492286051.0
country/BGR,2022-04-30,1469938875.0
country/BFA,2022-04-30,172982414.0
country/BDI,2022-04-30,221451560.0
country/CPV,2022-04-30,31884063.0
country/KHM,2022-04-30,251649499.0
country/CMR,2022-04-30,441800448.0
country/CAN,2022-04-30,16553992755.0
country/CAF,2022-04-30,160140951.0
country/TCD,2022-04-30,187996165.0
country/CHL,2022-04-30,2488724680.0
country/CHN,2022-04-30,36206157186.0
country/COL,2022-04-30,2697884607.0
country/COM,2022-04-30,25563682.0
country/COD,2022-04-30,1532569914.0
country/COG,2022-04-30,234958365.0
country/CRI,2022-04-30,510588013.0
country/CIV,2022-04-30,934283304.0
country/HRV,2022-04-30,1034937947.0
country/CYP,2022-04-30,423981274.0
country/CZE,2022-04-30,2869824656.0
country/DNK,2022-04-30,4827983578.0
country/DJI,2022-04-30,45637012.0
country/DMA,2022-04-30,18859920.0
country/DOM,2022-04-30,666392617.0
country/ECU,2022-04-30,957072232.0
country/EGY,2022-04-30,2850921101.0
country/SLV,2022-04-30,439075283.0
country/GNQ,2022-04-30,182247102.0
country/ERI,2022-04-30,30397577.0
country/EST,2022-04-30,295444885.0
country/SWZ,2022-04-30,123523389.0
country/ETH,2022-04-30,416137966.0
country/FJI,2022-04-30,161406421.0
country/FIN,2022-04-30,3499962477.0
country/FRA,2022-04-30,29451960644.0
country/GAB,2022-04-30,353745702.0
country/GMB,2022-04-30,89383954.0
country/GEO,2022-04-30,345618326.0
country/DEU,2022-04-30,37587041400.0
country/GHA,2022-04-30,1061208386.0
country/GRC,2022-04-30,3110348951.0
country/GRD,2022-04-30,26883829.0
country/GTM,2022-04-30,611704827.0
country/GIN,2022-04-30,307766872.0
country/GNB,2022-04-30,40824880.0
country/GUY,2022-04-30,261332395.0
country/HTI,2022-04-30,235502890.0
country/HND,2022-04-30,363271683.0
country/HUN,2022-04-30,2850454419.0
country/ISL,2022-04-30,420615227.0
country/IND,2022-04-30,16547820922.0
country/IDN,2022-04-30,6435721060.0
country/IRN,2022-04-30,4844964735.0
country/IRQ,2022-04-30,2729172979.0
country/IRL,2022-04-30,4081996019.0
