dcid,year,climateFinanceReceivedCommitmentsMitigationInstrumentUnspecifiedCurrentUSD
country/GEO,2016,17088118.713701252
country/GEO,2017,95313.15026490811
country/GHA,2014,80100000.0
country/GHA,2015,554631.17027177
country/GHA,2016,14331748.313612739
country/GHA,2017,24000000.0
country/GHA,2019,13993059.440000001
country/GTM,2014,262920.0
country/GIN,2014,31842908.32
country/GNB,2015,965000.0
country/HND,2014,910945.0
country/IND,2013,698637036.666
country/IND,2014,620518774.03
country/IND,2015,33277870.2163062
country/IND,2016,221165542.408493
country/IND,2018,413076832.29999995
country/IDN,2013,254514073.287
country/IDN,2017,302360000.0
country/JOR,2013,70311868.92999999
country/JOR,2015,73515177.2046589
country/JOR,2017,2367264.11903957
country/JOR,2019,50375013.99
country/KAZ,2013,168613913.98
country/KAZ,2016,110582771.2042464
country/KAZ,2017,45086238.5269593
country/KAZ,2019,7277654.391
country/KAZ,2021,24834435.0
country/KEN,2013,184720500.0
country/KEN,2014,298527265.53000003
country/KEN,2020,55783474.8
country/KEN,2021,887169.5
country/XKX,2015,46589018.302828595
country/XKX,2020,10366949.469999999
country/XKX,2021,19317647.25
country/KGZ,2016,5031516.08979321
country/KGZ,2017,495998.196370195
country/KGZ,2020,3150000.0
country/LAO,2015,20971024.4925125
country/LBN,2020,100000.0
country/LSO,2017,11592000.0
country/MDG,2017,34494420.02029081
country/MDG,2021,96144750.0
country/MWI,2015,1331114.80865225
country/MWI,2016,663496.6272254781
country/MWI,2020,273504.5
country/MDV,2016,34833572.9293376
country/MLI,2020,20153845.65
country/MUS,2015,8874098.72434831
country/MEX,2018,86739403.11
country/MEX,2020,80000000.0
country/FSM,2018,104066.61850000001
country/MDA,2013,1659585.767
country/MDA,2014,42987926.23
country/MDA,2016,55291385.6021232
country/MDA,2017,11272686.281140799
country/MNE,2013,1659585.767
country/MNE,2015,887409.872434831
country/MNE,2016,663496.6272254781
country/MNE,2019,1249300.347
country/MAR,2013,265533722.79999998
country/MAR,2014,318018177.03
country/MAR,2015,5546311.702717691
country/MAR,2016,128334501.82461573
country/MAR,2017,20225453.725622814
country/MAR,2019,104869626.505
country/MAR,2021,84002480.1
country/MOZ,2015,1183704.9362174151
country/MOZ,2017,990000.0
country/MOZ,2019,6061428.149
country/NAM,2017,2853122.31822793
country/NPL,2013,103705630.64
country/NPL,2015,137706555.88463718
country/NIC,2015,137746236.596228
country/NIC,2017,139727062.912862
country/NIC,2018,3978330.535
country/NER,2016,1057782.771204246
country/NGA,2014,225000000.0
country/NGA,2015,443704.93621741503
country/NGA,2016,1326993.2544509599
country/NGA,2020,155000.0
country/MKD,2013,829792.8836999999
country/MKD,2016,221165.542408493
country/MKD,2018,2360439.042
country/PAK,2013,132766861.39999999
country/PAK,2015,55463117.0271769
country/PAK,2017,267010000.0
country/PAN,2016,5071208.43857127
country/PAN,2017,16709090.847543098
country/PAN,2018,22860657.04
country/PAN,2020,6500000.0
country/PRY,2017,676361.1768684479
country/PRY,2020,111683600.0
country/PER,2014,899420.0
country/PER,2020,93322259.0
country/RWA,2015,840000.0
country/RWA,2016,185085600.0
country/RWA,2017,36016232.668244794
country/STP,2016,5971469.645029301
country/SEN,2014,4800000.0
country/SEN,2019,13993059.443
country/SEN,2021,12723823.0107
country/SRB,2013,3319171.535
country/SRB,2015,2884082.0854132
country/SRB,2016,3759814.2209443757
country/SRB,2018,276879499.61249995
country/SRB,2019,5171834.7700000005
country/SLE,2017,1556079.901555616
country/ZAF,2013,305363781.20000005
country/ZAF,2014,582187873.2
country/ZAF,2015,3327787.0216306197
country/ZAF,2017,34841568.1205983
country/ZAF,2018,1652307.329
country/SSD,2017,38198400.0
country/LKA,2013,43387052.57
country/TJK,2013,136000000.0
country/TZA,2013,3451938.396
country/TZA,2014,50000000.0
country/TZA,2016,4200000.0
country/TGO,2017,980000.0
country/TON,2013,2000000.0
country/TUN,2015,1109262.34054354
country/TUN,2016,15393121.751631102
country/TUN,2017,2367264.119039572
country/TUN,2019,268666.7413
country/TUR,2013,566766302.775
country/TUR,2014,613573039.6389999
country/TUR,2015,780910680.8654468
country/TUR,2016,505701537.2674998
country/UGA,2016,7893000.0
country/UGA,2018,4754731.774
country/UGA,2020,11022930.1
country/UKR,2013,209107806.67700002
country/UKR,2014,89558179.643
country/UKR,2015,270660011.5157737
country/UKR,2016,576780058.3545794
country/UKR,2017,22666832.914356958
country/UKR,2020,274814819.38
country/UKR,2021,49477498.76914894
country/UZB,2020,110000.0
country/UZB,2021,1431710.0
country/VNM,2014,14000000.0
country/PSE,2017,1109887.162213954
country/PSE,2019,17819247.96
country/PSE,2020,155000.0
country/ZMB,2013,150000000.0
country/ZMB,2015,310593.455352191
country/ZMB,2018,11977525.799999999
country/ZWE,2017,14685000.0
