dcid,year,climateFinanceReceivedCommitmentsMitigationOdaLoansCurrentUSD
country/FSM,2013,2229343.2
country/MDA,2015,3378000.0
country/MDA,2017,2369280.0
country/MDA,2019,7000000.0
country/MDA,2020,5680300.0
country/MDA,2021,950000.0
country/MNG,2013,43047003.0
country/MNG,2016,69307225.0
country/MNG,2017,27686343.0
country/MNG,2018,5000000.0
country/MNG,2019,167963470.8
country/MNG,2020,45783505.273276
country/MNG,2021,5030799.0
country/MNE,2013,33191715.000000004
country/MNE,2014,26535757.0
country/MNE,2017,8454514.7108556
country/MNE,2018,25964829.042
country/MNE,2019,87316691.0
country/MAR,2013,535462776.6
country/MAR,2014,981958643.0
country/MAR,2015,11092623.0
country/MAR,2016,241070441.0
country/MAR,2017,247352060.9942764
country/MAR,2018,784373893.2
country/MAR,2019,100742632.13537493
country/MAR,2020,193732194.0
country/MAR,2021,41723125.59702525
country/MOZ,2013,26398035.0
country/MOZ,2014,163149815.0
country/MOZ,2015,20854132.0
country/MOZ,2016,2100000.0
country/MOZ,2017,15000000.0
country/MOZ,2019,55525003.400000006
country/MOZ,2021,28861050.0
country/MMR,2013,283988687.0
country/MMR,2014,60000000.0
country/MMR,2015,296274821.20000005
country/MMR,2016,1998000.0000000002
country/MMR,2017,164982827.2
country/MMR,2018,102702310.0
country/MMR,2019,80000.0
country/MMR,2020,509366371.4
country/NAM,2015,27731560.0
country/NPL,2013,176442200.0
country/NPL,2014,119717000.0
country/NPL,2015,11700000.0
country/NPL,2017,173396997.96327
country/NPL,2018,96083054.4
country/NPL,2019,69517437.0
country/NPL,2020,326195400.0
country/NPL,2021,46723590.0
country/NIC,2013,15329282.0
country/NIC,2015,25499278.8
country/NIC,2016,26415000.0
country/NIC,2017,39035700.0
country/NIC,2018,2450000.0
country/NIC,2020,2800000.0000000005
country/NIC,2021,3408720.0
country/NER,2014,43606302.800000004
country/NER,2015,23707500.0
country/NER,2016,14430000.0
country/NER,2017,39085000.0
country/NER,2018,41895541.396
country/NER,2019,95225738.0
country/NER,2020,53176000.0
country/NER,2021,165145811.2216984
country/NGA,2014,50000000.0
country/NGA,2017,69460000.0
country/NGA,2018,414756800.0
country/NGA,2019,238879634.0
country/NGA,2020,629057087.0
country/NGA,2021,177518750.0
country/MKD,2013,19915029.0
country/MKD,2014,68108438.89383347
country/MKD,2015,43261231.0
country/MKD,2016,5160528.975750436
country/MKD,2018,25099334.715992495
country/MKD,2019,74629647.5216812
country/MKD,2021,8278145.4
country/PAK,2013,26553372.0
country/PAK,2014,350360140.4
country/PAK,2015,274575307.0
country/PAK,2016,47001896.800000004
country/PAK,2017,328042909.8
country/PAK,2018,318448000.0
country/PAK,2019,298290056.0
country/PAK,2020,320483392.4
country/PAK,2021,337974082.69214296
country/PAN,2016,108728919.60000001
country/PNG,2013,47839900.0
country/PNG,2015,89062770.0
country/PNG,2017,9538046.91948
country/PNG,2018,24750000.0
country/PNG,2020,8463000.0
country/PNG,2021,7138000.0
country/PRY,2019,40681194.0
country/PRY,2020,29381260.0
country/PRY,2021,84671568.0
country/PER,2013,45113719.2
country/PER,2014,65603817.0
country/PER,2015,133111481.0
country/PER,2016,128763009.60000001
country/PER,2018,35620205.0
country/PER,2019,50375014.0
country/PER,2020,305840433.0
country/PER,2021,82781457.0
country/PHL,2013,575389206.6
country/PHL,2014,12200000.0
country/PHL,2015,856409840.4
country/PHL,2016,47800000.0
country/PHL,2018,378602254.00000006
country/PHL,2019,613316043.6
country/RWA,2013,71773555.0
country/RWA,2015,28120000.0
country/RWA,2017,148850000.0
country/RWA,2018,77910000.0
country/RWA,2019,123345914.0
country/RWA,2020,106952500.0
country/RWA,2021,113243231.2
country/LCA,2017,17886500.0
country/LCA,2019,1262400.0
country/LCA,2020,108000.0
country/LCA,2021,3830000.0
country/VCT,2016,15000000.0
country/VCT,2017,1380550.0
country/VCT,2019,2981400.0
country/VCT,2020,1422800.0
country/VCT,2021,559950.0
country/STP,2015,5283194.800000001
country/SEN,2015,48880000.0
country/SEN,2016,37100000.0
country/SEN,2017,496838863.0
country/SEN,2018,15544000.0
country/SEN,2019,156709430.0
country/SEN,2020,58856446.21716
country/SEN,2021,54112942.7482036
country/SRB,2013,64229566.59194165
country/SRB,2014,37082237.21774829
country/SRB,2015,47798549.287208505
country/SRB,2016,20648123.82393818
country/SRB,2017,179010258.32420248
country/SRB,2018,113858045.48758341
country/SRB,2019,121030296.76036145
country/SRB,2020,85872053.78861405
country/SRB,2021,272679968.4432207
country/SLE,2013,25784000.0
country/SLE,2014,9000000.0
country/SLE,2017,61000000.0
country/SLE,2019,32230000.0
country/SLE,2021,1500000.0
country/SLB,2014,12630000.0
country/SLB,2017,54975000.0
country/SLB,2018,4284600.0
country/SLB,2019,19973400.0
country/SLB,2021,400435.0
country/ZAF,2013,232180460.0
country/ZAF,2014,33643103.0
country/ZAF,2015,456493548.4
country/ZAF,2016,67374765.0
country/ZAF,2018,690500614.0
country/ZAF,2019,42330025.911
country/ZAF,2020,29450000.0
country/SSD,2013,11550000.000000002
country/LKA,2013,163344981.0
country/LKA,2014,30080000.0
country/LKA,2015,263710782.0
country/LKA,2016,18049990.0
country/LKA,2019,127610130.00000001
country/LKA,2020,57382663.662700005
country/LKA,2021,413695.546836
country/SDN,2013,1991502.8
country/TJK,2015,3082500.0
country/TJK,2017,170936500.0
country/TZA,2013,213175310.0
country/TZA,2015,58790904.0
country/TZA,2016,79528801.0
country/TZA,2017,390312500.0
country/TZA,2018,86946500.0
country/TZA,2019,168705000.0
country/TZA,2020,115128899.48
country/TZA,2021,261578656.4
country/THA,2015,337906519.0
country/THA,2016,613440659.1999999
country/TLS,2020,1950000.0
country/TGO,2017,18804700.0
country/TGO,2018,3117000.0
country/TGO,2019,16998822.8
country/TGO,2020,1545700.0
country/TGO,2021,59999225.0
country/TON,2013,356250.0
country/TON,2016,3641000.0000000005
country/TUN,2014,399653555.7735341
country/TUN,2015,135031178.2783447
country/TUN,2016,86885824.4159762
country/TUN,2017,174726636.47473788
country/TUN,2018,62002370.173712954
country/TUN,2019,133270578.88685821
country/TUN,2020,85470085.4
country/TUR,2013,331975489.0
country/TUR,2014,437525448.0
country/TUR,2015,173310316.0
country/TUR,2016,584551336.1476281
country/TUR,2017,60766102.761967674
country/TUR,2018,17564443.47060771
country/TUR,2019,204041710.6
country/TUR,2020,134356125.2
country/TUR,2021,257805109.0
country/UGA,2013,19915029.0
country/UGA,2015,15241500.0
country/UGA,2016,105473596.0
country/UGA,2018,78537991.6
country/UGA,2019,44777790.0
country/UGA,2020,145613120.0
country/UGA,2021,878113.5
country/UKR,2013,201999422.30419385
country/UKR,2014,397350000.0
country/UKR,2016,66349662.800000004
country/UKR,2017,1375254.4276950422
country/UKR,2018,29160000.0
country/UKR,2019,34050000.0
country/UKR,2021,30843125.12604186
country/URY,2013,28735194.400000002
country/URY,2014,79607271.0
country/UZB,2013,593291066.0
country/UZB,2014,678702851.0
country/UZB,2015,153129369.6
country/UZB,2016,54875126.0025
country/UZB,2017,38768939.063999996
country/UZB,2018,233200000.0
country/UZB,2019,548557504.8000001
country/UZB,2020,337038515.0
country/UZB,2021,285723881.6
country/VUT,2017,4485578.16
country/VNM,2013,367434267.0
country/VNM,2014,503040113.8
country/VNM,2015,302987247.6
country/VNM,2016,764463963.0
country/VNM,2017,259141851.6
country/VNM,2018,16349700.0
country/VNM,2019,113116063.0
country/VNM,2020,46420000.0
country/VNM,2021,355413051.451972
country/PSE,2018,29505488.0
country/ZMB,2013,105000000.0
country/ZMB,2014,10125000.0
country/ZMB,2016,35824405.0
country/ZMB,2017,17297850.0
country/ZMB,2019,27720000.0
country/ZMB,2020,6980000.0
country/ZMB,2021,20392.350000000002
