dcid,year,climateFinanceReceivedDisbursementsMitigationCurrentUSD
country/PAN,2018,24162260.04
country/PAN,2019,1112240.6
country/PAN,2020,387500602.385
country/PAN,2021,32158959.3075
country/PNG,2013,4075210.4000000004
country/PNG,2014,5048455.416943907
country/PNG,2015,6432448.811837524
country/PNG,2016,4993971.408433269
country/PNG,2017,3411756.176015474
country/PNG,2018,48862372.35231915
country/PNG,2019,19994758.407991577
country/PNG,2020,58945126.2071851
country/PNG,2021,41591457.42875833
country/PRY,2013,1234176.8
country/PRY,2014,1830451.7700000003
country/PRY,2015,819375.4
country/PRY,2016,3217056.2
country/PRY,2017,663711.8
country/PRY,2018,2428091.6
country/PRY,2019,1870193.462
country/PRY,2020,79497548.226
country/PRY,2021,34286904.11
country/PER,2013,71746639.2
country/PER,2014,56497578.199999996
country/PER,2015,107884375.6
country/PER,2016,94339365.83
country/PER,2017,111075549.8
country/PER,2018,71450617.4
country/PER,2019,192822426.84516618
country/PER,2020,199224688.37156808
country/PER,2021,277479660.7224478
country/PHL,2013,13442136.4
country/PHL,2014,15884154.436700001
country/PHL,2015,55692561.42449018
country/PHL,2016,56122888.38054646
country/PHL,2017,14144170.8
country/PHL,2018,147178147.28490254
country/PHL,2019,436619432.9868676
country/PHL,2020,513531855.12114745
country/PHL,2021,380500055.5731972
country/RWA,2013,9716979.6
country/RWA,2014,6194860.800000001
country/RWA,2015,4424839.2
country/RWA,2016,26900145.07
country/RWA,2017,120204240.75
country/RWA,2018,98844425.8583
country/RWA,2019,99525277.17582329
country/RWA,2020,90842706.75822145
country/RWA,2021,53174307.53041242
country/SHN,2014,2642739.6
country/SHN,2015,624847.2000000001
country/SHN,2020,51302.0
country/SHN,2021,67617.0
country/KNA,2013,13546.0
country/LCA,2013,54652.0
country/LCA,2015,138294.80000000002
country/LCA,2016,2149074.6000000006
country/LCA,2017,12544.0
country/LCA,2018,188674.87
country/LCA,2019,187367.57
country/LCA,2020,371584.92000000004
country/LCA,2021,73325.29000000001
country/VCT,2013,123186.40000000001
country/VCT,2014,127178.8
country/VCT,2015,124724.8
country/VCT,2016,7099399.6
country/VCT,2017,762993.6
country/VCT,2018,222152.84
country/VCT,2019,3252281.5
country/VCT,2020,978015.86
country/VCT,2021,1321493.12
country/WSM,2013,102882.8
country/WSM,2014,11980884.2
country/WSM,2015,1977195.341
country/WSM,2016,1821321.0
country/WSM,2017,5460568.157902679
country/WSM,2018,2915646.289526188
country/WSM,2019,2072422.550791474
country/WSM,2020,161182.814
country/WSM,2021,155919.8
country/STP,2013,304804.6
country/STP,2014,490432.4
country/STP,2015,5034287.600000001
country/STP,2016,2457224.6
country/STP,2017,172011.6
country/STP,2018,1197365.387
country/STP,2019,2061296.9
country/STP,2020,4247304.468
country/STP,2021,3943190.538
country/SEN,2013,25446348.2
country/SEN,2014,16023607.6
country/SEN,2015,8778382.4
country/SEN,2016,12879985.0
country/SEN,2017,51034120.51216036
country/SEN,2018,99876420.9412676
country/SEN,2019,268488022.450251
country/SEN,2020,186184591.39830798
country/SEN,2021,181713075.25642198
country/SRB,2013,86291658.81520529
country/SRB,2014,55400324.15290918
country/SRB,2015,61114526.023426905
country/SRB,2016,109961269.25879152
country/SRB,2017,113053310.11175366
country/SRB,2018,166476810.9309066
country/SRB,2019,194763646.47260413
country/SRB,2020,105891129.07023098
country/SRB,2021,216175934.5098876
country/SYC,2013,7220000.0
country/SYC,2014,2750196.4
country/SYC,2015,155110.4
country/SYC,2016,268802.0
country/SYC,2017,188331.0
country/SLE,2013,2739575.4
country/SLE,2014,1068500.8
country/SLE,2015,7954455.16
country/SLE,2016,15348187.0
country/SLE,2017,7052953.2
country/SLE,2018,26375046.1731
country/SLE,2019,65019428.20854106
country/SLE,2020,45752169.06251566
country/SLE,2021,44787168.162659615
country/SLB,2013,392574.6
country/SLB,2014,1622477.4000000001
country/SLB,2015,6154125.6
country/SLB,2016,2346494.8
country/SLB,2017,13897806.15
country/SLB,2018,13536519.8368
country/SLB,2019,5269508.3168
country/SLB,2020,9027280.1408
country/SLB,2021,6172779.293567575
country/SOM,2013,880259.2000000001
country/SOM,2014,1064077.2
country/SOM,2015,1741020.8000000003
country/SOM,2016,4174927.4000000004
country/SOM,2017,3422041.8000000003
country/SOM,2018,22735658.200000003
country/SOM,2019,10869388.0
country/SOM,2020,9632212.4
country/SOM,2021,7918483.4
country/ZAF,2013,55082641.0
country/ZAF,2014,98173275.8
country/ZAF,2015,331382098.0
country/ZAF,2016,297921048.8
country/ZAF,2017,28645469.2
country/ZAF,2018,22984158.2
country/ZAF,2019,24599520.45092179
country/ZAF,2020,102459709.9839635
country/ZAF,2021,175960456.25093794
country/SSD,2013,5973313.600000001
country/SSD,2014,2883326.8
country/SSD,2015,3781668.2
country/SSD,2016,1898310.5
country/SSD,2017,603352.8
country/SSD,2018,14717325.3
country/SSD,2019,2384989.25
country/SSD,2020,1855520.24
country/SSD,2021,2732201.0334
country/LKA,2013,23958808.8
country/LKA,2014,44066040.199999996
country/LKA,2015,9099567.997216899
country/LKA,2016,33201546.9476085
country/LKA,2017,90518657.72691055
country/LKA,2018,97835880.27959941
country/LKA,2019,155464391.0725037
country/LKA,2020,191273997.64948106
country/LKA,2021,160001917.5026733
country/SDN,2013,949033.6000000001
country/SDN,2014,832216.6
country/SDN,2015,842231.6000000001
country/SDN,2016,2791632.4
country/SDN,2017,1179991.2000000002
country/SDN,2018,964643.8
country/SDN,2019,2083131.0
country/SDN,2020,1909041.8
country/SDN,2021,329324111.67377543
country/SUR,2013,2522625.0
country/SUR,2014,422977.44
country/SUR,2016,7862464.6
country/SUR,2017,79957.66
country/SUR,2018,1628887.6
country/SUR,2019,43388.8
country/SUR,2020,517707.82959999994
country/SUR,2021,276399.2
country/SYR,2015,479201.2
country/SYR,2018,1346408.4000000001
country/SYR,2019,1510409.6
country/SYR,2020,556025.2000000001
country/SYR,2021,417651.2
country/TJK,2013,8636452.0
country/TJK,2014,5393494.0
country/TJK,2015,11993984.39
country/TJK,2016,29214561.509999998
country/TJK,2017,16877720.249812767
country/TJK,2018,71111354.05757463
country/TJK,2019,33798696.58356498
country/TJK,2020,61964864.061641835
country/TJK,2021,67896903.76068185
country/TZA,2013,52539502.0
country/TZA,2014,23772659.95
country/TZA,2015,53615244.4
country/TZA,2016,30887521.697268527
country/TZA,2017,72957692.77578253
country/TZA,2018,106678722.353767
country/TZA,2019,75285768.09737435
country/TZA,2020,102002173.89357533
country/TZA,2021,127770005.06527372
country/THA,2013,423640322.8
country/THA,2014,314315306.8
country/THA,2015,116024334.39999999
country/THA,2016,341876792.8
country/THA,2017,144682961.4
country/THA,2018,269241010.482
country/THA,2019,211082192.00904977
country/THA,2020,254426154.18441615
country/THA,2021,293602216.26001644
country/TLS,2013,2207486.4
country/TLS,2014,1583969.0
country/TLS,2015,395905.2
country/TLS,2016,1561416.8
country/TLS,2017,230628.0
country/TLS,2018,4960060.8
country/TLS,2019,4106083.6
country/TLS,2020,5236419.4
country/TLS,2021,3369458.0
country/TGO,2013,2957322.8
country/TGO,2014,4475585.8
country/TGO,2015,2098101.6
country/TGO,2016,2395071.6
country/TGO,2017,4410888.100000001
country/TGO,2018,12892422.0241
country/TGO,2019,45560032.3314
country/TGO,2020,9192864.821800001
country/TGO,2021,12858357.499623865
country/TKL,2017,7356.8
country/TKL,2018,6058.0
country/TKL,2019,1646904.0
country/TKL,2020,1622113.0
country/TON,2013,3055353.4000000004
country/TON,2014,12173657.9
country/TON,2015,5068966.6
country/TON,2016,7002056.235
country/TON,2017,3251774.4
country/TON,2018,10879140.9
country/TON,2019,14396323.6404
country/TON,2020,14010467.552577795
country/TON,2021,4407092.4144
country/TUN,2013,93674463.70818213
country/TUN,2014,55609295.78358847
country/TUN,2015,20992914.735264078
country/TUN,2016,59436301.50668153
country/TUN,2017,143288043.2048487
country/TUN,2018,251360845.6022183
country/TUN,2019,244907555.90950805
country/TUN,2020,128190848.37492847
country/TUN,2021,116811032.40062988
country/TKM,2013,209106.2
country/TKM,2014,276368.0
country/TKM,2015,168848.4
country/TKM,2016,1368400.0
country/TKM,2017,2283050.4153438346
country/TKM,2018,60166.0
country/TKM,2019,4290.1132
country/TKM,2020,526113.5656
country/TKM,2021,806729.286
country/TUV,2013,801653.6
country/TUV,2014,2511084.8
country/TUV,2015,2763510.4
country/TUV,2016,939833.36
country/TUV,2017,9364.0
country/TUV,2018,564820.7799999999
country/TUV,2019,823963.4654
country/TUV,2020,1101511.9592
country/TUV,2021,1331370.0961
country/TUR,2013,122811912.4
country/TUR,2014,196722509.20000002
country/TUR,2015,179137011.0
country/TUR,2016,901948798.707897
country/TUR,2017,994079957.4236933
country/TUR,2018,539086609.6208457
country/TUR,2019,179642535.30287048
country/TUR,2020,314109932.5840456
country/TUR,2021,322055565.3076
country/UGA,2013,65737157.2
country/UGA,2014,32608035.0
country/UGA,2015,31134191.0
country/UGA,2016,21006163.885868102
country/UGA,2017,29417347.6
country/UGA,2018,418897469.5222194
country/UGA,2019,47046020.44356907
country/UGA,2020,24819095.29102729
country/UGA,2021,29026560.108465232
country/UKR,2013,44571752.26490649
country/UKR,2014,27274921.6
country/UKR,2015,29814799.0
country/UKR,2016,87521336.56126036
country/UKR,2017,96616038.22156103
country/UKR,2018,247173417.40767026
country/UKR,2019,227224446.48496476
country/UKR,2020,112288958.54922529
country/UKR,2021,249960421.404263
country/URY,2013,5947112.2
country/URY,2014,81706547.6
country/URY,2015,16618518.4
country/URY,2016,352772.7
country/URY,2017,10399092.510000002
country/UZB,2013,39082743.199999996
country/UZB,2014,46910776.07
country/UZB,2015,105397387.62546279
country/UZB,2016,172199310.98759952
country/UZB,2017,251536533.57035786
country/UZB,2018,455127842.4557539
country/UZB,2019,579895991.3471822
country/UZB,2020,626132780.9707593
country/UZB,2021,307547447.15462697
country/VUT,2013,863193.2
country/VUT,2014,4054967.8
country/VUT,2015,3337758.9871783652
country/VUT,2016,2312771.37
country/VUT,2017,4214149.2
country/VUT,2018,4107406.8926278674
country/VUT,2019,248351.49819009428
country/VUT,2020,9384786.662401592
country/VUT,2021,3156184.2
country/VEN,2013,112006.20000000001
country/VEN,2014,7134.89
country/VEN,2015,7007.2
country/VEN,2016,1711730.2
country/VEN,2017,17574.800000000003
country/VEN,2018,139176.4
country/VEN,2019,63236.8
country/VEN,2020,152130.0
country/VEN,2021,1217009.6
country/VNM,2013,193455896.6
country/VNM,2014,209452964.0
country/VNM,2015,263842733.43681777
country/VNM,2016,265715975.01286623
country/VNM,2017,177345557.8
country/VNM,2018,188937255.18
country/VNM,2019,301607542.92653716
country/VNM,2020,354004335.822917
country/VNM,2021,533486873.75452423
country/WLF,2013,67514.8
country/WLF,2014,89194.0
country/WLF,2016,6838.400000000001
country/WLF,2021,136824.80000000002
country/PSE,2013,4835433.6
country/PSE,2014,2941770.6
country/PSE,2015,3482021.4
country/PSE,2016,3352542.6
country/PSE,2017,5242737.4
country/PSE,2018,51308140.58920889
country/PSE,2019,22933325.25250653
country/PSE,2020,20186197.561959747
country/PSE,2021,18805924.971944936
country/YEM,2013,1564198.0
country/YEM,2014,2812771.2
country/YEM,2015,948023.2000000001
country/YEM,2016,15673805.8
country/YEM,2018,11594831.489999998
country/YEM,2019,23613990.32
country/YEM,2020,14336241.8
country/YEM,2021,17768560.83827206
country/ZMB,2013,10469239.200000001
country/ZMB,2014,18208242.2
country/ZMB,2015,10137814.6
country/ZMB,2016,7176764.6
country/ZMB,2017,13472317.0
country/ZMB,2018,42236885.38
country/ZMB,2019,39692254.46
country/ZMB,2020,33999743.15
country/ZMB,2021,38691417.89055305
country/ZWE,2013,6378762.4
country/ZWE,2014,1520558.0000000002
country/ZWE,2015,1974241.6
country/ZWE,2016,766040.8
country/ZWE,2017,883816.6
country/ZWE,2018,2169037.6
country/ZWE,2019,2033602.1400000001
country/ZWE,2020,2115212.0
country/ZWE,2021,2913235.0
