dcid,year,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDAfricanDevelopmentBank,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDAfricanDevelopmentFund,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDAsianDevelopmentBank,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDAustria,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDBelgium,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDCanada,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDCaribbeanDevelopmentBank,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDClimateInvestmentFunds,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDFrance,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDGermany,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDIFAD,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDInterAmericanDevelopmentBank,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDInternationalDevelopmentAssociation,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDIslamicDevelopmentBank,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDItaly,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDJapan,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDKorea,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDNordicDevelopmentFund,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDPoland,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDSpain,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDUnitedArabEmirates,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDUnitedKingdom
country/BOL,2016,,,,,,,,,,,,328000000.0,,,,,,,,,,
country/BOL,2017,,,,,,,,28000000.0,161923543.0,,16800000.0,142263200.0,1500000.0,,,,10000000.0,,,,,
country/BOL,2018,,,,,,,,,,7507475.600000001,,153593600.0,2011200.0,,,,,,,,,
country/BOL,2019,,,,,,,,,49423610.0,33023620.2,,,,,,,,,,,,
country/BOL,2020,,,,,,,,,,,,,1998000.0,,,,,,,,,
country/BRA,2013,,,,,,,,,,,63000000.0,,,,,,,,,,,
country/BRA,2014,,,,,,,,64960000.0,,,,,,,,,,,,,,
country/BRA,2019,,,,,,,,,,55972238.0,,,,,,,,,,,,
country/BRA,2020,,,,,,,,,134633759.2,,,,,,,,,,,,,
country/BRA,2021,,,,,,,,,,,,,,,,60024980.400000006,,,,,,
country/BTN,2014,,,997000.0000000001,,,,,,,,,,,,,,,,,,,
country/BTN,2015,,,,,,,,,,,16546858.0,,,,,,,,,,,
country/BTN,2016,,,5500665.0,,,,,,,,,,,,,,,,,,,
country/BTN,2018,,,3032745.93,,,,,,,,,,,,,,,,,,,
country/BTN,2019,,,,,,,,,,,,,975000.0,,,,,,,,,
country/BTN,2020,,,,,,,,,,,,,8915000.0,,,,,,,,,
country/BTN,2021,,,5949000.0,,,,,,,,,,,,,,,,,,,
country/CAF,2020,,,,,,,,,,,3829663.94,,,,,,,,,,,
country/CHN,2014,,,,,,,,,,,60200000.0,,,,,,,,,,,
country/CHN,2018,,,,,,,,,20376718.400000002,,,,,,,,,,,,,
country/CHN,2019,,,,,,,,,191425053.0,,,,,,,,,,,,,
country/CHN,2020,,,,,,,,,,18233618.400000002,,,,,,,,,,,,
country/CIV,2014,,,,,,,,,,,4257876.0,,,,,,,,,,,
country/CIV,2015,,,,,,,,,,3993344.4000000004,,,,,,,,,,,,
country/CIV,2016,,,,,,,,,,,,,27000000.0,,,,,,,,,
country/CIV,2018,,,,,,,,,,,,,126091140.0,,,,,,,,,
country/CIV,2019,,7668601.5,,,,,,,40300011.2,,,,24420000.0,,,,,,,,,
country/CIV,2020,,,,,,,,,31908832.0,,,,4620000.0,,,,,,,,,
country/CIV,2021,,1738414.5999999999,,,,,,,109413434.4,,,,41502858.6754056,,,,,,,,,
country/CMR,2013,,37154100.0,,,,,,,,,,,68364000.0,,,,,,,,,
country/CMR,2014,,,,,,,,,106143028.0,,,,,,,,,,,,,
country/CMR,2016,,,,,,,,,,,,,33000000.0,,,,,,,,,
country/CMR,2017,,4099004.0,,,,,,,,,22400000.0,,22082470.0189,,,,,,,,,
country/CMR,2018,,5279911.2108,,,,,,,,,,,,,,,,,,,,
country/CMR,2019,,3012862.265,,,,,,,,,19432000.0,,30000000.0,,,,,,,,,
country/CMR,2020,,8353440.000000001,,,,,,,,,,,143746000.0,,,,,,,,,
country/CMR,2021,,1424930.0,,,,,,,,,,,112257300.0,,,,,,,,,
country/COD,2016,,,,,,,,,,,,,6240000.0,,,,,,,,,
country/COD,2017,,88958760.80889405,,,,,,,,,,,,,,,,,,,,
country/COD,2019,,15277788.61,,,,,,,,,,,37945200.0,,,,,,,,,
country/COD,2020,,10692403.200000001,,,,,,,,,,,130250000.00000001,,,,,,,,,
country/COD,2021,,28498600.0,,,,,,,,,,,240036638.3109689,,,,,,,,,
country/COG,2015,,,,,,,,,68774265.0,,,,,,,,,,,,,
country/COG,2017,,,,,,,,,,,,,1300000.0,,,,,,,,,
country/COG,2019,,,,,,,,,,,,,6792000.0,,,,,,,,,
country/COG,2020,,,,,,,,,,,,,405719.99512,,,,,,,,,
country/COG,2021,,,,,,,,,,,,,2484801.7649858,,,,,,,,,
country/COL,2014,,,,,,,,,69124106.0,,,,,,,,,,,,,
country/COL,2020,,,,,,,,,,45312914.400000006,,,,,,,,,,,,
country/COL,2021,,,,,,,,,104068117.2,47303689.6,,,,,,,,,,,,
country/COM,2017,,365112.5751115033,,,,,,,,,3000000.0,,,,,,,,,,,
country/COM,2019,,,,,,,,,,,,,14453000.0,,,,,,,,,
country/COM,2020,,14425507.515627319,,,,,,,,,,,108000.0,,,,,,,,,
country/COM,2021,,,,,,,,,,,,,1599970.0,,,,,,,,,
country/CPV,2013,,,,,,,,,,,,,,,,156694778.0,,,,,,
country/CPV,2017,,,,,,,,,,,14799818.4,,,,,,,,,,,
country/CPV,2018,,,,,,,,,,,5016800.0,,,,,,,,,,,
country/CPV,2019,,,,,,,,,,,,,5000000.0,,,,,,,,,
