dcid,year,healthExpenditureCurrentUSD
country/BEN,2001,119119111.51938345
country/BEN,2002,127648658.14543214
country/BEN,2003,162491923.88979337
country/BEN,2004,190416538.6595473
country/BEN,2005,192746379.80949396
country/BEN,2006,209145949.04666606
country/BEN,2007,236397773.38020676
country/BEN,2008,263950805.77641752
country/BEN,2009,275143668.59127116
country/BEN,2010,285784027.16256326
country/BEN,2011,331095262.6375607
country/BEN,2012,380421471.8752413
country/BEN,2013,357836689.3085071
country/BEN,2014,354356416.6818172
country/BEN,2015,305136865.50956297
country/BEN,2016,292014060.407783
country/BEN,2017,330759792.9177981
country/BEN,2018,354116799.0200386
country/BEN,2019,333939612.1755228
country/BEN,2020,406187469.72707486
country/CPV,2000,26990574.575226236
country/CPV,2001,29255221.032193564
country/CPV,2002,32283171.157540232
country/CPV,2003,40077977.697967544
country/CPV,2004,44788588.48234555
country/CPV,2005,46614350.76611871
country/CPV,2006,55516480.89849772
country/CPV,2007,63381392.47656328
country/CPV,2008,64065023.17741458
country/CPV,2009,65898034.98931517
country/CPV,2010,74469650.15607676
country/CPV,2011,80332803.97903246
country/CPV,2012,89418379.18985961
country/CPV,2013,97888686.5106985
country/CPV,2014,99081097.78537838
country/CPV,2015,77019075.53727956
country/CPV,2016,80590408.11049555
country/CPV,2017,93238668.74540035
country/CPV,2018,101988882.084361
country/CPV,2019,100392227.64397313
country/CPV,2020,102558725.83907115
country/CMR,2000,434537281.65653914
country/CMR,2001,425528374.6357535
country/CMR,2002,500005332.5375266
country/CMR,2003,623206443.3969709
country/CMR,2004,701839372.6348196
country/CMR,2005,736056841.3741693
country/CMR,2006,781348122.6766088
country/CMR,2007,887399675.0627494
country/CMR,2008,1013940909.1695095
country/CMR,2009,977646100.1374317
country/CMR,2010,984059322.07558
country/CMR,2011,1180156757.2776296
country/CMR,2012,1185402602.8397472
country/CMR,2013,1224723422.103615
country/CMR,2014,1378196628.8416307
country/CMR,2015,1157974275.2656717
country/CMR,2016,1215211760.0563316
country/CMR,2017,1226456939.5007885
country/CMR,2018,1446933791.4542851
country/CMR,2019,1448617056.8681808
country/CMR,2020,1536624619.20264
country/CAF,2000,37078377.3579566
country/CAF,2001,35607748.963600114
country/CAF,2002,41742634.942972876
country/CAF,2003,52371229.86853496
country/CAF,2004,56482230.925383225
country/CAF,2005,61726316.929955065
country/CAF,2006,68342047.20703332
country/CAF,2007,82916100.29603438
country/CAF,2008,83431151.1619166
country/CAF,2009,99627355.00499955
country/CAF,2010,76426217.507775
country/CAF,2011,89610946.00928624
country/CAF,2012,98350388.15603586
country/CAF,2013,80629268.98870046
country/CAF,2014,86509103.40315686
country/CAF,2015,85373666.19855796
country/CAF,2016,99354415.27792221
country/CAF,2017,138130740.63451338
country/CAF,2018,250539083.95834765
country/CAF,2019,178316193.96926627
country/CAF,2020,224195942.6804412
country/TCD,2000,85755282.82866655
country/TCD,2001,102483778.28496361
country/TCD,2002,164249888.80199125
country/TCD,2003,170973070.88325128
country/TCD,2004,275280436.57153636
country/TCD,2005,323022318.49697304
country/TCD,2006,362574248.0817369
country/TCD,2007,377245837.79802585
country/TCD,2008,423466328.37356365
country/TCD,2009,414192248.83269435
country/TCD,2010,434142122.59642035
country/TCD,2011,476509844.5272269
country/TCD,2012,478270767.5597302
country/TCD,2013,528395383.6905073
country/TCD,2014,598233903.8381315
country/TCD,2015,495396098.80759656
country/TCD,2016,515398318.4373279
country/TCD,2017,459490267.1662307
country/TCD,2018,504154353.25223124
country/TCD,2019,492383591.1259604
country/TCD,2020,579257374.027516
country/COM,2000,25496096.68661903
country/COM,2001,24786960.59186517
country/COM,2002,28542672.86715811
country/COM,2003,36385653.15568779
country/COM,2004,40974049.19815447
country/COM,2005,40172860.33371371
country/COM,2006,39731475.441270694
country/COM,2007,43105903.33618355
country/COM,2008,46414531.142204575
country/COM,2009,44605652.02596583
country/COM,2010,45324625.39597689
country/COM,2011,54245239.97851019
country/COM,2012,52555133.97811701
country/COM,2013,56960840.100613065
country/COM,2014,60221115.49212855
country/COM,2015,44446052.28775364
country/COM,2016,47123544.518497854
country/COM,2017,56760329.148962766
country/COM,2018,57785549.19298412
country/COM,2019,61539303.91720068
country/COM,2020,65157879.57075353
country/COG,2000,54678657.52834947
country/COG,2001,66445287.09992684
country/COG,2002,56930635.957041875
country/COG,2003,74134527.82288142
country/COG,2004,98054766.85950385
country/COG,2005,114229799.76046991
country/COG,2006,137924462.3614276
country/COG,2007,167047182.3778301
country/COG,2008,260871927.8393469
country/COG,2009,208294744.46294478
country/COG,2010,243472612.27580386
country/COG,2011,274340737.04780847
country/COG,2012,337883408.0236531
country/COG,2013,349022619.7794648
country/COG,2014,353442696.0690792
country/COG,2015,292106185.21130776
country/COG,2016,283583759.3390471
country/COG,2017,279856925.1375116
country/COG,2018,259407512.99506384
country/COG,2019,328131312.904363
country/COG,2020,460783278.55686545
country/CIV,2000,909880567.9444793
country/CIV,2001,931827159.9983214
country/CIV,2002,1012365374.0133364
country/CIV,2003,1162008412.3284125
country/CIV,2004,1255127682.7574515
country/CIV,2005,1182790154.083187
country/CIV,2006,1173084925.0033772
country/CIV,2007,1281886025.3998172
country/CIV,2008,1536051286.6751406
country/CIV,2009,1505984407.4958708
country/CIV,2010,1520394929.6425602
country/CIV,2011,1562228693.774663
country/CIV,2012,1639457782.532267
country/CIV,2013,1607112860.927126
country/CIV,2014,1823811912.2756264
country/CIV,2015,1475189645.225277
country/CIV,2016,1607627992.0140212
country/CIV,2017,1705039165.9146616
country/CIV,2018,1809326506.2813294
country/CIV,2019,1925715260.0452328
country/CIV,2020,2283674901.2631783
country/COD,2000,936023138.7678761
country/COD,2001,292435675.3013148
country/COD,2002,231842783.6617134
country/COD,2003,341435353.56947166
country/COD,2004,455182463.6015174
country/COD,2005,508808662.77827764
country/COD,2006,634989074.0842276
country/COD,2007,725644503.8441948
country/COD,2008,987193627.258343
country/COD,2009,847784728.0608147
country/COD,2010,832513710.9537187
country/COD,2011,843066432.493706
country/COD,2012,967397210.5361894
country/COD,2013,1165566400.8717568
country/COD,2014,1428727652.8531659
country/COD,2015,1505034836.7137237
country/COD,2016,1621316841.2907228
country/COD,2017,1580257896.3318472
country/COD,2018,1556993317.799788
country/COD,2019,1785345573.8503547
country/COD,2020,1973487933.6020517
country/GNQ,2000,24869805.671332113
country/GNQ,2001,36885431.14772124
country/GNQ,2002,48613049.797712445
country/GNQ,2003,74539825.79350924
country/GNQ,2004,99038577.52644081
country/GNQ,2005,122799068.77555892
country/GNQ,2006,153305658.97025076
country/GNQ,2007,205647713.24684867
country/GNQ,2008,362685399.32271916
country/GNQ,2009,278225371.663372
country/GNQ,2010,296688843.6427626
country/GNQ,2011,331785848.20585287
country/GNQ,2012,282893669.84901726
country/GNQ,2013,411687142.8532047
country/GNQ,2014,477299718.13180685
country/GNQ,2015,384401170.5544513
country/GNQ,2016,353467794.89715725
country/GNQ,2017,361117793.81507546
country/GNQ,2018,406413187.467217
country/GNQ,2019,345920010.36103886
country/GNQ,2020,377657723.2531833
country/ERI,2000,31526627.181298703
country/ERI,2001,34465597.002212666
country/ERI,2002,37749942.02103379
country/ERI,2003,49416194.58533597
country/ERI,2004,60166498.15122394
country/ERI,2005,58351168.88843084
country/ERI,2006,64283885.92455284
country/ERI,2007,53840300.27317073
country/ERI,2008,59190957.666341476
country/ERI,2009,69873697.91674797
country/ERI,2010,78355174.98731706
country/ERI,2011,107785346.79869922
country/ERI,2012,85250373.15772358
country/ERI,2013,98043175.1778862
country/ERI,2014,105655551.3209756
country/ERI,2015,89655098.76747967
country/ERI,2016,76489393.00456028
country/ERI,2017,70973031.97545604
country/ERI,2018,82796944.63880596
country/ERI,2019,88372744.02719735
country/ERI,2020,85274433.49651742
country/SWZ,2000,80117255.54210399
country/SWZ,2001,79264413.83573373
country/SWZ,2002,79103006.1633835
country/SWZ,2003,140174607.092392
country/SWZ,2004,188763682.89667037
country/SWZ,2005,234428931.6004809
country/SWZ,2006,257561694.0633598
country/SWZ,2007,275122717.6760892
country/SWZ,2008,291785877.6500817
country/SWZ,2009,309091669.2011741
country/SWZ,2010,381343564.4656178
country/SWZ,2011,408291656.7198954
country/SWZ,2012,382147435.6025471
country/SWZ,2013,342843942.75158995
country/SWZ,2014,320929403.6123675
country/SWZ,2015,286520485.32975316
country/SWZ,2016,260268873.67815748
country/SWZ,2017,307502411.9382654
country/SWZ,2018,337884274.4918945
country/SWZ,2019,303215759.9664131
country/SWZ,2020,258686142.3368737
country/ETH,2000,356587146.5040551
country/ETH,2001,382846362.6682063
country/ETH,2002,368897246.6248432
country/ETH,2003,421572827.9456027
country/ETH,2004,436576587.8614648
country/ETH,2005,507978069.20256585
country/ETH,2006,679857289.4951966
country/ETH,2007,966665464.2006704
country/ETH,2008,1115372828.5011141
country/ETH,2009,1332891185.4352217
country/ETH,2010,1464100110.5754957
country/ETH,2011,1362119540.4187322
country/ETH,2012,1916183867.16263
country/ETH,2013,1896617887.0457773
country/ETH,2014,2184748413.9860177
country/ETH,2015,2411604958.157162
country/ETH,2016,2597918343.2700334
country/ETH,2017,2651998083.482454
country/ETH,2018,2649923971.612176
country/ETH,2019,2993288502.2231016
country/ETH,2020,3362993663.4912877
country/GAB,2000,156993020.23972562
country/GAB,2001,158185286.66683793
country/GAB,2002,177395675.70886332
country/GAB,2003,230034889.9726394
country/GAB,2004,258785946.61942422
country/GAB,2005,277481551.9563837
country/GAB,2006,319464373.58138305
country/GAB,2007,393955411.9802613
country/GAB,2008,434408171.527485
country/GAB,2009,468005029.5753849
country/GAB,2010,355803470.3839688
country/GAB,2011,465767903.3867573
country/GAB,2012,415692738.5184496
country/GAB,2013,499871748.8877103
country/GAB,2014,461073281.8032095
country/GAB,2015,382221616.0405656
country/GAB,2016,435819254.72058475
country/GAB,2017,415150253.65002793
country/GAB,2018,463009242.1358418
country/GAB,2019,467146076.9516912
country/GAB,2020,524944519.8145961
country/GMB,2000,67186160.20026958
country/GMB,2001,56535722.26497377
country/GMB,2002,55672426.9457132
country/GMB,2003,44892082.90108166
country/GMB,2004,52135106.14178567
country/GMB,2005,55352222.54267368
country/GMB,2006,57313456.223560944
country/GMB,2007,63410317.2916754
country/GMB,2008,72768193.39997792
country/GMB,2009,64738606.79257239
country/GMB,2010,63575550.19742798
country/GMB,2011,61599430.80005124
country/GMB,2012,60402233.07691696
country/GMB,2013,53838338.41376163
country/GMB,2014,37527364.21812909
country/GMB,2015,43772624.279413804
country/GMB,2016,47435858.51032011
country/GMB,2017,50481940.69081913
country/GMB,2018,55864757.506232664
country/GMB,2019,57284205.604179695
country/GMB,2020,47827374.71893023
country/GHA,2000,320052828.5721437
country/GHA,2001,387900505.8540859
country/GHA,2002,410118985.2711003
country/GHA,2003,495510980.68575317
country/GHA,2004,561090953.4853625
country/GHA,2005,894354847.0050604
country/GHA,2006,1061793464.8008599
country/GHA,2007,1298184116.5943406
country/GHA,2008,1506001436.059965
country/GHA,2009,1542306282.0138044
country/GHA,2010,1831459999.806529
country/GHA,2011,2512370273.3284016
country/GHA,2012,2242422899.972597
country/GHA,2013,2885076433.4468927
country/GHA,2014,2200340124.2191205
country/GHA,2015,2244503801.9593616
country/GHA,2016,1904195967.1365652
country/GHA,2017,1981720033.3675578
country/GHA,2018,2288332249.1448264
country/GHA,2019,2317629303.7355995
country/GHA,2020,2734638815.9270883
country/GIN,2000,191773760.2003275
country/GIN,2001,186173088.26105377
country/GIN,2002,215757777.53175068
country/GIN,2003,227508603.88741422
country/GIN,2004,239803135.67984757
country/GIN,2005,182286700.8140494
country/GIN,2006,152564202.4763292
country/GIN,2007,217740888.2403595
country/GIN,2008,227416711.9331632
country/GIN,2009,240561206.26673472
country/GIN,2010,234925308.31450108
country/GIN,2011,257128186.03205955
country/GIN,2012,258842865.06065428
country/GIN,2013,289921898.57007146
country/GIN,2014,420312600.00359726
country/GIN,2015,510872145.7683287
country/GIN,2016,463919360.97157705
country/GIN,2017,404224125.43080753
country/GIN,2018,443266787.66846675
country/GIN,2019,549646638.8267328
country/GIN,2020,618554695.7708632
country/GNB,2000,26395690.127079558
country/GNB,2001,27679244.528350916
country/GNB,2002,27179996.469302654
country/GNB,2003,32556262.740050774
country/GNB,2004,43541612.83934156
country/GNB,2005,46389711.40890894
country/GNB,2006,46274245.38631819
country/GNB,2007,54945301.20411635
country/GNB,2008,67095644.341458276
country/GNB,2009,61852812.00926675
country/GNB,2010,58861972.803409144
country/GNB,2011,71927812.54436219
country/GNB,2012,62349226.8554069
country/GNB,2013,78115402.61527424
country/GNB,2014,113172781.93948288
country/GNB,2015,93715128.87483446
country/GNB,2016,103699928.91429931
country/GNB,2017,102905783.05067803
country/GNB,2018,114750441.91712785
country/GNB,2019,120214074.17770642
country/GNB,2020,123836225.82703817
country/KEN,2000,660351289.7567184
country/KEN,2001,704079292.4727668
country/KEN,2002,732072860.1592162
country/KEN,2003,868216928.6059587
country/KEN,2004,965506976.3857629
country/KEN,2005,1116089399.2034574
country/KEN,2006,1516847572.3673093
country/KEN,2007,1916554145.8733258
country/KEN,2008,2171604750.4237714
country/KEN,2009,2231585245.784261
country/KEN,2010,2446680842.6084433
country/KEN,2011,2438210232.785921
country/KEN,2012,2830019506.795927
country/KEN,2013,3041021375.2187395
country/KEN,2014,3354658253.6438856
country/KEN,2015,3340815768.497932
country/KEN,2016,3556929697.051131
country/KEN,2017,3269955011.3434634
country/KEN,2018,3779431339.978388
country/KEN,2019,4385280664.264033
country/KEN,2020,4335416206.558212
country/LSO,2000,47515232.762481906
country/LSO,2001,56466957.33788845
country/LSO,2002,47725288.97320352
country/LSO,2003,63565849.98334926
country/LSO,2004,81187869.14857015
country/LSO,2005,81379167.51166336
country/LSO,2006,96626995.83588636
country/LSO,2007,129569052.43234378
country/LSO,2008,136444396.47235462
country/LSO,2009,160895319.58138767
country/LSO,2010,193495037.4004128
country/LSO,2011,250382366.70364422
country/LSO,2012,235571698.607394
country/LSO,2013,233882756.02756268
country/LSO,2014,230306445.05382198
country/LSO,2015,213608532.66580862
country/LSO,2016,184365338.00349373
country/LSO,2017,234520757.87203118
country/LSO,2018,268220479.7678104
country/LSO,2019,268303765.39245555
country/LSO,2020,241411984.35387975
country/LBR,2000,37084532.67306399
country/LBR,2001,31767187.745133966
country/LBR,2002,27381044.00010794
country/LBR,2003,26098232.824659757
country/LBR,2004,82077227.15600961
country/LBR,2005,91714300.13042405
country/LBR,2006,94245979.73167093
country/LBR,2007,145352286.79791462
country/LBR,2008,151151666.26286438
country/LBR,2009,166410783.39319527
country/LBR,2010,176513418.8559826
country/LBR,2011,220706847.72770897
country/LBR,2012,234624613.69374174
country/LBR,2013,252520594.4837461
country/LBR,2014,284398583.93932706
country/LBR,2015,328256897.1499653
country/LBR,2016,320979970.97039163
country/LBR,2017,330565551.33902067
country/LBR,2018,321463688.3103409
country/LBR,2019,259687575.05853492
country/LBR,2020,288497200.0072699
country/MDG,2000,206910218.4380027
country/MDG,2001,258715533.19024786
country/MDG,2002,266038797.21119326
country/MDG,2003,302524533.75964224
country/MDG,2004,266146699.27184626
country/MDG,2005,304835527.99909854
country/MDG,2006,324664097.64886785
country/MDG,2007,383120998.7138955
country/MDG,2008,440392125.53870857
country/MDG,2009,424754733.5467006
country/MDG,2010,464296275.03050315
country/MDG,2011,512719663.1800377
country/MDG,2012,442606095.0052386
country/MDG,2013,464512939.825102
country/MDG,2014,554558775.1149668
country/MDG,2015,563008414.2707402
country/MDG,2016,622878633.3764176
country/MDG,2017,638302161.9904304
country/MDG,2018,587658872.4452678
country/MDG,2019,532778958.19360024
country/MDG,2020,506521634.0693533
country/MWI,2000,83328919.16542684
country/MWI,2001,70773266.50956641
country/MWI,2002,131989449.81623806
country/MWI,2003,150023271.72618783
country/MWI,2004,199311174.0256077
country/MWI,2005,221365739.3968924
country/MWI,2006,276522091.2599945
country/MWI,2007,339702454.3164889
country/MWI,2008,457515522.5172857
country/MWI,2009,511979972.1963153
country/MWI,2010,503980319.9913624
country/MWI,2011,599798542.7459428
country/MWI,2012,511152392.88390446
country/MWI,2013,639039578.1260368
country/MWI,2014,587365347.1628392
country/MWI,2015,597536057.5920688
country/MWI,2016,597503151.0922626
country/MWI,2017,678313189.597034
country/MWI,2018,679163959.3764226
country/MWI,2019,566370889.534698
country/MWI,2020,639103473.7349951
country/MLI,2000,161884589.13553172
country/MLI,2001,156752407.35870072
country/MLI,2002,195318168.51658115
country/MLI,2003,238089574.1533049
country/MLI,2004,284585989.3185583
country/MLI,2005,324569769.0597291
country/MLI,2006,376781413.93714315
country/MLI,2007,428463140.67220813
country/MLI,2008,496223643.64365685
country/MLI,2009,534783784.7445846
country/MLI,2010,500110608.12079877
country/MLI,2011,521734711.16208696
country/MLI,2012,466847199.6579821
country/MLI,2013,524951775.327872
country/MLI,2014,643795189.4917156
country/MLI,2015,538796426.1988769
country/MLI,2016,529312293.92188877
country/MLI,2017,564565307.2709153
country/MLI,2018,637170380.5090467
country/MLI,2019,670746160.524923
country/MLI,2020,752425945.65512
country/MRT,2000,60116736.25681886
country/MRT,2001,62365893.969715156
country/MRT,2002,71122845.59519383
country/MRT,2003,82712965.1024598
country/MRT,2005,99943834.95257895
country/MRT,2006,105927808.9080417
country/MRT,2007,125015905.52142398
country/MRT,2008,156890154.6822745
country/MRT,2009,146640109.35951412
country/MRT,2010,148387429.02332696
country/MRT,2011,167345755.79998952
country/MRT,2012,178243150.82732117
country/MRT,2013,207158066.8785923
country/MRT,2014,228579820.5364605
country/MRT,2015,226548688.97203815
country/MRT,2016,198124626.78418818
country/MRT,2017,225458221.12321964
country/MRT,2018,252616648.2727209
country/MRT,2019,263930262.93742788
country/MRT,2020,265639171.28357252
country/MUS,2000,141005069.63882264
country/MUS,2001,142635512.77807465
country/MUS,2002,163376051.07102334
country/MUS,2003,195859276.08880886
country/MUS,2004,230892070.6558108
country/MUS,2005,241559511.09452415
country/MUS,2006,256853029.66900095
country/MUS,2007,291013424.40456784
country/MUS,2008,398814710.70328224
country/MUS,2009,385830799.7956809
country/MUS,2010,458150259.8517431
country/MUS,2011,496193542.845647
country/MUS,2012,499041034.4361385
country/MUS,2013,568036374.5442322
country/MUS,2014,703420440.8024389
country/MUS,2015,666455498.3426849
country/MUS,2016,698080830.1345882
country/MUS,2017,770348499.5478488
country/MUS,2018,832062174.7407132
country/MUS,2019,870918694.597894
country/MUS,2020,727310890.5988444
country/MOZ,2000,125538024.06540906
country/MOZ,2001,156954532.76064306
country/MOZ,2002,187982067.56861174
country/MOZ,2003,214021559.07757744
country/MOZ,2004,280235021.8021802
country/MOZ,2005,373749893.0825316
country/MOZ,2006,375218789.4254552
country/MOZ,2007,410787703.85834295
country/MOZ,2008,532236000.4371105
country/MOZ,2009,620020714.8696412
country/MOZ,2010,603974025.4734704
country/MOZ,2011,719525819.841471
country/MOZ,2012,857829380.0833377
country/MOZ,2013,1039772529.3310719
country/MOZ,2014,1121839129.4070985
country/MOZ,2015,1071369416.5848987
country/MOZ,2016,869173842.9534082
country/MOZ,2017,1035952831.7178836
country/MOZ,2018,1200839123.5357733
country/MOZ,2019,1223925997.2288105
country/MOZ,2020,1068910265.0615417
country/NAM,2000,376721644.880265
country/NAM,2001,338117964.7080245
country/NAM,2002,327178766.8511139
country/NAM,2003,487163222.06277144
country/NAM,2004,673070372.4240743
country/NAM,2005,738013538.6420714
country/NAM,2006,809530144.0133585
country/NAM,2007,935507668.3909664
country/NAM,2008,842684789.2717595
country/NAM,2009,798634581.6813877
country/NAM,2010,1096153154.4162889
country/NAM,2011,1213606583.3253994
country/NAM,2012,1208558616.6828973
country/NAM,2013,1091662676.3127463
country/NAM,2014,1045684307.311129
country/NAM,2015,1131376062.8995252
country/NAM,2016,999543342.9512534
country/NAM,2017,1124529664.9535415
country/NAM,2018,1137863186.8227694
country/NAM,2019,1056504635.2458041
country/NAM,2020,944712909.1561396
country/NER,2000,104100921.24920566
country/NER,2001,115402370.14027442
country/NER,2002,133918202.18593682
country/NER,2003,160607067.38212138
country/NER,2004,186567400.6290929
country/NER,2005,256847366.43047357
country/NER,2006,284248714.8860588
country/NER,2007,310424647.0515585
country/NER,2008,381918931.7287755
country/NER,2009,391405709.95477194
country/NER,2010,388522972.42966
country/NER,2011,426679990.98828983
country/NER,2012,405159988.07550925
country/NER,2013,455837497.89887655
country/NER,2014,482222081.76661867
country/NER,2015,517809865.81392837
country/NER,2016,469250953.63874817
country/NER,2017,623691675.8602213
country/NER,2018,679257695.4005923
country/NER,2019,731901351.6613789
country/NER,2020,851850487.863411
country/NGA,2000,2168581475.014101
country/NGA,2001,2332401247.4012475
country/NGA,2002,2340768822.9052606
country/NGA,2003,5201955195.831061
country/NGA,2004,6039777662.434218
country/NGA,2005,7576190160.300459
country/NGA,2006,9485898291.251545
country/NGA,2007,10254589446.506952
country/NGA,2008,12205817753.725014
country/NGA,2009,10649586076.03439
country/NGA,2010,12166305993.113657
country/NGA,2011,13751108944.674627
country/NGA,2012,15487195238.095238
country/NGA,2013,17615365463.46421
country/NGA,2014,19035636797.179363
country/NGA,2015,17715719677.61439
country/NGA,2016,14760549642.592272
country/NGA,2017,14081531321.691261
country/NGA,2018,13034606721.033339
country/NGA,2019,14166558127.810555
country/NGA,2020,14533304292.529669
country/RWA,2000,73958184.2900792
country/RWA,2001,65198388.42470906
country/RWA,2002,61522401.64971389
country/RWA,2003,148203225.8327351
country/RWA,2004,178418510.50448415
country/RWA,2005,226575908.97541925
country/RWA,2006,252545144.08527195
country/RWA,2007,319829413.5257928
country/RWA,2008,391740930.0717611
country/RWA,2009,442770052.8664303
country/RWA,2010,495094342.00902253
country/RWA,2011,546307160.1097666
country/RWA,2012,620245625.7444474
country/RWA,2013,529639377.4949185
country/RWA,2014,575510969.8708723
country/RWA,2015,568235710.8754112
country/RWA,2016,604946194.8848878
country/RWA,2017,591237857.5257144
country/RWA,2018,645938776.3755685
country/RWA,2019,655654129.3957282
country/RWA,2020,755853948.7754772
country/STP,2000,8062842.812565866
country/STP,2001,7754407.2299491875
country/STP,2002,8517726.339011863
country/STP,2003,12054148.987171378
country/STP,2004,12406420.152709935
country/STP,2005,14409054.608696776
country/STP,2006,11036813.135247478
country/STP,2007,11814114.547393378
country/STP,2008,13372074.080870584
country/STP,2009,13512711.54199243
country/STP,2010,13516429.150725644
country/STP,2011,15755734.920903152
country/STP,2012,16356803.455877418
country/STP,2013,24044689.522498492
country/STP,2014,23488428.931477908
country/STP,2015,16996432.909715362
country/STP,2016,22351028.02139385
country/STP,2017,24231625.381310377
country/STP,2018,24272172.09443121
country/STP,2019,22521248.284916934
country/STP,2020,23377948.688716996
country/SEN,2000,213477343.82502416
country/SEN,2001,239584763.4963172
country/SEN,2002,276959162.71535045
country/SEN,2003,376795085.02425337
country/SEN,2004,460365643.3522102
country/SEN,2005,404545118.6456423
country/SEN,2006,440236648.60648316
country/SEN,2007,477897797.7735099
country/SEN,2008,591048431.6394969
country/SEN,2009,620255258.2544751
country/SEN,2010,649309204.4087578
country/SEN,2011,750723741.0194607
country/SEN,2012,753568158.9319354
country/SEN,2013,829722868.1887037
country/SEN,2014,869024693.9895697
country/SEN,2015,778160822.6289396
country/SEN,2016,810368734.7763807
country/SEN,2017,874211615.3136932
country/SEN,2018,1024490734.2482705
country/SEN,2019,1052093105.6645544
country/SEN,2020,1261965295.902513
country/SYC,2000,28347867.505957767
country/SYC,2001,33579691.60839656
country/SYC,2002,31806284.543889645
country/SYC,2003,37817989.730992466
country/SYC,2004,43619340.376363635
country/SYC,2005,45757382.480000004
country/SYC,2006,47559304.24434936
country/SYC,2007,42280383.07508892
country/SYC,2008,38518133.58206672
country/SYC,2009,32925660.00081324
country/SYC,2010,46839246.57478864
country/SYC,2011,48889216.563522674
country/SYC,2012,60733823.84470141
country/SYC,2013,59886995.2168557
country/SYC,2014,63642134.75213856
country/SYC,2015,63221037.65869194
country/SYC,2016,73931082.74022157
country/SYC,2017,74999177.84069623
country/SYC,2018,81607518.37415381
country/SYC,2019,82104718.7871662
country/SYC,2020,76710617.01818335
country/SLE,2000,106871347911.81216
