dcid,year,healthExpenditureGovernmentCurrentUSD
country/BFA,2015,172298432.9141882
country/BFA,2016,306310726.6097465
country/BFA,2017,369953695.3652281
country/BFA,2018,338092886.55410355
country/BFA,2019,359805576.3193211
country/BFA,2020,506744557.3208924
country/BDI,2000,12751745.244068058
country/BDI,2001,14837480.704342734
country/BDI,2002,12672461.506682338
country/BDI,2003,10631443.221592069
country/BDI,2004,21672600.15947861
country/BDI,2005,23040240.833153605
country/BDI,2006,30102788.674157016
country/BDI,2007,33414478.899486125
country/BDI,2008,25130748.87457882
country/BDI,2009,36944449.798932984
country/BDI,2010,40343820.629454546
country/BDI,2011,77607036.5040153
country/BDI,2012,62287452.08532549
country/BDI,2013,37776352.82826467
country/BDI,2014,75404735.3712235
country/BDI,2015,75112217.99388018
country/BDI,2016,69426542.23107718
country/BDI,2017,67083999.071747296
country/BDI,2018,65685321.02364053
country/BDI,2019,72044746.08224924
country/BDI,2020,74200763.29664807
country/BEN,2000,28408655.601482682
country/BEN,2001,33990278.28339432
country/BEN,2002,30436369.69095681
country/BEN,2003,35559041.86242762
country/BEN,2004,45291787.03851507
country/BEN,2005,44847794.51644797
country/BEN,2006,50607926.62315276
country/BEN,2007,48682977.510475814
country/BEN,2008,55095128.523217976
country/BEN,2009,72780271.39331898
country/BEN,2010,69076622.70644994
country/BEN,2011,85112981.13964659
country/BEN,2012,83194947.84185524
country/BEN,2013,95714885.1285489
country/BEN,2014,76429649.81386569
country/BEN,2015,66671767.394662455
country/BEN,2016,67960855.93402295
country/BEN,2017,103442702.6989415
country/BEN,2018,69955757.26825711
country/BEN,2019,77853719.76057282
country/BEN,2020,136255903.01077765
country/CPV,2000,19243945.628346942
country/CPV,2001,21359802.407829296
country/CPV,2002,23501349.919932984
country/CPV,2003,29397568.070356645
country/CPV,2004,31959717.281089522
country/CPV,2005,32211502.022763297
country/CPV,2006,36781840.28935441
country/CPV,2007,45041951.70591079
country/CPV,2008,43848299.89212011
country/CPV,2009,47143584.56693777
country/CPV,2010,47105768.14307021
country/CPV,2011,53458856.82040467
country/CPV,2012,53559156.27102477
country/CPV,2013,56548515.912004575
country/CPV,2014,56605744.9183171
country/CPV,2015,50687273.62255935
country/CPV,2016,51227104.71077866
country/CPV,2017,58068068.32791199
country/CPV,2018,63108669.48136826
country/CPV,2019,64334893.91671205
country/CPV,2020,63104545.72844174
country/CMR,2000,68165899.7035059
country/CMR,2001,85468126.02041988
country/CMR,2002,110731479.96768305
country/CMR,2003,136972842.13190633
country/CMR,2004,132825625.46332948
country/CMR,2005,127221181.12115179
country/CMR,2006,135521835.73213112
country/CMR,2007,136134971.079159
country/CMR,2008,152632743.45374414
country/CMR,2009,125142012.92627214
country/CMR,2010,111778172.18092436
country/CMR,2011,175501795.04677656
country/CMR,2012,193018855.2714059
country/CMR,2013,162025922.41289383
country/CMR,2014,214598287.15988445
country/CMR,2015,117192546.87137127
country/CMR,2016,123737038.04531424
country/CMR,2017,50974062.150071524
country/CMR,2018,140443193.75247842
country/CMR,2019,161410190.5870587
country/CMR,2020,250273267.4256515
country/CAF,2000,14919623.460652877
country/CAF,2001,13652778.849710498
country/CAF,2002,14161907.579905933
country/CAF,2003,18374142.570277743
country/CAF,2004,19346809.02603462
country/CAF,2005,14632341.766453484
country/CAF,2006,18882453.974782217
country/CAF,2007,22335509.312426228
country/CAF,2008,17283180.48017858
country/CAF,2009,15129048.63191117
country/CAF,2010,12318179.0240601
country/CAF,2011,10105102.327067943
country/CAF,2012,15628598.869436998
country/CAF,2013,16626629.350940347
country/CAF,2014,13473307.422737317
country/CAF,2015,7730455.748076948
country/CAF,2016,10941609.306740096
country/CAF,2017,15103700.029707512
country/CAF,2018,15689575.238504816
country/CAF,2019,18658234.363371886
country/CAF,2020,29001107.30104207
country/TCD,2000,32613405.157961234
country/TCD,2001,35732774.771658555
country/TCD,2002,47373338.995478675
country/TCD,2003,53914257.42578071
country/TCD,2004,95996034.1377006
country/TCD,2005,95414547.03492448
country/TCD,2006,74161650.60522044
country/TCD,2007,88840045.9428767
country/TCD,2008,82961002.92133263
country/TCD,2009,86363487.64217287
country/TCD,2010,91090033.59582563
country/TCD,2011,100524043.07329182
country/TCD,2012,117422148.99367459
country/TCD,2013,149254385.16283274
country/TCD,2014,170722887.33675528
country/TCD,2015,105342196.73344812
country/TCD,2016,83926314.12159467
country/TCD,2017,70190429.07695195
country/TCD,2018,71751822.67779724
country/TCD,2019,76831712.77490896
country/TCD,2020,99627250.57792744
country/COM,2000,3027528.0645925724
country/COM,2001,1992267.0685987913
country/COM,2002,4089474.290994856
country/COM,2003,4664651.915496293
country/COM,2004,4927583.096130382
country/COM,2005,4548734.335909779
country/COM,2006,4443649.993545237
country/COM,2007,4503560.251031088
country/COM,2008,3968221.8998479145
country/COM,2009,3431897.627002014
country/COM,2010,3427495.9152670093
country/COM,2011,9788093.48779818
country/COM,2012,8079448.300564576
country/COM,2013,7364657.314839847
country/COM,2014,6379225.6307945745
country/COM,2015,4502917.245634364
country/COM,2016,5813675.303487814
country/COM,2017,7281850.956411914
country/COM,2018,9022103.04863219
country/COM,2019,9888772.791091856
country/COM,2020,9430926.784039758
country/COG,2000,18699461.202212676
country/COG,2001,29344951.549927425
country/COG,2002,14452245.99311053
country/COG,2003,19365535.64674747
country/COG,2004,22206885.69931365
country/COG,2005,28736983.912133213
country/COG,2006,44794992.27989743
country/COG,2007,51512188.20204702
country/COG,2008,128065295.11860488
country/COG,2009,60061762.570077516
country/COG,2010,108919711.75024797
country/COG,2011,101969700.64727555
country/COG,2012,144893712.82896873
country/COG,2013,168210346.21977207
country/COG,2014,169626210.56815574
country/COG,2015,133031957.12191989
country/COG,2016,122384965.15981722
country/COG,2017,107380658.5271868
country/COG,2018,91635663.636743
country/COG,2019,143854880.4646774
country/COG,2020,198918622.54761067
country/CIV,2000,87159407.41290218
country/CIV,2001,78939063.53353006
country/CIV,2002,93161548.33324027
country/CIV,2003,109313255.81291197
country/CIV,2004,128358798.82597516
country/CIV,2005,125000761.75346893
country/CIV,2006,137373261.85825974
country/CIV,2007,165651413.30646876
country/CIV,2008,202862598.69732496
country/CIV,2009,225148521.79475352
country/CIV,2010,202315450.75030476
country/CIV,2011,206011876.3696986
country/CIV,2012,276271219.1470308
country/CIV,2013,314627361.41400725
country/CIV,2014,380111201.7707064
country/CIV,2015,368560337.5973953
country/CIV,2016,412928250.5003879
country/CIV,2017,489766945.3364376
country/CIV,2018,525898176.7845455
country/CIV,2019,581662392.5877395
country/CIV,2020,839424305.3052073
country/COD,2000,37553956.085770115
country/COD,2001,11492629.465757608
country/COD,2002,9107995.193400595
country/COD,2003,20527627.21487621
country/COD,2004,19173479.60524515
country/COD,2005,26090803.2958647
country/COD,2006,32709481.391497895
country/COD,2007,40712957.703532465
country/COD,2008,57715401.594368495
country/COD,2009,58110944.97774414
country/COD,2010,85801015.93001136
country/COD,2011,91496160.34749869
country/COD,2012,156087799.64085722
country/COD,2013,162886993.81294537
country/COD,2014,197790389.75616357
country/COD,2015,251017970.78000957
country/COD,2016,204696200.8165597
country/COD,2017,157219969.8500436
country/COD,2018,234769328.04605803
country/COD,2019,282406681.4831572
country/COD,2020,316979635.1684861
country/GNQ,2000,3696634.144274118
country/GNQ,2001,3178380.8755291863
country/GNQ,2002,3284129.5202865903
country/GNQ,2003,7522969.5134610655
country/GNQ,2004,9549869.471969899
country/GNQ,2005,16923858.58093953
country/GNQ,2006,26375584.9887815
country/GNQ,2007,37925969.25512354
country/GNQ,2008,59053292.25427683
country/GNQ,2009,88720241.62349616
country/GNQ,2010,74022706.76877181
country/GNQ,2011,86487844.99727865
country/GNQ,2012,117367177.68227147
country/GNQ,2013,93768643.59426104
country/GNQ,2014,102502865.31720121
country/GNQ,2015,73100611.86761434
country/GNQ,2016,78066630.97977915
country/GNQ,2017,72085276.66820264
country/GNQ,2018,81770804.55671343
country/GNQ,2019,73461345.09285943
country/GNQ,2020,84644653.56708227
country/ERI,2000,11220779.220779222
country/ERI,2001,10433750.382469563
country/ERI,2002,11962763.793525554
country/ERI,2003,11240901.422536703
country/ERI,2004,13384008.90371714
country/ERI,2005,7251092.235013405
country/ERI,2006,7669607.542113821
country/ERI,2007,12391406.432520326
country/ERI,2008,13689801.670243902
country/ERI,2009,13377451.872520326
country/ERI,2010,16323339.179186994
country/ERI,2011,15919121.794471543
country/ERI,2012,17885088.167804886
country/ERI,2013,15269924.175609754
country/ERI,2014,13389700.88390244
country/ERI,2015,14907047.205203256
country/ERI,2016,15943515.082736157
country/ERI,2017,19179529.899170816
country/ERI,2018,12922212.17379768
country/ERI,2019,15564433.684245443
country/ERI,2020,17633549.228524044
country/SWZ,2000,41901893.12655909
country/SWZ,2001,36776282.35129225
country/SWZ,2002,34697482.36778914
country/SWZ,2003,64103754.17426814
country/SWZ,2004,83766321.04237162
country/SWZ,2005,115704438.92056741
country/SWZ,2006,113861072.65607238
country/SWZ,2007,130243872.71773715
country/SWZ,2008,146714954.99576944
country/SWZ,2009,159738457.83677402
country/SWZ,2010,187673935.6190253
country/SWZ,2011,174093762.15755802
country/SWZ,2012,166793946.40247434
country/SWZ,2013,152866380.24176592
country/SWZ,2014,121177202.81133556
country/SWZ,2015,119642778.47554952
country/SWZ,2016,108602956.44270529
country/SWZ,2017,156043079.35774767
country/SWZ,2018,163091048.00034285
country/SWZ,2019,153796211.39906996
country/SWZ,2020,136812250.77135918
country/ETH,2000,147007561.94310558
country/ETH,2001,163364406.06444576
country/ETH,2002,162914270.48758426
country/ETH,2003,195857959.63456032
country/ETH,2004,134194263.34372325
country/ETH,2005,214069726.89214036
country/ETH,2006,170838919.8791111
country/ETH,2007,257659922.15437296
country/ETH,2008,133993914.73277484
country/ETH,2009,259996743.69047457
country/ETH,2010,252828824.70850775
country/ETH,2011,116180159.18114434
country/ETH,2012,450230090.330089
country/ETH,2013,511809659.0031103
country/ETH,2014,387154668.5498166
country/ETH,2015,608967485.9572461
country/ETH,2016,649440005.470389
country/ETH,2017,661407163.7387526
country/ETH,2018,614753123.1152663
country/ETH,2019,676521037.8874947
country/ETH,2020,949478705.5400071
country/GAB,2000,57554422.89002154
country/GAB,2001,63443907.02310707
country/GAB,2002,64004308.98914405
country/GAB,2003,93464466.03956914
country/GAB,2004,105641611.09574103
country/GAB,2005,99767770.48089427
country/GAB,2006,123723334.76207101
country/GAB,2007,153633736.0752018
country/GAB,2008,165441246.3753541
country/GAB,2009,187979217.3681839
country/GAB,2010,226117906.63729987
country/GAB,2011,288739637.9301571
country/GAB,2012,254613654.72924846
country/GAB,2013,320775027.93705034
country/GAB,2014,276096933.446509
country/GAB,2015,225166246.92555672
country/GAB,2016,281956811.3383477
country/GAB,2017,262728513.04758182
country/GAB,2018,271317153.526388
country/GAB,2019,281740153.39626807
country/GAB,2020,290989072.73386484
country/GMB,2000,6073331.410051531
country/GMB,2001,6121096.060843836
country/GMB,2002,4808268.175365534
country/GMB,2003,4946696.860816541
country/GMB,2004,7510663.961749474
country/GMB,2005,8394176.761623923
country/GMB,2006,9324408.785449157
country/GMB,2007,9037304.364764027
country/GMB,2008,11382812.925174667
country/GMB,2009,13132075.633865608
country/GMB,2010,14171118.750949815
country/GMB,2011,14713758.405026477
country/GMB,2012,17068010.902127538
country/GMB,2013,14908498.398748204
country/GMB,2014,13429229.892988347
country/GMB,2015,13758212.570481928
country/GMB,2016,19147642.633553576
country/GMB,2017,15966728.219740432
country/GMB,2018,17866147.182992082
country/GMB,2019,23590076.630649302
country/GMB,2020,24979016.853114557
country/GHA,2000,88967322.39732291
country/GHA,2001,130056302.10028644
country/GHA,2002,99021498.90926598
country/GHA,2003,144284874.34564844
country/GHA,2004,146709010.52088043
country/GHA,2005,360853487.63141704
country/GHA,2006,425207200.2462873
country/GHA,2007,560914897.3177632
country/GHA,2008,679863198.6030269
country/GHA,2009,760847805.5541039
country/GHA,2010,1027082723.9478339
country/GHA,2011,1262183473.9399917
country/GHA,2012,1103261501.7115388
country/GHA,2013,1167375787.2157872
country/GHA,2014,771804631.3318316
country/GHA,2015,787421846.4320239
country/GHA,2016,730364860.4384682
country/GHA,2017,641439532.9415555
country/GHA,2018,902369375.2242205
country/GHA,2019,946076746.5445526
country/GHA,2020,1359911447.4229512
country/GIN,2000,12167029.485593708
country/GIN,2001,14123457.110827265
country/GIN,2002,25747547.946035713
country/GIN,2003,20089340.144652363
country/GIN,2004,12110831.99540984
country/GIN,2005,11774631.69340804
country/GIN,2006,10480806.0540908
country/GIN,2007,15117989.012213761
country/GIN,2008,18774357.65180745
country/GIN,2009,17480596.40731651
country/GIN,2010,24876645.48583778
country/GIN,2011,34629397.689151995
country/GIN,2012,37992873.74873635
country/GIN,2013,40927150.967139706
country/GIN,2014,53682420.504780315
country/GIN,2015,37754484.83076211
country/GIN,2016,57055149.93013002
country/GIN,2017,62016390.34812859
country/GIN,2018,73205450.44465455
country/GIN,2019,123802340.58166948
country/GIN,2020,148398841.1394345
country/GNB,2000,12322315.640680963
country/GNB,2001,11915536.962060371
country/GNB,2002,8095253.822610163
country/GNB,2003,12435911.997142108
country/GNB,2004,18760677.955899518
country/GNB,2005,17203694.617846638
country/GNB,2006,15791886.358972859
country/GNB,2007,19051520.686836697
country/GNB,2008,21092244.156725388
country/GNB,2009,23743014.059829157
country/GNB,2010,9757979.592423987
country/GNB,2011,5055325.087400605
country/GNB,2012,5293726.620225249
country/GNB,2013,6121033.938880793
country/GNB,2014,6771761.830542056
country/GNB,2015,6197505.44940634
country/GNB,2016,6034164.576081033
country/GNB,2017,7326206.000532049
country/GNB,2018,8330831.065327356
country/GNB,2019,7690134.939369945
country/GNB,2020,10476334.596622974
country/KEN,2000,181898230.86395288
country/KEN,2001,198009717.7756073
country/KEN,2002,211134257.45575845
country/KEN,2003,240552146.75573105
country/KEN,2004,246070182.55502543
country/KEN,2005,294633328.5079617
country/KEN,2006,349883331.8680755
country/KEN,2007,467086779.8183561
country/KEN,2008,556914232.0974643
country/KEN,2009,618224760.1812775
country/KEN,2010,708612493.8690151
country/KEN,2011,752565151.0108523
country/KEN,2012,917148291.1441293
country/KEN,2013,1024309338.2334293
country/KEN,2014,1254875899.7168853
country/KEN,2015,1349036731.0853121
country/KEN,2016,1522705631.5497916
country/KEN,2017,1404107781.133423
country/KEN,2018,1629293228.435575
country/KEN,2019,2016308569.4822733
country/KEN,2020,2054897409.8359244
country/LSO,2000,26801815.702934068
country/LSO,2001,30897248.547747053
country/LSO,2002,25140534.003916156
country/LSO,2003,37424898.921632
country/LSO,2004,46300000.507764116
country/LSO,2005,39271677.891035154
country/LSO,2006,54503162.09720102
country/LSO,2007,82563775.64824533
country/LSO,2008,77413662.30465467
country/LSO,2009,87003889.33085364
country/LSO,2010,109217675.082492
country/LSO,2011,141519409.39967924
country/LSO,2012,123220185.39549193
country/LSO,2013,114407922.79095829
country/LSO,2014,125065197.596812
country/LSO,2015,126663297.3743732
country/LSO,2016,107694342.93796939
country/LSO,2017,127873129.54523702
country/LSO,2018,128167452.48752105
country/LSO,2019,118005847.23716637
country/LSO,2020,124807747.86316632
country/LBR,2000,6504031.432064055
country/LBR,2001,7208782.799515241
country/LBR,2002,4613834.977127047
country/LBR,2003,3792248.3361354945
country/LBR,2004,6201684.2602637885
country/LBR,2005,5428814.539239585
country/LBR,2006,7786212.437140892
country/LBR,2007,11058183.974013966
country/LBR,2008,22948298.92117232
country/LBR,2009,17029258.62842916
country/LBR,2010,15703867.299939321
country/LBR,2011,35528078.54088977
country/LBR,2012,23314621.446287617
country/LBR,2013,10424945.238390096
country/LBR,2014,25497242.995261796
country/LBR,2015,37269427.590413675
country/LBR,2016,45361273.26356949
country/LBR,2017,46077448.32822654
country/LBR,2018,55072002.77303947
country/LBR,2019,41773542.997408025
country/LBR,2020,48173904.220489755
country/MDG,2000,81839934.7076095
country/MDG,2001,102201512.94080503
country/MDG,2002,95770531.75719425
country/MDG,2003,136237476.60931656
country/MDG,2004,110994543.67051482
country/MDG,2005,113620554.76196492
country/MDG,2006,120338081.21447083
country/MDG,2007,160532641.85265094
country/MDG,2008,149523632.56705713
country/MDG,2009,118872775.5733546
country/MDG,2010,186460532.03288117
country/MDG,2011,193855089.0668467
country/MDG,2012,172502695.56105766
country/MDG,2013,162035391.04564154
country/MDG,2014,218919122.17109236
country/MDG,2015,225340616.37517333
country/MDG,2016,281042748.9938675
country/MDG,2017,295959911.5304722
country/MDG,2018,206898569.2858177
country/MDG,2019,172302774.35126048
country/MDG,2020,187621751.34915465
country/MWI,2000,43225361.557351984
country/MWI,2001,34952796.414918385
country/MWI,2002,47984393.428448476
country/MWI,2003,53098688.974081784
country/MWI,2004,41982705.68327219
country/MWI,2005,54190062.6414457
country/MWI,2006,53123885.57669333
country/MWI,2007,45849357.74074271
country/MWI,2008,102451950.30422328
country/MWI,2009,92030399.29162605
country/MWI,2010,110924260.31243277
country/MWI,2011,129870369.79006411
country/MWI,2012,81182483.1290477
country/MWI,2013,115164426.77472699
country/MWI,2014,133528936.44729297
country/MWI,2015,171193505.13672957
country/MWI,2016,147771951.9501953
country/MWI,2017,153757109.57211176
country/MWI,2018,165987863.4217115
country/MWI,2019,184578695.21090227
country/MWI,2020,231707501.52070454
country/MLI,2000,38296940.02622945
country/MLI,2001,36556489.347512156
country/MLI,2002,43372279.89473437
country/MLI,2003,66582469.05570293
country/MLI,2004,86640536.26736653
country/MLI,2005,87290742.09680086
country/MLI,2006,84532526.96132784
country/MLI,2007,81296765.7528115
country/MLI,2008,70458408.17468993
country/MLI,2009,68302458.0483059
country/MLI,2010,71502989.44844803
country/MLI,2011,78589631.85969828
country/MLI,2012,51450637.60203188
country/MLI,2013,108038946.16926083
country/MLI,2014,128101241.0157692
country/MLI,2015,120469286.87986642
country/MLI,2016,169542647.40975344
country/MLI,2017,180930138.59663028
country/MLI,2018,196517008.61461216
country/MLI,2019,226766509.8618284
country/MLI,2020,258555892.2567585
country/MRT,2000,8358329.729201848
country/MRT,2001,9517693.27313327
country/MRT,2002,15518557.930858925
country/MRT,2003,15834695.662091777
country/MRT,2005,24068994.520358812
country/MRT,2006,26504095.30900968
country/MRT,2007,33199700.938434526
country/MRT,2008,46221015.65889093
country/MRT,2009,41434510.97227477
country/MRT,2010,41175209.09285863
country/MRT,2011,50717752.310711436
country/MRT,2012,60401759.827388585
country/MRT,2013,78217150.08674726
country/MRT,2014,82561466.67767775
country/MRT,2015,87498057.01144226
country/MRT,2016,76743255.84268475
country/MRT,2017,83725115.15157151
country/MRT,2018,99009922.82334805
country/MRT,2019,98176850.13241282
country/MRT,2020,106801787.5643892
country/MUS,2000,75476701.50221583
country/MUS,2001,76714338.55742419
country/MUS,2002,86425737.24117216
country/MUS,2003,102719906.99810673
country/MUS,2004,125519159.63576204
country/MUS,2005,116398055.49239632
country/MUS,2006,115276199.35189982
country/MUS,2007,121677903.56771259
country/MUS,2008,140703352.5928653
country/MUS,2009,146167256.43871364
country/MUS,2010,202244495.84757212
country/MUS,2011,204072872.63198045
country/MUS,2012,221790617.21821895
country/MUS,2013,237461175.18079442
country/MUS,2014,317052077.1112125
country/MUS,2015,277749182.42789537
country/MUS,2016,307940620.3434167
country/MUS,2017,339312170.8700514
country/MUS,2018,365597986.3295266
country/MUS,2019,409698245.6917388
country/MUS,2020,379603233.1339676
country/MOZ,2000,64409932.95834771
country/MOZ,2001,74120625.28052144
country/MOZ,2002,69977334.8801071
country/MOZ,2003,77380873.5811251
country/MOZ,2004,89079601.88815169
country/MOZ,2005,126474065.5909239
country/MOZ,2006,108644265.66967174
country/MOZ,2007,126729330.29848036
country/MOZ,2008,155955108.494016
country/MOZ,2009,156437334.6334431
country/MOZ,2010,141930378.20525876
country/MOZ,2011,183539399.3936482
country/MOZ,2012,206186628.1337439
country/MOZ,2013,257760254.38423458
country/MOZ,2014,308399610.23114383
country/MOZ,2015,289593634.38997734
country/MOZ,2016,207965627.3779475
country/MOZ,2017,230377352.92001
country/MOZ,2018,268262296.47511405
country/MOZ,2019,283270633.3768554
country/MOZ,2020,339303634.9240625
country/NAM,2000,189599958.54940704
country/NAM,2001,175539349.12700278
country/NAM,2002,173713082.94415522
country/NAM,2003,260141976.50748268
country/NAM,2004,329021110.5249979
country/NAM,2005,329226876.305122
country/NAM,2006,332542118.9126885
country/NAM,2007,409333523.91595286
country/NAM,2008,351009165.8843738
country/NAM,2009,305142933.2916988
country/NAM,2010,449338878.7572046
country/NAM,2011,505109071.39222133
country/NAM,2012,504798159.792729
country/NAM,2013,503556831.28386194
country/NAM,2014,482943104.5743119
country/NAM,2015,477515743.15554124
country/NAM,2016,468742224.0251268
country/NAM,2017,522947214.58735514
country/NAM,2018,529488235.53526694
country/NAM,2019,499857563.44942003
country/NAM,2020,467620036.04468834
country/NER,2000,25249203.423292454
country/NER,2001,27974705.74942157
country/NER,2002,33495505.017189488
country/NER,2003,36230644.917884916
country/NER,2004,44260955.41774724
country/NER,2005,83912213.58842757
country/NER,2006,97624844.05134879
country/NER,2007,85832382.70288897
country/NER,2008,112869576.8989658
country/NER,2009,112746067.366455
country/NER,2010,102744929.62366512
country/NER,2011,111396823.91088717
country/NER,2012,97819469.73404413
country/NER,2013,136806353.71254078
country/NER,2014,138277919.70351425
country/NER,2015,107642447.42530769
country/NER,2016,113975506.03501628
country/NER,2017,210855242.07148597
country/NER,2018,226274897.40854815
country/NER,2019,261218111.84130162
country/NER,2020,321804119.2578682
country/NGA,2000,397171181.1519161
country/NGA,2001,627215463.280328
country/NGA,2002,499359675.3530348
country/NGA,2003,957123748.3299135
country/NGA,2004,1566791740.6402872
country/NGA,2005,1936208042.6993902
country/NGA,2006,2009281159.7206876
country/NGA,2007,2042047077.9142337
country/NGA,2008,2181698763.002524
country/NGA,2009,1695548159.5916176
country/NGA,2010,1655141170.0128078
country/NGA,2011,1985067316.5976117
country/NGA,2012,2509258666.6666665
country/NGA,2013,2519611599.0549493
country/NGA,2014,2535117332.4821563
country/NGA,2015,2913482378.0877585
country/NGA,2016,1921961166.427343
country/NGA,2017,2001457418.759437
country/NGA,2018,2098346672.4897277
country/NGA,2019,2229298159.56422
country/NGA,2020,2175195776.0573006
country/RWA,2000,13366647.367186386
country/RWA,2001,13724773.14111862
country/RWA,2002,14907870.566668997
country/RWA,2003,49276589.304196894
country/RWA,2004,45821889.487625234
country/RWA,2005,47373126.142370544
country/RWA,2006,49212961.94641998
country/RWA,2007,71070179.95301257
country/RWA,2008,93967650.2570606
country/RWA,2009,106750908.6550223
country/RWA,2010,124878290.83880587
country/RWA,2011,151286782.68383908
country/RWA,2012,157289158.2899622
country/RWA,2013,169851631.01764613
country/RWA,2014,180709869.81861833
country/RWA,2015,179813389.50219715
country/RWA,2016,194131603.05459902
country/RWA,2017,206226432.1535579
country/RWA,2018,225799808.378602
country/RWA,2019,259259060.11053362
country/RWA,2020,302393241.0198219
country/STP,2000,2639607.0114644044
country/STP,2001,2601621.346942956
country/STP,2002,2995597.695945073
country/STP,2003,5777273.97384351
country/STP,2004,5422032.309418268
country/STP,2005,6294380.648161847
country/STP,2006,731462.6402035401
country/STP,2007,2406696.6396303982
country/STP,2008,2299469.9947976163
country/STP,2009,3191928.6462795255
country/STP,2010,4042964.4404507247
country/STP,2011,5245199.753586705
country/STP,2012,5328856.38020853
country/STP,2013,8064994.967486163
country/STP,2014,8253147.8269395195
country/STP,2015,5374720.277915891
country/STP,2016,9010567.467591459
country/STP,2017,11153147.013598392
country/STP,2018,11633535.091814216
country/STP,2019,10224252.748168947
country/STP,2020,11845018.529176874
country/SEN,2000,75329843.82403962
country/SEN,2001,92135569.80395041
country/SEN,2002,93881413.1214931
country/SEN,2003,135430196.22900158
country/SEN,2004,163954664.5832568
country/SEN,2005,175605800.40716717
country/SEN,2006,205819396.74902967
country/SEN,2007,184556527.54711294
country/SEN,2008,233788808.4364302
country/SEN,2009,227100679.67888272
country/SEN,2010,187265299.9794484
country/SEN,2011,233121010.22523028
country/SEN,2012,215326066.76142746
country/SEN,2013,221494193.79337013
country/SEN,2014,213817652.7053492
country/SEN,2015,191648780.9132166
country/SEN,2016,203354176.75241607
country/SEN,2017,212193884.27675045
country/SEN,2018,258661791.8216955
country/SEN,2019,247543916.8506648
country/SEN,2020,421770972.5390721
country/SYC,2000,23276910.646415547
country/SYC,2001,23388651.382476993
country/SYC,2002,25364809.216488965
country/SYC,2003,29255376.601253517
country/SYC,2004,32000000.0
country/SYC,2005,33272727.272727273
country/SYC,2006,34997474.7587048
country/SYC,2007,31451555.011033565
country/SYC,2008,23240021.852312997
country/SYC,2009,20227768.89957905
country/SYC,2010,30126514.202840254
country/SYC,2011,30691446.81497526
country/SYC,2012,42592585.027388595
country/SYC,2013,42569789.315534525
country/SYC,2014,44179691.4837702
country/SYC,2015,44704322.72977353
country/SYC,2016,51122209.851504035
country/SYC,2017,54782733.77731875
country/SYC,2018,60237542.90393639
country/SYC,2019,59698779.55926103
country/SYC,2020,64815743.786453985
country/SLE,2000,19278492785.340263
country/SLE,2001,27389576615.710804
