dcid,year,principalRepaymentsPPGCurrentUSD
country/BOL,2018,359541050.2
country/BOL,2019,411711102.8
country/BOL,2023,1108601353.1
country/BIH,1999,3944509.6
country/BIH,2006,66590163.1
country/BIH,2008,90586790.0
country/BIH,2017,303891463.7
country/BIH,2018,340457139.1
country/BWA,1975,3699156.4
country/BWA,1979,3497701.2
country/BWA,1989,37347693.4
country/BWA,1997,74101826.0
country/BWA,2001,39255281.8
country/BWA,2009,35928950.8
country/BWA,2014,38975145.1
country/BWA,2015,140764921.5
country/BWA,2020,137605209.3
country/BWA,2021,134553175.4
country/BWA,2023,154883439.2
country/BWA,2027,186637288.7
country/BTN,1993,4648844.4
country/BTN,1996,4305748.7
country/BTN,2002,4524317.0
country/BTN,2004,6740200.2
country/BTN,2005,4620185.7
country/BTN,2013,38968465.5
country/BTN,2019,23571152.2
country/BTN,2020,27122669.7
country/BTN,2024,143628823.3
country/BTN,2025,137987449.3
country/BTN,2026,183377930.2
country/BTN,2027,183894814.8
country/BOL,1973,33129011.9
country/BOL,1976,75092284.6
country/BOL,1978,279490035.0
country/BOL,1992,130407286.2
country/BOL,1995,158902258.8
country/BOL,1997,172667362.1
country/BOL,1999,142440233.8
country/BOL,2000,157075995.0
country/BOL,2003,187204234.8
country/BOL,2010,246907538.7
country/BOL,2016,280060979.5
country/BOL,2017,330976080.8
country/BOL,2022,1069760925.2
country/BOL,2025,682671331.6
country/BOL,2027,652042165.5
country/BOL,2028,633024723.1
country/BIH,2005,54590489.1
country/BIH,2012,168333947.6
country/BIH,2016,267035483.7
country/BIH,2020,380783664.8
country/BIH,2022,618197175.5
country/BIH,2026,779681456.9
country/BWA,1977,2415309.0
country/BWA,1980,5971195.8
country/BWA,1984,16804453.1
country/BWA,1986,17415803.6
country/BWA,1987,37510009.6
country/BWA,1993,56376660.0
country/BWA,1996,72782847.8
country/BWA,1998,53044912.5
country/BWA,1999,52316314.2
country/BWA,2000,52131430.2
country/BWA,2005,40459167.7
country/BWA,2007,36964922.3
country/BWA,2008,60913266.5
country/BWA,2010,57912561.6
country/BWA,2012,33241850.4
country/BWA,2016,141406976.3
country/BWA,2019,141392229.7
country/BWA,2026,187597727.7
country/BRA,1972,430008196.1
country/BRA,1976,1118966121.4
country/BRA,1985,1579769073.8
country/BRA,1987,2778107145.6
country/BRA,1989,6375977119.1
country/BRA,1990,4171520542.8
country/BRA,1991,3526039111.8
country/BRA,1993,3381795250.3
country/BRA,1994,5127555305.5
country/BRA,2001,8747916426.3
country/BRA,2003,13920493225.0
country/BRA,2009,7787766739.1
country/BRA,2013,14813854401.1
country/BRA,2014,9168137431.7
country/BRA,2015,22929391951.9
country/BRA,2016,18982869476.9
country/BRA,2017,23217748043.0
country/BRA,2018,28432905468.1
country/BRA,2023,14220904534.9
country/BRA,2028,28003270830.1
country/BRA,1971,335204014.1
country/BRA,1975,943929112.2
country/BRA,1978,2684735271.9
country/BRA,1980,3914421391.8
country/BRA,1986,2537972157.0
country/BRA,1988,2674945237.6
country/BRA,1999,15360802506.2
country/BRA,2008,16352615311.1
country/BRA,2021,13988391719.8
country/BRA,2025,14625284287.5
country/BGR,1982,85371623.2
country/BGR,1985,960312650.1
country/BGR,1992,138036071.7
country/BGR,2002,319640847.1
country/BGR,2007,403954323.8
country/BGR,2013,1646309324.6
country/BGR,2017,1355102654.4
country/BGR,2018,300104742.2
country/BGR,2028,1807885565.8
country/BGR,1986,1254853489.2
country/BGR,1995,319255356.7
country/BGR,2000,298410088.1
country/BGR,2001,402049938.1
country/BGR,2012,264198087.0
country/BGR,2021,261284190.7
country/BGR,2024,1990889499.4
country/BFA,1973,2318713.3
country/BFA,1976,3094193.9
country/BFA,1980,10610285.3
country/BFA,1984,12218142.9
country/BFA,1989,15751352.6
country/BFA,2006,27915285.2
country/BFA,2008,27719948.1
country/BFA,2010,30651185.1
country/BFA,2011,43429175.5
country/BFA,2017,82849556.2
country/BFA,1970,1751136.2
country/BFA,1971,1549248.6
country/BFA,1975,3719711.7
country/BFA,1977,3765867.5
country/BFA,1978,4541538.9
country/BFA,1981,7569110.6
country/BFA,1990,18246670.3
country/BFA,1992,14611289.8
country/BFA,1999,38452147.6
country/BFA,2000,26229534.6
country/BFA,2002,19338871.8
country/BFA,2004,32646729.2
country/BFA,2009,28932624.5
country/BFA,2014,64086885.7
country/BFA,2020,99543865.4
country/BDI,1970,444060.7
country/BDI,1971,362790.8
country/BDI,1975,1602213.0
country/BDI,1976,2292451.5
country/BDI,1977,2384485.7
country/BDI,1978,1918968.6
country/BDI,1980,4290638.7
country/BDI,1981,3629587.9
country/BDI,1987,24290491.1
country/BDI,1990,27548539.9
country/BDI,1992,21539396.3
country/BDI,2008,11293550.3
country/BDI,2026,80448138.7
country/BDI,2028,52834824.6
country/BDI,1972,1620936.0
country/BDI,1979,2886721.6
country/BDI,1982,3289332.9
country/BDI,1984,7752214.0
country/BDI,1988,23512759.9
country/BDI,1989,23624151.9
country/BDI,1991,25272380.6
country/BDI,1993,18915997.0
country/BDI,1998,13000358.9
country/BDI,1999,14140353.1
country/BDI,2003,21413602.9
country/BDI,2004,42752418.5
country/BDI,2009,8509064.6
country/BDI,2010,2444606.2
country/BDI,2018,9102106.7
country/BDI,2021,13011564.1
country/BDI,2022,44336622.2
country/BDI,2024,65302334.4
country/BDI,2025,77645559.8
country/CPV,1987,4278394.0
country/CPV,1996,5126290.4
country/CPV,1999,16437172.4
country/CPV,2006,25213481.5
country/CPV,2008,23931294.8
country/CPV,2018,36742055.2
country/CPV,2022,106291786.3
country/CPV,2023,122385492.6
country/CPV,2026,121292315.9
country/CPV,1982,561334.8
country/CPV,1984,2251398.5
country/CPV,1985,2123283.1
country/CPV,1986,2689482.0
country/CPV,1989,4135114.2
country/CPV,1992,7521526.8
country/CPV,1993,4547147.2
country/CPV,1994,6133463.4
country/CPV,2002,16197106.6
country/CPV,2004,18021889.8
country/CPV,2009,24548094.1
country/CPV,2010,25024816.7
country/CPV,2011,24942616.2
country/CPV,2012,20055210.1
country/CPV,2015,23744124.5
country/CPV,2016,25571085.8
country/CPV,2020,42504368.6
country/CPV,2021,43410328.1
country/CPV,2025,127069051.1
country/KHM,1995,4785000.0
country/KHM,1996,4920000.0
country/KHM,1999,8097600.5
country/KHM,2000,0.0
country/KHM,2004,5067434.6
country/KHM,2006,15261468.1
country/KHM,2007,12646223.4
country/KHM,2015,79803327.5
country/KHM,2019,217711071.0
country/KHM,2013,68907610.0
country/KHM,2018,180310806.1
country/KHM,2020,264326435.0
country/KHM,2021,292482626.3
country/KHM,2024,583424311.2
country/BRA,1970,262609685.8
country/BRA,1974,653714999.2
country/BRA,1977,1723501968.9
country/BRA,1979,3653957521.0
country/BRA,1981,3991751817.3
country/BRA,1982,4294996817.3
country/BRA,1992,2977243668.0
country/BRA,1995,6566793368.2
country/BRA,2000,10932247387.9
country/BRA,2004,13441896961.0
country/BRA,2005,9481404012.6
country/BRA,2006,24515545631.7
country/BRA,2007,14123773196.9
country/BRA,2010,9628053650.3
country/BRA,2011,15852247933.8
country/BRA,2012,6732234454.9
country/BRA,2019,30501367457.2
country/BRA,2020,23163826072.8
country/BRA,2024,14325647629.7
country/BRA,2026,8491059944.8
country/BRA,1973,571201177.2
country/BRA,1983,2161632580.6
country/BRA,1984,2323098388.6
country/BRA,1996,7451103782.9
country/BRA,1997,8098539273.1
country/BRA,1998,12222924306.8
country/BRA,2002,15040217131.2
country/BRA,2022,7987410756.5
country/BRA,2027,11881795054.5
country/BGR,1987,1573637478.8
country/BGR,1988,1855727959.0
country/BGR,1999,311136443.3
country/BGR,2004,1072086586.6
country/BGR,2005,1761440919.7
country/BGR,2015,230105860.5
country/BGR,2016,273977026.4
country/BGR,2027,1310888590.2
country/BGR,1981,25000000.0
country/BGR,1983,191152842.2
country/BGR,1984,253436093.0
country/BGR,1989,1904342362.6
country/BGR,1990,864821899.2
country/BGR,1991,129294119.0
country/BGR,1993,84461953.6
country/BGR,1994,449711574.8
country/BGR,1996,454887859.1
country/BGR,1997,359550886.6
country/BGR,1998,376724465.1
country/BGR,2003,314569289.3
country/BGR,2006,515389560.3
country/BGR,2008,733438085.6
country/BGR,2009,404266775.5
country/BGR,2010,268215056.6
country/BGR,2011,258568731.7
country/BGR,2014,296698990.5
country/BGR,2019,256470100.9
country/BGR,2020,266011198.3
country/BGR,2022,1759474189.5
country/BGR,2023,1582475289.5
country/BGR,2025,1045734061.9
country/BGR,2026,316776983.2
country/BFA,1974,2498385.8
country/BFA,1983,7486022.0
country/BFA,1985,14946864.9
country/BFA,1988,21244776.5
country/BFA,2003,27645973.4
country/BFA,2005,25116790.6
country/BFA,2007,25670030.5
country/BFA,2013,49997048.0
country/BFA,2016,74801777.9
country/BFA,2019,97844918.0
country/BFA,2021,101647010.1
country/BFA,2023,284407635.2
country/BFA,2027,373866176.0
country/BFA,1972,1511702.2
country/BFA,1979,4680316.4
country/BFA,1982,7695978.4
country/BFA,1986,18683102.7
country/BFA,1987,14263209.9
country/BFA,1991,25125816.9
country/BFA,1993,19834674.3
country/BFA,1994,26975277.0
country/BFA,1995,28611166.2
country/BFA,1996,29911805.1
