dcid,year,climateFinanceReceivedCommitmentsMitigationOtherOfficialFlowsCurrentUSD
country/LSO,2021,29762.0
country/LBR,2019,1305181.0
country/LBR,2020,4309200.0
country/LBR,2021,11482116.0
country/MWI,2021,13533859.0
country/MYS,2020,1546139.2000000002
country/MDV,2020,38000000.0
country/MDV,2021,20000000.0
country/MLI,2019,51452193.313374296
country/MUS,2018,7737787.600000001
country/MEX,2013,50000000.0
country/MEX,2014,154300000.0
country/MEX,2015,412761000.0
country/MEX,2016,100825000.0
country/MEX,2017,824516000.0
country/MEX,2018,536620000.0
country/MEX,2019,193092500.0
country/MEX,2020,548134000.0
country/MEX,2021,487648456.23800004
country/FSM,2013,4130000.0005
country/MDA,2013,13276686.657756519
country/MDA,2014,46727251.99534438
country/MDA,2015,7210204.85225906
country/MDA,2016,11343138.33904678
country/MDA,2017,31153316.879720442
country/MDA,2018,4602856.131240411
country/MDA,2019,45881881.09730132
country/MDA,2020,175005698.0859923
country/MDA,2021,95157857.52276698
country/MNG,2013,3392540.0312267705
country/MNG,2014,15553490.018917497
country/MNG,2015,22550648.18905581
country/MNG,2016,64438501.89411047
country/MNG,2017,44033362.16548308
country/MNG,2018,140102908.29694325
country/MNG,2019,108650831.09538229
country/MNG,2020,137674648.15783477
country/MNG,2021,105876251.90523082
country/MNE,2013,47957727.03133297
country/MNE,2014,43134403.60886289
country/MNE,2015,60354963.94897391
country/MNE,2016,22123.189207121493
country/MNE,2017,20854469.6201105
country/MNE,2018,17592596.15914142
country/MNE,2020,20974110.41880342
country/MNE,2021,236518.448438978
country/MAR,2013,240962809.9774296
country/MAR,2014,496813632.52504975
country/MAR,2015,330808611.0474848
country/MAR,2016,59846101.67747557
country/MAR,2017,80680000.0
country/MAR,2018,136619598.72536296
country/MAR,2019,298069381.54943067
country/MAR,2020,465183422.6054701
country/MAR,2021,145784303.62275907
country/MOZ,2018,7737719.0
country/MOZ,2020,24635.0
country/MOZ,2021,5708.0
country/MMR,2017,1250000.0
country/MMR,2018,2949902.0
country/MMR,2019,475447.0
country/MMR,2020,2812279.6
country/NAM,2018,21990363.89928
country/NAM,2020,19976748.974999998
country/NPL,2019,120000000.0
country/NPL,2020,16233690.8
country/NPL,2021,8997320.8
country/NIC,2016,10201500.0
country/NIC,2018,2209458.8000000003
country/NIC,2020,180954962.0
country/NIC,2021,62527751.0
country/NER,2019,2664278.51785514
country/NER,2021,62727588.44616701
country/NGA,2018,34858804.0
country/NGA,2019,314298277.249
country/NGA,2020,25321846.1468
country/NGA,2021,215801593.0
country/MKD,2013,41157727.031333
country/MKD,2014,197359691.97588718
country/MKD,2015,23849140.531018425
country/MKD,2017,9805714.744673656
country/MKD,2018,3794240.0
country/MKD,2019,25068300.0
country/MKD,2020,55103035.17506212
country/MKD,2021,81501632.6216937
country/PAK,2014,101804000.0
country/PAK,2015,75000000.0
country/PAK,2016,784317819.794
country/PAK,2017,690679516.276
country/PAK,2018,104076000.0
country/PAK,2019,455919253.0
country/PAK,2020,1248059907.2
country/PAK,2021,1240572064.996783
country/PAN,2014,1750000.0
country/PAN,2016,32400000.0
country/PAN,2017,266691500.0
country/PAN,2018,43180000.0
country/PAN,2019,67106000.0
country/PAN,2020,392266579.0
country/PAN,2021,181776243.09392264
country/PNG,2013,22900000.0
country/PNG,2017,55900000.0
country/PNG,2021,4931400.0
country/PRY,2017,31500000.0
country/PRY,2018,182570000.0
country/PRY,2019,19226000.0
country/PRY,2020,248874500.0
country/PRY,2021,37915365.51724138
country/PER,2013,19925000.0
country/PER,2014,793700000.0
country/PER,2015,300000000.0
country/PER,2017,197168000.0
country/PER,2018,122918500.0
country/PER,2019,172706833.33333334
country/PER,2020,97305857.8981
country/PER,2021,293069597.0
country/PHL,2014,392268939.08000004
country/PHL,2015,20000000.0
country/PHL,2016,40637000.0
country/PHL,2017,40700000.0
country/PHL,2018,93500000.0
country/PHL,2019,1447140000.0
country/PHL,2020,171972411.0
country/PHL,2021,159639663.0001665
country/RWA,2018,12107161.924576
country/RWA,2020,268114.0
country/RWA,2021,18299379.0
country/WSM,2017,2000000.0
country/SEN,2017,96415000.0
country/SEN,2019,11878888.9291
country/SEN,2020,210199837.449
country/SEN,2021,142502783.0
country/SRB,2013,144285422.5444598
country/SRB,2014,42315848.96315816
country/SRB,2015,65396601.96460825
country/SRB,2016,111976353.21973673
country/SRB,2017,167220515.13403222
