dcid,year,climateFinanceProvidedDisbursementsOdaGrantsCurrentUSD
country/LVA,2020,1206.8
country/LVA,2021,5763.6
country/LIE,2021,631082.4
country/LTU,2015,52327.600000000006
country/LTU,2016,185043.0
country/LTU,2017,88504.20000000001
country/LTU,2018,162766.4
country/LTU,2019,350459.4
country/LTU,2020,926327.0
country/LTU,2021,1181907.4
country/LUX,2013,13061871.8
country/LUX,2014,15563254.200000001
country/LUX,2015,13745429.0
country/LUX,2016,17782048.400000002
country/LUX,2017,12917545.0
country/LUX,2018,13040377.0
country/LUX,2019,13764822.4
country/LUX,2020,2021150.4
country/LUX,2021,16729953.799999999
country/NLD,2013,439353738.2
country/NLD,2014,372419014.6
country/NLD,2015,305470064.6
country/NLD,2016,310296150.6
country/NLD,2017,328562194.8
country/NLD,2018,456099804.6
country/NLD,2019,422540392.6
country/NLD,2020,451026748.40000004
country/NLD,2021,591250778.2
country/NZL,2013,12785656.2
country/NZL,2014,42338727.2
country/NZL,2015,29032995.6
country/NZL,2016,23332264.400000002
country/NZL,2017,22413103.0
country/NZL,2018,38037089.800000004
country/NZL,2019,39400015.0
country/NZL,2020,33166182.8
country/NZL,2021,52867439.4
country/NOR,2013,1103766067.6
country/NOR,2014,774446816.4
country/NOR,2015,509102765.8
country/NOR,2016,398727005.0
country/NOR,2017,444585474.8
country/NOR,2018,490027874.6
country/NOR,2019,508620088.6
country/NOR,2020,426511241.6
country/NOR,2021,498693597.0
country/POL,2013,6054008.0
country/POL,2014,2804219.4
country/POL,2015,1790430.2
country/POL,2016,1258035.6
country/POL,2017,1372290.6
country/POL,2018,2426588.0
country/POL,2019,5510072.4
country/POL,2020,4830945.0
country/POL,2021,1905747.6
country/PRT,2013,4184046.1999999997
country/PRT,2014,4748275.4
country/PRT,2015,4387264.2
country/PRT,2016,2479949.6
country/PRT,2017,3416326.0
country/PRT,2018,3025982.4
country/PRT,2019,2083313.6
country/PRT,2020,1513140.2
country/PRT,2021,2846112.8
country/ROU,2014,131764.40000000002
country/ROU,2016,91144.6
country/ROU,2017,16240.0
country/ROU,2018,79756.4
country/ROU,2020,157665.8
country/ROU,2021,21190.0
country/SVK,2013,143724.0
country/SVK,2014,185216.0
country/SVK,2015,149972.0
country/SVK,2016,30892.0
country/SVK,2017,167492.0
country/SVK,2018,70976.0
country/SVK,2019,638605.6
country/SVK,2020,345830.0
country/SVK,2021,1049997.4
country/SVN,2013,773421.2000000001
country/SVN,2014,696505.2000000001
country/SVN,2015,799319.8
country/SVN,2016,1074867.8
country/SVN,2017,562328.0
country/SVN,2018,1903862.0
country/SVN,2019,2282274.8
country/SVN,2020,522714.80000000005
country/SVN,2021,848183.0
country/ESP,2013,89065050.0
country/ESP,2014,57240745.800000004
country/ESP,2015,36199234.0
country/ESP,2016,43455696.0
country/ESP,2017,50633258.800000004
country/ESP,2018,62015988.4
country/ESP,2019,74821657.4
country/ESP,2020,45512121.0
country/ESP,2021,76556109.60000001
country/SWE,2013,335505548.2
country/SWE,2014,336062504.2
country/SWE,2015,269477538.40000004
country/SWE,2016,344128606.8
country/SWE,2017,425730093.40000004
country/SWE,2018,536996747.8
country/SWE,2019,543530796.8
country/SWE,2020,447369376.8
country/SWE,2021,536655125.8
country/CHE,2013,184474824.4
country/CHE,2014,210261743.0
country/CHE,2015,188062373.8
country/CHE,2016,188025238.4
country/CHE,2017,205285709.0
country/CHE,2018,220987907.6
country/CHE,2019,229265345.4
country/CHE,2020,224172445.0
country/CHE,2021,277959506.2
country/ARE,2013,17729823.0
country/ARE,2014,41872000.0
country/ARE,2015,49038942.4
country/ARE,2016,61472076.0
country/ARE,2017,42599000.0
country/ARE,2018,23107918.0
country/ARE,2019,34545052.0
country/ARE,2021,18190910.8
country/GBR,2013,994298875.2
country/GBR,2014,993192050.0
country/GBR,2015,1696070107.0
country/GBR,2016,1388357275.4
country/GBR,2017,1356446332.8
country/GBR,2018,1844578590.4
country/GBR,2019,1953525636.6000001
country/GBR,2020,1450651326.6000001
country/GBR,2021,320995965.4
country/USA,2013,709048262.0
country/USA,2014,969857876.0
country/USA,2015,739838692.2
country/USA,2016,1487496765.4
country/USA,2017,1159345344.0
country/USA,2018,970633012.0
country/USA,2019,764535866.2
country/USA,2020,646364328.2
country/USA,2021,761368956.0
