dcid,year,interestPaymentsCurrentUSD
country/DZA,1985,1397783429.6
country/DZA,1987,1570946487.0
country/DZA,1988,1686520737.8
country/DZA,1989,1740914570.7
country/DZA,1990,1784599676.8
country/DZA,1993,1707291364.2
country/DZA,1995,1740614898.8
country/DZA,1997,1942873885.2
country/DZA,2002,1168568156.4
country/DZA,2003,1057788627.6
country/DZA,2005,889035158.1
country/DZA,2006,610420740.6
country/DZA,2008,161259148.8
country/DZA,1972,51621988.3
country/DZA,1975,216803065.4
country/DZA,1983,1274825605.2
country/DZA,1986,1556191428.9
country/DZA,1991,1789077984.7
country/DZA,1994,1499278722.3
country/DZA,2001,1333200781.6
country/DZA,2004,1002032576.6
country/DZA,2012,103326477.8
country/DZA,1976,347506521.5
country/DZA,1977,416604036.8
country/DZA,1980,1439582075.6
country/DZA,1992,1818438078.2
country/DZA,2000,1552080350.5
country/DZA,2007,202350465.9
country/DZA,2016,21924163.1
country/DZA,2014,37298670.0
country/DZA,2013,50494529.2
country/DZA,2015,79454403.3
country/DZA,2018,28658592.4
country/DZA,2022,21085502.8
country/DZA,2025,10888393.4
country/DZA,2026,8996190.1
country/DZA,2027,7440045.9
country/DZA,2020,23332901.9
country/DZA,2028,6056441.5
country/DZA,2017,30924122.1
country/DZA,2019,25146531.6
country/DZA,2023,17142709.0
country/DZA,2021,22362620.9
country/DZA,2024,13467248.5
country/AGO,1990,100182042.6
country/AGO,1993,25672413.2
country/AGO,1995,79623812.8
country/AGO,2001,125033129.4
country/AGO,2010,256608246.9
country/AGO,2019,2949102732.5
country/AGO,1992,47244334.7
country/AGO,1994,50837526.8
country/AGO,1997,148193062.0
country/AGO,2003,159691596.2
country/AGO,2004,166038008.0
country/AGO,2021,2231850412.4
country/AGO,2027,1073592554.0
country/AGO,1989,101689849.5
country/AGO,1991,103054294.1
country/AGO,1996,292960576.2
country/AGO,1998,202436728.2
country/AGO,2000,149432202.3
country/AGO,1999,113598000.0
country/AGO,2002,140036285.1
country/AGO,2008,443527033.6
country/AGO,2009,460222997.9
country/AGO,2011,287300100.6
country/AGO,2012,767676424.2
country/AGO,2013,1050508004.6
country/AGO,2014,1324655407.7
country/AGO,2018,2809019012.3
country/AGO,2020,2589681622.1
country/AGO,2022,2247488047.3
country/AGO,2023,2078926871.9
country/AGO,2024,1813137483.8
country/AGO,2025,1577492974.5
country/AGO,2028,780541652.4
country/AGO,2005,256850039.5
country/AGO,2006,820592855.0
country/AGO,2007,578933022.4
country/AGO,2015,1475518760.2
country/AGO,2016,2597078341.7
country/AGO,2017,1676382840.1
country/AGO,2026,1245784722.7
country/ARG,1970,341519673.5
country/ARG,1973,466352443.4
country/ARG,1974,519031214.0
country/ARG,1978,765078596.1
country/ARG,1983,2423460581.9
country/ARG,1987,3665980081.9
country/ARG,2016,13403945755.7
country/ARG,1976,478659911.3
country/ARG,1977,562009143.1
country/ARG,1989,1531431553.5
country/ARG,1991,2374998819.1
country/ARG,2002,1236726921.5
country/ARG,2004,1594847706.1
country/ARG,2005,2169518706.1
country/ARG,2008,3683779224.6
country/ARG,2013,3481231597.3
country/ARG,2017,13900449992.6
country/ARG,1971,346823899.4
country/ARG,1975,501710848.0
country/ARG,1980,1345510731.7
country/ARG,1982,2438765695.4
country/ARG,1986,3714999233.9
country/ARG,1988,2744934161.6
country/ARG,1994,3143232009.1
country/ARG,1996,4660187930.6
country/ARG,1997,5690556943.7
country/ARG,1998,7071731352.9
country/ARG,2000,9936372667.5
country/ARG,2001,3756853475.7
country/ARG,2009,3365678477.0
country/ARG,2010,3788837036.0
country/ARG,2015,6076346958.5
country/ARG,2018,13384571600.5
country/ARG,1972,371866033.8
country/ARG,1979,967828945.7
country/ARG,1981,2051355011.7
country/ARG,1984,3287262015.6
country/ARG,1985,4403649833.7
country/ARG,1990,2218493006.4
country/ARG,1992,2411495311.4
country/ARG,1993,2487144447.5
country/ARG,1995,4329497487.4
country/ARG,1999,8749803924.9
country/ARG,2003,1279292278.1
country/ARG,2006,3020394020.1
country/ARG,2007,2960445741.1
country/ARG,2011,3394275400.2
country/ARG,2012,3531791145.6
country/ARG,2014,6756782305.8
country/ARG,2019,11498205850.9
country/ARG,2023,3100537355.2
country/ARG,2020,5607823968.2
country/ARG,2021,3308314246.4
country/ARG,2027,1627103628.6
country/ARG,2028,1433283286.5
country/ARG,2022,3278243610.3
country/ARG,2024,2485536172.7
country/ARG,2025,2252034605.9
country/ARG,2026,2095583406.2
country/ARM,1996,6630574.1
country/ARM,1999,14319093.1
country/ARM,2007,90769288.7
country/ARM,2009,79000759.3
country/ARM,2010,60086414.4
country/ARM,2011,128442316.5
country/ARM,2017,237972426.9
country/ARM,2019,362200792.1
country/ARM,2023,303783378.9
country/ARM,2024,249793670.8
country/ARM,2026,131221547.7
country/ARM,2028,85116911.9
country/ARM,2001,16537655.9
country/ARM,2004,39345931.7
country/ARM,2008,69542792.3
country/ARM,2013,126036508.4
country/ARM,2016,223556990.9
country/ARM,2018,268869417.0
country/ARM,2022,361694330.8
country/ARM,2025,187990243.3
country/ARM,2027,105265093.8
country/ARM,1993,1358956.5
country/ARM,1994,4440172.1
country/ARM,1998,15407020.5
country/ARM,2002,24064639.6
country/ARM,2005,23237432.8
country/ARM,2006,58544426.9
country/ARM,2014,176499114.3
country/ARM,2015,198713324.3
country/ARM,1995,6734548.9
country/ARM,1997,12512117.4
country/ARM,2000,9405342.5
country/ARM,2003,18032422.2
country/ARM,2012,127931841.2
country/ARM,2020,319677821.6
country/ARM,2021,332910121.6
country/AZE,2002,14409630.6
country/AZE,2003,16982226.3
country/AZE,2004,19678937.0
country/AZE,2005,26850386.1
country/AZE,2007,78640381.3
country/AZE,2008,89576667.2
country/AZE,2009,67189495.2
country/AZE,2010,78235318.2
country/AZE,2011,234824891.0
country/AZE,2012,304734497.1
country/AZE,2013,320555932.7
country/AZE,2018,537863691.5
country/AZE,2021,410595533.9
country/AZE,2026,132728155.3
country/AZE,1995,8692412.0
country/AZE,1997,11645616.1
country/AZE,1998,11210735.9
country/AZE,1999,14856610.9
country/AZE,2001,22478210.8
country/AZE,2006,38915663.5
country/AZE,2017,442820473.3
country/AZE,2019,495622650.3
country/AZE,2023,365549390.7
country/AZE,2025,231028644.8
country/AZE,2027,51612312.0
country/AZE,1996,4323000.0
country/AZE,2016,402614970.7
country/AZE,2022,380973525.6
country/AZE,2028,42028116.8
country/AZE,2000,37106117.8
country/AZE,2014,277089770.3
country/AZE,2015,293879295.4
country/AZE,2020,539842609.3
country/AZE,2024,305877572.1
country/BGD,1973,3964217.7
country/BGD,1978,33986453.5
country/BGD,1981,51161717.7
country/BGD,1983,63407289.1
country/BGD,1984,71152100.4
country/BGD,1985,83461193.2
country/BGD,1990,145359019.4
country/BGD,1997,164684317.3
country/BGD,2000,165394588.3
country/BGD,2003,159106293.8
country/BGD,2006,167475611.2
country/BGD,2007,187283453.3
country/BGD,2008,216850440.7
country/BGD,2009,207630995.9
country/BGD,2010,203313078.5
country/BGD,2012,304832371.1
country/BGD,2017,553144154.7
country/BGD,2022,1167840917.7
country/BGD,1974,9451132.4
country/BGD,1979,37592069.7
country/BGD,1980,42349438.3
country/BGD,1994,165369362.3
country/BGD,1999,166405729.0
country/BGD,2015,330936665.3
country/BGD,2018,640895569.6
country/BGD,2019,808498173.9
country/BGD,2024,1322696206.7
country/BGD,2025,1301252212.1
country/BGD,2026,1249294026.5
country/BGD,1975,17699552.9
country/BGD,1988,135994196.6
country/BGD,1995,167287728.6
country/BGD,1998,155303044.9
country/BGD,2001,158195010.3
country/BGD,2004,175350141.3
country/BGD,2005,198853729.3
country/BGD,2011,262489531.9
country/BGD,2014,360388027.6
country/BGD,2016,376628379.5
country/BGD,2020,862566255.5
country/BGD,2021,1087667757.6
country/BGD,2023,1288480299.5
country/BGD,1976,23744640.3
country/BGD,1977,27461994.7
country/BGD,1982,56611434.1
country/BGD,1986,99511968.2
country/BGD,1987,128939595.2
country/BGD,1989,135712065.3
country/BGD,1991,145778103.8
country/BGD,1992,134850340.6
country/BGD,1993,146508973.0
country/BGD,1996,188512787.1
country/BGD,2002,157257109.5
country/BGD,2013,315257892.0
country/BGD,2027,1181835481.1
country/BGD,2028,1101092577.7
country/BLR,1997,52442834.5
country/BLR,1998,40422427.1
country/BLR,2004,40891961.8
country/BLR,2006,69785871.4
country/BLR,2008,238102453.3
country/BLR,2015,980028638.3
country/BLR,2023,1031498698.8
country/BLR,2026,561800413.4
country/BLZ,1970,10800.0
country/BLZ,1984,3375964.0
country/BLZ,1985,5872627.1
country/BLZ,1993,5776451.6
country/BLZ,1996,11095299.1
country/BLZ,1997,9360265.6
country/BLZ,1998,15107677.0
country/BLZ,1999,18626062.9
country/BLZ,2000,31606876.9
country/BLZ,2008,60172146.5
country/BLZ,2011,58851248.8
country/BLZ,2012,48989287.4
country/BLZ,2025,29596274.0
country/BLZ,2026,27419763.3
country/BLR,1999,40402075.3
country/BLR,2000,38658208.1
country/BLR,2005,54289085.6
country/BLR,2007,81851583.8
country/BLR,2009,185781616.7
country/BLR,2011,571887661.8
country/BLR,2012,850875431.4
country/BLR,2013,783126610.3
country/BLR,2025,704634948.3
country/BLR,1993,10572449.7
country/BLR,1996,37424387.2
country/BLR,2002,36533374.4
country/BLR,2003,32542341.6
country/BLR,2017,1109519731.1
country/BLR,2020,1282243050.9
country/BLR,2024,863484605.9
country/BLR,2028,318638514.6
country/BLZ,1974,240921.1
country/BLZ,1977,255096.2
country/BLZ,1980,895428.8
country/BLZ,1989,5950354.4
country/BLZ,1991,4921666.1
country/BLZ,1992,5420204.4
country/BLZ,1995,9870770.5
country/BLZ,2002,47082623.8
country/BLZ,2005,72864459.5
country/BLZ,2014,44119603.1
country/BLZ,2016,48337498.0
country/BLZ,2017,47676619.1
country/BLZ,2018,49062655.4
country/BLZ,2019,53517556.4
country/BLZ,2020,34443726.4
country/BLZ,2021,19365060.5
country/BLZ,2022,40336121.8
country/BLZ,1987,3967441.8
country/BLZ,1990,5608568.7
country/BLZ,2001,45990779.5
country/BLZ,2003,65070207.5
country/BLZ,2004,72459213.6
country/BLZ,2006,64431008.4
country/BLZ,2009,56449277.5
country/BLZ,2010,58092994.2
country/BLZ,2015,45966136.1
country/BLZ,2023,34402482.2
country/BLZ,2024,31921949.9
country/BLR,1994,22359794.4
country/BLR,1995,58820228.5
country/BLR,2001,47259986.4
country/BLR,2010,207999211.6
country/BLR,2014,885083463.6
country/BLR,2016,964400485.9
country/BLR,2018,1287786069.2
country/BLR,2019,1307279903.7
country/BLR,2021,1239537257.6
country/BLR,2022,1213980735.8
country/BLR,2027,446462580.0
country/BLZ,1971,10143.8
country/BLZ,1972,10007.3
country/BLZ,1973,284451.5
country/BLZ,1975,263068.6
country/BLZ,1976,199977.3
country/BLZ,1978,307754.6
country/BLZ,1979,563088.9
country/BLZ,1981,1769250.0
country/BLZ,1982,2510671.6
country/BLZ,1983,2591002.4
country/BLZ,1986,4750566.9
country/BLZ,1988,4024891.4
country/BLZ,1994,7211018.3
country/BLZ,2007,64029844.7
country/BLZ,2013,29975712.9
country/BLZ,2027,25508440.2
country/BLZ,2028,23667811.4
country/BEN,1970,368670.6
country/BEN,1971,971054.4
country/BEN,1976,937621.9
country/BEN,1979,3080523.8
country/BEN,1990,13038796.6
country/BEN,1993,12133829.9
country/BEN,1997,17417288.9
country/BEN,2000,16799519.6
country/BEN,2002,22332851.5
country/BEN,2005,14275868.9
country/BEN,2007,10582943.7
country/BEN,2016,27911823.8
country/BEN,2019,76743584.6
country/BEN,2021,105393248.1
country/BEN,2027,240734701.9
country/BEN,1975,820603.5
country/BEN,1987,15112311.8
country/BEN,1995,20661592.5
country/BEN,1998,20703948.9
country/BEN,2006,12413319.2
country/BEN,2009,11928696.1
country/BEN,2011,13321457.9
country/BEN,2015,24169542.7
country/BEN,2018,40121739.5
country/BEN,2023,272234365.3
country/BEN,2024,277162244.6
country/BEN,1972,580092.6
country/BEN,1973,434863.3
country/BEN,1974,796784.9
country/BEN,1977,862521.1
country/BEN,1978,1987925.0
country/BEN,1983,13673358.2
country/BEN,1984,17208495.0
country/BEN,1985,13925285.8
country/BEN,1996,15542959.4
country/BEN,1999,20085257.3
country/BEN,2001,14199998.3
country/BEN,2003,11739182.6
country/BEN,2008,10045767.7
country/BEN,2012,16145795.1
country/BEN,2013,18624881.1
country/BEN,2017,32686421.6
country/BEN,2028,230080314.5
country/BEN,1980,2906394.0
country/BEN,1981,3108815.4
country/BEN,1982,5981338.8
country/BEN,1986,21931600.1
country/BEN,1988,7599601.4
country/BEN,1989,12120434.3
country/BEN,1991,12300886.1
country/BEN,1992,10628560.2
country/BEN,1994,18424278.9
country/BEN,2004,13701601.2
country/BEN,2010,13143066.8
country/BEN,2014,24030541.5
country/BEN,2020,111115439.8
country/BEN,2022,197750451.5
country/BEN,2025,269183411.2
country/BEN,2026,255531969.6
country/BTN,1984,32808.6
country/BTN,1989,2297850.2
country/BTN,1996,2608757.9
country/BTN,2004,5170857.9
country/BTN,1999,1997746.2
country/BTN,2008,38024399.8
country/BTN,2009,34437689.7
country/BTN,2010,40746951.0
country/BTN,2014,40561488.2
country/BTN,2015,37236759.9
country/BTN,2017,36107598.2
country/BTN,2018,35762311.8
country/BTN,2020,20596713.8
country/BTN,2021,45292353.2
country/BTN,2026,205631897.0
country/BTN,2027,190106701.9
country/BTN,1983,6414.8
country/BTN,1985,28547.2
country/BTN,1987,515456.5
country/BTN,1988,666761.9
country/BTN,1990,2045093.6
country/BTN,1991,1930453.2
country/BTN,1992,1766954.3
country/BTN,1995,2630339.8
country/BTN,1997,2244857.0
country/BTN,2005,2008980.6
country/BTN,2011,39812462.0
country/BTN,2016,35222384.1
country/BTN,2022,88868363.4
country/BTN,2023,128945148.2
country/BTN,1981,2359.7
country/BTN,1982,3312.8
country/BTN,1986,153340.4
country/BTN,1993,2375241.6
country/BTN,1994,2433125.4
country/BTN,1998,2148787.5
country/BTN,2000,1820735.6
country/BTN,2001,1726853.3
country/BTN,2002,1924338.7
country/BTN,2003,2327671.1
country/BTN,2006,3404769.4
country/BTN,2007,6900552.0
country/BTN,2012,61762781.6
country/BTN,2013,40166507.5
country/BTN,2019,32223860.4
country/BTN,2024,159783978.1
country/BTN,2025,150587285.8
country/BTN,2028,175042892.1
country/BOL,1972,14054691.0
country/BOL,1980,174912992.4
country/BOL,1982,192502407.2
country/BOL,1993,129185465.1
country/BOL,1998,144294739.2
country/BOL,2004,125009471.7
country/BOL,2015,169585359.6
country/BOL,2019,399681298.3
country/BOL,2020,391419415.8
country/BOL,2023,348279513.7
country/BOL,2025,308642695.5
country/BOL,1971,9889222.8
country/BOL,1970,11179620.2
country/BOL,1981,181460757.2
country/BOL,1985,159078873.4
country/BOL,1989,95440738.4
country/BOL,1990,119059251.8
country/BOL,1996,165165806.9
country/BOL,1997,191046979.1
country/BOL,1999,109339570.8
country/BOL,2001,168896184.5
country/BOL,2002,100880107.6
country/BOL,2003,116876799.3
country/BOL,2006,203539831.8
country/BOL,2007,194441687.5
country/BOL,2013,115454674.3
country/BOL,2016,211452254.5
country/BOL,2021,332319163.6
country/BOL,2027,271163290.7
country/BOL,1974,20487173.2
country/BOL,1978,91296519.4
country/BOL,1979,130988544.1
country/BOL,1991,120369098.6
country/BOL,1992,111308485.3
country/BOL,1994,149922449.5
country/BOL,2005,158918527.4
country/BOL,2008,175825063.7
country/BOL,2009,119219731.2
country/BOL,2010,75850147.7
country/BOL,2012,80638906.7
country/BOL,2017,283256232.4
country/BOL,2018,345828428.8
country/BOL,2022,366928167.0
country/BOL,2024,321868158.1
country/BOL,2026,290678384.8
country/BOL,2028,230039568.8
country/BOL,1973,18914012.5
country/BOL,1975,27631103.3
country/BOL,1976,41450232.1
country/BOL,1977,62515410.2
country/BOL,1983,207208655.1
country/BOL,1984,215356474.4
country/BOL,1986,100332091.3
country/BOL,1987,78551294.1
country/BOL,1988,98708703.8
country/BOL,1995,157152624.1
country/BOL,2000,160222263.5
country/BOL,2011,77894413.5
country/BOL,2014,157458352.2
country/BIH,1999,139138179.3
country/BIH,2008,256505750.5
country/BIH,2010,176824551.2
country/BIH,2012,162363368.4
country/BIH,2015,132484163.0
country/BIH,2018,122308324.0
country/BIH,2021,86985523.0
country/BIH,2023,205423418.4
country/BIH,2024,156697677.3
country/BIH,2009,216723955.4
country/BIH,2017,230514238.4
country/BIH,2019,117406091.9
country/BIH,2026,102319965.7
country/BIH,2028,49867443.8
country/BIH,2005,136289102.6
country/BIH,2006,175768573.1
country/BIH,2007,216991871.2
country/BIH,2013,147676942.0
country/BIH,2016,167064940.8
country/BIH,2022,262212159.5
country/BIH,2000,119353232.9
country/BIH,2001,97522145.3
country/BIH,2002,77102553.5
country/BIH,2003,88404463.9
country/BIH,2004,119531146.7
country/BIH,2011,166556217.4
country/BIH,2014,164088442.5
country/BIH,2020,106214592.2
country/BIH,2025,127228512.7
country/BIH,2027,66726824.4
country/BWA,1971,647160.1
country/BWA,1974,3026463.5
country/BWA,1979,5778268.3
country/BWA,1980,6668470.4
country/BWA,1981,6770981.3
country/BWA,1990,38632819.8
country/BWA,1994,30281156.9
country/BWA,2000,15239479.8
country/BWA,2002,15156904.1
country/BWA,2004,10870227.9
country/BWA,2006,10230947.9
country/BWA,2009,9063875.4
country/BWA,2010,17588492.7
country/BWA,2017,29454728.6
country/BWA,2020,31991125.2
country/BWA,2022,11845882.4
country/BWA,2023,11265227.5
country/BWA,2028,4762911.8
country/BWA,1970,448700.0
country/BWA,1972,1244980.5
country/BWA,1973,2204927.0
country/BWA,1976,3182854.6
country/BWA,1983,12923767.9
country/BWA,1989,35080256.8
country/BWA,2005,11729134.0
country/BWA,2012,21639625.2
country/BWA,2013,33320873.0
country/BWA,2015,20374871.8
country/BWA,2024,10289498.5
country/BWA,2025,9231432.2
country/BWA,2026,7790209.9
country/BWA,2027,6255892.4
country/BWA,1975,3364747.5
country/BWA,1977,3466322.1
country/BWA,1978,4566373.7
country/BWA,1982,9807151.4
country/BWA,1987,35204970.8
country/BWA,1988,36103628.6
country/BWA,1993,32718919.2
country/BWA,1996,78045149.7
country/BWA,1997,27698176.3
country/BWA,1999,20721326.7
country/BWA,2003,11444756.3
country/BWA,2007,9581730.5
country/BWA,2011,17916045.2
country/BWA,2016,18379239.4
country/BWA,2018,30874973.9
country/BWA,2021,14482195.6
country/BWA,1984,15270235.7
country/BWA,1985,20561725.9
country/BWA,1986,27868978.9
country/BWA,1991,34741158.8
country/BWA,1992,35162791.3
country/BWA,1995,27255797.8
country/BWA,1998,22802411.9
country/BWA,2001,11862545.0
country/BWA,2008,7671293.6
country/BWA,2014,20029557.2
country/BWA,2019,40361515.4
country/BRA,1974,1485659350.8
country/BRA,1975,2096245661.1
country/BRA,1977,2073319383.6
country/BRA,1978,3215262060.0
country/BRA,1980,6402361561.3
country/BRA,1985,7354260297.6
country/BRA,1990,2048078003.2
country/BRA,1994,4698411856.7
country/BRA,1996,8604372701.9
country/BRA,2000,15297309168.9
country/BRA,2003,13905586939.9
country/BRA,2014,16449632687.0
country/BRA,2020,19054728924.4
country/BRA,2023,14854655205.2
country/BRA,2024,13632494412.0
country/BRA,2025,12103897405.1
country/BRA,1976,1767064451.4
country/BRA,1983,7985613617.9
country/BRA,1988,11469049108.3
country/BRA,1992,2942129704.2
country/BRA,1999,15986785828.7
country/BRA,2004,11588343998.7
country/BRA,2008,15045549429.1
country/BRA,2009,13554107033.5
country/BRA,2011,16614967772.8
country/BRA,2013,17882174695.8
country/BRA,2016,21605414459.0
country/BRA,2019,25701099317.2
country/BRA,2021,28688656326.2
country/BRA,1971,304756778.7
country/BRA,1979,4801871416.1
country/BRA,1984,7544132707.5
country/BRA,1986,6351736584.1
country/BRA,1991,2056940239.1
country/BRA,1998,13969651366.4
country/BRA,2005,10314156689.5
country/BRA,2010,13156773814.8
country/BRA,2012,14279592778.0
country/BRA,2017,18466925309.4
country/BRA,2018,18681305521.9
country/BRA,1970,229447728.1
country/BRA,1972,433734166.8
country/BRA,1973,758214395.6
country/BRA,1981,8091189722.6
country/BRA,1982,9488397471.5
country/BRA,1987,6211631226.8
country/BRA,1989,3882118291.0
country/BRA,1993,2997063857.5
country/BRA,1995,8736758955.7
country/BRA,1997,10789305920.8
country/BRA,2001,15706398709.7
country/BRA,2002,13723178768.8
country/BRA,2006,13160120745.0
country/BRA,2007,13033998923.8
country/BRA,2015,17723595713.5
country/BRA,2022,16438237736.1
country/BRA,2026,11109476671.4
country/BRA,2027,9640282565.0
country/BRA,2028,8118076850.6
country/BGR,1991,91150531.6
country/BGR,1995,501010710.9
country/BGR,2000,452511222.2
country/BGR,2002,305940454.7
country/BGR,2004,423578666.6
country/BGR,2010,609453193.8
country/BGR,2013,867983723.0
country/BGR,2017,1712605241.8
country/BGR,2023,941208323.8
country/BGR,2025,479602736.0
country/BGR,2028,223391979.4
country/BGR,1981,43070510.3
country/BGR,1984,204459625.7
country/BGR,1989,624003938.6
country/BGR,1996,498641755.1
country/BGR,1998,471214738.6
country/BGR,1999,354714144.6
country/BGR,2001,456902015.4
country/BGR,2003,395100845.2
country/BGR,2007,820167658.9
country/BGR,2014,729261509.3
country/BGR,2016,2169895366.3
country/BGR,2020,1020976134.4
country/BGR,1983,109230857.0
country/BGR,1987,403528866.4
country/BGR,1988,455592377.3
country/BGR,1992,161847167.4
country/BGR,2005,479099074.6
country/BGR,2006,502719970.1
country/BGR,2008,929084428.3
country/BGR,2012,754707618.5
country/BGR,2015,2105771474.4
country/BGR,2018,1387564834.0
country/BGR,2019,1179510169.4
country/BGR,2022,1158439566.5
country/BGR,1982,73214932.0
country/BGR,1985,214915268.2
country/BGR,1986,295603445.7
country/BGR,1990,451655729.9
country/BGR,1993,187495290.8
country/BGR,1994,112954472.6
country/BGR,1997,456170260.6
country/BGR,2009,800207157.7
country/BGR,2011,789441468.9
country/BGR,2021,1166426370.4
country/BGR,2024,734631047.5
country/BGR,2026,374737307.4
country/BGR,2027,308192282.6
country/BFA,1971,547735.0
country/BFA,1979,4491941.1
country/BFA,1981,6123855.5
country/BFA,1987,14309601.4
country/BFA,1988,13541877.8
country/BFA,1997,15436486.4
country/BFA,1998,15528286.4
country/BFA,2002,14130404.0
country/BFA,2013,338008009.1
country/BFA,2015,519876277.7
country/BFA,2025,73657351.3
country/BFA,2026,67470288.4
country/BFA,1974,1091003.3
country/BFA,1975,1516197.4
country/BFA,1976,1586754.6
country/BFA,1978,2637789.9
country/BFA,1983,7602262.8
country/BFA,1985,9843053.3
country/BFA,1989,15728334.2
country/BFA,1992,14079973.4
country/BFA,1993,16030736.9
country/BFA,1999,17106205.8
country/BFA,2001,9811061.7
country/BFA,2003,14902876.4
country/BFA,2007,35871124.3
country/BFA,2012,264439542.7
country/BFA,2016,401398046.9
country/BFA,2017,513964779.8
country/BFA,2019,347833835.5
country/BFA,2020,273977621.4
country/BFA,2027,60572537.2
country/BFA,2028,53219631.6
country/BFA,1973,774458.4
country/BFA,1980,6284386.3
country/BFA,1982,7514263.1
country/BFA,1984,5931214.0
country/BFA,1991,15038775.1
country/BFA,1994,14719259.0
country/BFA,2004,15739969.3
country/BFA,2005,16083762.5
country/BFA,2011,202894587.7
country/BFA,2014,409418683.8
country/BFA,2022,74629043.1
country/BFA,2023,79214600.6
country/BFA,2024,77860967.9
country/BFA,1970,367139.6
country/BFA,1972,541516.2
country/BFA,1977,1715067.9
country/BFA,1986,11881207.8
country/BFA,1990,9835356.5
country/BFA,1995,17752741.7
country/BFA,1996,15312175.1
country/BFA,2000,11978561.5
country/BFA,2006,15363445.5
country/BFA,2008,68221759.6
country/BFA,2009,104025650.0
country/BFA,2010,148796594.5
country/BFA,2018,581583627.2
country/BFA,2021,54927565.6
country/BDI,1978,940323.9
country/BDI,1981,1648812.2
country/BDI,1987,15411471.6
country/BDI,1996,8936757.4
country/BDI,1999,6321102.1
country/BDI,2001,4515572.4
country/BDI,2006,5055931.2
country/BDI,2007,5659314.9
country/BDI,2009,3581188.4
country/BDI,2013,3160780.5
country/BDI,2019,4437596.1
country/BDI,2023,5518099.6
country/BDI,2026,7262818.2
country/BDI,2027,6974661.4
country/BDI,1973,190565.5
country/BDI,1980,1879669.5
country/BDI,1984,8054309.4
country/BDI,1985,8764705.9
country/BDI,1986,12284055.5
country/BDI,1992,14106923.2
country/BDI,1993,11967407.6
country/BDI,1994,12403689.1
country/BDI,2000,4492864.2
country/BDI,2004,16231072.2
country/BDI,2008,7397716.5
country/BDI,2010,1416108.5
country/BDI,2014,3846263.4
country/BDI,2018,3142791.9
country/BDI,2020,3852201.3
country/BDI,1970,191219.9
country/BDI,1971,192998.6
country/BDI,1972,285992.3
country/BDI,1974,191810.4
country/BDI,1976,486390.2
country/BDI,1982,2268820.0
country/BDI,1988,16773139.8
country/BDI,1990,12162538.1
country/BDI,1995,11001065.1
country/BDI,1997,8658383.6
country/BDI,2002,4593328.0
country/BDI,2005,11930526.6
country/BDI,2015,3687961.8
country/BDI,2024,6886486.2
country/BDI,1975,414926.3
country/BDI,1977,645072.5
country/BDI,1979,1312668.9
country/BDI,1983,3284929.8
country/BDI,1989,15017461.0
country/BDI,1991,12249960.2
country/BDI,1998,7935825.1
country/BDI,2003,6617858.7
country/BDI,2011,2026706.6
country/BDI,2012,2998263.3
country/BDI,2016,3732836.7
country/BDI,2017,2417615.7
country/BDI,2021,5651036.2
country/BDI,2022,3951990.2
