dcid,year,HivDeathsPeople
country/DZA,1997,100.0
country/DZA,1998,100.0
country/DZA,2012,500.0
country/DZA,2013,500.0
country/DZA,2016,500.0
country/DZA,2017,500.0
country/DZA,2021,500.0
country/DZA,2022,500.0
country/AGO,1990,1600.0
country/AGO,1995,3900.0
country/AGO,1998,6200.0
country/AGO,2005,13000.0
country/AGO,2010,16000.0
country/AGO,2018,17000.0
country/AGO,2022,13000.0
country/ARG,1992,1000.0
country/ARG,1996,2000.0
country/ARG,1998,2100.0
country/ARG,2000,1500.0
country/ARG,2001,1400.0
country/ARG,2004,1500.0
country/ARG,2007,1500.0
country/ARG,2013,1300.0
country/ARG,2014,1300.0
country/ARG,2015,1400.0
country/ARG,2017,1400.0
country/ARG,2020,1400.0
country/ARG,2022,1300.0
country/ARM,1991,100.0
country/ARM,1990,100.0
country/ARM,1995,100.0
country/ARM,2010,100.0
country/ARM,2015,100.0
country/ARM,2016,100.0
country/AUS,1994,1000.0
country/AUS,1999,500.0
country/AUS,2003,100.0
country/AUS,2004,500.0
country/AUS,2008,500.0
country/AUS,2011,100.0
country/AUS,2012,100.0
country/AUS,2015,100.0
country/AUS,2018,100.0
country/AZE,1991,100.0
country/AZE,1993,100.0
country/AZE,1997,100.0
country/AZE,1998,100.0
country/AZE,2001,500.0
country/AZE,2004,500.0
country/AZE,2012,500.0
country/AZE,2016,500.0
country/AZE,2022,100.0
country/BHS,1990,100.0
country/BHS,1992,500.0
country/BHS,2003,500.0
country/BHS,2004,500.0
country/BHS,2006,500.0
country/BHS,2007,500.0
country/BHS,2008,500.0
country/BHS,2009,500.0
country/BHS,2016,500.0
country/BGD,1990,100.0
country/BGD,1997,100.0
country/BGD,1999,100.0
country/BGD,2000,100.0
country/BGD,2004,500.0
country/BGD,2007,500.0
country/BGD,2010,500.0
country/BGD,2013,500.0
country/BGD,2017,1000.0
country/BGD,2018,1000.0
country/BGD,2019,1000.0
country/BRB,1993,100.0
country/BRB,1994,100.0
country/BRB,2000,100.0
country/BRB,2001,100.0
country/BRB,2002,500.0
country/BRB,2003,100.0
country/BRB,2014,100.0
country/BRB,2019,100.0
country/BRB,2022,100.0
country/BLR,1991,100.0
country/BLR,1996,100.0
country/BLR,1998,100.0
country/BLR,2002,500.0
country/BLR,2003,500.0
country/BLR,2004,500.0
country/BLR,2010,500.0
country/BLR,2012,500.0
country/BLR,2018,500.0
country/BLR,2019,500.0
country/BEL,1996,500.0
country/BEL,1997,100.0
country/ARM,1992,100.0
country/ARM,1999,100.0
country/ARM,2000,100.0
country/ARM,2001,100.0
country/ARM,2003,100.0
country/ARM,2005,100.0
country/ARM,2007,100.0
country/ARM,2009,100.0
country/ARM,2014,100.0
country/ARM,2017,100.0
country/ARM,2019,100.0
country/ARM,2020,100.0
country/ARM,2021,100.0
country/AUS,1997,500.0
country/AUS,2000,100.0
country/AUS,2014,100.0
country/AZE,1994,100.0
country/AZE,1995,100.0
country/AZE,2000,100.0
country/AZE,2010,500.0
country/AZE,2018,500.0
country/AZE,2019,100.0
country/BHS,1993,500.0
country/BHS,2000,500.0
country/BHS,2001,500.0
country/BHS,2002,500.0
country/BHS,2011,500.0
country/BHS,2014,500.0
country/BHS,2019,100.0
country/BGD,1991,100.0
country/BGD,1996,100.0
country/BGD,2006,500.0
country/BGD,2009,500.0
country/BGD,2016,1000.0
country/BGD,2020,1000.0
country/BRB,1990,100.0
country/BRB,1995,100.0
country/BRB,1997,100.0
country/BRB,2007,100.0
country/BRB,2008,100.0
country/BRB,2011,100.0
country/BRB,2012,100.0
country/BRB,2013,100.0
country/BLR,1990,100.0
country/BLR,1995,100.0
country/BLR,1999,100.0
country/BLR,2001,100.0
country/BLR,2011,500.0
country/BLR,2013,500.0
country/BLR,2014,500.0
country/BLR,2015,500.0
country/BLR,2021,500.0
country/BEL,1991,500.0
country/BEL,2003,100.0
country/BEL,2005,100.0
country/BEL,2013,100.0
country/BEL,2020,100.0
country/BEL,2021,100.0
country/BEL,2022,100.0
country/BLZ,1991,100.0
country/BLZ,1994,100.0
country/BLZ,2000,100.0
country/BLZ,2002,100.0
country/BLZ,2009,100.0
country/BEL,2000,100.0
country/BEL,2007,100.0
country/BEL,2012,100.0
country/BEL,2015,100.0
country/BEL,2016,100.0
country/BEL,2017,100.0
country/BLZ,1990,100.0
country/BLZ,1993,100.0
country/BLZ,1997,100.0
country/BLZ,1999,100.0
country/BLZ,2001,100.0
country/BLZ,2008,100.0
country/BLZ,2015,500.0
country/BLZ,2017,500.0
country/BLZ,2019,500.0
country/BLZ,2020,100.0
country/BLZ,2021,100.0
country/BEN,1996,2900.0
country/BEN,1997,3400.0
country/BEN,1999,4200.0
country/BEN,2000,4500.0
country/BEN,2001,4900.0
country/BEN,2004,5700.0
country/BEN,2008,4600.0
country/BEN,2013,2800.0
country/BEN,2019,2400.0
country/BEN,2022,1900.0
country/BTN,1990,100.0
country/BTN,1991,100.0
country/BTN,1994,100.0
country/BTN,1995,100.0
country/BTN,1999,100.0
country/BTN,2000,100.0
country/BTN,2002,100.0
country/BTN,2005,100.0
country/BTN,2006,100.0
country/BTN,2012,100.0
country/BTN,2014,100.0
country/BTN,2017,100.0
country/BTN,2018,100.0
country/BOL,1993,500.0
country/BOL,1994,500.0
country/BOL,2001,1000.0
country/BOL,2006,1200.0
country/BOL,2007,1300.0
country/BOL,2012,1300.0
country/BOL,2013,1200.0
country/BWA,1990,1200.0
country/BWA,1993,4100.0
country/BWA,1994,5600.0
country/BWA,1997,11000.0
country/BWA,2012,5100.0
country/BWA,2013,4900.0
country/BWA,2022,3800.0
country/BRA,1994,22000.0
country/BRA,1996,26000.0
country/BRA,1997,18000.0
country/BRA,2008,15000.0
country/BRA,2011,16000.0
country/BRA,2019,14000.0
country/BGR,1991,100.0
country/BGR,1992,100.0
country/BGR,1994,100.0
country/BGR,1996,100.0
country/BLZ,2012,100.0
country/BLZ,2016,500.0
country/BLZ,2022,100.0
country/BEN,1991,1100.0
country/BEN,2003,5400.0
country/BEN,2007,6100.0
country/BEN,2009,3200.0
country/BEN,2010,2800.0
country/BEN,2012,2700.0
country/BEN,2014,3100.0
country/BEN,2015,2900.0
country/BEN,2018,2600.0
country/BEN,2021,2000.0
country/BTN,1993,100.0
country/BTN,1997,100.0
country/BTN,2001,100.0
country/BTN,2003,100.0
country/BTN,2004,100.0
country/BTN,2007,100.0
country/BTN,2009,100.0
country/BTN,2010,100.0
country/BTN,2011,100.0
country/BTN,2021,100.0
country/BOL,1991,100.0
country/BOL,1992,500.0
country/BOL,1995,500.0
country/BOL,1998,1000.0
country/BOL,1999,1000.0
country/BOL,2000,1000.0
country/BOL,2004,1200.0
country/BOL,2008,1300.0
country/BOL,2009,1200.0
country/BOL,2019,1000.0
country/BOL,2020,1000.0
country/BWA,2000,16000.0
country/BWA,2001,18000.0
country/BWA,2002,18000.0
country/BWA,2010,6000.0
country/BWA,2020,3900.0
country/BRA,1993,19000.0
country/BRA,1999,14000.0
country/BRA,2009,16000.0
country/BRA,2020,14000.0
country/BGR,1990,100.0
country/BGR,1997,100.0
country/BGR,1998,100.0
country/BGR,1999,100.0
country/BGR,2000,100.0
country/BGR,2005,100.0
country/BGR,2007,100.0
country/BGR,2008,100.0
country/BGR,2015,100.0
country/BGR,2017,100.0
country/BFA,1991,7300.0
country/BFA,1999,13000.0
country/BFA,2002,13000.0
country/BFA,2006,9500.0
country/BFA,2009,7000.0
country/BFA,2021,2800.0
country/BFA,2022,2600.0
country/BDI,1993,10000.0
country/BDI,1994,9100.0
country/BDI,1997,12000.0
country/BDI,2002,12000.0
country/BGR,2001,100.0
country/BGR,2006,100.0
country/BGR,2009,100.0
country/BGR,2010,100.0
country/BGR,2011,100.0
country/BGR,2019,100.0
country/BGR,2022,100.0
country/BFA,1990,6200.0
country/BFA,1992,8400.0
country/BFA,1993,9400.0
country/BFA,1995,11000.0
country/BFA,1996,12000.0
country/BFA,1997,12000.0
country/BFA,2000,13000.0
country/BFA,2001,13000.0
country/BFA,2003,13000.0
country/BFA,2005,11000.0
country/BFA,2012,5600.0
country/BFA,2014,5300.0
country/BFA,2016,4600.0
country/BDI,1990,6400.0
country/BDI,1995,11000.0
country/BDI,2001,12000.0
country/BDI,2004,11000.0
country/BDI,2006,8900.0
country/BDI,2009,6700.0
country/BDI,2010,6100.0
country/BDI,2011,5400.0
country/BDI,2020,1500.0
country/CPV,1991,100.0
country/CPV,1993,100.0
country/CPV,1998,100.0
country/CPV,2003,500.0
country/CPV,2004,500.0
country/CPV,2011,100.0
country/CPV,2013,100.0
country/CPV,2016,100.0
country/CPV,2017,100.0
country/CPV,2019,100.0
country/CPV,2020,100.0
country/CPV,2022,100.0
country/KHM,1992,100.0
country/KHM,1996,1100.0
country/KHM,1997,1600.0
country/KHM,1998,2200.0
country/KHM,2001,4200.0
country/KHM,2003,5100.0
country/KHM,2009,1900.0
country/KHM,2015,2000.0
country/KHM,2017,1700.0
country/CMR,1991,2600.0
country/CMR,1995,8600.0
country/CMR,2000,23000.0
country/CMR,2002,29000.0
country/CMR,2003,31000.0
country/CMR,2004,31000.0
country/CMR,2010,26000.0
country/CMR,2021,12000.0
country/CAN,1990,1600.0
country/CAN,1993,2300.0
country/CAN,1994,2500.0
country/CAN,1996,2200.0
country/CAN,1997,1700.0
country/CAN,2000,1400.0
country/BDI,2007,8300.0
country/BDI,2019,1800.0
country/BDI,2021,1300.0
country/BDI,2022,1300.0
country/CPV,1994,100.0
country/CPV,1996,100.0
country/CPV,1999,500.0
country/CPV,2001,500.0
country/CPV,2005,500.0
country/CPV,2009,100.0
country/CPV,2018,100.0
country/KHM,1990,100.0
country/KHM,1993,500.0
country/KHM,2011,1500.0
country/KHM,2014,1900.0
country/KHM,2019,1400.0
country/KHM,2020,1300.0
country/KHM,2021,1200.0
country/CMR,1990,1800.0
country/CMR,1992,3600.0
country/CMR,1994,6600.0
country/CMR,1999,20000.0
country/CMR,2007,30000.0
country/CMR,2008,28000.0
country/CMR,2016,23000.0
country/CMR,2022,10000.0
country/CAN,1991,1900.0
country/CAN,1992,2100.0
country/CAN,1998,1500.0
country/CAN,2003,1100.0
country/CAN,2016,500.0
country/CAN,2017,500.0
country/CAN,2019,500.0
country/CAN,2020,500.0
country/CAF,1993,5400.0
country/CAF,2005,13000.0
country/CAF,2008,11000.0
country/CAF,2011,9600.0
country/CAF,2012,9500.0
country/CAF,2019,5400.0
country/TCD,1990,1400.0
country/TCD,2007,6800.0
country/TCD,2008,5700.0
country/TCD,2010,4100.0
country/TCD,2011,4200.0
country/TCD,2012,4200.0
country/TCD,2014,4300.0
country/TCD,2021,3000.0
country/COL,1990,1000.0
country/COL,1991,1000.0
country/COL,1994,1600.0
country/COL,2001,4900.0
country/COL,2002,5000.0
country/COL,2004,5300.0
country/COL,2007,4900.0
country/COL,2008,6000.0
country/COL,2009,6500.0
country/COL,2015,2500.0
country/COL,2019,2000.0
country/COL,2022,1500.0
country/COM,1991,100.0
country/COM,1992,100.0
country/COM,1994,100.0
country/COM,1997,100.0
country/CAN,2005,1400.0
country/CAN,2007,1600.0
country/CAN,2010,1000.0
country/CAN,2012,1000.0
country/CAF,1992,4400.0
country/CAF,1994,6400.0
country/CAF,1997,9600.0
country/CAF,1998,11000.0
country/CAF,2000,12000.0
country/CAF,2003,13000.0
country/CAF,2006,13000.0
country/CAF,2007,12000.0
country/CAF,2018,5900.0
country/CAF,2022,4500.0
country/TCD,1993,2900.0
country/TCD,1995,3900.0
country/TCD,1996,4600.0
country/TCD,2002,7400.0
country/TCD,2003,7900.0
country/TCD,2005,8100.0
country/TCD,2013,4200.0
country/COL,1995,2000.0
country/COL,2006,5000.0
country/COL,2014,2900.0
country/COL,2016,2300.0
country/COL,2017,2300.0
country/COL,2018,2400.0
country/COM,1993,100.0
country/COM,1995,100.0
country/COM,2002,100.0
country/COM,2003,100.0
country/COM,2004,100.0
country/COM,2009,100.0
country/COM,2012,100.0
country/COM,2016,100.0
country/COM,2018,100.0
country/COM,2020,100.0
country/COG,1990,2700.0
country/COG,1991,3200.0
country/COG,1996,5200.0
country/COG,1998,5700.0
country/COG,1999,5900.0
country/COG,2001,6500.0
country/COG,2003,6600.0
country/COG,2010,5100.0
country/COG,2013,5800.0
country/COG,2021,7600.0
country/CRI,1990,100.0
country/CRI,1996,500.0
country/CRI,2002,500.0
country/CRI,2004,500.0
country/CRI,2005,500.0
country/CRI,2007,500.0
country/CRI,2012,500.0
country/CRI,2013,500.0
country/HRV,1999,100.0
country/HRV,2001,100.0
country/HRV,2004,100.0
country/HRV,2006,100.0
country/HRV,2008,100.0
country/HRV,2019,100.0
country/CUB,1992,100.0
country/CUB,1997,100.0
country/CUB,2002,500.0
country/CUB,2003,500.0
country/CUB,2011,500.0
country/CYP,1991,100.0
country/CYP,1995,100.0
country/CYP,1998,100.0
country/CYP,1999,100.0
country/CYP,2007,100.0
country/CYP,2013,100.0
country/CYP,2014,100.0
country/CYP,2015,100.0
country/CYP,2017,100.0
country/CZE,1991,100.0
country/CZE,1992,100.0
country/CZE,1995,100.0
country/CZE,1997,100.0
country/CZE,1998,100.0
country/CZE,2001,100.0
country/CZE,2002,100.0
country/CZE,2008,100.0
country/CZE,2009,100.0
country/CZE,2012,100.0
country/CZE,2016,100.0
country/CZE,2017,100.0
country/CZE,2021,100.0
country/CIV,1993,31000.0
country/CIV,1994,36000.0
country/CIV,1996,47000.0
country/CIV,2008,44000.0
country/CIV,2013,26000.0
country/CIV,2015,22000.0
country/CIV,2017,18000.0
country/CIV,2020,11000.0
