dcid,year,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDAfricanDevelopmentBank,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDAfricanDevelopmentFund,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDAsianDevelopmentBank,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDAustria,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDBelgium,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDCanada,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDClimateInvestmentFunds,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDCouncilofEuropeDevelopmentBank,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDEUInstitutions,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDFrance,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDGermany,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDIFAD,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDInterAmericanDevelopmentBank,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDInternationalDevelopmentAssociation,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDItaly,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDJapan,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDKorea,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDNordicDevelopmentFund,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDPoland,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDPortugal,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDSpain,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDUnitedArabEmirates,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDUnitedKingdom
country/AGO,2019,,,,,,,,,,657117.0,,,,,,,,,,,,,
country/AGO,2020,,,,,,,,,,2200460.0,,,,,,,,,,,,,
country/AGO,2021,,,,,,,,,,2389081.0,,,,,,,,,,,,,
country/ALB,2013,,,,,,,,,,,5097808.800000001,,,,,,,,,,,1426626.8,
country/ALB,2014,,,,,,,,,,,10165259.6,,,,,,,,,,,755784.0,
country/ALB,2015,,,,,,,,,,,13774622.0,,,,,,,,,,,3161448.4000000004,
country/ALB,2016,,,,,,,,,,,8728244.8,,,,,,,,,,,6160632.0,
country/ALB,2017,,,,,,,,,,,2758981.6,,,,,,,,,,,,
country/ALB,2018,,,,,,,,,,,5199846.0,,,,,,,,,,,3846448.0,
country/ALB,2019,,,,,,,,,,,8304384.800000001,,,,,,,,,,,4158998.0,
country/ALB,2020,,,,,,,,,,,12904172.8,,,,,,,,,,,434522.0,
country/ALB,2021,,,,,,,,,,,64266944.8,,,,,,,,,,,512932.4,
country/ARG,2017,,,,,,,,,,,,,,,,,,,,,,316000.0,
country/ARG,2018,,,,,,,,,,,,,,,,,,,,,,27224.0,
country/ARG,2020,,,,,,,,,,,,,,,,,,,,,,825483.2000000001,
country/ARG,2021,,,,,,,,,,,,,,,,,,,,,,1501769.6,
country/ARM,2013,,,,,,,,,,,8495624.8,,,,,,,,,,,,
country/ARM,2014,,,,,,,,,,,11586447.200000001,,,,,,,,,,,,
country/ARM,2015,,,,,,,,,,,8418871.6,,,2410193.0,,,,,,,,,
country/ARM,2016,,,,,,,,,,11058277.0,16531282.6,,,4033901.916160808,,,,,,,,,
country/ARM,2017,,,,,,,,,,28181716.0,16272980.4,,,,,,,,,,,,
country/ARM,2018,,,,,,,,,,4248790.4,37442121.800000004,,,,,,,,,,,,
country/ARM,2019,,,,,,,,,,3358334.0,28341875.0,,,,,,,,,,,,
country/ARM,2020,,,,,,,,,,10256410.0,10816709.600000001,,,,,,,,,,,,
country/ARM,2021,,,,,,,,,,18497574.0,29324326.0,,,,,,,,,,,,
country/ATG,2018,,,,,,,,,,,,,,,,,,,,,,1808876.0,
country/ATG,2019,,,,,,,,,,,,,,,,,,,,,,2021236.0,
country/ATG,2021,,,,,,,,,,,,,,,,,,,,,,98012.40000000001,
country/AZE,2013,,,,,,,,,,,3331333.6,,,,,,,,,,,,
country/AZE,2014,,,,,,,,,,,3311198.8,,,,,,,,,,,,
country/AZE,2015,,,,,,,,,,,1770877.5999999999,,,,,,,,,,,,
country/AZE,2016,,,,,,,,,,,3237435.6,,,,,,,,,,,,
country/AZE,2017,,,,,,,,,,,1442854.4000000001,,,,,,,,,,,,
country/AZE,2018,,,,,,,,,,8716738.4,2672804.0,,,,,,,,,,,,
country/AZE,2019,,,,,,,,,,54599512.0,1089344.8,,,,,,,,,,,,
country/AZE,2020,,,,,,,,,,36850014.0,,,,,,,,,,,,,
country/AZE,2021,,,,,,,,,,41861085.0,,,,,,,,,,,,,
country/BEN,2014,,,,,,,,,,,,,,967097.0,,,,,,,,,
country/BEN,2016,,,,,,,,,,,,,,557491.0,,,,,,,,,
country/BEN,2017,,2758123.2,,,,,,,,5636343.0,,,,124580.28,,,,,,,,,
country/BEN,2018,,1853823.9550128006,,,,,,,,,,,,16981956.529600002,,,,,,,,,
country/BEN,2019,,960657.0358083199,,,,,,,,,,,,12944478.6082,,,,,,,,,
country/BEN,2020,,1065063.5999999999,,,,,,,,11907496.2,,,,21867007.6264,,,,,,,,,
country/BEN,2021,,569466.4531737874,,,,,,,532166.5,14851116.0,,,,14459972.8928,,,,410343.0,,,,,
country/BFA,2013,,,,,,,,,,,,,,,,,,,,,,906071.2000000001,
country/BFA,2014,,,,,,,,,,,,,,314530.34,,,,,,,,806968.0,
country/BFA,2015,,,,,,,,,,,,,,401024.7,,,,,,,,549959.2000000001,
country/BFA,2016,,444455.99022039847,,,,,,,,,,,,7652112.46,,,,,,,,33760.0,
country/BFA,2017,,,,,,,,,,26324864.0,,,,826972.76,,,,,,,,,
country/BFA,2018,,308177.541774197,,,384756.80000000005,,111732.0,,,10885209.600000001,,,,11013230.86,,,,,,,,,
country/BFA,2019,,1728.818398232809,,,566927.6,,,,,11642226.2,,,,15771104.63,,,,,,,,,
country/BFA,2020,,7311863.818860052,,,244382.40000000002,,,,,30110685.6,,,,46158257.160000004,,,,,,,,,
country/BFA,2021,,389945.008614342,,,46637.600000000006,,,,,27917311.6,,,,45152720.63538129,,,,,,,,,
country/BGD,2013,,,,,,,1038971.0,,,4866464.0,,,,,881396.4,144373456.0,,,,,,,
country/BGD,2014,,,915429.5248664797,,,,,,,,,,,8425364.33,705833.6000000001,179870096.0,,,,,,,
country/BGD,2015,,,8177684.545331032,,,,,,,,,,,84440831.2,,250018388.0,,,,,,1329703.2000000002,
country/BGD,2016,,,16505969.708864072,,,,,,,,,,,123556274.47,,255414635.0,,,,,,,
country/BGD,2017,,,22441810.60026598,,,,11232914.0,,,,,,,2210087.0,,707416895.6,,,,,,,
country/BGD,2018,,,40042336.48370833,,,,15908990.0,,,,5424794.000000001,,,287336363.31061333,,380878615.40000004,,,,,,,
country/BGD,2019,,,53835920.82108594,,,,,,,8989209.0,5857875.6,,,464232253.12621796,,360381976.8,,,,,,1758780.0,
country/BGD,2020,,,80350061.55557106,,,,,,,10711016.0,14349486.000000002,,,352503131.9004,,381622409.40000004,,,,,,,
country/BGD,2021,,,70313181.2500024,,,,381599.0,,,46297889.800000004,7810615.4,,,319947344.1458,,652117677.6,,,,,,,
country/BIH,2013,,,,,,,,,,,9911076.0,,,,,,,,,,,,
country/BIH,2014,,,,,,,,,,,1685481.0,,,5048017.2,,,,,,,,,
country/BIH,2015,,,,,,,,,,,142734.0,,,18110453.0,,,,,,,,,
country/BIH,2016,,,,,,,,,,,17343696.6,,,38820027.6,,,,,,,,,
country/BIH,2017,,,,,,,,,,,54146043.0,,,,,,,,,,,,
country/BIH,2018,,,,,,,,,1062197.5687,,11904921.6,,,15698493.6,,,,,,,,,
country/BIH,2019,,,,,,,,839584.0,51862.39003498813,,13791422.6,,,13195355.4,,,,,,,,,
country/BIH,2020,,,,,,,,797721.4,14730632.48888773,,40050311.4,,,9154137.0,,,,,,,,,
country/BIH,2021,,,,,,,,,17361123.332756735,,42586229.0,,,1532023.0,,,,,,,,,
country/BLR,2019,,,,,,,,,2350833.9862,,,,,,,,,,,,,,
country/BLR,2020,,,,,,,,,3669515.652702768,,,,,,,,,,,,,,
country/BOL,2013,,,,,,,,,,,339829.60000000003,,,,,,,,,,,,
country/BOL,2014,,,,,,,,,,,616202.4,,9233600.0,,,,,,,,,,
country/BOL,2015,,,,,,,,,,,901474.8,,15678300.0,78133444.4,,,,,,,,,
country/BOL,2016,,,,,,,,,,,1019906.4000000001,,131581482.5,199400.0,,1159438.0,,,,,,,
country/BOL,2017,,,,,,,4081044.0000000005,,,112726863.0,3359428.6,,116720000.0,3750.0,,220719.0,,,,,,,
country/BOL,2018,,,,,,,7452710.0,,,11566151.200000001,4379333.0,,81444378.16,3288864.04,,209282.0,,,,,,,
country/BOL,2019,,,,,,,,,,155496511.0,4099815.0,,,1416353.29,,764940.0,3265341.2000000007,,,,,,
country/BOL,2020,,,,,,,13207095.0,,,17593813.0,1296538.8,,,1812000.0,,1815385.0,1440000.0,,,,,,
country/BOL,2021,,,,,,,,,,23836797.0,1476052.2000000002,,,186740.30000000002,,313718.0,,,,,,,
country/BRA,2013,,,,,,,,,,32902072.0,51138097.800000004,,,,,4567224.0,,,,,,,
country/BRA,2014,,,,,,,,,,132678785.0,321174964.6,,,,,9518695.0,,,,,,,
country/BRA,2015,,,,,,,,,,,185971363.6,,,,,6921770.0,,,,,,,
country/BRA,2016,,,,,,,,,,,149928123.0,,,,,9465942.0,,,,,,,
country/BRA,2017,,,,,,,1520000.0,,,33818059.0,2327757.2,,,,,7224494.0,,,,,,,
country/BRA,2018,,,,,,,500000.0,,,20178183.0,77307526.0,,,,,18233223.0,,,,,,,
country/BRA,2019,,,,,,,,,,23785388.0,99253239.0,,,,,13656275.0,,,,,,,
country/BRA,2020,,,,,,,,,,26009493.0,37984616.6,,,,,125956741.0,,,,,,,
country/BRA,2021,,,,,,,,,,334531651.8,3134001.4,,,,,176626366.8,,,,,,,
country/BTN,2013,,,7870000.0,,,,,,,,,,,,,2521749.0,,,,,,,
country/BTN,2014,,,,,,,,,,,,,,,,1205413.0,,,,,,,
country/BTN,2015,,,159440.0,,,,,,,,,,,,,744449.0,,,,,,,
country/BTN,2016,,,,,,,,,,,,,,,,193010.0,,,,,,,
country/BTN,2017,,,,,,,,,,,,,,,,112234.0,,,,,,,
country/BTN,2018,,,142979.09360000447,,,,,,,,,,,3212304.04,,47561.0,,,,,,,
country/BTN,2019,,,175594.45759998233,,,,,,,,,,,1960073.0,,2730254.0,,,,,,,
country/BTN,2020,,,365647.1383999662,,,,,,,,,,,16282654.72,,782312.0,,,,,,,
country/BTN,2021,,,2546970.425400007,,,,,,,,,,,8716124.6744,,750114.0,,,,,,,
country/CHL,2014,,,,,,,,,21127239.0,,,,,,,,,,,,,,
country/CHL,2015,,,,,,,,,,,4903900.0,,,,,,,,,,,,
country/CHL,2016,,,,,,,,,,,153673185.8,,,,,,,,,,,,
country/CHL,2017,,,,,,,,,,,32402072.0,,,,,,,,,,,,
country/CHN,2013,,,,,,,,,,71727940.0,75500436.60000001,,,,,,,,,,50536.00000000001,,
country/CHN,2014,,,,,,,,,,,51153145.0,,,,,,,,,,,,
country/CHN,2015,,,,,,,,,,149750.0,87785914.8,,,,,,,,,,,,
country/CHN,2016,,,,,,,,,,15562314.0,102551939.00000001,,,,,,,,,,,,
country/CHN,2017,,,,,,,,,,55473139.0,86280741.0,,,,,,,,,,,,
country/CHN,2018,,,,,,,,,,9526669.200000001,71002604.60000001,,,,,,,,,,,,
country/CHN,2019,,,,,,,,,,50653188.8,59613244.400000006,,,,,,,,,,,,
country/CHN,2020,,,,,,,,,,67219284.0,48786653.0,,,,,,,,,,,,
country/CHN,2021,,,,,,,,,,,62218835.8,,,,,,,,,,,,
country/CIV,2016,,,,,,,,,,,,,,12571401.81,,,,,,,,,
country/CIV,2017,,,,,,,,,,,67636.0,,,16473608.26,,,,,,,,,
country/CIV,2018,,,,,,,,,,,237923.6,,,27836689.4245,,,,,,,,,
country/CIV,2019,,,,,,,,,,78361133.0,68119292.4,,,38782791.2412,,,,,,,,,
country/CIV,2020,,162202.0,,,,,,,,76388196.0,45593419.2,,,68285995.02329999,,,,,,,,,
country/CIV,2021,,58974.0,,,,,3986180.0,,,106475090.2,2351113.1999999997,,,66711995.253435686,,,,,,,,,
country/CMR,2013,,,,,,,,,,,,,,,,1320716.0,,,,,,,
country/CMR,2014,,,,,,,,,,,,,,3474515.44,,26642.0,,,,,,,
country/CMR,2015,,,,,,,,,,,,,,287918.03,,23140.0,,,,,,,
country/CMR,2016,,,,,,,,,,,,,,,,5566866.0,,,,,,,
country/CMR,2017,,,,,,,,,,24746062.0,,,,,,3405810.0,,,,,,,
country/CMR,2018,,91041.9195924622,,,,,,,,5311784.800000001,,,,636506.64,,5994332.0,,,,,,,
country/CMR,2019,,,,,,,,,,60944268.0,,,,39051820.1052,,6740325.0,,,,,,,
country/CMR,2020,,684329.3270498556,,,,,,,,32962430.0,,,,10971424.928726785,,193139.0,,,,,,,
country/CMR,2021,,259317.42421312758,,,,,,,,15936198.0,,,,51653425.580492504,,321667.0,,,,,,,
country/COD,2013,,,,,,,278264.0,,,,,,,,,,,,,,,,
country/COD,2018,,,,,,,,,,,,,,1153250.0,,,,,,,,,
country/COD,2019,,,,,,,,,,,,,,1708893.85,,,,,,,,,
country/COD,2020,,,,,,,,,,,,,,9668844.82,,,,,,,,,
country/COD,2021,,34059.9997592109,,,,,,,,,,,,48903017.3752,,,,,,,,,
country/COG,2017,,,,,,,,,,3755566.0,,,,,,,,,,,,,
country/COG,2018,,,,,,,,,,32123.600000000002,,,,446002.57,,,,,,,,,
country/COG,2019,,,,,,,,,,75546.0,,,,1852239.2000000002,,,,,,,,,
country/COG,2020,,,,,,,,,,109864.0,,,,3041021.316048782,,,,,,,,,
country/COG,2021,,,,,,,,,,,,,,2153150.74,,,,,,,,,
country/COL,2013,,,,,,,,,,96868146.0,1129140.4000000001,,,,,,,,,,,,
country/COL,2014,,,,,,,,,,54640798.0,120742.0,,,,,,,,,,,,
country/COL,2015,,,,,,,,,,305047144.0,42363253.2,,,,,,,,,,,,
country/COL,2016,,,,,,,,,,201260644.0,49340429.60000001,,,,,,,,,,,,
country/COL,2017,,,,,,,4572656.0,,,,34010856.00000001,,,,,,,,,,,,
country/COL,2018,,,,,,,9231880.0,,,190438251.20000002,95137663.60000001,,,,,,,,,,,,
country/COL,2019,,,,,,,,,,,6346159.4,,,,,,,,,,,,
country/COL,2020,,,,,,,8714732.0,,,95726495.60000001,126966911.4,,,,,,,,,,,,
country/COL,2021,,,,,,,,,,121378058.2,49100163.2,,,,,,100000000.0,,,,,,
country/COM,2018,,73320.33778066807,,,,,,,,,,,,,,,,,,,,,
country/COM,2019,,79167.44833581464,,,,,,,,,,,,,,,,,,,,,
country/COM,2020,,93987.15167241708,,,,,,,,,,,,,,,,,,,,,
country/COM,2021,,3922945.042718431,,,,,,,,,,,,337648.5,,,,,,,,,
country/CPV,2013,,,,,,,,,,5511896.0,,,,,,2779048.0,,,,17041942.0,601956.4,,
country/CPV,2014,,,,,,,,,,,,,,,,10389475.0,,,,7776148.0,,,
country/CPV,2015,,,,,,,,,,,,,,,,13988659.0,,,,2732348.0,,,
country/CPV,2016,,,,,,,,,,,,,,,,9586251.0,,,,,,,
country/CPV,2017,,,,,,,,,,,,,,,,5641049.0,,,,,,,
country/CPV,2018,,,,,,,,,,,,,,,,9808714.0,,,,,,,
country/CPV,2019,,,,,,,,,216256.5713603826,,,,,21000.0,,3419754.0,,,,,,,
country/CPV,2020,,,,,,,,,156243.87042785308,,,,,5719416.669,,2271250.0,,,,,,,
country/CPV,2021,,,,,,,,,147230.36028779333,,,,,2506605.3107999996,,2431623.0,,,,,,,
country/CRI,2015,,,,,,,,,,,,,,,,22985266.0,,,,,,,
country/CRI,2016,,,,,,,,,,,,,,,,24582019.0,,,,,,,
country/CRI,2017,,,,,,,,,,,,,,,,34282675.0,,,,,,,
country/CRI,2018,,,,,,,,,,,,,,,,32059302.2,,,,,,,
country/CRI,2019,,,,,,,,,,,,,,,,12183237.8,,,,,,,
country/CRI,2020,,,,,,,,,,,,,,,,5410889.600000001,,,,,,,
country/CRI,2021,,,,,,,,,,,,,,,,5084034.4,,,,,,,
country/CUB,2018,,,,,,,,,,,,,,,,,,,,,,4701880.0,
country/CUB,2019,,,,,,,,,,447778.0,,,,,,,,,,,,4911516.0,
country/CUB,2020,,,,,,,,,,7174216.4,,,,,,,,,,,,,
country/CUB,2021,,,,,,,,,,4987048.4,,,,,,,,,,,,,
country/DJI,2015,,,,,,,,,,,,,,286550.02999999997,,,,,,,,,
country/DJI,2016,,,,,,,,,,,,,,713991.96,,,,,,,,,
country/DJI,2018,,,,,,,,,,,,,,4440207.63,,,,,,,,,
country/DJI,2019,,14046695.815305552,,,,,,,,,,,,1138139.17,,,,,,,,,
country/DJI,2020,,37204.99951080618,,,,,,,,,,,,867429.65,,,,,,,,,
country/DJI,2021,,,,,,,,,,,,,,5521156.619899999,,,,,,,,,
country/DMA,2013,,,,,,,,,,2791792.0,,,,,,,,,,,,,
country/DMA,2014,,,,,,,,,,,,,,753545.0,,,,,,,,,
country/DMA,2015,,,,,,,,,,,,,,1000000.0,,,,,,,,,
country/DMA,2018,,,,,,,,,,,,,,2250000.0,,,,,,,,,
country/DMA,2019,,,,,,,,,,,,,,2369529.2,,,,,,,,,
country/DMA,2020,,,,,,,,,,,,,,9779118.06,,,,,,,,,
country/DMA,2021,,,,,,,,,,,,,,12553481.2776,,,,,,,,,
country/DOM,2013,,,,,,,,,,1259493.0,,,,,,,,,,,3952537.2,,
country/DOM,2015,,,,,,,,,,,,,,,,,,,,,2168231.2,,
country/DOM,2016,,,,,,,,,,20981975.0,,,,,,,,,,,2167512.0,,
country/DOM,2017,,,,,,,,,,18779986.0,,,,,,,,,,,,,
country/DOM,2018,,,,,,,,,,,1669298.8,,,,,,,,,,,,
country/DOM,2019,,,,,,,,,,25398057.0,3289843.6,,,,,,,,,,,,
country/DOM,2020,,,,,,,,,,73934227.0,1602410.8,,,,,,,,,,,,
country/DOM,2021,,,,,,,,,,31625063.0,751548.0,,,,,,50000000.0,,,,,,
country/DZA,2013,,,,,,,,,,,,,,,,,,,,,4211873.0,,
country/ECU,2013,,,,,,,,,,,368151.2,,,,,,,,,,,,
country/ECU,2014,,,,,,,,,,,262432.8,,,,,,,,,,,,
country/ECU,2015,,,,,,,,,,55355519.0,597268.0,,,,,,,,,,,,
country/ECU,2016,,,,,,,,,,56096428.0,733010.4,,,,,,,,,,,,
country/ECU,2017,,,,,,,,,,17609614.0,,,,,,,,,,,392274.80000000005,,
country/ECU,2018,,,,,,,,,,27617988.400000002,,,,,,,,,,,,,
country/ECU,2019,,,,,,,,,,138717465.6,,,,,,,,,,,1193526.8,,
country/ECU,2020,,,,,,,,,,122896224.0,,,,,,,,,,,736684.8,,
country/ECU,2021,,,,,,,,,,24757166.0,501245.00000000006,,,,,5226562.0,,,,,716071.6000000001,,
country/EGY,2013,,,,,,,327438.0,,2405240.0755604235,10403143.0,49868843.0,,,,,1156972.0,,,,,630096.0,,
country/EGY,2014,,,,,,,,,7974120.425794819,,70685187.6,,,,,1279577.0,,,,,,,
country/EGY,2015,,,,,,,,,3381075.3476379914,8430394.0,97543216.2,,,,,42452995.0,,,,,,,
country/EGY,2016,,,,,,,,,,24107044.0,56808280.8,,,,,107038336.0,,,,,,,
country/EGY,2017,,,,,,,704286.0,,,169986921.0,76185124.6,,,,,26261050.6,,,,,,7759000.0,
country/EGY,2018,,,,,,,17740365.0,,,16222297.600000001,22469403.2,,,,,93595230.2,,,,,456032.80000000005,1070516.0,
country/EGY,2019,,,,,,,,,55411887.12760313,108956586.0,12685433.600000001,,,,,37749642.4,,,,,,,
country/EGY,2020,,,,,,,,,74229989.12133601,138550390.0,19361501.4,,,,,49471621.2,,,,,,,
country/EGY,2021,,,,,,,,,107120790.5778398,121662052.0,18053400.2,,,,,200814616.8,,,,,,,
country/ETH,2013,,,,,,,,,,25077070.0,,,,,,,,,,,,,
country/ETH,2014,,,,,,,,,,,,,,6008165.56,,,,,,,,,
country/ETH,2015,,,,,,,,,,1210205.0,,,,44197944.96,,,,,,,,,
country/ETH,2016,,,,,,,,,,578348.0,,,,43838642.92,,,,,,,,,
country/ETH,2017,,855681.77,,,,,,,,1127269.0,,,,11188579.52,,,,,,,,,
country/ETH,2018,,,,,,,,,,,,,,153523335.7955,4720878.0,,,,,,,,
country/ETH,2019,,,,,,,,,,20150005.6,,,,182264872.1268,2238889.6,,,,,,,,
country/ETH,2020,,,,,,,,,,33980226.400000006,,,,254366490.4343,4558404.4,,,,,,,,
country/ETH,2021,,,,,,,,,,,,,,66818430.9406,2365184.4,3038747.2,799294.0,,,,,,
country/FJI,2020,,,,,,,,,,,,,,,,8055270.4,,,,,,,
country/FJI,2021,,,,,,,,,,,,,,39566406.142771855,,10385796.0,,,,,,,
country/FSM,2016,,,1286701.1352000001,,,,,,,,,,,,,,,,,,,,
country/FSM,2017,,,605808.8064,,,,,,,,,,,,,,,,,,,,
country/FSM,2018,,,35881.128,,,,,,,,,,,,,,,,,,,,
country/FSM,2019,,,63064.6992,,,,,,,,,,,,,,,,,,,,
country/GAB,2013,,,,,,,,,,1364955.0,,,,,,,,,,,,,
country/GAB,2017,,,,,,,,,,178851.0,,,,,,,,,,,,,
country/GEO,2013,,,,,,,,,,,3457722.0,,,,,,,,,,,,
country/GEO,2014,,,,,,,,,,,2884129.0,,,,,,,,,,,,
country/GEO,2015,,,,,,,,,,,16394775.799999999,,,28500.0,,,,,,,,,
country/GEO,2016,,,,,,,,,,,7657387.2,,,103990.94,,,,,,,,,
country/GEO,2017,,,,,,,,,16627528.269198779,,8131635.2,,,,,,,,,,,,
country/GEO,2018,,,,,,,,,8851867.042657258,11802195.200000001,30209507.200000003,,,149868.16,,,,,,,,,
country/GEO,2019,,,,,,,,,,67166685.0,73343251.0,,,51726.840000000004,,,,,,,,,
country/GEO,2020,,,,,,,,,1692400.6859697783,136752137.0,108317721.8,,,110299.04000000001,,,,,,,,,
country/GEO,2021,,,,,,,,,2927076.6464642817,177388836.0,5292752.8,,,181792.1,,,,,,,,,
country/GHA,2013,,,,,,,246688.0,,,18714526.0,713717.2,,,,,,,,,,,,
country/GHA,2014,,,,,,,,,,,288438.4,,,,,,,,,,,,
country/GHA,2015,,,,,,,,,,,105268.8,,,,,,,,,,210988.80000000002,,
country/GHA,2016,,,,,,,,,,,60860.4,,,,,,,,,,,,
country/GHA,2017,,,,,,,,,,,65493.600000000006,,,,,,,,,,,,
country/GHA,2018,,2225943.3795459615,,,,,,,,,5999.200000000001,,,550643.13,,,,,,,,,
country/GHA,2019,,28200431.091601588,,,,,,,,11684267.0,4229510.2,,,7960097.0118,,,,,,,,,
country/GHA,2020,,14194774.895751676,,,,,,,,5679764.0,10053922.0,,,43067387.1975,,,,,,,,,
country/GHA,2021,,5637573.281141732,,,,,,,,16619654.0,6896354.0,,,57068207.4609,,,,,,,,,
country/GIN,2015,,,,,,,,,,,,,,13673.94,,,,,,,,,
country/GIN,2016,,,,,,,,,,,,,,7589328.0,,,,,,,,,
country/GIN,2017,,,,,,,,,,,,,,4001812.5,,,,,,,,,
country/GIN,2018,,,,,749674.8,,,,,,,,,15986139.84,,,,,,,,,
