dcid,year,climateFinanceReceivedDisbursementsMitigationEquityInvestmentByProviderCurrentUSDAustria,climateFinanceReceivedDisbursementsMitigationEquityInvestmentByProviderCurrentUSDDenmark,climateFinanceReceivedDisbursementsMitigationEquityInvestmentByProviderCurrentUSDEUInstitutions,climateFinanceReceivedDisbursementsMitigationEquityInvestmentByProviderCurrentUSDFinland,climateFinanceReceivedDisbursementsMitigationEquityInvestmentByProviderCurrentUSDFrance,climateFinanceReceivedDisbursementsMitigationEquityInvestmentByProviderCurrentUSDGermany,climateFinanceReceivedDisbursementsMitigationEquityInvestmentByProviderCurrentUSDInterAmericanDevelopmentBank,climateFinanceReceivedDisbursementsMitigationEquityInvestmentByProviderCurrentUSDJapan,climateFinanceReceivedDisbursementsMitigationEquityInvestmentByProviderCurrentUSDNordicDevelopmentFund,climateFinanceReceivedDisbursementsMitigationEquityInvestmentByProviderCurrentUSDNorway,climateFinanceReceivedDisbursementsMitigationEquityInvestmentByProviderCurrentUSDSpain,climateFinanceReceivedDisbursementsMitigationEquityInvestmentByProviderCurrentUSDSwitzerland,climateFinanceReceivedDisbursementsMitigationEquityInvestmentByProviderCurrentUSDUnitedKingdom
country/BRA,2016,,207999.0,,,,,,,,,,,
country/BRA,2017,,1781.0,,,,,,,,,,,
country/BRA,2020,,,,,1139601.2,,,,,,,,
country/CHL,2013,,,,,,,,,,9187443.0,,,
country/CHN,2014,,,,4643757.0,,,,,,,,,
country/CHN,2016,,4655181.0,,552914.0,,,,,,,,,
country/CHN,2017,,2804371.4,,,,,,,,,,,
country/CMR,2021,,,,,8029476.000000001,,,,,,,,
country/COL,2021,,,,,,20695365.0,,,,,,,
country/DOM,2021,,,,,20695364.0,,,,,,,,
country/EGY,2017,,,213919.38468627943,,,,,,,,,,
country/EGY,2018,,,319782.1369960943,,,,,,,,,,
country/EGY,2019,,,724001.8218360809,,,,,,,,,,
country/EGY,2020,,,671489.1013142472,,,,,,,,,,
country/EGY,2021,,,815457.0458077024,,,,,,,,,,
country/GEO,2016,162325.0,,,,,,,,,,,,
country/GEO,2017,187535.0,,,,,,,,,,,,
country/GEO,2018,1748094.0,,,,,,,,,,,,
country/GEO,2019,257751.99999999997,,,,,,,,,,,,
country/GEO,2020,1447602.0,,,,,,,,,,,,
country/GEO,2021,553804.0,,,,,,,,,,,,
country/HTI,2021,,,,,8969202.0,,,,,,,,
country/IDN,2015,,,,519600.0,,,,,,,,,
country/IDN,2016,,,,192203.2,,,,,,,,,
country/IDN,2018,,,,3086356.4000000004,,,,,,,,,
country/IND,2013,,,,,,,,,,1956554.0,,,
country/IND,2016,,173929.0,,,,,,,,,,,
country/IND,2017,,374132.0,,,,,,,,,,,993692.0000000001
country/IND,2018,,,,,,,,,,,,,8276285.0
country/IND,2019,,,4028621.6057008444,,28961844.8,16791671.0,,,,,,,24414214.2
country/IND,2020,,,5543881.5169437695,1139601.0,22858871.0,3871292.0,,,,,,,30423086.8
country/IND,2021,,,4030947.7846862986,1773888.0,,,,,,,,,
country/KEN,2013,,,,,,,,,,3534860.0,,,
country/KEN,2014,,,,17420724.0,,,,,,,,,
country/KEN,2015,,,,4001108.9999999995,,,,,,,,,
country/KEN,2016,,36999.0,,,,,,,,,,,
country/KEN,2017,,359313.0,,1797993.0,,,,,,,,,
country/KEN,2021,,,,2997.0,10387282.0,,,,,,,,
country/LAO,2017,560816.0,,,,,,,,,,,,
country/LAO,2018,383571.0,,,,,,,,,,,,
country/LAO,2020,11396.0,,,,,,,,,,,,
country/MEX,2014,,,,3056000.0,,,,,,,,,
country/MEX,2015,,,,1801600.0,,,,,,,,,
country/MEX,2017,,,,,,,65116.2,,,,,,
country/MNG,2017,,213984.0,,,,,,,,,,,
country/MYS,2016,,416006.0,,,,,,,,,,,
country/NAM,2017,,,,,,3147703.0,,,,,,,
country/NAM,2018,,,,,,25026.0,,,,,,,
country/NAM,2019,,,,,,3327511.0,,,,,,,
country/NAM,2020,,,,,,3338062.0,,,,,,,
country/NAM,2021,,,,,,5527752.0,,,,,,,
country/NGA,2018,,,,,,14634722.0,,,,,,,
country/NGA,2019,,,,,2991030.0,10531736.4,,,,,,,
country/NGA,2021,,,,,2409850.0,,,,,,,,
country/NPL,2014,89369.0,,,,,,,,,,,,
country/NPL,2015,127558.0,,,,,,,,,,,,
country/NPL,2016,275566.0,,,142756.80000000002,,,,,,,,,
country/NPL,2017,990629.0,,,685199.2000000001,,,,,,,,,
country/NPL,2018,697024.0,,,890333.2000000001,,,,,,,,,
country/PAK,2020,,,,,,5259992.0,,,,,,,
country/PAN,2013,,,,,,,,,,1986732.0,,,
country/PHL,2019,,,,,138254.80000000002,,,,,,,,
country/SRB,2013,,,,,,4514073.2,,,,,,,
country/SRB,2014,,,,,,11941091.0,,,,,,,
country/SRB,2016,,,3444857.8747987687,,,1503682.4000000001,,,,,,,
country/SRB,2017,,,,,,24799909.0,,,,,,,
country/SRB,2019,,,,8848091.0,,,,,,,,,
country/SSD,2013,,,,,,,,,,4224685.0,,,
country/THA,2021,,,,1360115.2000000002,,,,,,,,,
country/UGA,2013,,,,,,,,,,851505.0,,,
country/ZAF,2013,,,,,,,,,,10521349.0,,,
country/ZAF,2015,,,,,,6779126.0,,,,,,,
country/ZAF,2016,,,,,,7199876.0,,,,,,,
country/ZAF,2017,,,,,,2680385.0,,,,,,,
country/ZAF,2018,,,,,,5030528.0,,,,,,,
country/ZAF,2019,,,,,,2537020.0,,,,,,,
country/ZAF,2020,,,,,,932196.8,,,,,,,17168142.0
country/ZAF,2021,,,,,,195661.0,,,,,,,88477014.0
