dcid,year,climateFinanceReceivedCommitmentsAdaptationOdaGrantsCurrentUSD
country/BRA,2015,9448684.8
country/BRA,2016,5663664.2
country/BRA,2017,17061503.6
country/BRA,2018,5338850.4
country/BRA,2019,5365714.8
country/BRA,2020,29016716.6
country/BRA,2021,3921737.8000000003
country/BFA,2013,124934317.8
country/BFA,2014,29661530.8
country/BFA,2015,27147783.6
country/BFA,2016,101648694.60000001
country/BFA,2017,52880677.276
country/BFA,2018,113951282.15504
country/BFA,2019,49670814.9792
country/BFA,2020,105689743.72
country/BFA,2021,269855121.567955
country/BDI,2013,17142807.0
country/BDI,2014,16449868.6
country/BDI,2015,130925928.4
country/BDI,2016,24301851.8
country/BDI,2017,65201486.4375
country/BDI,2018,53128379.2
country/BDI,2019,5901840.16637306
country/BDI,2020,49927558.45
country/BDI,2021,63792001.2
country/CPV,2013,2024775.4
country/CPV,2014,955854.0
country/CPV,2015,145664.8
country/CPV,2016,8072297.2
country/CPV,2017,1063157.6
country/CPV,2018,268253.0
country/CPV,2019,1914478.0000000002
country/CPV,2020,2206762.2
country/CPV,2021,7793514.0
country/KHM,2013,47449460.93
country/KHM,2014,87464988.8
country/KHM,2015,47580105.27823275
country/KHM,2016,26150251.97
country/KHM,2017,24335334.4
country/KHM,2018,73927945.0
country/KHM,2019,21165847.0
country/KHM,2020,48486192.218054704
country/KHM,2021,37520726.601
country/CMR,2013,8637629.0
country/CMR,2014,6834580.0
country/CMR,2015,2131594.4
country/CMR,2016,16089244.599999998
country/CMR,2017,59533405.800000004
country/CMR,2018,9149038.4
country/CMR,2019,36881597.400000006
country/CMR,2020,26502894.400000002
country/CMR,2021,14094640.4
country/CAF,2013,800000.0
country/CAF,2014,11354209.2
country/CAF,2015,208795.60000000003
country/CAF,2016,3542794.8000000003
country/CAF,2017,10574842.4
country/CAF,2018,17833997.377648
country/CAF,2019,27714587.4
country/CAF,2020,46525029.5768
country/CAF,2021,89973475.4
country/TCD,2013,13415722.4
country/TCD,2014,50605847.0
country/TCD,2015,54483758.6
country/TCD,2016,104034713.60000001
country/TCD,2017,12459324.600000001
country/TCD,2018,121510576.84273456
country/TCD,2019,79272715.41589807
country/TCD,2020,129443535.145
country/TCD,2021,104780537.818
country/CHL,2013,43060.0
country/CHL,2014,3044343.6
country/CHL,2015,10518830.2
country/CHL,2016,1091649.0
country/CHL,2017,2601078.8
country/CHN,2013,1480291.2
country/CHN,2014,25369928.0
country/CHN,2015,44220933.0
country/CHN,2016,10432931.6
country/CHN,2017,4928380.8
country/CHN,2018,9466478.0
country/CHN,2019,12891147.078352487
country/CHN,2020,6713512.4
country/CHN,2021,14361516.476747515
country/COL,2013,13669181.0
country/COL,2014,10740201.6
country/COL,2015,44540126.2
country/COL,2016,7978737.6
country/COL,2017,60290628.599999994
country/COL,2018,17811259.8
country/COL,2019,17524651.200000003
country/COL,2020,7312780.600000001
country/COL,2021,8966932.4455
country/COM,2013,4076256.6
country/COM,2014,9364667.0
country/COM,2015,11292673.2
country/COM,2016,8932421.0
country/COM,2017,6812671.197388496
country/COM,2018,669145.8
country/COM,2019,34827350.400000006
country/COM,2020,34991996.1630548
country/COM,2021,10327215.200000001
country/COG,2013,22369.0
country/COG,2014,58511.8
country/COG,2015,89033.20000000001
country/COG,2016,231814.2
country/COG,2017,211469.40000000002
country/COG,2018,6459.200000000001
country/COG,2019,24358440.400000002
country/COG,2020,2598248.0
country/COG,2021,2080117.0
country/COK,2013,876062.4
country/COK,2014,3355574.5999999996
country/COK,2015,396225.0
country/COK,2016,13507.0
country/COK,2017,187219.2
country/COK,2018,6744967.0
country/COK,2019,3484459.2
country/CRI,2013,849986.4
country/CRI,2014,15577911.6
country/CRI,2015,295167.4
country/CRI,2016,311683.8
country/CRI,2017,253532.80000000002
country/CRI,2018,2883395.4
country/CRI,2019,467544.6
country/CRI,2020,1294755.5999999999
country/CRI,2021,152436.8
country/CUB,2013,6533708.000000001
country/CUB,2014,8390203.8
country/CUB,2015,1585386.2000000002
country/CUB,2016,5166829.6
country/CUB,2017,2579971.0
country/CUB,2018,18646475.2
country/CUB,2019,26207202.599999998
country/CUB,2020,35104855.28
country/CUB,2021,29401932.2
country/CIV,2013,2024257.2
country/CIV,2014,1660037.2
country/CIV,2015,363838.0
country/CIV,2016,9153041.799999999
country/CIV,2017,241663.40000000002
country/CIV,2018,6129315.6
country/CIV,2019,3780413.4000000004
country/CIV,2020,6798235.0
country/CIV,2021,5072940.4
country/PRK,2013,37440.4
country/PRK,2014,536021.8
country/PRK,2015,188321.6
country/PRK,2016,428303.0
country/PRK,2017,1687948.4
country/PRK,2018,420852.60000000003
country/PRK,2019,422916.19999999995
country/PRK,2020,458624.2
country/PRK,2021,530945.0
country/COD,2013,62713899.4
country/COD,2014,103124357.6
country/COD,2015,24611150.200000003
country/COD,2016,14337626.0
country/COD,2017,36631587.827908345
country/COD,2018,57503353.0
country/COD,2019,64409753.0
country/COD,2020,163388101.35250002
country/COD,2021,336439389.9109689
country/DJI,2013,31832014.0
country/DJI,2014,727012.4
country/DJI,2015,19090638.0
country/DJI,2016,571411.2000000001
country/DJI,2017,73650319.6
country/DJI,2018,22478568.6
country/DJI,2019,19987671.0
country/DJI,2020,43955153.8
country/DJI,2021,25329865.0
country/DMA,2013,79312.6
country/DMA,2014,24000000.0
country/DMA,2015,95481.0
country/DMA,2017,1767.2
country/DMA,2018,32542737.6
country/DMA,2019,1221863.2
country/DMA,2020,1548792.4
country/DMA,2021,678932.2
country/DOM,2013,3544988.8
country/DOM,2014,3022177.6
country/DOM,2015,4636307.2
country/DOM,2016,1919074.4
country/DOM,2017,13069639.4
country/DOM,2018,11446633.8
country/DOM,2019,11424361.8
country/DOM,2020,2017140.0
country/DOM,2021,3288208.8
country/ECU,2013,3842774.6
country/ECU,2014,3334965.8000000003
country/ECU,2015,3845387.2
country/ECU,2016,14393126.399999999
country/ECU,2017,2663632.4000000004
country/ECU,2018,14003379.2
country/ECU,2019,6719324.0
country/ECU,2020,6533623.0
country/ECU,2021,3825231.0
country/EGY,2013,4590671.2
country/EGY,2014,23331077.0
country/EGY,2015,3713053.6
country/EGY,2016,2326459.6
country/EGY,2017,45545010.4
country/EGY,2018,287841.8
country/EGY,2019,10519750.4
country/EGY,2020,30177063.8
country/EGY,2021,8292390.0
country/SLV,2013,4739635.0
country/SLV,2014,8357836.2
country/SLV,2015,2474360.0
country/SLV,2016,2780466.4
country/SLV,2017,1780253.6
country/SLV,2018,17982805.0
country/SLV,2019,28298499.4
country/SLV,2020,3532481.0
country/SLV,2021,4424044.0
country/GNQ,2013,1752.4
country/GNQ,2014,133360.80000000002
country/GNQ,2019,163500.0
country/GNQ,2020,5121.200000000001
country/GNQ,2021,68369.2
country/ERI,2013,21242.800000000003
country/ERI,2014,100000.0
country/ERI,2015,9162854.4
country/ERI,2016,12302413.0
country/ERI,2017,12067484.0
country/ERI,2018,107862.40000000001
country/ERI,2019,24862122.11363557
country/ERI,2020,22538414.9575
country/ERI,2021,19209336.0
country/SWZ,2013,377084.0
country/SWZ,2015,6655574.0
country/SWZ,2016,906649.9999999999
country/SWZ,2017,152114.19999999998
country/SWZ,2018,52200.0
country/SWZ,2019,122391.6
country/SWZ,2020,4601366.4
country/SWZ,2021,3938158.8
country/ETH,2013,174435865.6
country/ETH,2014,102009101.8
country/ETH,2015,222968812.8
country/ETH,2016,163119638.4
country/ETH,2017,580099220.17
country/ETH,2018,289700546.96482
country/ETH,2019,516657491.25020003
country/ETH,2020,492158270.3
country/ETH,2021,259248567.292
country/FJI,2013,1920724.8
country/FJI,2014,2697295.0
country/FJI,2015,45358664.0
country/FJI,2016,12123312.6
country/FJI,2017,8924526.8
country/FJI,2018,6702054.6
country/FJI,2019,13850176.899258377
country/FJI,2020,31349312.799424876
country/FJI,2021,23374565.836
country/GAB,2013,6094.400000000001
country/GAB,2015,7876.0
country/GAB,2017,357444.533333333
country/GAB,2018,7081.200000000001
country/GAB,2020,1620836.5999999999
country/GAB,2021,547508.8
country/GMB,2013,44707.600000000006
country/GMB,2014,12100214.39363
country/GMB,2015,10338.400000000001
country/GMB,2016,33854106.8
country/GMB,2017,17926727.2
country/GMB,2018,2532158.4110000003
country/GMB,2019,17730276.8
country/GMB,2020,23962757.90125
country/GMB,2021,33822914.8
country/GEO,2013,2187275.0
country/GEO,2014,10821326.400000002
country/GEO,2015,3290836.8
country/GEO,2016,22507511.2
country/GEO,2017,2387942.6
country/GEO,2018,56179433.400000006
country/GEO,2019,6989663.0
country/GEO,2020,2795983.0
country/GEO,2021,2324207.6
country/GHA,2013,41109647.8
country/GHA,2014,75917152.2
country/GHA,2015,26997801.0
country/GHA,2016,39349156.0
country/GHA,2017,46684322.599999994
country/GHA,2018,3671513.6000000006
country/GHA,2019,16640997.600000001
country/GHA,2020,42793599.692592
country/GHA,2021,38153659.875
country/GRD,2013,40533.4
country/GRD,2014,507495.99999999994
country/GRD,2015,7604669.0
country/GRD,2016,1663549.0
country/GRD,2017,1683958.6
country/GRD,2018,58419947.2901216
country/GRD,2019,124909.0
country/GRD,2020,749327.2000000001
country/GRD,2021,1244105.2
country/GTM,2013,11372200.2
country/GTM,2014,15761071.600000001
country/GTM,2015,35891575.4
country/GTM,2016,8615494.2
country/GTM,2017,15377421.4376
country/GTM,2018,42924327.8
country/GTM,2019,24861370.4
country/GTM,2020,35894924.0
country/GTM,2021,48020615.4
country/GIN,2013,41038312.0
country/GIN,2014,5433250.000000001
country/GIN,2015,10313274.8
country/GIN,2016,1045857.2
country/GIN,2017,39523895.8
country/GIN,2018,44044494.2
country/GIN,2019,16055364.033481108
country/GIN,2020,95239216.0
country/GIN,2021,17949661.066
country/GNB,2013,226357.0
country/GNB,2014,2268158.6
country/GNB,2015,11619213.4
country/GNB,2016,12280641.2
country/GNB,2017,10462190.0
country/GNB,2018,6917971.2
country/GNB,2019,1136283.5999999999
country/GNB,2020,10422797.0
country/GNB,2021,3225169.0
country/GUY,2013,35729101.6
country/GUY,2016,33776756.0
country/GUY,2017,848627.6
country/GUY,2018,129738.20000000001
country/GUY,2019,388189.2
country/GUY,2020,94130445.60000001
country/GUY,2021,2482808.4
country/HTI,2013,36514141.0
country/HTI,2014,66014613.4
country/HTI,2015,89580683.5
country/HTI,2016,58451654.4
country/HTI,2017,158763148.0
country/HTI,2018,105183417.4
country/HTI,2019,80611342.2
country/HTI,2020,213209719.0
country/HTI,2021,110919026.4
country/HND,2013,21989224.599999998
country/HND,2014,34712687.2
country/HND,2015,31725385.0
country/HND,2016,4421158.0
country/HND,2017,23116560.8
country/HND,2018,34912167.8
country/HND,2019,32474464.1
country/HND,2020,13335056.0
country/HND,2021,20537928.79
country/IND,2013,24076066.2
country/IND,2014,22927770.0
country/IND,2015,42844928.4
country/IND,2016,47150641.0
country/IND,2017,71179529.0
country/IND,2018,41586111.4
country/IND,2019,46637141.639928445
country/IND,2020,87377808.42267156
country/IND,2021,55639540.4
country/IDN,2013,45124039.4
country/IDN,2014,35286742.0
country/IDN,2015,23612560.8
country/IDN,2016,34760094.8
country/IDN,2017,33498027.400000002
country/IDN,2018,20946826.6
country/IDN,2019,29756749.0
country/IDN,2020,77428652.2
country/IDN,2021,45623700.2
country/IRN,2014,103672.8
country/IRN,2015,68319.20000000001
country/IRN,2016,47567.200000000004
country/IRN,2017,480832.80000000005
country/IRN,2018,8548725.8
country/IRN,2019,9158671.811900001
country/IRN,2020,6588703.4
country/IRN,2021,7465939.4
country/IRQ,2013,3521432.8
country/IRQ,2014,1476294.8
country/IRQ,2015,1029032.4
country/IRQ,2016,1134589.2000000002
country/IRQ,2017,23553604.2
country/IRQ,2018,41993988.6
country/IRQ,2019,14310299.0
country/IRQ,2020,70251179.80000001
country/IRQ,2021,25580289.6
country/JAM,2013,2163897.4
country/JAM,2014,20948940.0
country/JAM,2015,15179242.48
country/JAM,2016,2793818.77
country/JAM,2017,32948995.6
country/JAM,2018,614643.2
country/JAM,2019,977072.4
country/JAM,2020,8377804.600000001
country/JAM,2021,204994.0
country/JOR,2013,172362726.20000002
country/JOR,2014,26692051.2
country/JOR,2015,20793720.8
country/JOR,2016,14874128.600000001
country/JOR,2017,42803230.2
country/JOR,2018,21711880.0
country/JOR,2019,48661001.0
country/JOR,2020,46086379.2
country/JOR,2021,92680535.2
country/KAZ,2013,32572.2
country/KAZ,2014,16000.0
country/KAZ,2015,5007872.4
country/KAZ,2016,17738.4
country/KAZ,2017,1277043.8
country/KAZ,2018,1412718.2
country/KAZ,2019,134152.00269
country/KAZ,2020,215587.40000000002
country/KAZ,2021,1628175.6
country/KEN,2013,77338106.8
country/KEN,2014,87780049.8
country/KEN,2015,96814597.80000001
country/KEN,2016,100352649.2
country/KEN,2017,70736533.4
country/KEN,2018,48009772.4
country/KEN,2019,122978106.4
country/KEN,2020,70187523.51016
country/KEN,2021,59037643.26
country/KIR,2013,7781927.600000001
country/KIR,2014,4998279.6
country/KIR,2015,457219.4
country/KIR,2016,26528434.0
country/KIR,2017,6787202.399999999
country/KIR,2018,12238121.6
country/KIR,2019,46622065.484
country/KIR,2020,33182512.75
country/KIR,2021,24906351.6
country/XKX,2013,685630.8
country/XKX,2014,347545.6
country/XKX,2015,148572.4
country/XKX,2016,4318316.8
country/XKX,2017,919526.0
country/XKX,2018,3920830.0000000005
country/XKX,2019,7231787.2
country/XKX,2020,1123808.2
country/XKX,2021,133676.80000000002
country/KGZ,2013,44123160.0
country/KGZ,2014,7077135.0
country/KGZ,2015,3063967.2
country/KGZ,2016,16220080.0
country/KGZ,2017,16442761.6
country/KGZ,2018,40853978.0
country/KGZ,2019,28340850.400000002
country/KGZ,2020,26370566.2
country/KGZ,2021,36058579.7
country/LAO,2013,61894303.75
country/LAO,2014,19126761.0
country/LAO,2015,20661437.0
country/LAO,2016,21028777.8
country/LAO,2017,16759078.0
country/LAO,2018,39329783.4
country/LAO,2019,59779825.91498096
country/LAO,2020,42764230.164219044
country/LAO,2021,23883905.6
country/LBN,2013,391649.6
country/LBN,2014,810953.6000000001
country/LBN,2015,14255.2
country/LBN,2016,13373600.2
country/LBN,2017,7080941.399999999
country/LBN,2018,20773158.8
country/LBN,2019,1604368.8000000003
country/LBN,2020,24520524.6
country/LBN,2021,27191732.6
country/LSO,2013,4278084.8
country/LSO,2014,17927000.0
country/LSO,2015,5824088.8
country/LSO,2016,5176240.0
country/LSO,2017,6087532.8
country/LSO,2018,33056459.799999997
country/LSO,2019,56009959.8
country/LSO,2020,1516583.4000000001
country/LSO,2021,10779479.8
country/LBR,2013,3316301.0
country/LBR,2014,4898824.600000001
country/LBR,2015,9668608.0
country/LBR,2016,37413564.4
country/LBR,2017,6692996.800000001
country/LBR,2018,13801144.0
country/LBR,2019,11462397.4
country/LBR,2020,33777942.71596
country/LBR,2021,34866429.145
country/LBY,2015,488075.60000000003
country/LBY,2016,117805.20000000001
country/LBY,2020,4969767.6
country/LBY,2021,7248431.8
country/MDG,2013,15795195.200000001
country/MDG,2014,23874276.8
country/MDG,2015,25023410.6
country/MDG,2016,49663523.8
country/MDG,2017,110629291.0
country/MDG,2018,22819752.0444
country/MDG,2019,78706896.13585524
country/MDG,2020,93633827.03675
country/MDG,2021,120508046.2296
country/MWI,2013,37674266.8
country/MWI,2014,65183086.2
country/MWI,2015,145891361.6
country/MWI,2016,138816841.0
country/MWI,2017,151787177.4
country/MWI,2018,38380675.013500005
country/MWI,2019,216139875.82101017
country/MWI,2020,167506423.28
country/MWI,2021,86725782.6600621
country/MYS,2013,529206.6
country/MYS,2014,378571.0
country/MYS,2015,2085438.8000000003
country/MYS,2016,116595.6
country/MYS,2017,360025.6
country/MYS,2018,35206.6
country/MYS,2019,1597661.0
country/MYS,2020,2503300.6
country/MYS,2021,3575585.4000000004
country/MDV,2013,186405.8
country/MDV,2014,1679734.2
country/MDV,2015,33102960.4
country/MDV,2016,76550.6
country/MDV,2017,16203980.0
country/MDV,2018,1722776.8
country/MDV,2019,5180146.0
country/MDV,2020,16975230.0
country/MDV,2021,31033110.8
country/MLI,2013,72114510.0
country/MLI,2014,54795763.800000004
country/MLI,2015,82958316.4
country/MLI,2016,54754696.6
country/MLI,2017,61931106.2259
country/MLI,2018,189409371.8
country/MLI,2019,87764854.77358523
country/MLI,2020,106777866.238
country/MLI,2021,325834476.2101174
country/MHL,2013,1304808.2
country/MHL,2014,535075.2
country/MHL,2015,6312609.0
country/MHL,2016,1888285.6
country/MHL,2017,19504208.6026
country/MHL,2018,39305287.8
country/MHL,2019,32393467.400000002
country/MHL,2020,36484119.16137
country/MHL,2021,8637022.4
country/MRT,2013,10698448.8
country/MRT,2014,18334859.2
country/MRT,2015,35678076.2
country/MRT,2016,43589492.0
country/MRT,2017,68964865.4
country/MRT,2018,61158221.6
country/MRT,2019,19166737.801200002
country/MRT,2020,70441936.8998
country/MRT,2021,66237798.4635564
country/MUS,2013,13169457.2
country/MUS,2014,2700414.0
country/MUS,2015,1408153.0
country/MUS,2016,3322290.0
country/MUS,2017,181678.19999999998
country/MUS,2018,5000000.0
country/MUS,2019,1650454.8
country/MUS,2020,7045789.6
country/MUS,2021,1201445.6
country/MEX,2013,3932283.4000000004
country/MEX,2014,3107534.0
country/MEX,2015,700788.8
country/MEX,2016,4450699.600000001
country/MEX,2017,7364043.800000001
country/MEX,2018,3247592.8
country/MEX,2019,2929323.6976
country/MEX,2020,14325256.6
country/MEX,2021,12550493.6
country/FSM,2013,916683.2
country/FSM,2014,3899041.0
country/FSM,2015,371460.4
country/FSM,2016,1994296.0
country/FSM,2017,9444769.4
country/FSM,2018,3322140.8
country/FSM,2019,22500834.4
country/FSM,2020,14897285.8
country/FSM,2021,66947870.0
country/MDA,2013,1736420.4
country/MDA,2014,2082198.2000000002
country/MDA,2015,158623.0
country/MDA,2016,11249776.0
country/MDA,2017,3091276.8
country/MDA,2018,38544850.2
country/MDA,2019,15030902.0
country/MDA,2020,14111066.4
country/MDA,2021,15986328.6
country/MNG,2013,11093532.4
country/MNG,2014,913814.6
country/MNG,2015,505719.20000000007
country/MNG,2016,3826541.22
country/MNG,2017,1944307.2
country/MNG,2018,23201995.0
country/MNG,2019,3693372.4732
country/MNG,2020,32685700.2
country/MNG,2021,36069864.8
country/MNE,2013,1144948.8
country/MNE,2014,1008358.8
country/MNE,2015,1013865.6
country/MNE,2016,169671.80000000002
country/MNE,2017,4002894.0
country/MNE,2019,18197.600000000002
country/MNE,2020,494663.60000000003
country/MNE,2021,141214.40000000002
country/MSR,2017,30904.0
country/MSR,2018,178838.8
country/MSR,2019,114093.20000000001
country/MSR,2020,41604.4
country/MSR,2021,554977.0
country/MAR,2013,42914428.2
country/MAR,2014,21106768.6
country/MAR,2015,17452638.8
country/MAR,2016,14256882.84
country/MAR,2017,95733577.60308869
country/MAR,2018,4562815.0
country/MAR,2019,13690574.200000001
country/MAR,2020,21385355.6
country/MAR,2021,7793784.91
country/MOZ,2013,181367825.0
country/MOZ,2014,57516465.800000004
country/MOZ,2015,39986995.0
country/MOZ,2016,54299203.0
country/MOZ,2017,94975859.80000001
country/MOZ,2018,306091085.46392
country/MOZ,2019,526090763.9802141
country/MOZ,2020,234749059.3529859
country/MOZ,2021,323262577.5213313
country/MMR,2013,36893201.0
country/MMR,2014,36668476.2
country/MMR,2015,38854435.0
country/MMR,2016,23661365.2
country/MMR,2017,22178758.0
country/MMR,2018,38561215.4
country/MMR,2019,86506355.923219
country/MMR,2020,49286576.26316977
country/MMR,2021,32526293.308811232
country/NAM,2013,25335954.400000002
country/NAM,2014,1158635.6
country/NAM,2015,19517198.4
country/NAM,2016,42821044.8
country/NAM,2017,10795944.0
country/NAM,2018,13560540.2
country/NAM,2019,26928541.097798206
country/NAM,2020,29250895.400000002
country/NAM,2021,19267054.4
country/NRU,2013,794978.0
country/NRU,2014,72142.8
country/NRU,2015,99230.6
country/NRU,2016,84465.6
country/NRU,2017,122168.4
country/NRU,2018,15147143.0
country/NRU,2019,2349046.4000000004
country/NRU,2020,992682.8
country/NRU,2021,1584232.4000000001
country/NPL,2013,64470920.0
country/NPL,2014,72824804.2
country/NPL,2015,25391869.987853184
country/NPL,2016,25605811.560000002
country/NPL,2017,76283943.1
country/NPL,2018,20041849.2
country/NPL,2019,46097217.1
country/NPL,2020,70224795.45
country/NPL,2021,33744029.0
country/NIC,2013,63604815.4
country/NIC,2014,9433254.0
country/NIC,2015,24176493.9
country/NIC,2016,15038209.6
country/NIC,2017,30481139.2
country/NIC,2018,31471172.2
country/NIC,2019,2670517.8
country/NIC,2020,26925255.0
country/NIC,2021,26765971.2
country/NER,2013,39898235.4
country/NER,2014,54487679.6
country/NER,2015,69842544.89110477
country/NER,2016,171531485.2426889
country/NER,2017,54759789.0
country/NER,2018,94596449.03276
country/NER,2019,162564262.97576404
country/NER,2020,228726914.6584865
country/NER,2021,277918710.1584174
country/NGA,2013,45338174.6
country/NGA,2014,9405531.0
country/NGA,2015,10197384.200000001
country/NGA,2016,24358761.400000002
country/NGA,2017,11548498.0
country/NGA,2018,24224145.400000002
country/NGA,2019,22081227.0
country/NGA,2020,23402705.6
country/NGA,2021,27814592.0
country/NIU,2013,2007574.2000000002
country/NIU,2014,1866692.0
country/NIU,2015,3443489.2
country/NIU,2016,11759.4
country/NIU,2017,97860.0
country/NIU,2018,1435709.8
country/NIU,2019,449755.6
country/NIU,2020,767993.6000000001
country/NIU,2021,2024603.4
country/MKD,2013,3576071.2
country/MKD,2014,540907.2
country/MKD,2015,1264434.0
country/MKD,2016,1422793.8
country/MKD,2017,2622676.6
country/MKD,2018,7436819.2
country/MKD,2019,5007228.600000001
country/MKD,2020,1170499.0
country/MKD,2021,3044089.2
country/PAK,2013,15652937.0
country/PAK,2014,41504134.0
country/PAK,2015,75856302.6
country/PAK,2016,76630011.6
country/PAK,2017,41255668.800000004
country/PAK,2018,7653483.8
country/PAK,2019,96559375.2
country/PAK,2020,65563558.2
country/PAK,2021,74130302.0
country/PLW,2013,1128233.8
country/PLW,2014,997358.0
country/PLW,2015,6935177.4
country/PLW,2016,1645706.8
country/PLW,2017,595543.6
country/PLW,2018,1178066.7999999998
country/PLW,2019,776166.2
country/PLW,2020,3028265.1999999997
country/PLW,2021,4808251.2
country/PAN,2013,2897813.8000000003
country/PAN,2014,215593.2
country/PAN,2015,128062.0
country/PAN,2016,922340.0
country/PAN,2017,10058073.8
country/PAN,2018,455280.0
country/PAN,2019,1768493.8
country/PAN,2020,7324498.600000001
country/PAN,2021,44860.8
country/PNG,2013,4642495.6
country/PNG,2014,1718511.8
country/PNG,2015,53503182.4
country/PNG,2016,35890868.2
country/PNG,2017,10422655.0
country/PNG,2018,645760.2
country/PNG,2019,36970418.0
country/PNG,2020,57421697.800000004
country/PNG,2021,111001831.2
country/PRY,2013,1684444.4000000001
country/PRY,2014,2479950.4000000004
country/PRY,2015,3322813.2
country/PRY,2016,7631650.600000001
country/PRY,2017,10190332.200000001
country/PRY,2018,5179523.4
country/PRY,2019,1573329.4000000001
country/PRY,2020,2184097.4
country/PRY,2021,1400683.2
country/PER,2013,44844326.6
country/PER,2014,34377845.800000004
country/PER,2015,16653474.062685577
country/PER,2016,28263261.11
