dcid,year,interestPaymentsPPGCurrentUSD
country/DZA,2008,113459148.8
country/DZA,2012,85026477.8
country/DZA,2014,27838670.0
country/DZA,2018,25978592.4
country/DZA,2019,22986531.6
country/DZA,2021,21652620.9
country/DZA,2022,10762502.8
country/DZA,1982,1425486808.4
country/DZA,1990,1784599676.8
country/DZA,1992,1818438078.2
country/DZA,1997,1942873885.2
country/DZA,2005,863735158.1
country/DZA,2007,145580465.9
country/DZA,2009,74954578.5
country/DZA,2015,20584403.3
country/DZA,2023,9506709.0
country/DZA,2027,5602045.9
country/AGO,1991,103054294.1
country/AGO,1992,47244334.7
country/AGO,2000,149432202.3
country/AGO,2013,974778004.6
country/AGO,2024,1623521483.8
country/AGO,1993,25672413.2
country/AGO,1994,50837526.8
country/AGO,1995,79623812.8
country/AGO,1996,292960576.2
country/AGO,1998,202436728.2
country/AGO,1999,113598000.0
country/AGO,2003,159691596.2
country/AGO,2007,578933022.4
country/AGO,2009,393462997.9
country/AGO,2011,155071100.6
country/AGO,2012,670139424.2
country/AGO,2015,1336849760.2
country/AGO,2020,2408049622.1
country/AGO,2025,1439123974.5
country/AGO,1989,101689849.5
country/AGO,1997,148193062.0
country/AGO,2001,125033129.4
country/AGO,2002,140036285.1
country/AGO,2004,166038008.0
country/AGO,2008,443527033.6
country/AGO,2010,176668246.9
country/AGO,2019,2549814732.5
country/AGO,2021,2129275412.4
country/AGO,2022,1873380047.3
country/AGO,2027,1006970554.0
country/AGO,2028,739543652.4
country/AGO,1990,100182042.6
country/AGO,2005,256850039.5
country/AGO,2006,820592855.0
country/AGO,2014,1260203407.7
country/AGO,2016,2358213341.7
country/AGO,2017,1361045840.1
country/AGO,2018,2407729012.3
country/AGO,2023,1802189871.9
country/AGO,2026,1148413722.7
country/ARG,1974,250231214.0
country/ARG,1977,328909143.1
country/ARG,1978,513478596.1
country/ARG,1979,579228945.7
country/ARG,1981,1066555011.7
country/ARG,1985,3437949833.7
country/ARG,1986,3198399233.9
country/ARG,1990,2074493006.4
country/ARG,1992,2285495311.4
country/ARG,1993,2269735447.5
country/ARG,1995,3444497487.4
country/ARG,1997,4460454943.7
country/ARG,2003,1160942278.1
country/ARG,2007,1678114741.1
country/ARG,2009,2030914477.0
country/ARG,2011,2455777020.2
country/ARG,2015,5145667958.5
country/ARG,2020,2483893505.7
country/ARG,2022,1929377610.3
country/ARG,2027,1364545628.6
country/ARG,2028,1295024286.5
country/ARG,1970,124219673.5
country/ARG,1971,139123899.4
country/ARG,1972,162266033.8
country/ARG,1973,204452443.4
country/ARG,1980,849410731.7
country/ARG,1983,1484360581.9
country/ARG,1994,2583003009.1
country/ARG,1998,5400082352.9
country/ARG,2004,746438706.1
country/ARG,2024,1682988172.7
country/ARG,2025,1621513605.9
country/ARM,1996,6630574.1
country/ARM,1999,14319093.1
country/ARM,2003,10392422.2
country/ARM,2015,100114324.3
country/ARM,2018,161761417.0
country/ARM,2019,188621792.1
country/ARM,2021,144697121.6
country/ARM,2026,74262547.7
country/ARM,2027,66294093.8
country/ARM,1995,6734548.9
country/ARM,1997,12512117.4
country/ARM,1998,15407020.5
country/ARM,2002,18514639.6
country/ARM,2005,9047432.8
country/ARM,2009,22952759.3
country/ARM,2010,35133414.4
country/ARM,2016,123018990.9
country/ARM,2017,139893426.9
country/ARM,2023,122400378.9
country/ARM,2025,97299243.3
country/ARG,1975,273410848.0
country/ARG,1982,1315865695.4
country/ARG,1984,2087262015.6
country/ARG,1987,3278465081.9
country/ARG,1991,2241998819.1
country/ARG,2000,7895803667.5
country/ARG,2001,2525947475.7
country/ARG,2006,1370255020.1
country/ARG,2010,2700069526.0
country/ARG,2012,2624990145.6
country/ARG,2013,2649986217.3
country/ARG,2016,12304032755.7
country/ARG,2018,10996055981.7
country/ARG,2021,1289794144.2
country/ARG,2023,1993689355.2
country/ARM,1993,1358956.5
country/ARM,1994,4440172.1
country/ARM,2000,9405342.5
country/ARM,2004,8415931.7
country/ARM,2006,9284426.9
country/ARM,2007,9749288.7
country/ARM,2008,11142792.3
country/ARG,1976,272659911.3
country/ARG,1988,2502029161.6
country/ARG,1989,1331431553.5
country/ARG,1996,3717934930.6
country/ARG,1999,6558680924.9
country/ARG,2002,1180641921.5
country/ARG,2005,1453918706.1
country/ARG,2008,2478079224.6
country/ARG,2014,5361016305.8
country/ARG,2017,12433489797.7
country/ARG,2019,8883111338.4
country/ARG,2026,1551309406.2
country/ARM,2011,37905316.5
country/ARM,2014,71398114.3
country/ARM,2020,167249821.6
country/ARM,2022,123352330.8
country/ARM,2024,119373670.8
country/ARM,2028,61134911.9
country/ARM,2001,16537655.9
country/ARM,2012,43442841.2
country/ARM,2013,41681508.4
country/AZE,2002,11066386.7
country/AZE,2015,208159533.1
country/AZE,2018,446394137.9
country/AZE,2028,41580739.8
country/AZE,1997,11645616.1
country/AZE,1998,8791492.7
country/AZE,2000,32255004.2
country/AZE,2003,13610098.7
country/AZE,2008,78338655.0
country/AZE,2012,113496544.4
country/AZE,2016,258955785.3
country/AZE,2019,429359797.3
country/AZE,2024,262438952.1
country/AZE,2026,127580195.7
country/AZE,1996,4323000.0
country/AZE,1999,9202488.6
country/AZE,2001,17641844.8
country/AZE,2009,55260185.5
country/AZE,2010,65221142.0
country/AZE,2013,118964156.8
country/AZE,2020,481627821.8
country/AZE,2021,370047736.4
country/AZE,2023,318015930.9
country/AZE,2025,206790852.4
country/AZE,1995,8692412.0
country/AZE,2004,15576033.3
country/AZE,2005,19647430.7
country/AZE,2006,31757211.9
country/AZE,2007,72061330.3
country/AZE,2011,81800629.8
country/AZE,2014,122994903.6
country/AZE,2017,325890260.7
country/AZE,2022,329234231.2
country/AZE,2027,49235182.8
country/BGD,1973,3964217.7
country/BGD,1978,33986453.5
country/BGD,1974,9451132.4
country/BGD,1981,51161717.7
country/BGD,1986,99511968.2
country/BGD,1988,135994196.6
country/BGD,1991,145778103.8
country/BGD,1992,134850340.6
country/BGD,1998,155303044.9
country/BGD,2005,198853729.3
country/BGD,2006,167475611.2
country/BGD,2007,179780453.3
country/BGD,2014,342376027.6
country/BGD,2016,336142379.5
country/BGD,2024,1118931206.7
country/BGD,2026,1090241026.5
country/BGD,1975,17699552.9
country/BGD,1977,27461994.7
country/BGD,1980,42349438.3
country/BGD,1983,63407289.1
country/BGD,1995,167287728.6
country/BGD,1996,188512787.1
country/BGD,1997,164684317.3
country/BGD,1999,166405729.0
country/BGD,2001,158195010.3
country/BGD,2003,159106293.8
country/BGD,2008,202893440.7
country/BGD,2011,251478531.9
country/BGD,2013,300826892.0
country/BGD,2018,528345569.6
country/BGD,2021,985417757.6
country/BGD,2022,948257917.7
country/BGD,2023,1068316299.5
country/BGD,1976,23744640.3
country/BGD,1979,37592069.7
country/BGD,1990,145359019.4
country/BGD,2002,157257109.5
country/BGD,2009,196921995.9
country/BGD,2027,1044623481.1
country/BGD,2028,983410577.7
country/BGD,1982,56611434.1
country/BGD,1984,71152100.4
country/BGD,1985,83461193.2
country/BGD,1987,128939595.2
country/BGD,1989,135712065.3
country/BGD,1993,146508973.0
country/BGD,1994,165369362.3
country/BGD,2000,165394588.3
country/BGD,2004,175350141.3
country/BGD,2010,195042078.5
country/BGD,2012,288073371.1
country/BGD,2015,306338665.3
country/BGD,2017,494573154.7
country/BGD,2019,656572173.9
country/BGD,2020,707286255.5
country/BGD,2025,1119906212.1
country/BLR,1997,52442834.5
country/BLR,1998,40422427.1
country/BLR,2001,45970986.4
country/BLR,2007,49318583.8
country/BLR,2013,602470610.3
country/BLR,2017,868272731.1
country/BLR,2025,520355968.1
country/BLR,1999,40402075.3
country/BLR,2002,36326374.4
country/BLR,2005,38831085.6
country/BLR,2006,44741871.4
country/BLR,2010,127911211.6
country/BLR,2012,729775431.4
country/BLR,2014,703831463.6
country/BLR,2022,763981775.3
country/BLR,2023,689939738.3
country/BLR,2026,453360413.4
country/BLR,1995,58820228.5
country/BLR,2000,37655208.1
country/BLR,2003,31548341.6
country/BLR,2011,460387661.8
country/BLR,2020,891616274.8
country/BLR,2021,852912584.2
country/BLR,2027,372266580.0
country/BLR,1993,10572449.7
country/BLR,1994,22359794.4
country/BLR,1996,37424387.2
country/BLR,2004,36276961.8
country/BLR,2008,181703453.3
country/BLR,2009,114976616.7
country/BLR,2015,780651638.3
country/BLR,2016,745085485.9
country/BLR,2018,1022415069.2
country/BLR,2019,1015371903.7
country/BLR,2024,618951645.4
country/BLR,2028,272979514.6
country/BLZ,1979,563088.9
country/BLZ,1986,4750566.9
country/BLZ,1988,4024891.4
country/BLZ,1989,5950354.4
country/BLZ,1990,5608568.7
country/BLZ,1991,4921666.1
country/BLZ,1992,5420204.4
country/BLZ,1994,7211018.3
country/BLZ,1997,9360265.6
country/BLZ,2003,65070207.5
country/BLZ,2004,72459213.6
country/BLZ,2006,64431008.4
country/BLZ,2011,48043248.8
country/BLZ,2015,37429136.1
country/BLZ,2016,41824498.0
country/BLZ,2020,32245726.4
country/BLZ,2021,16593060.5
country/BLZ,2027,24705440.2
country/BLZ,1970,10800.0
country/BLZ,1977,255096.2
country/BLZ,1978,307754.6
country/BLZ,1980,895428.8
country/BLZ,1981,1769250.0
country/BLZ,1982,2510671.6
country/BLZ,1987,3967441.8
country/BLZ,2001,45990779.5
country/BLZ,2010,47136994.2
country/BLZ,2018,43316655.4
country/BLZ,2022,35822121.8
country/BLZ,2024,29633949.9
country/BLZ,1972,10007.3
country/BLZ,1973,284451.5
country/BLZ,1975,263068.6
country/BLZ,1984,3375964.0
country/BLZ,1993,5776451.6
country/BLZ,1995,9870770.5
country/BLZ,2000,31606876.9
country/BLZ,2005,72864459.5
country/BLZ,2009,45265277.5
country/BLZ,2012,40045287.4
country/BLZ,2017,41548619.1
country/BLZ,2019,49734556.4
country/BLZ,2025,27927274.0
country/BLZ,2028,23173811.4
country/BLZ,1971,10143.8
country/BLZ,1974,240921.1
country/BLZ,1976,199977.3
country/BLZ,1983,2591002.4
country/BLZ,1985,5872627.1
country/BLZ,1996,11095299.1
country/BLZ,1998,15107677.0
country/BLZ,1999,18626062.9
country/BLZ,2002,47082623.8
country/BLZ,2007,64029844.7
country/BLZ,2008,48594146.5
country/BLZ,2013,21783712.9
country/BLZ,2014,37117603.1
country/BLZ,2023,31063482.2
country/BLZ,2026,26244763.3
country/BEN,1974,796784.9
country/BEN,1976,937621.9
country/BEN,1977,862521.1
country/BEN,1979,3080523.8
country/BEN,1982,5981338.8
country/BEN,1986,21931600.1
country/BEN,1988,7599601.4
country/BEN,1992,10628560.2
country/BEN,1993,12133829.9
country/BEN,1994,18424278.9
country/BEN,2005,14275868.9
country/BEN,2008,10045767.7
country/BEN,2014,24030541.5
country/BEN,2015,24169542.7
country/BEN,2019,76743584.6
country/BEN,2022,197750451.5
country/BEN,2026,255531969.6
country/BEN,2027,240734701.9
country/BEN,1971,971054.4
country/BEN,1978,1987925.0
country/BEN,1980,2906394.0
country/BEN,1983,13673358.2
country/BEN,1990,13038796.6
country/BEN,1995,20661592.5
country/BEN,1998,20703948.9
country/BEN,2000,16799519.6
country/BEN,2004,13701601.2
country/BEN,2007,10582943.7
country/BEN,2011,13321457.9
country/BEN,2012,16145795.1
country/BEN,2013,18624881.1
country/BEN,2018,40121739.5
country/BEN,2023,272234365.3
country/BEN,1972,580092.6
country/BEN,1973,434863.3
country/BEN,1975,820603.5
country/BEN,1984,17208495.0
country/BEN,1989,12120434.3
country/BEN,2001,14199998.3
country/BEN,2006,12413319.2
country/BEN,2025,269183411.2
country/BEN,2028,230080314.5
country/BEN,1970,368670.6
country/BEN,1981,3108815.4
country/BEN,1985,13925285.8
country/BEN,1987,15112311.8
country/BEN,1991,12300886.1
country/BEN,1996,15542959.4
country/BEN,1997,17417288.9
country/BEN,1999,20085257.3
country/BEN,2002,22332851.5
country/BEN,2003,11739182.6
country/BEN,2009,11928696.1
country/BEN,2010,13143066.8
country/BEN,2016,27911823.8
country/BEN,2017,32686421.6
country/BEN,2020,111115439.8
country/BEN,2021,105393248.1
country/BEN,2024,277162244.6
country/BTN,1983,6414.8
country/BTN,1986,153340.4
country/BTN,1989,2297850.2
country/BTN,1990,2045093.6
country/BTN,1999,1997746.2
country/BTN,2001,1726853.3
country/BTN,2004,5170857.9
country/BTN,2005,2008980.6
country/BTN,2009,34437689.7
country/BTN,2010,40746951.0
country/BTN,2012,61270781.6
country/BTN,2016,34252384.1
country/BTN,2018,34026311.8
country/BTN,2026,205631897.0
country/BTN,1987,515456.5
country/BTN,1991,1930453.2
country/BTN,1994,2433125.4
country/BTN,2008,38024399.8
country/BTN,2017,33918598.2
country/BTN,2019,30758860.4
country/BTN,2020,19636713.8
country/BTN,2021,43095353.2
country/BTN,2025,150587285.8
country/BTN,2027,190106701.9
country/BTN,1981,2359.7
country/BTN,1995,2630339.8
country/BTN,2002,1924338.7
country/BTN,2003,2327671.1
country/BTN,2006,3404769.4
country/BTN,2007,6900552.0
country/BTN,2014,40368488.2
country/BTN,2023,128945148.2
country/BTN,2028,175042892.1
country/BTN,1982,3312.8
country/BTN,1984,32808.6
country/BTN,1985,28547.2
country/BTN,1988,666761.9
country/BTN,1992,1766954.3
country/BTN,1993,2375241.6
country/BTN,1996,2608757.9
country/BTN,1997,2244857.0
country/BTN,1998,2148787.5
country/BTN,2000,1820735.6
country/BTN,2011,39812462.0
country/BTN,2013,39905507.5
country/BTN,2015,37124759.9
country/BTN,2022,88868363.4
country/BTN,2024,159783978.1
country/BOL,1977,60915410.2
country/BOL,1980,165512992.4
country/BOL,1981,172460757.2
country/BOL,1982,182502407.2
country/BOL,1986,55332091.3
country/BOL,1988,98708703.8
country/BOL,1994,134322449.5
country/BOL,1996,151285806.9
country/BOL,1998,138047739.2
country/BOL,2005,100090527.4
country/BOL,2009,71221731.2
country/BOL,2011,57740413.5
country/BOL,2012,66282906.7
country/BOL,2014,139654352.2
country/BOL,2017,250315232.4
country/BOL,2022,290087167.0
country/BOL,2023,295629513.7
country/BOL,2027,259779290.7
country/BOL,1971,9189222.8
country/BOL,1976,40150232.1
country/BOL,1979,123888544.1
country/BOL,1985,101578873.4
country/BOL,1990,104939251.8
country/BOL,1999,104489570.8
country/BOL,2000,113436263.5
country/BOL,2002,69260107.6
country/BOL,2006,111693831.8
country/BOL,2007,103582687.5
country/BOL,2025,281605695.5
country/BOL,2026,272179384.8
country/BOL,1972,13254691.0
country/BOL,1973,17914012.5
country/BOL,1978,88096519.4
country/BOL,1983,185708655.1
country/BOL,1987,78551294.1
country/BOL,1991,108707098.6
country/BOL,1992,99808485.3
country/BOL,1993,114085465.1
country/BOL,2003,80385799.3
country/BOL,2004,79001471.7
country/BOL,2008,98796063.7
country/BOL,2020,362834415.8
country/BOL,2024,283447158.1
country/BOL,1970,10479620.2
country/BOL,1974,19387173.2
country/BOL,1975,26631103.3
country/BOL,1984,192356474.4
country/BOL,1989,95440738.4
country/BOL,1995,138652624.1
country/BOL,1997,151246979.1
country/BOL,2001,99922184.5
country/BOL,2010,53724147.7
country/BOL,2013,97354674.3
country/BOL,2015,152929359.6
country/BOL,2016,184961254.5
country/BOL,2018,316224428.8
country/BOL,2019,371300298.3
country/BOL,2021,306535163.6
country/BOL,2028,224347568.8
country/BIH,1999,138978179.3
country/BIH,2001,66386145.3
country/BIH,2011,65746217.4
country/BIH,2012,65447368.4
country/BIH,2021,68108523.0
country/BIH,2022,73889159.5
country/BIH,2025,57575512.7
country/BIH,2005,53406102.6
country/BIH,2006,61382573.1
country/BIH,2008,80215750.5
country/BIH,2010,55425551.2
country/BIH,2013,57435942.0
country/BIH,2014,81705442.5
country/BIH,2019,79593091.9
country/BIH,2027,33190824.4
country/BIH,2000,88882232.9
country/BIH,2002,48507553.5
country/BIH,2004,46668146.7
country/BIH,2007,69766871.2
country/BIH,2023,66116418.4
country/BIH,2026,53304965.7
country/BIH,2028,29230443.8
country/BIH,2003,47458463.9
country/BIH,2009,63401955.4
country/BIH,2015,55594163.0
country/BIH,2016,64668940.8
country/BIH,2017,63179238.4
country/BIH,2018,76633324.0
country/BIH,2020,81660592.2
country/BIH,2024,61246677.3
country/BWA,1976,3182854.6
country/BWA,1977,3466322.1
country/BWA,1982,9807151.4
country/BWA,1986,27868978.9
country/BWA,1987,35204970.8
country/BWA,1996,78045149.7
country/BWA,2002,15156904.1
country/BWA,2003,11444756.3
country/BWA,2005,11729134.0
country/BWA,2008,7671293.6
country/BWA,2009,9063875.4
country/BWA,2011,17916045.2
country/BWA,2019,39695375.7
country/BWA,2020,31394463.3
country/BWA,2022,11746843.0
country/BWA,2024,10289498.5
country/BWA,1970,448700.0
country/BWA,1973,2204927.0
country/BWA,1979,5778268.3
country/BWA,1980,6668470.4
country/BWA,1984,15270235.7
country/BWA,1995,27255797.8
country/BWA,1997,27698176.3
country/BWA,2001,11862545.0
country/BWA,2013,28713873.0
country/BWA,2014,17743557.2
country/BWA,2017,29454728.6
country/BWA,2018,30874973.9
country/BWA,1971,647160.1
country/BWA,1974,3026463.5
country/BWA,1978,4566373.7
country/BWA,1983,12923767.9
country/BWA,1988,36103628.6
country/BWA,1989,35080256.8
country/BWA,1990,38632819.8
country/BWA,1991,34741158.8
country/BWA,1992,35162791.3
country/BWA,1994,30281156.9
country/BWA,1999,20721326.7
country/BWA,2012,21639625.2
country/BWA,2015,15768871.8
country/BWA,2025,9231432.2
country/BWA,2026,7790209.9
country/BWA,2028,4762911.8
country/BWA,1972,1244980.5
country/BWA,1975,3364747.5
country/BWA,1981,6770981.3
country/BWA,1985,20561725.9
country/BWA,1993,32718919.2
country/BWA,1998,22802411.9
country/BWA,2000,15239479.8
country/BWA,2004,10870227.9
country/BWA,2006,10230947.9
country/BWA,2007,9581730.5
country/BWA,2010,17588492.7
country/BWA,2016,18379239.4
country/BWA,2021,14311270.3
country/BWA,2023,11245470.7
country/BWA,2027,6255892.4
country/BRA,1977,1243919383.6
country/BRA,1981,5300989722.6
country/BRA,1992,2391549704.2
country/BRA,2000,6942791168.9
country/BRA,2003,6803500939.9
country/BRA,2006,7145642745.0
country/BRA,2007,7078154923.8
country/BRA,2010,5172181054.8
country/BRA,2012,5039901778.0
country/BRA,2017,6695822309.4
country/BRA,2019,11384471317.2
country/BRA,2022,8572064736.1
country/BRA,1970,140447728.1
country/BRA,1976,1009564451.4
country/BRA,1979,2972571416.1
country/BRA,1994,3549497856.7
country/BRA,1996,5548745701.9
country/BRA,1997,5228904920.8
country/BRA,1999,6651855828.7
country/BRA,2004,7093964998.7
country/BRA,2008,6056586429.1
country/BRA,2011,5445709522.8
country/BRA,2020,7763141924.4
country/BRA,2024,7585964412.0
country/BRA,1971,176656778.7
country/BRA,1972,230434166.8
country/BRA,1974,605659350.8
country/BRA,1978,1936362060.0
country/BRA,1982,6088597471.5
country/BRA,1984,5485432707.5
country/BRA,1985,5684260297.6
country/BRA,1988,9900840108.3
country/BRA,1993,1947063857.5
country/BRA,1998,5152999366.4
country/BRA,2002,6843880768.8
country/BRA,2009,5656466033.5
country/BRA,2014,5725760687.0
country/BRA,2016,5537386459.0
country/BRA,2021,8519238326.2
country/BRA,2025,7058638405.1
country/BRA,1973,401414395.6
country/BRA,1975,898245661.1
country/BRA,1980,4270761561.3
country/BRA,1983,5317713617.9
country/BRA,1986,4901736584.1
country/BRA,1987,5091631226.8
country/BRA,1989,3135128291.0
country/BRA,1990,1588313003.2
country/BRA,1991,1719340239.1
country/BRA,1995,6641350955.7
country/BRA,2001,7103156709.7
country/BRA,2005,6700180689.5
country/BRA,2013,6059435695.8
country/BRA,2015,5895399713.5
country/BRA,2018,5679277521.9
country/BRA,2023,8179413205.2
country/BRA,2026,6795631671.4
country/BRA,2027,6443458565.0
country/BRA,2028,5448450850.6
country/BGR,1981,43070510.3
country/BGR,1983,109230857.0
country/BGR,1986,295603445.7
country/BGR,1989,624003938.6
country/BGR,1990,451655729.9
country/BGR,1993,187495290.8
country/BGR,2003,348737845.2
country/BGR,2008,291832428.3
country/BGR,2023,290613323.8
country/BGR,2027,172853282.6
country/BGR,1985,214915268.2
country/BGR,1991,91150531.6
country/BGR,1992,161847167.4
country/BGR,1997,443060260.6
country/BGR,1998,458614738.6
country/BGR,2010,179524783.8
country/BGR,2011,191891648.9
country/BGR,2012,166834618.5
country/BGR,2013,240082723.0
country/BGR,2016,247214366.3
country/BGR,2018,269251472.0
country/BGR,2020,279661257.9
country/BGR,2028,140106979.4
country/BGR,1987,403528866.4
country/BGR,1988,455592377.3
country/BGR,1994,112954472.6
country/BGR,1995,501010710.9
country/BGR,1996,478924755.1
country/BGR,1999,333237144.6
country/BGR,2000,420339222.2
country/BGR,2002,262842454.7
country/BGR,2007,299509658.9
country/BGR,2014,131753509.3
country/BGR,2015,169307474.4
country/BGR,2019,275830603.1
country/BGR,2021,312857843.2
country/BGR,2022,309593566.5
country/BGR,2025,198215736.0
country/BGR,1982,73214932.0
country/BGR,1984,204459625.7
country/BGR,2001,424901015.4
country/BGR,2004,350748666.6
country/BGR,2005,326950074.6
country/BGR,2006,283645970.1
country/BGR,2009,207869157.7
country/BGR,2017,304154241.8
country/BGR,2024,261390047.5
country/BGR,2026,176934307.4
country/BFA,1977,1715067.9
country/BFA,1970,367139.6
country/BFA,1971,547735.0
country/BFA,1973,774458.4
country/BFA,1976,1586754.6
country/BFA,1979,4491941.1
country/BFA,1984,5931214.0
country/BFA,1985,9843053.3
country/BFA,1975,1516197.4
country/BFA,1978,2637789.9
country/BFA,1980,6284386.3
country/BFA,1983,7602262.8
country/BFA,1972,541516.2
country/BFA,1974,1091003.3
country/BFA,1981,6123855.5
country/BFA,1982,7514263.1
country/BFA,1989,15728334.2
country/BFA,1987,14309601.4
country/BFA,1991,15038775.1
country/BFA,1998,15528286.4
country/BFA,2001,9811061.7
country/BFA,2006,15363445.5
country/BFA,2015,22876277.7
country/BFA,2020,36369621.4
country/BFA,2021,40927565.6
country/BFA,2023,62592600.6
country/BFA,1993,16030736.9
country/BFA,1994,14719259.0
country/BFA,1996,15312175.1
country/BFA,2008,14221759.6
country/BFA,2011,20894587.7
country/BFA,2013,23008009.1
country/BFA,2014,24418683.8
country/BFA,2019,31833835.5
country/BFA,2022,56399043.1
country/BFA,2024,63383967.9
country/BFA,2025,61325351.3
country/BFA,2026,57283288.4
country/BFA,2027,52530537.2
country/BFA,1986,11881207.8
country/BFA,1990,9835356.5
country/BFA,1992,14079973.4
country/BFA,1995,17752741.7
country/BFA,2000,11978561.5
country/BFA,2009,15025650.0
country/BFA,2010,17796594.5
country/BFA,2012,21439542.7
country/BFA,2016,31398046.9
country/BFA,2017,32964779.8
country/BFA,2018,31583627.2
country/BFA,1988,13541877.8
country/BFA,1997,15436486.4
country/BFA,1999,17106205.8
country/BFA,2002,14130404.0
country/BFA,2003,14902876.4
country/BFA,2004,15739969.3
country/BFA,2005,16083762.5
country/BFA,2007,11871124.3
country/BFA,2028,47321631.6
country/BDI,1978,940323.9
country/BDI,1981,1648812.2
country/BDI,1985,8764705.9
country/BDI,1994,12403689.1
country/BDI,2000,4492864.2
country/BDI,2004,16231072.2
country/BDI,2006,5055931.2
country/BDI,2012,2998263.3
country/BDI,2013,3160780.5
country/BDI,2016,3732836.7
country/BDI,2028,6601774.1
country/BDI,1972,285992.3
country/BDI,1973,190565.5
country/BDI,1974,191810.4
country/BDI,1980,1879669.5
country/BDI,1983,3284929.8
country/BDI,1984,8054309.4
country/BDI,1987,15411471.6
country/BDI,1988,16773139.8
country/BDI,1990,12162538.1
country/BDI,1997,8658383.6
country/BDI,2001,4515572.4
country/BDI,2008,7397716.5
country/BDI,2019,4437596.1
country/BDI,2021,5651036.2
country/BDI,2022,3951990.2
country/BDI,2026,7262818.2
country/BDI,1975,414926.3
country/BDI,1976,486390.2
country/BDI,1977,645072.5
country/BDI,1989,15017461.0
country/BDI,1993,11967407.6
country/BDI,1999,6321102.1
country/BDI,2002,4593328.0
country/BDI,2007,5659314.9
country/BDI,2010,1416108.5
country/BDI,2011,2026706.6
country/BDI,2014,3846263.4
country/BDI,2017,2417615.7
country/BDI,2018,3142791.9
country/BDI,2020,3852201.3
country/BDI,2024,6886486.2
country/BDI,2025,7344400.2
country/BDI,2027,6974661.4
country/BDI,1970,191219.9
country/BDI,1971,192998.6
country/BDI,1979,1312668.9
country/BDI,1982,2268820.0
country/BDI,1986,12284055.5
country/BDI,1991,12249960.2
country/BDI,1992,14106923.2
country/BDI,1995,11001065.1
country/BDI,1996,8936757.4
country/BDI,1998,7935825.1
country/BDI,2003,6617858.7
country/BDI,2005,11930526.6
country/BDI,2009,3581188.4
country/BDI,2015,3687961.8
