dcid,year,climateFinanceReceivedDisbursementsCrossCuttingOdaGrantsCurrentUSD
country/PHL,2018,9294730.6
country/PHL,2019,8129360.4
country/PHL,2020,11063201.6
country/PHL,2021,10749324.8
country/RWA,2013,13184323.0
country/RWA,2014,13971788.399999999
country/RWA,2015,17742914.2
country/RWA,2016,15511111.4
country/RWA,2017,11316735.0
country/RWA,2018,13185824.65238378
country/RWA,2019,10722353.6
country/RWA,2020,7285413.600000001
country/RWA,2021,10374154.4
country/SHN,2016,4699289.600000001
country/SHN,2017,6090.0
country/SHN,2018,27620.800000000003
country/SHN,2021,737633.6000000001
country/KNA,2013,83361.6
country/LCA,2013,219946.80000000002
country/LCA,2014,67613.2
country/LCA,2015,538720.4
country/LCA,2016,1182288.8
country/LCA,2017,1726863.2000000002
country/LCA,2018,1009082.4000000001
country/LCA,2019,335866.8
country/LCA,2020,357917.4
country/LCA,2021,733528.2
country/VCT,2013,460116.80000000005
country/VCT,2015,51576.4
country/VCT,2016,1156758.0
country/VCT,2017,822011.2000000001
country/VCT,2018,1235041.2
country/VCT,2019,511870.4
country/VCT,2020,348573.0
country/VCT,2021,367352.6
country/WSM,2013,738893.8
country/WSM,2014,1926131.6
country/WSM,2015,3598351.4000000004
country/WSM,2016,3453268.2
country/WSM,2017,2554156.2
country/WSM,2018,4860514.6
country/WSM,2019,7252026.8
country/WSM,2020,1667271.2000000002
country/WSM,2021,2153287.4
country/STP,2015,70265.2
country/STP,2016,81994.8
country/STP,2017,380435.80000000005
country/STP,2018,502951.00000000006
country/STP,2019,362234.4
country/STP,2020,22173.600000000002
country/STP,2021,607317.0
country/SEN,2013,9030819.8
country/SEN,2014,4876521.6
country/SEN,2015,7221641.4
country/SEN,2016,23918995.6
country/SEN,2017,18722458.6
country/SEN,2018,9157043.8
country/SEN,2019,8213797.800000001
country/SEN,2020,10101420.4
country/SEN,2021,12171310.6
country/SRB,2013,7693277.600000001
country/SRB,2014,6469885.600000001
country/SRB,2015,9779880.200000001
country/SRB,2016,28317339.0
country/SRB,2017,18960506.4
country/SRB,2018,24636327.8
country/SRB,2019,17276642.2
country/SRB,2020,52474438.0
country/SRB,2021,40353061.2
country/SYC,2014,22683.2
country/SYC,2016,272653.0
country/SYC,2017,769011.8
country/SLE,2013,593818.0
country/SLE,2014,950899.2000000001
country/SLE,2015,321468.4
country/SLE,2016,1753726.8
country/SLE,2017,318415.2
country/SLE,2018,441267.2
country/SLE,2019,521330.4
country/SLE,2020,1119931.2
country/SLE,2021,1609888.6
country/SLB,2013,2115504.6
country/SLB,2014,361099.2
country/SLB,2015,194275.0
country/SLB,2016,821721.6000000001
country/SLB,2017,223886.85
country/SLB,2018,2566590.0
country/SLB,2019,5404841.2
country/SLB,2020,2801475.8000000003
country/SLB,2021,12084283.200000001
country/SOM,2013,3806886.4000000004
country/SOM,2014,5507466.0
country/SOM,2015,2449183.0000000005
country/SOM,2016,5051657.600000001
country/SOM,2017,5205748.8
country/SOM,2018,2763634.0
country/SOM,2019,9757909.6
country/SOM,2020,13602738.4
country/SOM,2021,5388723.800000001
country/ZAF,2013,4145420.4000000004
country/ZAF,2014,10214581.8
country/ZAF,2015,5713386.0
country/ZAF,2016,13083502.0
country/ZAF,2017,10624779.6
country/ZAF,2018,1616145.6
country/ZAF,2019,2437633.2
country/ZAF,2020,12476729.600000001
country/ZAF,2021,12606685.200000001
country/SSD,2013,1101734.4
country/SSD,2014,3178478.8000000003
country/SSD,2015,2291643.8000000003
country/SSD,2016,16031616.0
country/SSD,2017,7848609.2
country/SSD,2018,1484686.0
country/SSD,2019,2007860.0000000002
country/SSD,2020,1959256.0
country/SSD,2021,3644751.2
country/LKA,2013,1156108.8
country/LKA,2014,1852877.4000000001
country/LKA,2015,931741.2000000001
country/LKA,2016,4612891.4
country/LKA,2017,2697846.6
country/LKA,2018,704297.0
country/LKA,2019,1641810.4000000001
country/LKA,2020,2311411.6
country/LKA,2021,8084258.800000001
country/SDN,2013,1453040.4000000001
country/SDN,2014,601919.6000000001
country/SDN,2015,4251459.6
country/SDN,2016,803285.4
country/SDN,2017,1115605.0
country/SDN,2018,1013788.6000000001
country/SDN,2019,1715647.8
country/SDN,2020,3189472.2
country/SDN,2021,5984890.600000001
country/SUR,2013,900550.0
country/SUR,2014,615060.0
country/SUR,2015,283394.4
country/SUR,2016,308818.39999999997
country/SUR,2017,58770.4
country/SUR,2018,5708.0
country/SUR,2020,241232.4
country/SUR,2021,2585.2000000000003
country/SYR,2013,569334.8
country/SYR,2014,1857502.8
country/SYR,2015,4256459.600000001
country/SYR,2016,169025.19999999998
country/SYR,2017,161318.0
country/SYR,2018,719888.4
country/SYR,2019,920837.2000000002
country/SYR,2020,3305047.2
country/SYR,2021,565648.0
country/TJK,2013,3601979.8
country/TJK,2014,467032.6
country/TJK,2015,440468.4000000001
country/TJK,2016,1398050.2
country/TJK,2017,1350747.6
country/TJK,2018,1027135.2000000001
country/TJK,2019,5887108.0
country/TJK,2020,610303.6000000001
country/TJK,2021,921450.8
country/TZA,2013,19606937.8
country/TZA,2014,33551077.0
country/TZA,2015,42891777.4
country/TZA,2016,47847692.6
country/TZA,2017,38513306.2
country/TZA,2018,21225906.0
country/TZA,2019,15016374.8
country/TZA,2020,21217702.400000002
country/TZA,2021,24599190.6
country/THA,2013,2697187.8000000003
country/THA,2014,2127859.0
country/THA,2015,1784481.0
country/THA,2016,5068073.0
country/THA,2017,1869496.6
country/THA,2018,1869918.6
country/THA,2019,1573498.6
country/THA,2020,242792.8
country/THA,2021,1834872.4000000001
country/TLS,2013,8517314.4
country/TLS,2014,5942116.0
country/TLS,2015,2871306.0
country/TLS,2016,9730530.8
country/TLS,2017,12645188.8
country/TLS,2018,8424761.4
country/TLS,2019,3173168.6
country/TLS,2020,6766537.600000001
country/TLS,2021,5743825.0
country/TGO,2013,266941.60000000003
country/TGO,2014,779298.8
country/TGO,2015,3483855.0
country/TGO,2016,869877.4
country/TGO,2017,1488321.7999999998
country/TGO,2018,1665141.0
country/TGO,2019,1409873.0
country/TGO,2020,3384966.0
country/TGO,2021,1926778.0
country/TKL,2013,64317.200000000004
country/TKL,2014,87379.20000000001
country/TON,2013,820969.6
country/TON,2014,2493589.2
country/TON,2015,1846985.5999999999
country/TON,2016,586670.0
country/TON,2017,39436.4
country/TON,2018,1383508.4000000001
country/TON,2019,1532555.6
country/TON,2020,1511341.8
country/TON,2021,1245774.0
country/TUN,2013,2153140.4
country/TUN,2014,1421463.8
country/TUN,2015,5435743.4
country/TUN,2016,2108048.6
country/TUN,2017,1965943.6
country/TUN,2018,6555471.8
country/TUN,2019,3300466.99898
country/TUN,2020,3905030.8000000003
country/TUN,2021,6766658.0
country/TKM,2014,327112.4
country/TKM,2015,461320.0
country/TKM,2016,553740.8
country/TKM,2017,173189.2
country/TKM,2018,4720.8
country/TKM,2020,7646.0
country/TKM,2021,593396.0
country/TUV,2013,488147.00000000006
country/TUV,2014,7355972.4
country/TUV,2015,5264971.0
country/TUV,2016,2477260.8
country/TUV,2017,1138763.2000000002
country/TUV,2018,1310901.4000000001
country/TUV,2019,1009359.0
country/TUV,2020,311299.60000000003
country/TUV,2021,1211462.4
country/TUR,2013,17283357.200000003
country/TUR,2014,89740586.4
country/TUR,2015,87154958.80000001
country/TUR,2016,133213994.0
country/TUR,2017,46458046.4
country/TUR,2018,63874359.400000006
country/TUR,2019,53455284.6
country/TUR,2020,47419685.2
country/TUR,2021,153061332.2
country/UGA,2013,44240119.8
country/UGA,2014,45529821.2
country/UGA,2015,53693316.8
country/UGA,2016,59738908.0
country/UGA,2017,37443355.0
country/UGA,2018,22845475.587837722
country/UGA,2019,24480974.400000002
country/UGA,2020,23052051.400000002
country/UGA,2021,22755364.6
country/UKR,2013,50522779.6
country/UKR,2014,9935676.6
country/UKR,2015,9150128.0
country/UKR,2016,9826894.0
country/UKR,2017,13317861.8
country/UKR,2018,7742741.4
country/UKR,2019,7057549.800000001
country/UKR,2020,7342449.2
country/UKR,2021,9268330.4
country/URY,2013,141929.0
country/URY,2014,71805.6
country/URY,2015,14598.0
country/URY,2016,255793.6
country/URY,2017,34442.4
country/UZB,2013,676280.6
country/UZB,2014,1111752.8
country/UZB,2015,1662786.4
country/UZB,2016,2147374.0
country/UZB,2017,6438754.6
country/UZB,2018,9628184.4
country/UZB,2019,2441050.2
country/UZB,2020,17100590.8
country/UZB,2021,7837337.4
country/VUT,2013,2166696.8000000003
country/VUT,2014,2852108.8000000003
country/VUT,2015,3125503.2
country/VUT,2016,4920816.0
country/VUT,2017,6024352.2
country/VUT,2018,2984947.4
country/VUT,2019,1226849.6
country/VUT,2020,1626202.8
country/VUT,2021,2883651.0
country/VEN,2013,74196.8
country/VEN,2014,12920.000000000002
country/VEN,2015,38713.8
country/VEN,2016,21306.0
country/VEN,2017,294206.0
country/VEN,2018,10875.2
country/VEN,2019,433962.4
country/VEN,2020,675050.8
country/VEN,2021,47131.2
country/VNM,2013,29698182.0
country/VNM,2014,21228059.8
country/VNM,2015,18212079.8
country/VNM,2016,31511999.6
country/VNM,2017,29037210.0
country/VNM,2018,6121958.515294579
country/VNM,2019,9084951.606430301
country/VNM,2020,13807288.200000001
country/VNM,2021,14071415.600000001
country/WLF,2018,30685.600000000002
country/WLF,2020,608500.0
country/WLF,2021,21658.800000000003
country/PSE,2013,6169036.0
country/PSE,2014,6164498.0
country/PSE,2015,6165116.0
country/PSE,2016,30997845.400000002
country/PSE,2017,14344710.6
country/PSE,2018,8632308.200000001
country/PSE,2019,27376940.8
country/PSE,2020,10152374.0
country/PSE,2021,10402271.0
country/YEM,2013,1035474.8
country/YEM,2014,4375168.4
country/YEM,2015,5761849.600000001
country/YEM,2016,6503506.0
country/YEM,2017,11377397.2
country/YEM,2018,6806706.800000001
country/YEM,2019,14463956.8
country/YEM,2020,9398018.8
country/YEM,2021,6768484.800000001
country/ZMB,2013,9121962.4
country/ZMB,2014,9486943.200000001
country/ZMB,2015,10969647.0
country/ZMB,2016,27224644.400000002
country/ZMB,2017,28479878.8
country/ZMB,2018,16447238.000000002
country/ZMB,2019,32194475.0
country/ZMB,2020,13517050.0
country/ZMB,2021,10794725.0
country/ZWE,2013,6724217.4
country/ZWE,2014,2485560.8000000003
country/ZWE,2015,8431032.4
country/ZWE,2016,4506515.600000001
country/ZWE,2017,12861832.600000001
country/ZWE,2018,15220022.0
country/ZWE,2019,12383016.4
country/ZWE,2020,12648105.8
country/ZWE,2021,5666824.0
