dcid,year,debtOutstandingAndDisbursedPPGCurrentUSD
country/BLZ,1987,111046109.7
country/BLZ,1991,151020042.6
country/BLZ,1999,341019291.4
country/BLZ,2004,936756577.4
country/BLZ,2006,1019586984.0
country/BLZ,2008,1021346555.1
country/BLZ,2009,1036856715.9
country/BLZ,2014,1101355305.1
country/BLZ,2019,1285549805.7
country/BLZ,2020,1408403247.8
country/BLZ,2021,1276447825.9
country/BLZ,1970,4084800.0
country/BLZ,1976,9165985.1
country/BLZ,1977,13669097.4
country/BLZ,1981,56060896.7
country/BLZ,1985,94382711.0
country/BLZ,1988,119008558.3
country/BLZ,1990,136234642.3
country/BLZ,1995,219438788.4
country/BLZ,1998,282940184.2
country/BLZ,2002,779301528.2
country/BLZ,2010,1018915831.7
country/BLZ,2013,1052738470.7
country/BLZ,2015,1153490893.8
country/BLZ,2016,1176748499.2
country/BLZ,2017,1230933304.1
country/BEN,1974,104736798.1
country/BEN,1979,348913568.0
country/BEN,1980,385320506.0
country/BEN,1986,857769295.1
country/BEN,1988,1014797515.6
country/BEN,1990,1046319864.5
country/BEN,1992,1149947239.2
country/BEN,1993,1194513979.3
country/BEN,2000,1245904662.4
country/BEN,2003,1361711524.2
country/BEN,2009,982643252.0
country/BEN,2014,1761635735.5
country/BEN,2015,1902001319.6
country/BEN,2018,3299429582.8
country/BEN,2019,3603242971.3
country/BEN,2020,4458971290.5
country/BEN,2021,5828138365.8
country/BEN,1970,42326414.5
country/BEN,1976,136239652.7
country/BEN,1985,745711629.3
country/BEN,1989,989161417.4
country/BEN,1991,1065457535.2
country/BEN,1998,1265590861.4
country/BEN,1999,1271534069.5
country/BEN,2007,766724915.2
country/BEN,2008,871899139.9
country/BEN,2013,1594875397.3
country/BEN,2017,2510628402.7
country/BEN,1971,49825705.9
country/BEN,1982,665975642.2
country/BEN,1983,702075345.3
country/BEN,1984,662871778.7
country/BEN,1994,1279929923.2
country/BEN,1995,1265304706.1
country/BEN,2001,1309945403.1
country/BEN,2002,1456262255.7
country/BEN,2004,1512719543.1
country/BEN,2006,602480824.0
country/BEN,2011,1192152175.0
country/BEN,2012,1300014620.7
country/BEN,1972,45300101.9
country/BEN,1973,87567697.1
country/BEN,1975,113928315.7
country/BEN,1977,179936571.8
country/BEN,1978,214723252.1
country/BEN,1981,443969123.5
country/BEN,1987,1027018310.7
country/BEN,1996,1231456398.1
country/BEN,1997,1180059299.1
country/BEN,2005,1450671912.8
country/BEN,2010,1112249265.4
country/BEN,2016,2017730727.3
country/BTN,1982,1143925.1
