dcid,year,healthExpenditurePrivateCurrentUSD
country/SWZ,2016,66692527.54709243
country/SWZ,2017,78439500.82581499
country/SWZ,2018,74801807.35064688
country/SWZ,2019,70238739.36185955
country/SWZ,2020,63781450.86469274
country/ETH,2000,151609257.71633083
country/ETH,2001,154126093.13439068
country/ETH,2002,159133803.28440955
country/ETH,2003,165870861.78173238
country/ETH,2004,173000857.0692967
country/ETH,2005,180937058.28901318
country/ETH,2006,289042683.3445437
country/ETH,2007,386639577.1424112
country/ETH,2008,459816815.7302842
country/ETH,2009,625165114.6372416
country/ETH,2010,707000203.6823652
country/ETH,2011,734770905.1066717
country/ETH,2012,930490354.128239
country/ETH,2013,943436568.2787238
country/ETH,2014,1285599364.573359
country/ETH,2015,1362252533.8497229
country/ETH,2016,1422808998.3824093
country/ETH,2017,1052913770.5669966
country/ETH,2018,1077295205.7398245
country/ETH,2019,1294562213.4624486
country/ETH,2020,1255019014.6040084
country/GAB,2000,96098246.17588839
country/GAB,2001,92637965.42984605
country/GAB,2002,110502733.41360413
country/GAB,2003,132783366.33987643
country/GAB,2004,149051234.18934488
country/GAB,2005,166748029.65667552
country/GAB,2006,188315012.12897035
country/GAB,2007,229364244.60781375
country/GAB,2008,259957186.43253133
country/GAB,2009,272934398.1709494
country/GAB,2010,125628561.50904898
country/GAB,2011,171961594.2884087
country/GAB,2012,159075340.95655447
country/GAB,2013,177250230.7117388
country/GAB,2014,180368344.71071
country/GAB,2015,153917283.08587462
country/GAB,2016,150865197.13116822
country/GAB,2017,149896650.9653745
country/GAB,2018,186031910.34241372
country/GAB,2019,182751736.187347
country/GAB,2020,177369328.88389692
country/GMB,2000,11030051.949529627
country/GMB,2001,9208060.17703442
country/GMB,2002,9210204.816037895
country/GMB,2003,7163208.647117816
country/GMB,2004,7706421.432174966
country/GMB,2005,9007794.12957285
country/GMB,2006,10212064.74445253
country/GMB,2007,12720860.146233683
country/GMB,2008,15791939.77654462
country/GMB,2009,14539806.92464407
country/GMB,2010,15011516.787926445
country/GMB,2011,15006586.052153448
country/GMB,2012,14809232.087549565
country/GMB,2013,14156388.533736244
country/GMB,2014,13592594.493543033
country/GMB,2015,14715235.904852223
country/GMB,2016,15610979.722047808
country/GMB,2017,15996509.722161733
country/GMB,2018,16500655.434007037
country/GMB,2019,18165357.273736082
country/GMB,2020,17661425.81487422
country/GHA,2000,192694505.64405918
country/GHA,2001,207809677.86873415
country/GHA,2002,251566128.38904643
country/GHA,2003,289114639.37904966
country/GHA,2004,311884406.6869972
country/GHA,2005,397934929.911155
country/GHA,2006,479294228.55278945
country/GHA,2007,580636123.5037628
country/GHA,2008,657824816.7256658
country/GHA,2009,596235852.717738
country/GHA,2010,629212737.5866867
country/GHA,2011,1016308736.3879985
country/GHA,2012,950108092.552879
country/GHA,2013,1239902086.9609106
country/GHA,2014,1083300104.4336846
country/GHA,2015,897488214.7923638
country/GHA,2016,930142072.0093431
country/GHA,2017,1072511194.8826206
country/GHA,2018,1133885665.3650503
country/GHA,2019,1110061999.031439
country/GHA,2020,1123447624.6379302
country/GIN,2000,126158011.12454687
country/GIN,2001,118812084.66520461
country/GIN,2002,128993755.36857608
country/GIN,2003,143149031.47464174
country/GIN,2004,167604279.93220377
country/GIN,2005,128663932.6939149
country/GIN,2006,109174173.61267495
country/GIN,2007,157971865.8787711
country/GIN,2008,163192629.54635596
country/GIN,2009,176271733.4578268
country/GIN,2010,164419706.378536
country/GIN,2011,155900496.41099685
country/GIN,2012,163939879.70042887
country/GIN,2013,183524642.1850194
country/GIN,2014,288878538.31377465
country/GIN,2015,353253623.8604221
country/GIN,2016,280525251.27159446
country/GIN,2017,303825317.9942648
country/GIN,2018,322219896.3853493
country/GIN,2019,366502006.05869526
country/GIN,2020,330739673.2991841
country/GNB,2000,11123768.956260372
country/GNB,2001,12082496.653311815
country/GNB,2002,11594287.794456579
country/GNB,2003,12467701.529028246
country/GNB,2004,14975400.348411683
country/GNB,2005,17187044.74482066
country/GNB,2006,18509064.478010997
country/GNB,2007,19934297.819223087
country/GNB,2008,27155583.502978623
country/GNB,2009,24317506.778694734
country/GNB,2010,24593201.547327198
country/GNB,2011,28798491.550029878
country/GNB,2012,39465761.58706435
country/GNB,2013,53196049.47956065
country/GNB,2014,65572805.769255385
country/GNB,2015,65528877.55272318
country/GNB,2016,69983323.24723166
country/GNB,2017,73798596.71157788
country/GNB,2018,76889539.82156923
country/GNB,2019,82097853.26334545
country/GNB,2020,83599052.60810594
country/KEN,2000,386793828.9351622
country/KEN,2001,406118153.40363896
country/KEN,2002,406239329.1273331
country/KEN,2003,482869606.2472556
country/KEN,2004,523104513.20887166
country/KEN,2005,611511478.3841166
country/KEN,2006,708837635.6208452
country/KEN,2007,871455082.3607417
country/KEN,2008,959340483.7865853
country/KEN,2009,958864764.2546387
country/KEN,2010,1033303553.6534528
country/KEN,2011,1043847365.4669807
country/KEN,2012,1224871253.8891578
country/KEN,2013,1327996367.449388
country/KEN,2014,1428204501.9306629
country/KEN,2015,1393083567.4995866
country/KEN,2016,1457781804.9069269
country/KEN,2017,1176320528.8230445
country/KEN,2018,1312808749.5039194
country/KEN,2019,1557258840.3719628
country/KEN,2020,1504529324.704963
country/LSO,2000,18876547.618733134
country/LSO,2001,21740422.402944457
country/LSO,2002,17513042.106757715
country/LSO,2003,20637217.17805359
country/LSO,2004,25574720.45302466
country/LSO,2005,27984382.66305379
country/LSO,2006,29010501.321767937
country/LSO,2007,31951082.579823755
country/LSO,2008,30521386.1756552
country/LSO,2009,32366930.524819516
country/LSO,2010,45242337.57117793
country/LSO,2011,45440678.90061156
country/LSO,2012,43899498.072692625
country/LSO,2013,38262515.49496047
country/LSO,2014,36329412.87974638
country/LSO,2015,34884217.03632435
country/LSO,2016,31409524.968780745
country/LSO,2017,39760313.06995495
country/LSO,2018,39420552.32966587
country/LSO,2019,38730930.38406572
country/LSO,2020,36155741.70389033
country/LBR,2000,27539706.758755572
country/LBR,2001,20093891.894325525
country/LBR,2002,18849594.051089656
country/LBR,2003,18164340.80415862
country/LBR,2004,66652837.367067896
country/LBR,2005,70067748.66940089
country/LBR,2006,68450975.86727194
country/LBR,2007,104880075.82413639
country/LBR,2008,100641698.52612427
country/LBR,2009,87136630.60939175
country/LBR,2010,95568790.73031144
country/LBR,2011,114084160.1980339
country/LBR,2012,115066108.96760906
country/LBR,2013,131226394.81578945
country/LBR,2014,155277821.33969066
country/LBR,2015,181787158.61978748
country/LBR,2016,178685677.41728163
country/LBR,2017,173290986.67626825
country/LBR,2018,166499843.87724444
country/LBR,2019,154214820.5906807
country/LBR,2020,147926777.14228427
country/MDG,2000,96117254.83889662
country/MDG,2001,105165542.26437204
country/MDG,2002,118149227.11019157
country/MDG,2003,132199548.8670658
country/MDG,2004,98694133.79520148
country/MDG,2005,120489736.61583182
country/MDG,2006,124623407.89316149
country/MDG,2007,157093165.66709983
country/MDG,2008,201162700.55473748
country/MDG,2009,194749189.46926802
country/MDG,2010,203752374.77924356
country/MDG,2011,182434766.72839478
country/MDG,2012,183162791.1038221
country/MDG,2013,207898974.29065666
country/MDG,2014,196189660.85698304
country/MDG,2015,177805060.12722555
country/MDG,2016,177174835.6979562
country/MDG,2017,197267663.15377823
country/MDG,2018,207188702.09137404
country/MDG,2019,209359708.16958535
country/MDG,2020,208527764.77080426
country/MWI,2000,10831305.363599943
country/MWI,2001,10512170.620567707
country/MWI,2002,23254364.334624708
country/MWI,2003,28094466.449712995
country/MWI,2004,25639886.18640732
country/MWI,2005,28914357.739233237
country/MWI,2006,50268964.63192723
country/MWI,2007,72130026.13650571
country/MWI,2008,93505558.64220205
country/MWI,2009,101887149.99586804
country/MWI,2010,76731918.54825774
country/MWI,2011,83547404.67790815
country/MWI,2012,68134351.9148423
country/MWI,2013,87719264.15096729
country/MWI,2014,83584939.40921314
country/MWI,2015,106655336.20442788
country/MWI,2016,128791192.65186177
country/MWI,2017,118550334.74490686
country/MWI,2018,123081053.55633596
country/MWI,2019,135088843.11636996
country/MWI,2020,175835083.08666947
country/MLI,2000,114198557.83199392
country/MLI,2001,109422397.44727762
country/MLI,2002,124223998.40845537
country/MLI,2003,150260319.77131972
country/MLI,2004,163530082.0970154
country/MLI,2005,191185585.58914024
country/MLI,2006,220412295.7461447
country/MLI,2007,270705286.01199806
country/MLI,2008,323355783.4618349
country/MLI,2009,340543083.7268785
country/MLI,2010,291815618.41200286
country/MLI,2011,273350651.8730704
country/MLI,2012,220882083.41202518
country/MLI,2013,195874287.7558517
country/MLI,2014,230205629.7507804
country/MLI,2015,195721228.4986851
country/MLI,2016,199769755.04526752
country/MLI,2017,222026838.04441532
country/MLI,2018,217670808.54347232
country/MLI,2019,218100637.75693426
country/MLI,2020,226138719.11608464
country/MRT,2000,49142527.61876202
country/MRT,2001,50430738.618376166
country/MRT,2002,52089923.114260845
country/MRT,2003,59202174.24324222
country/MRT,2005,70616423.48449957
country/MRT,2006,76769160.46388683
country/MRT,2007,86583917.48195305
country/MRT,2008,102528150.80141632
country/MRT,2009,97510209.28245878
country/MRT,2010,98437067.38936716
country/MRT,2011,107690841.93489112
country/MRT,2012,108407638.75126426
country/MRT,2013,110448285.06160988
country/MRT,2014,122491357.89644067
country/MRT,2015,119482148.91639233
country/MRT,2016,116715456.09677313
country/MRT,2017,122472554.38394712
country/MRT,2018,130155444.46023405
country/MRT,2019,134212171.08841908
country/MRT,2020,138880521.8356599
country/MUS,2000,65102038.802684695
country/MUS,2001,65116880.344647825
country/MUS,2002,76445165.35578401
country/MUS,2003,92920853.6380245
country/MUS,2004,105304172.83017072
country/MUS,2005,125066214.33290367
country/MUS,2006,141367952.9153463
country/MUS,2007,168853353.75552002
country/MUS,2008,254452005.73475316
country/MUS,2009,232925396.1964719
country/MUS,2010,247278477.52660438
country/MUS,2011,272627449.9178741
country/MUS,2012,266451294.0410424
country/MUS,2013,322516699.0064233
country/MUS,2014,383149608.278574
country/MUS,2015,371385135.76520324
country/MUS,2016,388562316.3541797
country/MUS,2017,427179230.307154
country/MUS,2018,462312118.1631057
country/MUS,2019,458674537.1647672
country/MUS,2020,346275569.1566817
country/MOZ,2000,49089030.43294095
country/MOZ,2001,42085582.978098646
country/MOZ,2002,52637103.93239162
country/MOZ,2003,46746592.34406474
country/MOZ,2004,45357315.61132825
country/MOZ,2005,48270247.320526265
country/MOZ,2006,50233837.02632475
country/MOZ,2007,53901259.79230551
country/MOZ,2008,64950513.21224996
country/MOZ,2009,59387318.17635529
country/MOZ,2010,51335893.85978279
country/MOZ,2011,60062269.25633989
country/MOZ,2012,150784983.61820093
country/MOZ,2013,173069717.41843507
country/MOZ,2014,208005452.74507934
country/MOZ,2015,195909587.06785604
country/MOZ,2016,148017561.73099068
country/MOZ,2017,162587339.8623781
country/MOZ,2018,184074814.96711165
country/MOZ,2019,189151087.82482895
country/MOZ,2020,172687051.459296
country/NAM,2000,167642352.2901744
country/NAM,2001,142764411.97531673
country/NAM,2002,134271900.64492545
country/NAM,2003,196962120.87446377
country/NAM,2004,250013502.2464305
country/NAM,2005,256108418.5627254
country/NAM,2006,281523290.08666867
country/NAM,2007,342059094.702945
country/NAM,2008,309248943.65128964
country/NAM,2009,337979250.77965707
country/NAM,2010,490548004.67924005
country/NAM,2011,576232570.7843466
country/NAM,2012,607882332.0939434
country/NAM,2013,517807832.7859015
country/NAM,2014,499743136.78252214
country/NAM,2015,589245259.6610056
country/NAM,2016,461124692.5169333
country/NAM,2017,525398004.31085634
country/NAM,2018,555244174.8665192
country/NAM,2019,507060544.89332646
country/NAM,2020,428909983.8343132
country/NER,2000,69204947.63890725
country/NER,2001,76645832.8828114
country/NER,2002,87771571.05143973
country/NER,2003,108099325.40982954
country/NER,2004,123100691.0367443
country/NER,2005,145645560.12956107
country/NER,2006,156713933.22698778
country/NER,2007,183909611.85188013
country/NER,2008,221875013.6186762
country/NER,2009,231847472.57287872
country/NER,2010,237949516.7879288
country/NER,2011,269483125.78579646
country/NER,2012,253965250.02816832
country/NER,2013,265015583.56102228
country/NER,2014,280017656.2493054
country/NER,2015,283016693.40940815
country/NER,2016,286008345.4085652
country/NER,2017,322545307.0912453
country/NER,2018,372765312.4711529
country/NER,2019,359077265.6892074
country/NER,2020,396566009.7664164
country/NGA,2000,1403454302.3088162
country/NGA,2001,1548561308.0856323
country/NGA,2002,1670420935.134816
country/NGA,2003,3947523087.14398
country/NGA,2004,4097269637.3506947
country/NGA,2005,5227346904.573895
country/NGA,2006,6963520347.561226
country/NGA,2007,7607486538.611436
country/NGA,2008,9283861443.63506
country/NGA,2009,8292106504.977164
country/NGA,2010,9749870483.540976
country/NGA,2011,10685555063.774473
country/NGA,2012,11674083460.317461
country/NGA,2013,12903883697.966852
country/NGA,2014,14163004919.97476
country/NGA,2015,13045592322.122377
country/NGA,2016,11315725312.830387
country/NGA,2017,11010594736.206068
country/NGA,2018,10001784100.225794
country/NGA,2019,10273181321.910652
country/NGA,2020,10965326753.690468
country/RWA,2000,26149942.971852455
country/RWA,2001,24850373.172639128
country/RWA,2002,24955087.019884296
country/RWA,2003,36033027.871225365
country/RWA,2004,48307741.32857063
country/RWA,2005,65313543.168747745
country/RWA,2006,59262885.69272769
country/RWA,2007,71836498.07475933
country/RWA,2008,90081195.47590151
country/RWA,2009,101705645.43372896
country/RWA,2010,113106746.98994793
country/RWA,2011,125025476.13731793
country/RWA,2012,132155244.11069703
country/RWA,2013,125389149.51387386
country/RWA,2014,123807015.03202173
country/RWA,2015,148665865.53746176
country/RWA,2016,149115741.0195886
country/RWA,2017,152438839.5196996
country/RWA,2018,167146927.91468266
country/RWA,2019,177096424.22341698
country/RWA,2020,181015995.98685947
country/STP,2000,3274460.865407131
country/STP,2001,3145320.652095544
country/STP,2002,3299351.7727414025
country/STP,2003,3625908.3734655143
country/STP,2004,4087872.6699598883
country/STP,2005,4513144.146613295
country/STP,2006,4055643.4832151374
country/STP,2007,3842460.337798829
country/STP,2008,3689263.496327194
country/STP,2009,3490302.293715876
country/STP,2010,3149421.8692738726
country/STP,2011,3478052.581466071
country/STP,2012,3362156.427255465
country/STP,2013,4014883.8517946824
country/STP,2014,3973820.807603553
country/STP,2015,2948269.565085838
country/STP,2016,3531515.8440773454
country/STP,2017,3893137.469883139
country/STP,2018,4398379.4939371925
country/STP,2019,4488185.216152951
country/STP,2020,5175787.445217083
country/SEN,2000,129651529.37640576
country/SEN,2001,138838243.12754956
country/SEN,2002,169209085.46647635
country/SEN,2003,230332870.0974359
country/SEN,2004,286516381.6565931
country/SEN,2005,202218414.25937152
country/SEN,2006,210495340.8862074
country/SEN,2007,265542721.06986257
country/SEN,2008,318952010.72854024
country/SEN,2009,351046491.0971409
country/SEN,2010,382044516.4217049
country/SEN,2011,453542303.1335564
country/SEN,2012,467846594.27475417
country/SEN,2013,530047885.5361944
country/SEN,2014,495526461.3120502
country/SEN,2015,446411200.8280377
country/SEN,2016,466408690.40804815
country/SEN,2017,501687768.8496974
country/SEN,2018,556889894.8078663
country/SEN,2019,601728969.5338373
country/SEN,2020,628071336.2278873
country/SYC,2000,5070957.106312473
country/SYC,2001,10118758.213414323
country/SYC,2002,6196801.0784605965
country/SYC,2003,8215142.72426807
country/SYC,2004,10582135.701818181
country/SYC,2005,12192669.821818182
country/SYC,2006,12256124.371681381
country/SYC,2007,10616940.425686141
country/SYC,2008,15112691.222623719
country/SYC,2009,12572862.244132267
country/SYC,2010,15728233.041751014
country/SYC,2011,14836817.687259087
country/SYC,2012,17148800.852403603
country/SYC,2013,15560743.131642157
country/SYC,2014,19174534.881057344
country/SYC,2015,18302652.10296738
country/SYC,2016,19912846.199009642
country/SYC,2017,19775367.682435695
country/SYC,2018,21059858.447740186
country/SYC,2019,22405941.810343284
country/SYC,2020,11724287.170333037
country/SLE,2000,81385046745.75851
country/SLE,2001,85742050813.11816
