dcid,year,climateFinanceReceivedDisbursementsOdaGrantsCurrentUSD
country/DJI,2013,7422703.800000001
country/DJI,2014,4920652.4
country/DJI,2015,3312650.8000000003
country/DJI,2016,7952734.2
country/DJI,2017,2145243.2
country/DJI,2018,21584292.8
country/DJI,2019,31972334.790200002
country/DJI,2020,38321824.89069731
country/DJI,2021,17477081.66850482
country/DMA,2013,960908.8
country/DMA,2014,968088.0
country/DMA,2015,215501.0
country/DMA,2016,1873363.4
country/DMA,2017,2886999.2
country/DMA,2018,4460369.9
country/DMA,2019,9359670.9309
country/DMA,2020,7283855.3282
country/DMA,2021,12038991.1968
country/DOM,2013,5807645.0
country/DOM,2014,4657576.600000001
country/DOM,2015,3108498.0
country/DOM,2016,6628596.8
country/DOM,2017,11181346.8
country/DOM,2018,8880662.6
country/DOM,2019,11789342.4
country/DOM,2020,14628770.6
country/DOM,2021,14859048.4
country/ECU,2013,30249417.0
country/ECU,2014,36015924.980000004
country/ECU,2015,17196928.0
country/ECU,2016,12468824.0
country/ECU,2017,18454286.400000002
country/ECU,2018,44452078.0
country/ECU,2019,38694355.0498
country/ECU,2020,18003764.400000002
country/ECU,2021,28268586.34
country/EGY,2013,13983297.8
country/EGY,2014,37818150.2
country/EGY,2015,38808436.4
country/EGY,2016,55777753.8
country/EGY,2017,17552583.400000002
country/EGY,2018,30203825.0
country/EGY,2019,29011835.6
country/EGY,2020,41472112.2
country/EGY,2021,38664786.6
country/SLV,2013,24256803.2
country/SLV,2014,6515001.48
country/SLV,2015,8499453.4
country/SLV,2016,16772500.4
country/SLV,2017,8340806.600000001
country/SLV,2018,10389785.6
country/SLV,2019,6069903.600000001
country/SLV,2020,9274215.6
country/SLV,2021,9608263.0
country/GNQ,2013,4584.8
country/GNQ,2014,54920.4
country/GNQ,2015,137659.40000000002
country/GNQ,2016,733326.4
country/GNQ,2017,11341.2
country/GNQ,2018,56605.2
country/GNQ,2019,17676.0
country/GNQ,2020,60133.4
country/GNQ,2021,722243.8
country/ERI,2013,2674008.8
country/ERI,2014,5031039.8
country/ERI,2015,6379464.0
country/ERI,2016,11358840.399999999
country/ERI,2017,6905610.8
