dcid,year,HivPeopleLivingWithHIVReceivingARTPeople
country/BFA,2020,69207.0
country/BFA,2021,74340.0
country/BFA,2022,78511.0
country/BDI,2018,60047.0
country/BDI,2021,67546.0
country/KHM,2010,40515.0
country/KHM,2014,50435.0
country/KHM,2017,56668.0
country/KHM,2021,62561.0
country/KHM,2022,64931.0
country/CMR,2014,145038.0
country/CMR,2017,253715.0
country/CMR,2019,312441.0
country/CMR,2021,388780.0
country/CAN,2011,23764.0
country/CAN,2020,49168.0
country/CAF,2010,15287.0
country/CAF,2012,16632.0
country/TCD,2010,27587.0
country/TCD,2013,38873.0
country/TCD,2020,77017.0
country/COL,2010,22588.0
country/COL,2014,55319.0
country/COL,2015,66889.0
country/COL,2019,115991.0
country/COM,2010,17.0
country/COM,2011,19.0
country/COG,2013,19563.0
country/COG,2014,19346.0
country/COG,2018,25251.0
country/CRI,2014,4672.0
country/CRI,2015,5623.0
country/CRI,2017,6960.0
country/CRI,2019,9058.0
country/CRI,2020,9217.0
country/CRI,2021,11086.0
country/HRV,2013,725.0
country/HRV,2020,1300.0
country/CUB,2010,6001.0
country/CUB,2019,24514.0
country/CYP,2018,836.0
country/CZE,2015,1390.0
country/CIV,2011,98464.0
country/CIV,2013,122959.0
country/CIV,2014,140710.0
country/CIV,2022,292663.0
country/COD,2010,43790.0
country/COD,2015,121762.0
country/COD,2016,157072.0
country/COD,2019,233877.0
country/DNK,2010,3576.0
country/DNK,2011,3862.0
country/DNK,2022,6107.0
country/DJI,2010,967.0
country/DJI,2021,1864.0
country/DOM,2011,17023.0
country/DOM,2018,32265.0
country/DOM,2019,34839.0
country/ECU,2013,10873.0
country/ECU,2016,18275.0
country/ECU,2017,21526.0
country/EGY,2012,939.0
country/EGY,2013,1224.0
country/EGY,2014,1780.0
country/EGY,2018,6693.0
country/SLV,2014,10549.0
country/SLV,2020,13843.0
country/GNQ,2010,2300.0
country/GNQ,2018,21368.0
country/GNQ,2019,22900.0
country/GNQ,2020,25703.0
country/GNQ,2021,27211.0
country/EST,2015,3518.0
country/EST,2018,4345.0
country/SWZ,2015,147587.0
country/AFG,2016,554.0
country/AFG,2020,1094.0
country/ALB,2010,131.0
country/ALB,2017,568.0
country/ALB,2019,611.0
country/DZA,2011,2680.0
country/DZA,2012,3396.0
country/DZA,2017,11044.0
country/DZA,2021,17305.0
country/DZA,2022,17576.0
country/AGO,2013,48413.0
country/AGO,2018,88734.0
country/AGO,2019,93310.0
country/AGO,2022,144033.0
country/ARG,2011,52901.0
country/ARM,2011,320.0
country/ARM,2013,579.0
country/ARM,2021,2633.0
country/AUS,2012,14560.0
country/AUS,2014,18493.0
country/AUT,2011,4144.0
country/AUT,2012,4507.0
country/AUT,2015,5505.0
country/AUT,2020,6736.0
country/AZE,2011,707.0
country/AZE,2014,1770.0
country/AZE,2016,2803.0
country/AZE,2017,3355.0
country/BHS,2018,3107.0
country/BHR,2016,121.0
country/BHR,2019,259.0
country/BGD,2012,831.0
country/BGD,2013,1083.0
country/BGD,2021,4565.0
country/BRB,2017,1271.0
country/BRB,2018,1323.0
country/BRB,2021,1440.0
country/BLR,2010,2615.0
country/BLR,2012,4274.0
country/BEL,2011,9242.0
country/BEL,2013,11271.0
country/BEL,2014,12155.0
country/BEL,2016,13819.0
country/BLZ,2012,971.0
country/BLZ,2013,1106.0
country/BLZ,2017,1417.0
country/BLZ,2021,1667.0
country/BLZ,2022,1620.0
country/BEN,2013,24811.0
country/BEN,2015,33602.0
country/BEN,2016,38111.0
country/BEN,2020,49548.0
country/BEN,2021,54398.0
country/BTN,2015,262.0
country/BTN,2021,581.0
country/BOL,2016,6429.0
country/BOL,2019,11639.0
country/BOL,2020,12924.0
country/BWA,2010,159350.0
country/BWA,2012,205036.0
country/BWA,2016,273054.0
country/BWA,2019,313850.0
country/BRA,2012,303486.0
country/BRA,2014,394365.0
country/BGR,2011,455.0
country/BGR,2012,542.0
country/BGR,2013,637.0
country/BGR,2015,829.0
country/BGR,2018,1453.0
country/BGR,2020,1793.0
country/BFA,2018,60037.0
country/BDI,2016,51476.0
country/BDI,2020,65977.0
country/CPV,2018,2191.0
country/CPV,2020,2552.0
country/KHM,2015,52454.0
country/KHM,2019,61371.0
country/CMR,2010,89455.0
country/CMR,2013,131594.0
country/CAN,2014,35481.0
country/CAN,2016,41113.0
country/CAN,2017,43033.0
country/CAF,2018,39641.0
country/CAF,2020,50805.0
country/TCD,2017,58582.0
country/TCD,2019,69379.0
country/TCD,2022,88634.0
country/CHL,2013,22706.0
country/CHL,2016,32738.0
country/CHL,2019,50270.0
country/COL,2018,91639.0
country/COM,2013,27.0
country/COM,2018,60.0
country/COG,2010,14870.0
country/COG,2012,17234.0
country/COG,2016,22083.0
country/COG,2017,23595.0
country/COG,2019,26030.0
country/COG,2021,29487.0
country/CRI,2010,3345.0
country/CRI,2012,3955.0
country/HRV,2010,512.0
country/HRV,2012,641.0
country/HRV,2014,807.0
country/HRV,2018,1188.0
country/HRV,2019,1268.0
country/HRV,2021,1349.0
country/CUB,2011,7463.0
country/CUB,2015,15241.0
country/CUB,2017,19466.0
country/CUB,2022,28044.0
country/CYP,2013,390.0
country/CYP,2017,741.0
country/CIV,2015,158002.0
country/CIV,2017,230463.0
country/CIV,2018,252125.0
country/COD,2013,79560.0
country/COD,2021,363701.0
country/DNK,2018,5657.0
country/DNK,2020,5628.0
country/DNK,2021,5808.0
country/DJI,2015,1945.0
country/DJI,2019,1928.0
country/DOM,2010,14823.0
country/DOM,2014,23346.0
country/DOM,2016,27356.0
country/DOM,2021,43251.0
country/DOM,2022,49826.0
country/ECU,2011,8947.0
country/ECU,2015,15491.0
country/ECU,2018,25148.0
country/ECU,2019,30812.0
country/EGY,2011,743.0
country/EGY,2019,8364.0
country/EGY,2020,10352.0
country/SLV,2013,10140.0
country/SLV,2016,11536.0
country/SLV,2019,13321.0
country/SLV,2022,15083.0
country/GNQ,2012,5927.0
country/GNQ,2016,14881.0
country/GNQ,2017,18462.0
country/ERI,2010,4699.0
country/ERI,2015,8431.0
country/ERI,2016,8712.0
country/ERI,2021,8775.0
country/EST,2014,3021.0
country/EST,2019,4511.0
country/SWZ,2010,60757.0
country/AFG,2015,350.0
country/AFG,2019,1044.0
country/ALB,2011,175.0
country/ALB,2014,372.0
country/ALB,2015,440.0
country/ALB,2018,579.0
country/DZA,2014,6020.0
country/DZA,2018,12759.0
country/AGO,2016,69841.0
country/AGO,2020,111188.0
country/ARG,2010,48300.0
country/ARG,2014,66705.0
country/ARG,2015,71306.0
country/ARG,2019,90222.0
country/ARG,2021,101100.0
country/ARG,2022,106000.0
country/ARM,2014,740.0
country/ARM,2015,941.0
country/ARM,2016,1188.0
country/ARM,2019,2190.0
country/ARM,2020,2305.0
country/AUS,2016,21015.0
country/AUT,2014,5316.0
country/AZE,2012,907.0
country/AZE,2021,6218.0
country/AZE,2022,6443.0
country/BHS,2010,1362.0
country/BHS,2012,1658.0
country/BHS,2014,2361.0
country/BHS,2015,2319.0
country/BHS,2016,2280.0
country/BHS,2017,2969.0
country/BHS,2020,2992.0
country/BHR,2010,62.0
country/BHR,2011,71.0
country/BHR,2012,79.0
country/BHR,2017,140.0
country/BHR,2018,149.0
country/BGD,2010,454.0
country/BGD,2018,3045.0
country/BRB,2010,873.0
country/BRB,2012,1014.0
country/BRB,2014,1105.0
country/BRB,2022,1397.0
country/BLR,2011,3223.0
country/BLR,2015,7392.0
country/BLR,2017,11242.0
country/BLR,2018,15524.0
country/BLR,2022,21242.0
country/BEL,2010,8164.0
country/BEL,2017,14461.0
country/BLZ,2010,779.0
country/BLZ,2011,912.0
country/BLZ,2020,1605.0
country/BEN,2012,27888.0
country/BEN,2014,28850.0
country/BTN,2012,118.0
country/BTN,2014,191.0
country/BTN,2022,636.0
country/BOL,2010,1261.0
country/BOL,2014,3803.0
country/BWA,2011,177776.0
country/BWA,2017,285983.0
country/BRA,2011,269963.0
country/BGR,2014,721.0
country/BGR,2016,980.0
country/BGR,2017,1204.0
country/BGR,2019,1658.0
country/BFA,2011,36248.0
country/BFA,2013,42126.0
country/BDI,2010,22735.0
country/BDI,2012,29185.0
country/BDI,2015,41993.0
country/BDI,2017,55680.0
country/CPV,2010,757.0
country/CPV,2011,870.0
country/CPV,2012,1068.0
country/CPV,2014,1475.0
country/CPV,2016,1583.0
country/CPV,2019,2353.0
country/KHM,2011,44013.0
country/KHM,2012,46433.0
country/KHM,2016,54653.0
country/KHM,2020,62310.0
country/CMR,2020,350837.0
country/CMR,2022,424653.0
country/CAN,2012,24927.0
country/CAN,2013,32670.0
country/CAN,2018,44951.0
country/CAN,2019,47088.0
country/CAF,2015,27493.0
country/CAF,2017,36703.0
country/CAF,2021,56123.0
country/CAF,2022,61076.0
country/TCD,2011,32832.0
country/TCD,2015,47032.0
country/CHL,2010,14356.0
country/CHL,2012,19071.0
country/CHL,2017,39088.0
country/CHL,2021,57078.0
country/CHL,2022,61502.0
country/COL,2012,40080.0
country/COL,2016,75993.0
country/COL,2017,78228.0
country/COL,2020,127410.0
country/COL,2021,125222.0
country/COM,2014,30.0
country/COM,2015,40.0
country/COM,2016,44.0
country/COG,2020,27371.0
country/COG,2022,34062.0
country/CRI,2013,4314.0
country/CRI,2018,8065.0
country/HRV,2011,577.0
country/HRV,2017,1127.0
country/CUB,2012,8742.0
country/CUB,2014,12597.0
country/CUB,2018,21946.0
country/CUB,2020,24863.0
country/CUB,2021,26130.0
country/CYP,2010,181.0
country/CYP,2014,473.0
country/CYP,2016,657.0
country/CYP,2020,1077.0
country/CZE,2011,921.0
country/CZE,2012,960.0
country/CZE,2013,1050.0
country/CZE,2014,1210.0
country/CZE,2017,2085.0
country/CZE,2018,2268.0
country/CZE,2019,2493.0
country/CZE,2020,2693.0
country/CZE,2021,2817.0
country/CIV,2019,269137.0
country/CIV,2021,289135.0
country/COD,2012,66305.0
country/COD,2017,213995.0
country/COD,2018,208383.0
country/COD,2022,403106.0
country/DNK,2012,4148.0
country/DNK,2013,4235.0
country/DNK,2019,5528.0
country/DJI,2017,2454.0
country/DJI,2020,2063.0
country/DOM,2012,19261.0
country/DOM,2013,20780.0
country/ECU,2010,7168.0
country/ECU,2014,12624.0
country/ECU,2020,33797.0
country/EGY,2017,4753.0
country/EGY,2022,15939.0
country/SLV,2010,8482.0
country/SLV,2011,8890.0
country/SLV,2012,9271.0
country/SLV,2017,11780.0
country/SLV,2021,14700.0
country/GNQ,2011,3912.0
country/GNQ,2015,12030.0
country/GNQ,2022,29840.0
country/ERI,2011,5554.0
country/ERI,2014,7862.0
country/ERI,2017,8795.0
country/ERI,2018,8907.0
country/ERI,2022,8842.0
country/EST,2013,2712.0
country/EST,2016,3891.0
country/SWZ,2013,92343.0
country/SWZ,2019,191782.0
country/ETH,2014,361617.0
country/ETH,2017,437532.0
country/ETH,2021,480200.0
country/FJI,2014,195.0
country/FJI,2020,506.0
country/FJI,2021,647.0
country/FJI,2022,568.0
country/FIN,2010,1741.0
country/FIN,2012,2031.0
country/FIN,2019,2507.0
country/FRA,2017,144660.0
country/FRA,2018,147450.0
country/FRA,2019,151640.0
country/GAB,2011,12694.0
country/GAB,2017,22716.0
country/GAB,2020,24208.0
country/GMB,2014,4586.0
country/GEO,2011,1122.0
country/GEO,2013,2092.0
country/GEO,2015,3044.0
country/GEO,2016,3638.0
country/GEO,2017,4144.0
country/DEU,2010,45248.0
country/DEU,2020,75716.0
country/GHA,2010,40575.0
country/GHA,2015,81987.0
country/GHA,2019,123120.0
country/GRC,2017,9220.0
country/GRD,2013,83.0
country/GRD,2015,140.0
country/GRD,2018,133.0
country/GRD,2022,192.0
country/GTM,2011,13585.0
country/GTM,2013,16398.0
country/GTM,2019,20926.0
country/GTM,2021,22466.0
country/GIN,2011,23048.0
country/GIN,2013,27759.0
country/GIN,2015,33473.0
country/GIN,2016,37321.0
country/GIN,2021,70117.0
country/GNB,2010,3813.0
country/GNB,2011,5104.0
country/GNB,2014,8127.0
country/GNB,2015,9480.0
country/GNB,2018,14921.0
country/GNB,2021,19900.0
country/GUY,2016,4905.0
country/GUY,2019,5966.0
country/GUY,2021,6147.0
country/GUY,2022,6440.0
country/HTI,2016,36252.0
country/HTI,2021,103919.0
country/HND,2010,7718.0
country/HND,2011,8355.0
country/ISL,2012,157.0
country/IDN,2010,20090.0
country/IDN,2011,24861.0
country/IDN,2015,63199.0
country/IDN,2018,108479.0
country/IDN,2021,153016.0
country/IRN,2012,3221.0
country/IRN,2016,8982.0
country/IRN,2018,13412.0
country/IRN,2019,15051.0
country/IRN,2020,15419.0
country/IRN,2021,15815.0
country/IRQ,2013,211.0
country/IRQ,2015,263.0
country/IRL,2010,2868.0
country/IRL,2011,3205.0
country/IRL,2012,3543.0
country/IRL,2014,4217.0
country/IRL,2018,5724.0
country/IRL,2019,6222.0
country/IRL,2021,6915.0
country/ISR,2010,3548.0
country/ISR,2012,4107.0
country/ISR,2013,4386.0
country/ISR,2015,4944.0
country/ISR,2017,5503.0
country/ISR,2018,5872.0
country/ISR,2019,6374.0
country/ITA,2011,77253.0
country/ITA,2013,87132.0
country/ITA,2016,99938.0
country/ITA,2018,116124.0
country/ITA,2019,123506.0
country/JAM,2011,6670.0
country/JAM,2016,10940.0
country/JAM,2019,14155.0
country/JOR,2015,184.0
country/JOR,2016,222.0
country/JOR,2017,247.0
country/KAZ,2014,4641.0
country/KAZ,2016,8003.0
country/KAZ,2017,11275.0
country/KAZ,2019,17535.0
country/KEN,2014,755226.0
country/KEN,2018,1092113.0
country/KEN,2020,1123349.0
country/KEN,2021,1275311.0
country/KWT,2012,204.0
country/KWT,2014,257.0
country/KWT,2016,320.0
country/KWT,2018,395.0
country/KWT,2020,535.0
country/KGZ,2012,662.0
country/KGZ,2019,4058.0
country/LAO,2014,3336.0
country/LAO,2015,3879.0
country/LAO,2017,5631.0
country/LAO,2022,10130.0
country/LVA,2021,3075.0
country/LBN,2012,603.0
country/LBN,2017,1320.0
country/LBN,2021,1952.0
country/LSO,2015,153459.0
country/LSO,2018,206226.0
country/LBR,2013,6429.0
country/LBR,2021,21067.0
country/LBY,2015,3046.0
country/LTU,2010,156.0
country/LTU,2013,428.0
country/LTU,2014,353.0
country/LTU,2016,652.0
country/LTU,2021,1311.0
country/LTU,2022,1493.0
country/LUX,2012,527.0
country/LUX,2018,876.0
country/MDG,2010,266.0
country/MDG,2013,519.0
country/MDG,2016,1706.0
country/MDG,2017,2321.0
country/MDG,2018,3510.0
country/MWI,2010,250953.0
country/ETH,2012,288100.0
country/ETH,2015,384528.0
country/ETH,2018,450030.0
country/ETH,2019,468848.0
country/ETH,2022,504685.0
country/FJI,2018,352.0
country/FIN,2016,2395.0
country/FIN,2021,2883.0
country/FRA,2015,136320.0
country/FRA,2016,140760.0
country/GAB,2014,21197.0
country/GMB,2011,3121.0
country/GMB,2012,3842.0
country/GMB,2013,3997.0
country/GMB,2019,8229.0
country/GMB,2020,8286.0
country/GMB,2021,8695.0
country/GEO,2014,2541.0
country/GEO,2019,5098.0
country/GEO,2022,6050.0
country/DEU,2021,79224.0
country/GHA,2012,69870.0
country/GHA,2017,102683.0
country/GHA,2018,112358.0
country/GHA,2022,222581.0
country/GRC,2012,5547.0
country/GRC,2015,7822.0
country/GRC,2016,8667.0
country/GRD,2011,73.0
country/GRD,2014,82.0
country/GRD,2016,122.0
country/GTM,2010,12053.0
country/GTM,2016,16641.0
country/GTM,2022,23712.0
country/GIN,2020,61201.0
country/GNB,2019,16734.0
country/GUY,2010,3059.0
country/GUY,2012,3717.0
country/GUY,2017,5237.0
country/HTI,2014,33857.0
country/HTI,2018,61905.0
country/HND,2012,8970.0
country/HND,2013,9569.0
country/HND,2014,9926.0
country/HND,2016,10848.0
country/HND,2018,11667.0
country/HND,2019,11849.0
country/HND,2020,11956.0
country/HND,2021,12419.0
country/ISL,2010,136.0
country/ISL,2017,225.0
country/ISL,2019,269.0
country/IDN,2020,142906.0
country/IRN,2011,2348.0
country/IRN,2015,7015.0
country/IRN,2022,16672.0
country/IRQ,2010,166.0
country/IRQ,2022,1208.0
country/IRL,2016,4890.0
country/JAM,2010,5826.0
country/JAM,2013,8768.0
country/JAM,2014,9464.0
country/JAM,2015,10055.0
country/JAM,2017,11887.0
country/JAM,2022,14679.0
country/JOR,2013,149.0
country/JOR,2018,291.0
country/JOR,2020,347.0
country/KAZ,2013,3573.0
country/KEN,2010,432622.0
country/KWT,2015,265.0
country/KGZ,2015,2076.0
country/KGZ,2016,2639.0
country/KGZ,2022,5771.0
country/LAO,2010,1690.0
country/LAO,2018,6484.0
country/LAO,2020,8189.0
country/LVA,2010,508.0
country/LVA,2011,584.0
country/LVA,2012,670.0
country/LVA,2013,755.0
country/LVA,2014,840.0
country/LVA,2015,929.0
country/LVA,2017,2147.0
country/LVA,2019,2931.0
country/LVA,2020,3014.0
country/LVA,2022,3175.0
country/LBN,2016,1130.0
country/LSO,2010,94288.0
country/LSO,2016,181169.0
country/LSO,2017,201509.0
country/LBR,2010,4412.0
country/LBR,2011,5839.0
country/LBR,2014,6910.0
country/LBR,2016,8076.0
country/LBR,2018,13880.0
country/LBR,2019,15423.0
country/LBR,2020,18515.0
country/LBY,2013,2346.0
country/LBY,2016,3324.0
country/LBY,2017,3537.0
country/LBY,2022,5083.0
country/LTU,2018,1084.0
country/LUX,2010,409.0
country/LUX,2011,465.0
country/LUX,2021,1047.0
country/MDG,2011,396.0
country/MDG,2020,5885.0
country/MDG,2022,12263.0
country/ETH,2010,222334.0
country/ETH,2011,265141.0
country/ETH,2020,482851.0
country/FJI,2013,165.0
country/FJI,2015,202.0
country/FJI,2016,222.0
country/FJI,2017,274.0
country/FIN,2011,1885.0
country/FIN,2013,2175.0
country/FIN,2014,2320.0
country/FIN,2015,2358.0
country/FIN,2017,2432.0
country/FIN,2020,2911.0
country/FRA,2010,104771.0
country/FRA,2011,109511.0
country/FRA,2012,114252.0
country/FRA,2020,153660.0
country/GAB,2015,21704.0
country/GAB,2016,22210.0
country/GAB,2021,25375.0
country/GAB,2022,28569.0
country/GMB,2010,2030.0
country/GMB,2015,5022.0
country/GMB,2016,5987.0
country/GMB,2017,6773.0
country/GMB,2018,7541.0
country/GEO,2010,830.0
country/GEO,2020,5442.0
country/DEU,2013,54761.0
country/DEU,2014,58067.0
country/DEU,2015,61478.0
country/DEU,2017,67393.0
country/DEU,2018,69801.0
country/GHA,2011,59007.0
country/GHA,2013,75762.0
country/GHA,2014,83712.0
country/GHA,2020,167048.0
country/GHA,2021,196178.0
country/GRC,2010,4486.0
country/GRC,2011,4969.0
country/GRC,2018,10027.0
country/GRC,2020,11129.0
country/GRC,2021,11563.0
country/GRD,2012,92.0
country/GRD,2020,126.0
country/GTM,2015,16370.0
country/GTM,2018,19723.0
country/GTM,2020,21113.0
country/GIN,2010,19883.0
country/GIN,2012,27685.0
country/GIN,2014,32331.0
country/GIN,2017,41508.0
country/GIN,2018,43066.0
country/GIN,2022,81180.0
country/GNB,2012,6470.0
country/GNB,2013,6913.0
country/GNB,2016,11860.0
country/GUY,2018,5557.0
country/GUY,2020,5889.0
country/HTI,2010,14701.0
country/HTI,2011,19005.0
country/HTI,2012,23605.0
country/HTI,2013,29426.0
country/HTI,2015,37968.0
country/HTI,2017,59786.0
country/HTI,2020,101530.0
country/HND,2015,10457.0
country/HND,2017,11506.0
country/ISL,2014,178.0
country/ISL,2015,189.0
country/ISL,2016,199.0
country/ISL,2018,253.0
country/ISL,2021,298.0
country/ISL,2022,311.0
country/IND,2022,1675533.0
country/IDN,2014,50304.0
country/IDN,2016,77748.0
country/IDN,2022,179659.0
country/IRN,2010,1684.0
country/IRN,2013,4266.0
country/IRN,2014,5517.0
country/IRN,2017,11279.0
country/IRQ,2011,175.0
country/IRQ,2016,313.0
country/IRQ,2017,409.0
country/IRQ,2018,486.0
country/IRQ,2020,659.0
country/IRQ,2021,882.0
country/IRL,2013,3880.0
country/IRL,2017,5251.0
country/IRL,2020,6568.0
country/ISR,2011,3828.0
country/ISR,2020,6875.0
country/ISR,2021,7377.0
country/ITA,2010,72102.0
country/ITA,2012,82410.0
country/ITA,2017,108733.0
country/JAM,2020,13082.0
country/JOR,2010,105.0
country/JOR,2011,116.0
country/JOR,2012,134.0
country/JOR,2019,321.0
country/JOR,2021,278.0
country/JOR,2022,321.0
country/KAZ,2010,1239.0
country/KAZ,2012,2631.0
country/KEN,2012,603997.0
country/KEN,2013,656369.0
country/KEN,2015,897644.0
country/KEN,2016,1018905.0
country/KEN,2017,1112750.0
country/KEN,2019,1107575.0
country/KEN,2022,1297822.0
country/KWT,2011,189.0
country/KWT,2017,349.0
country/KWT,2021,655.0
