dcid,year,climateFinanceReceivedDisbursementsCrossCuttingOdaLoansByProviderCurrentUSDAustria,climateFinanceReceivedDisbursementsCrossCuttingOdaLoansByProviderCurrentUSDBelgium,climateFinanceReceivedDisbursementsCrossCuttingOdaLoansByProviderCurrentUSDCanada,climateFinanceReceivedDisbursementsCrossCuttingOdaLoansByProviderCurrentUSDClimateInvestmentFunds,climateFinanceReceivedDisbursementsCrossCuttingOdaLoansByProviderCurrentUSDFrance,climateFinanceReceivedDisbursementsCrossCuttingOdaLoansByProviderCurrentUSDGermany,climateFinanceReceivedDisbursementsCrossCuttingOdaLoansByProviderCurrentUSDInterAmericanDevelopmentBank,climateFinanceReceivedDisbursementsCrossCuttingOdaLoansByProviderCurrentUSDInternationalDevelopmentAssociation,climateFinanceReceivedDisbursementsCrossCuttingOdaLoansByProviderCurrentUSDItaly,climateFinanceReceivedDisbursementsCrossCuttingOdaLoansByProviderCurrentUSDJapan,climateFinanceReceivedDisbursementsCrossCuttingOdaLoansByProviderCurrentUSDKorea,climateFinanceReceivedDisbursementsCrossCuttingOdaLoansByProviderCurrentUSDNordicDevelopmentFund,climateFinanceReceivedDisbursementsCrossCuttingOdaLoansByProviderCurrentUSDSpain,climateFinanceReceivedDisbursementsCrossCuttingOdaLoansByProviderCurrentUSDUnitedArabEmirates
country/ATG,2019,,,,,,,,,,,,,,2021236.0
country/BEN,2014,,,,,,,,967097.0,,,,,,
country/BEN,2016,,,,,,,,557491.0,,,,,,
country/BRA,2013,,,,,3996454.0,,,,,,,,,
country/BRA,2017,,,,760000.0,,,,,,,,,,
country/CHN,2013,,,,,,2043308.8,,,,,,,,
country/CHN,2014,,,,,,2420709.6,,,,,,,,
country/CHN,2015,,,,,149750.0,1423973.6,,,,,,,,
country/CHN,2016,,,,,9386266.0,3363959.2,,,,,,,,
country/CHN,2017,,,,,19779430.0,5390278.0,,,,,,,,
country/CHN,2018,,,,,2695586.4000000004,13052660.000000002,,,,,,,,
country/CHN,2019,,,,,10151810.200000001,13846037.200000001,,,,,,,,
country/CHN,2020,,,,,6716123.0,5931575.2,,,,,,,,
country/CHN,2021,,,,,,15193380.8,,,,,,,,
country/CIV,2020,,,,,765944.0,,,,,,,,,
country/CIV,2021,,,,3986180.0,1240002.8,,,,,,,,,
country/COD,2013,,,,278264.0,,,,,,,,,,
country/COL,2015,,,,,305047144.0,33290350.400000002,,,,,,,,
country/COL,2016,,,,,201260644.0,,,,,,,,,
country/COL,2017,,,,,,33818058.800000004,,,,,,,,
country/COL,2018,,,,,190438251.20000002,47208780.800000004,,,,,,,,
country/COL,2020,,,,,95726495.60000001,36509640.0,,,,,,,,
country/COL,2021,,,,,,943309.6000000001,,,,,100000000.0,,,
country/CUB,2019,,,,,447778.0,,,,,,,,,
country/CUB,2020,,,,,1848037.2000000002,,,,,,,,,
country/CUB,2021,,,,,502741.60000000003,,,,,,,,,
country/DOM,2021,,,,,3834145.0,,,,,,,,,
country/ECU,2017,,,,,17609614.0,,,,,,,,,
country/EGY,2013,,,,,2319395.0,,,,,,,,,
country/EGY,2018,,,,,,,,,,,,,,1070516.0
country/ETH,2014,,,,,,,,5061088.18,,,,,,
country/ETH,2015,,,,,,,,11394044.56,,,,,,
country/ETH,2016,,,,,,,,3861124.4,,,,,,
country/ETH,2018,,,,,,,,605052.8,4720878.0,,,,,
country/ETH,2019,,,,,,,,517874.24,2238889.6,,,,,
country/ETH,2020,,,,,,,,1045559.04,4558404.4,,,,,
country/ETH,2021,,,,,,,,1915693.44,,,,,,
country/GEO,2020,,,,,,242384.80000000002,,,,,,,,
country/GEO,2021,,,,,,729493.6000000001,,,,,,,,
country/GHA,2013,,,,246688.0,,,,,,,,,,
country/GRD,2013,,,,1103234.0,,,,,,,,,,
country/HND,2015,,,,,,,,,,,197371.2,,,
country/HND,2016,,,,,,,,,,,3524130.0,,,
country/HND,2017,,,,,,,,,,,8830184.4,,,
country/HND,2018,,,,,,,1301571.042,,,,3023402.4000000004,,,
country/HND,2020,,,,,,,220178.1414,,,,791707.6000000001,,,
country/HND,2021,,,,,,,4836507.4799999995,,,,498538.4,,,
country/IDN,2013,,,,,,,,,,96495886.0,,,,
country/IDN,2014,,,,,,,,,,29418361.0,,,,
country/IDN,2015,,,,,,,,,,133717458.0,,,,
country/IDN,2016,,,,,,,,,,99291562.0,,,,
country/IDN,2017,,,,,,,,,,60004870.0,,,,
country/IDN,2018,,,,,,,,,,705625.0,,,,
country/IDN,2021,,,,,,21286660.400000002,,,,,,,,
country/IND,2013,,,,,5869866.0,8261387.600000001,,,,,,,,
country/IND,2014,,,,,,3138014.8000000003,,,,,,,,
country/IND,2015,,,,,,3107376.8000000003,,,,729077.2000000001,,,,
country/IND,2016,,,,,,1123999.6,,,,1792124.8,,,,
country/IND,2017,,,,,,9463046.0,,,,2553338.8,,,,
country/IND,2018,,,,,,,,,,2943943.6000000006,,,,
country/IND,2019,,,,,,7190821.2,,,,7464590.0,,,,
country/IND,2020,,,,,,116041.20000000001,,,,5677912.800000001,,,,
country/IND,2021,,,,,,1505640.8,,,,7515603.2,,,,
country/IRQ,2017,,,,,,,,,44717758.800000004,,,,,
country/JOR,2017,,,,,84545147.0,34233547.2,,,,,,,,
country/JOR,2018,,,,,35406585.6,2455477.6,,,,,,,,
country/JOR,2019,,,,,,36955654.400000006,,,,,,,,
country/JOR,2020,,,,,34188034.0,35212259.2,,,,,,,,
country/JOR,2021,,,,,,1225755.2,,,,,,,,
country/KEN,2013,,,,1480126.0,23637166.0,,,,,,,,,
country/KHM,2013,,,,398771.0,,,,,,,,,,
country/KHM,2015,,,,,,,,,,,483774.0,,,
country/KHM,2016,,,,,,,,,,,291240.0,,,
country/KHM,2017,,,,,,,,,,,298956.0,,,
country/KHM,2018,,,,,,,,,,,5465760.0,,,
country/KHM,2019,,,,,,,,,,,5326584.0,,,
country/KHM,2020,,,,,7660150.0,,,,,,6951992.0,,,
country/LKA,2018,,,,,1219655.2,,,,,,,,,
country/LKA,2019,,,,,5900273.0,,,,,,,,,
country/LKA,2020,,,,,5467536.0,,,,,,,,,
country/LKA,2021,,,,,8517886.0,,,,,,,,,
country/MAR,2013,,,,,27084440.0,,,,,,,,,
country/MAR,2016,,,,,,,,,,30686738.400000002,,,,
country/MAR,2017,,,,,,,,,,28466508.8,,,,
country/MAR,2019,,,,,50079928.400000006,,,,,,,,,
country/MAR,2020,,,,,16793618.200000003,,,,,,,,,
country/MAR,2021,,,,,6067999.0,712628.4,,,,,,,,
country/MDG,2014,,,,,,,,408495.80000000005,,,,,,
country/MDG,2015,,,,,,,,314632.0,,,,,,
country/MDG,2016,,,,,,,,725249.2000000001,,,,,,
country/MDG,2018,,,,,439041.60000000003,,,,,,,,,
country/MEX,2013,,,,1781282.0,,,,,,,,,,
country/MEX,2014,,,,,,53071514.0,,,,,,,,
country/MEX,2015,,,,,,1575218.4000000001,,,,,,,,
country/MEX,2016,,,,,,769817.2000000001,,,,,,,,
country/MEX,2017,,,,6254297.0,,49802691.6,,,,,,,,
country/MEX,2019,,,7196684.0,,,,,,,,,,,
country/MEX,2020,,,4920968.0,,,,,,,,,,,
country/MKD,2013,,,,,,17395442.8,,,,,,,,
country/MKD,2014,,,,,,4583030.4,,,,,,,,
country/MKD,2015,,,,,,2624.4,,,,,,,,
country/MLI,2016,,,,,,,,433172.55,,,,,,
country/MLI,2018,,,,,,,,86258.84999999999,,,,,,
country/MLI,2019,,,,,,,,,,,,,,406207.6000000001
country/MLI,2020,,,,,9116809.200000001,,,,2551113.2,,,,,
country/MMR,2020,,,,,,,,,3418803.6,,,,,
country/MOZ,2013,,,,181181.0,,,,9023624.09,,,,,,
country/MOZ,2015,,,,,,,,13495270.0,,,,,,
country/MOZ,2018,,,,1449886.0,,,,,,,,,,
country/MOZ,2020,,,,3295814.0,,,,,,,,,,
country/MUS,2020,,,,,136752136.8,,,,,,,,,
country/NAM,2019,,,,,,3358334.4000000004,,,,,,,,
country/NAM,2020,,,,,,3418803.6,,,,,,,,
country/NER,2013,,,,1326689.0,,,,,,,,,,
country/NGA,2016,,,,,10490988.0,,,,,,,,,
country/NGA,2021,,,,,3805655.6,,,,,,,,,
country/NIC,2017,,,,,,,,,,,765161.2000000001,,,
country/NIC,2018,,,,,,,,,,,162691.2,,,
country/NIC,2019,,,,,,,,,,,3831744.4000000004,,,
country/NIC,2020,,,,,,,,,,,1585949.6,,,
country/NIC,2021,,,,,,,,,,,2094956.0,,,
country/NPL,2018,,,,,,,,250722.72,,,,,,
country/NPL,2019,,,,,,,,33186.44,,,,,,
country/PAK,2014,,,,,1879198.0,,,,,,,,,
country/PAK,2015,,,,,,,,10077977.899999999,,,,,,
country/PAK,2016,,,,,,,,78244.73999999999,,,,,,
country/PAK,2018,,,,,,135578.4,,154966.41,,,,,,
country/PAK,2019,,,,,,,,1853581.5,,,,,,
country/PAK,2020,,,,,,,,2656145.25,,,,,,
country/PAK,2021,,,,,,2304253.6,,953065.26,,,,,,
country/PER,2013,,,,,,1103046.0,,,,,,,,
country/PER,2014,,,,,,256018.80000000002,,,,,,,,
country/PER,2015,,,,,,97171.20000000001,,,,,,,,
country/PER,2016,,,,,10398098.0,,,,,,,,,
country/PER,2017,,,,,,790157.2000000001,,,,,,,,
country/PER,2019,,,,,15672226.4,,,,,,,,,
country/PER,2020,,,,96688.0,31908832.0,,,,,,,,,
country/PER,2021,,,,1092359.0,,,,,,,,,,
country/PRY,2019,,,,,,,,,,,,,768863.2000000001,
country/PRY,2020,,,,,16639998.8,,,,,,,,,
country/PRY,2021,,,,,,,,,,,,,1731000.0,
country/RWA,2014,,,,,,,,17255210.2,,,,,,
country/RWA,2015,,,,,,,,25678343.3,,,,,,
country/RWA,2016,,,,,,,,14033198.5,,,,,,
country/SEN,2013,,,,,,,,,608972.8,,,,,
country/SEN,2015,,,,,,,,,941440.8,,,,,
country/SEN,2016,,,,,,,,,16090.400000000001,,,,,
country/SEN,2017,,,,,,,,,2364991.6,,,,,
country/SEN,2018,,,,,6108816.4,,,,,,,,,
country/SEN,2019,,,,,,,,,1694316.0,,,,,
country/SEN,2020,,,,,,,,,6774142.4,,,,,
country/SEN,2021,,,,,,,,,1625016.0000000002,,,,,
country/SRB,2013,,,,,,1527467.2000000002,,,,,,,,
country/SRB,2014,,,,,,2900614.0,,,,,,,,
country/SRB,2015,,,,,,4437049.2,,,,,,,,
country/SRB,2016,,,,,,4423310.8,,,,,,,,
country/SRB,2019,,,,,,6873390.800000001,,,,,,,,
country/SRB,2020,2279202.4,,,,,4651551.600000001,,,,,,,,
country/SRB,2021,7095553.600000001,,,,,5104168.0,,,,,,,,
country/TUN,2013,,,,,26553372.0,16916.0,,,,,,,,
country/TUN,2014,,,,,,27304.4,,,,,,,,
country/TUN,2015,,,,,,43362.8,,,,,,,,
country/TUN,2016,,,,,,75517.2,,,,,,,,
country/TUN,2017,,,,,,333594.4,,,,,,,,
country/TUN,2018,,,,,,463296.4,,,,,,,,
country/TUN,2019,,,,,4477779.2,775662.4000000001,,,,,,,,
country/TUN,2020,,,,,8843304.8,512246.4,,,,,,,,
country/TUN,2021,,,,,,5079210.0,,,,,,,,
country/TUR,2013,,,,,,,,,,385199.60000000003,,,,
country/TUR,2014,,,,,199018177.0,,,,,1307655.2,,,,
country/TUR,2015,,,,,,,,,,1845948.4000000001,,,,
country/TUR,2016,,,,,,,,,,2955036.8000000003,,,,
country/TUR,2017,,,,,,,,,,2374506.4,,,,
country/TUR,2018,,,,,,,,,,1706632.0000000002,,,,
country/TUR,2019,,,,,83958357.0,,,,,876969.2,,,,
country/TUR,2020,,,,,85470085.0,,,,,902402.0000000001,,,,
country/TUR,2021,,,,,,,,,,702572.4000000001,,,,
country/UGA,2019,,,,,,,,,,,,,,1538796.8
country/UGA,2021,,,,,,15390.800000000001,,,,,,,,
country/VCT,2013,,,,113575.0,,,,,,,,,,
country/VNM,2013,,2898225.2,,,3412440.0,1199485.6,,,,153702698.0,19622490.0,,,
country/VNM,2014,,256106.80000000002,,,26535757.0,702939.6,,33577415.0,,94475543.0,,,,
country/VNM,2015,,,,,22185247.0,817088.4,,2800281.0,,123964586.0,9888084.0,,,
country/VNM,2016,,,,,,440748.4,,2709459.17,,91909484.0,,,,
country/VNM,2017,,,,,,865266.0000000001,,,,89139986.0,,,,
country/VNM,2018,,,,,,1130628.4000000001,,2607067.21,,,,,,
country/VNM,2019,,,,,,,,2873356.42,933570.8,,,,,
country/VNM,2020,,,,,,487870.80000000005,,1531544.96,633586.8,,,,,
country/VNM,2021,,,,,,,,2328967.52,,,,,,
country/ZAF,2016,,,,,25993586.0,,,,,,,,,
country/ZAF,2019,,,,,,35822231.6,,,,,,,,
country/ZMB,2013,,,,,,,,141086.03,,,,,,
