dcid,year,healthExpenditurePrivateExcludingOopCurrentUSD
country/BFA,2000,3467359.22595987
country/BFA,2001,3718995.485042052
country/BFA,2002,4219640.3673374355
country/BFA,2003,5491238.225245967
country/BFA,2004,5888018.101230372
country/BFA,2005,7159677.811518293
country/BFA,2006,6046856.148439977
country/BFA,2007,8706217.997209085
country/BFA,2008,13552078.965245707
country/BFA,2009,25316917.598817535
country/BFA,2010,18410732.433140844
country/BFA,2011,31080696.153447524
country/BFA,2012,36296253.77846623
country/BFA,2013,59607764.95765834
country/BFA,2014,68198747.60130364
country/BFA,2015,66334414.36876571
country/BFA,2016,38640719.48423035
country/BFA,2017,60005981.702100225
country/BFA,2018,51521781.482550494
country/BFA,2019,66212262.079561494
country/BFA,2020,43655813.83680457
country/BDI,2000,18164146.10439775
country/BDI,2001,7494001.480550452
country/BDI,2002,10369473.145256639
country/BDI,2003,9214496.37993017
country/BDI,2004,6785163.565982382
country/BDI,2005,11236655.158943018
country/BDI,2006,17647233.517633572
country/BDI,2007,21160128.000231657
country/BDI,2008,26471419.532857515
country/BDI,2009,22344042.819730107
country/BDI,2010,25873301.269810166
country/BDI,2011,30064917.347561166
country/BDI,2012,34313793.56162994
country/BDI,2013,35013839.84072964
country/BDI,2014,34179580.430037476
country/BDI,2015,39468883.39950539
country/BDI,2016,4314890.111334287
country/BDI,2017,4648325.0198229635
country/BDI,2018,3566886.3152762637
country/BDI,2019,3581066.768371144
country/BDI,2020,3608613.3618437885
country/BEN,2000,5326444.372959923
country/BEN,2001,5417395.356528547
country/BEN,2002,6471763.631630112
country/BEN,2003,8339075.438372404
country/BEN,2004,9506191.134414805
country/BEN,2005,10363170.27295937
country/BEN,2006,11088877.826393671
country/BEN,2007,12801817.893994965
country/BEN,2008,15442605.222129643
country/BEN,2009,15208264.441171935
country/BEN,2010,14530645.30251282
country/BEN,2011,16088304.060332458
country/BEN,2012,17067185.326464795
country/BEN,2013,19698211.52949638
country/BEN,2014,20648234.11432589
country/BEN,2015,16994750.85101505
country/BEN,2016,17190096.38715104
country/BEN,2017,18323134.284741946
country/BEN,2018,19968024.62103024
country/BEN,2019,19585318.832641795
country/BEN,2020,21228649.957587194
country/CPV,2000,234685.67806354768
country/CPV,2001,240425.14303105662
country/CPV,2002,265824.0041789014
country/CPV,2003,341904.0088968449
country/CPV,2004,394088.91845655406
country/CPV,2005,414070.03337291355
country/CPV,2006,466101.04923186207
country/CPV,2007,518709.86271938746
country/CPV,2008,599064.3477259073
country/CPV,2009,705495.5618779499
country/CPV,2010,1951627.7359551035
country/CPV,2011,2283137.235343007
country/CPV,2012,2267167.9356916775
country/CPV,2013,2650804.340305146
country/CPV,2014,2087853.632767112
country/CPV,2015,1764869.9380949817
country/CPV,2016,2125817.037154744
country/CPV,2017,2296546.576018296
country/CPV,2018,2484727.266977782
country/CPV,2019,2503520.460952783
country/CPV,2020,2183570.742621659
country/CMR,2000,17959101.653312854
country/CMR,2001,18635034.3750204
country/CMR,2002,21127740.23149841
country/CMR,2003,25783021.04890408
country/CMR,2004,26906162.755988717
country/CMR,2005,26617630.304910157
country/CMR,2006,28454127.6104379
country/CMR,2007,39888907.54160888
country/CMR,2008,46552364.1840265
country/CMR,2009,46135876.81154775
country/CMR,2010,45422102.037135534
country/CMR,2011,39216098.30442726
country/CMR,2012,106830521.71114588
country/CMR,2013,119256146.32855341
country/CMR,2014,128430209.8620668
country/CMR,2015,116101765.42406489
country/CMR,2016,121874871.22751775
country/CMR,2017,132147679.34912275
country/CMR,2018,54143636.56210148
country/CMR,2019,52465243.953260206
country/CMR,2020,54277801.91178336
country/CAF,2000,401411.5126834292
country/CAF,2001,427995.91374275973
country/CAF,2002,466714.58783508727
country/CAF,2003,587325.5599839513
country/CAF,2004,662490.837370197
country/CAF,2005,707407.2539231584
country/CAF,2006,775139.3003764971
country/CAF,2007,892817.7772563364
country/CAF,2008,1038914.7754369057
country/CAF,2009,1141314.5113670048
country/CAF,2010,1071131.1023877512
country/CAF,2011,1110714.5980775352
country/CAF,2012,1031359.7513728343
country/CAF,2013,813345.3819964477
country/CAF,2014,805372.8821209037
country/CAF,2015,653376.7283667013
country/CAF,2016,948451.8923098949
country/CAF,2017,1648453.358510694
country/CAF,2018,1724571.4515173363
country/CAF,2019,1770701.2083602014
country/CAF,2020,1884039.1571219792
country/TCD,2000,1989962.4688354935
country/TCD,2001,3412882.9790454647
country/TCD,2002,5592446.834859751
country/TCD,2003,7215069.098712719
country/TCD,2004,10137709.917808633
country/TCD,2005,13526575.404436707
country/TCD,2006,17277100.451975446
country/TCD,2007,19762502.378877275
country/TCD,2008,24282508.95495057
country/TCD,2009,24890843.501126923
country/TCD,2010,23826064.48796702
country/TCD,2011,25646612.637992643
country/TCD,2012,24919249.138320174
country/TCD,2013,27168242.3345284
country/TCD,2014,29240843.177246567
country/TCD,2015,24689481.57072716
country/TCD,2016,25654807.292558704
country/TCD,2017,23903583.694293957
country/TCD,2018,10350175.040414535
country/TCD,2019,9925123.739959175
country/TCD,2020,10806035.481360814
country/COM,2000,626873.5532479093
country/COM,2001,675041.4359525106
country/COM,2002,767956.7726238979
country/COM,2003,988565.6838034118
country/COM,2004,1140589.025397823
country/COM,2005,1215520.3737423338
country/COM,2006,1278485.638526401
country/COM,2007,1477618.9605376946
country/COM,2008,1718570.0923950335
country/COM,2009,1701112.9439345268
country/COM,2010,1716437.9273070123
country/COM,2011,1958846.4709438384
country/COM,2012,1135138.336338427
country/COM,2013,1418147.0532891583
country/COM,2014,1648914.3147415796
country/COM,2015,1819622.267248018
country/COM,2016,1758441.1248098132
country/COM,2017,1999302.6919903066
country/COM,2018,2313742.115941719
country/COM,2019,2789514.253228857
country/COM,2020,3022275.0505188997
country/COG,2000,864132.7599068882
country/COG,2001,867289.9424524877
country/COG,2002,890602.7124065899
country/COG,2003,961197.9764059709
country/COG,2004,1478130.0542514473
country/COG,2005,1769158.407601909
country/COG,2006,2165327.4881127435
country/COG,2007,2695047.9230470103
country/COG,2008,4082431.0126536093
country/COG,2009,3387247.026934503
country/COG,2010,3346845.601159843
country/COG,2011,2130393.5216540545
country/COG,2012,3444784.520401357
country/COG,2013,4567488.940070362
country/COG,2014,9358710.398601899
country/COG,2015,9006189.288319195
country/COG,2016,21191530.46611689
country/COG,2017,24612195.44962442
country/COG,2018,23196994.578300774
country/COG,2019,22893199.261080902
country/COG,2020,95121551.16801295
country/CIV,2000,92891563.11585128
country/CIV,2001,94544978.9101492
country/CIV,2002,104879316.4923175
country/CIV,2003,128924699.28255026
country/CIV,2004,143659314.11207658
country/CIV,2005,147389989.07666737
country/CIV,2006,154347012.92655653
country/CIV,2007,194630820.3288242
country/CIV,2008,243502654.63259238
country/CIV,2009,227810554.80241272
country/CIV,2010,267784593.13777992
country/CIV,2011,240811874.95533064
country/CIV,2012,240967667.6350266
country/CIV,2013,249961787.68833208
country/CIV,2014,265242620.5625599
country/CIV,2015,285368377.2667375
country/CIV,2016,311422581.63104564
country/CIV,2017,324400062.92082006
country/CIV,2018,350490935.2764752
country/CIV,2019,376201632.4348301
country/CIV,2020,404354026.828278
country/COD,2000,180105655.11546636
country/COD,2001,32222515.87627243
country/COD,2002,26055798.48543434
country/COD,2003,26680297.23341657
country/COD,2004,30723698.36047842
country/COD,2005,35697056.392706044
country/COD,2006,43118480.05849924
country/COD,2007,49936470.410245255
country/COD,2008,59040720.89814164
country/COD,2009,56637786.051439635
country/COD,2010,65545951.62591271
country/COD,2011,44488047.834558
country/COD,2012,57593625.67330017
country/COD,2013,75136405.43523926
country/COD,2014,103503471.8778626
country/COD,2015,99692229.94635339
country/COD,2016,111132046.70916943
country/COD,2017,117779817.95848705
country/COD,2018,126025103.15034024
country/COD,2019,122445835.96073224
country/COD,2020,133008302.17290895
country/GNQ,2000,948622.2449177689
country/GNQ,2001,1370551.3226723846
country/GNQ,2002,1695735.8381953
country/GNQ,2003,3089229.2994713443
country/GNQ,2004,4880683.134792188
country/GNQ,2005,6703157.508947113
country/GNQ,2006,8265818.293343581
country/GNQ,2007,10716795.412509818
country/GNQ,2008,16235933.587511282
country/GNQ,2009,12353989.470489305
country/GNQ,2010,13359087.816223769
country/GNQ,2011,17487584.154601045
country/GNQ,2012,18330983.860341642
country/GNQ,2013,17971262.927415162
country/GNQ,2014,17595688.153518595
country/GNQ,2015,9961895.995371958
country/GNQ,2016,8339822.880085945
country/GNQ,2017,9052148.196194714
country/GNQ,2018,9716984.790441275
country/GNQ,2019,8470751.460020952
country/GNQ,2020,7435453.255185244
country/ERI,2000,0.0
country/ERI,2001,0.0
country/ERI,2002,0.0
country/ERI,2003,0.0
country/ERI,2004,0.0
country/ERI,2005,0.0
country/ERI,2006,171420.61788618274
country/ERI,2007,0.0
country/ERI,2008,0.0
country/ERI,2009,0.0
country/ERI,2010,0.0
country/ERI,2011,0.0
country/ERI,2012,0.0
country/ERI,2013,0.0
country/ERI,2014,0.0
country/ERI,2015,0.0
country/ERI,2016,0.0
country/ERI,2017,0.0
country/ERI,2018,0.0
country/ERI,2019,0.0
country/ERI,2020,0.0
country/SWZ,2000,20060148.439310595
country/SWZ,2001,19534183.570504244
country/SWZ,2002,18532523.716536146
country/SWZ,2003,29415378.020795774
country/SWZ,2004,38654049.73533958
country/SWZ,2005,43537081.18808147
country/SWZ,2006,44899609.41975484
country/SWZ,2007,47011507.784195684
country/SWZ,2008,43381777.235574886
country/SWZ,2009,45500908.09718811
country/SWZ,2010,56374904.3684241
country/SWZ,2011,60583735.248596884
country/SWZ,2012,56891791.76605608
country/SWZ,2013,51191121.082144834
country/SWZ,2014,48045979.141717754
country/SWZ,2015,42997315.917737305
country/SWZ,2016,39142646.610490784
country/SWZ,2017,46161754.7300783
country/SWZ,2018,40567068.00833314
country/SWZ,2019,38156721.42020605
country/SWZ,2020,34586290.73368324
country/ETH,2000,23390150.136856236
country/ETH,2001,21837424.259950988
country/ETH,2002,20935198.17221556
country/ETH,2003,20601340.233458217
country/ETH,2004,20782689.87541857
country/ETH,2005,21735219.16434363
country/ETH,2006,25425764.829442754
country/ETH,2007,29009749.776655145
country/ETH,2008,30651100.3334291
country/ETH,2009,71492024.9306852
country/ETH,2010,87829212.77445291
country/ETH,2011,100869198.45833582
country/ETH,2012,122484337.30837536
country/ETH,2013,139193437.42869785
country/ETH,2014,445037402.17163455
country/ETH,2015,476144888.60934085
country/ETH,2016,502325252.78813195
country/ETH,2017,140583523.4647156
country/ETH,2018,136795324.75684217
country/ETH,2019,159350849.19925386
country/ETH,2020,142569780.16068703
country/GAB,2000,12586995.41294392
country/GAB,2001,12191917.412234832
country/GAB,2002,14426289.352394667
country/GAB,2003,17415549.583774846
country/GAB,2004,19761299.033857826
country/GAB,2005,21999258.643410027
country/GAB,2006,24819012.067452896
country/GAB,2007,30291349.569589473
country/GAB,2008,33847341.96697361
country/GAB,2009,35721852.84684412
country/GAB,2010,34878579.5584346
country/GAB,2011,42797033.79871215
country/GAB,2012,42661579.06781474
country/GAB,2013,34321804.91712932
country/GAB,2014,50669308.553774536
country/GAB,2015,54904076.20600697
country/GAB,2016,52584063.053530216
country/GAB,2017,45459824.13309743
country/GAB,2018,79011247.01615377
country/GAB,2019,74896951.86270699
country/GAB,2020,71718821.5407955
country/GMB,2000,2291700.0453228923
country/GMB,2001,2018413.5059515291
country/GMB,2002,1942498.7989401445
country/GMB,2003,1927441.4762442913
country/GMB,2004,2572088.254056352
country/GMB,2005,2638359.756807425
country/GMB,2006,2735534.5147862746
country/GMB,2007,3166122.274501716
country/GMB,2008,3829077.368552676
country/GMB,2009,3531514.3485240377
country/GMB,2010,3547346.112897952
country/GMB,2011,3162027.0780251715
country/GMB,2012,3063057.7810086864
country/GMB,2013,2904006.613168613
country/GMB,2014,3525242.3363102735
country/GMB,2015,4465619.141738063
country/GMB,2016,1143356.4668785178
country/GMB,2017,2533474.4947421104
country/GMB,2018,3965409.1356630344
country/GMB,2019,6585993.132330706
country/GMB,2020,6411934.146435808
country/GHA,2000,24315532.627156112
country/GHA,2001,26194143.36955432
country/GHA,2002,29348180.977391884
country/GHA,2003,35987867.803749405
country/GHA,2004,42537208.3337116
country/GHA,2005,65896348.78283052
country/GHA,2006,67281764.3318443
country/GHA,2007,81276474.26343182
country/GHA,2008,100239956.2851916
country/GHA,2009,117483214.31113403
country/GHA,2010,123868576.5568367
country/GHA,2011,110540073.98273736
country/GHA,2012,91053576.7873452
country/GHA,2013,118308224.19057713
country/GHA,2014,92032831.87902954
country/GHA,2015,93887149.63803159
country/GHA,2016,209904196.40562844
country/GHA,2017,252032158.36066115
country/GHA,2018,278184821.3790735
country/GHA,2019,280714123.50163853
country/GHA,2020,281949112.5478603
country/GIN,2000,980751.3743548426
country/GIN,2001,923644.2005357532
country/GIN,2002,1002796.427546467
country/GIN,2003,1112839.4313253774
country/GIN,2004,1215338.224925527
country/GIN,2005,1123838.7530934054
country/GIN,2006,1141760.8098373676
country/GIN,2007,1756663.1762215698
country/GIN,2008,1842691.1274186461
country/GIN,2009,1873597.9290798528
country/GIN,2010,1634898.656099367
country/GIN,2011,1660491.3285504445
country/GIN,2012,2423769.49463182
country/GIN,2013,4059513.496844292
country/GIN,2014,43587257.3077605
country/GIN,2015,101125939.80960976
country/GIN,2016,49671258.09356676
country/GIN,2017,42706416.86144423
country/GIN,2018,24717723.26627655
country/GIN,2019,41026387.2356592
country/GIN,2020,38100632.771051355
country/GNB,2000,1170727.1100860601
country/GNB,2001,1271628.9276584093
country/GNB,2002,1220247.1209541298
country/GNB,2003,1312170.0241926818
country/GNB,2004,1576094.1494931772
country/GNB,2005,1808859.8661142127
country/GNB,2006,1947996.5514980198
country/GNB,2007,2097996.0091750002
country/GNB,2008,2858004.1460648463
country/GNB,2009,2559309.2185902293
country/GNB,2010,2588324.8643714883
country/GNB,2011,3030912.896479993
country/GNB,2012,2846766.445502153
country/GNB,2013,2935753.3488703035
country/GNB,2014,2888120.890215659
country/GNB,2015,2812757.366378968
country/GNB,2016,3010411.7042331556
country/GNB,2017,3396963.34941432
country/GNB,2018,3539240.0447544064
country/GNB,2019,3778979.696475481
country/GNB,2020,3848080.185952275
country/KEN,2000,77794271.73175107
country/KEN,2001,81680894.62043901
country/KEN,2002,81705266.2015681
country/KEN,2003,92075961.6641229
country/KEN,2004,96278157.64479712
country/KEN,2005,109727309.51079932
country/KEN,2006,125901043.48113506
country/KEN,2007,185920423.3725899
country/KEN,2008,232680552.634099
country/KEN,2009,255776498.5534738
country/KEN,2010,294930158.7311386
country/KEN,2011,288827899.9417847
country/KEN,2012,330461871.06270313
country/KEN,2013,350854417.7508746
country/KEN,2014,447912877.015784
country/KEN,2015,494470472.02813435
country/KEN,2016,568559001.5353907
country/KEN,2017,415055407.0037596
country/KEN,2018,429742495.8202021
country/KEN,2019,491645989.10347867
country/KEN,2020,461423436.2208204
country/LSO,2000,0.0
country/LSO,2001,5711022.780429068
country/LSO,2002,3567160.980057058
country/LSO,2003,0.0
country/LSO,2004,0.0
country/LSO,2005,0.0
country/LSO,2006,0.0
country/LSO,2007,0.0
country/LSO,2008,0.0
country/LSO,2009,0.0
country/LSO,2010,5463568.8157310225
country/LSO,2011,1377195.706917233
country/LSO,2012,1330486.2889022452
country/LSO,2013,1150772.9877942686
country/LSO,2014,1102889.4443521115
country/LSO,2015,1047709.799081532
country/LSO,2016,962328.5388145769
country/LSO,2017,1088353.802191624
country/LSO,2018,1119804.2834695473
country/LSO,2019,1097018.3155472218
country/LSO,2020,1024078.4423131049
country/LBR,2000,1542958.1446121784
country/LBR,2001,1276879.7506584264
country/LBR,2002,1334683.761581532
country/LBR,2003,922636.462768718
country/LBR,2004,2320240.799307905
country/LBR,2005,2485339.1530613652
country/LBR,2006,2462517.080671116
country/LBR,2007,4086751.959833169
country/LBR,2008,4925779.837202854
country/LBR,2009,5025455.727325995
country/LBR,2010,5774409.217356797
country/LBR,2011,7699399.314057552
country/LBR,2012,8847014.615161378
country/LBR,2013,9732615.625257956
country/LBR,2014,9796442.368626492
country/LBR,2015,28532939.12414724
country/LBR,2016,28200105.89601953
country/LBR,2017,27822326.904442087
country/LBR,2018,26952049.410540428
country/LBR,2019,13044806.58151508
country/LBR,2020,12576769.700019863
country/MDG,2000,16074816.262075333
country/MDG,2001,18389796.847023662
country/MDG,2002,19032143.78352609
country/MDG,2003,22120962.599290434
country/MDG,2004,17364258.129249576
country/MDG,2005,19560764.97227572
country/MDG,2006,21941259.98005573
country/MDG,2007,28801671.401355073
country/MDG,2008,38384455.8662079
country/MDG,2009,35966598.28793756
country/MDG,2010,34224874.12133308
country/MDG,2011,36322751.00585029
country/MDG,2012,36034111.37707781
country/MDG,2013,42029717.418081075
country/MDG,2014,38785942.628551364
country/MDG,2015,35109905.543451145
country/MDG,2016,31491140.539630234
country/MDG,2017,35062449.358726054
country/MDG,2018,36825819.59272131
country/MDG,2019,37453761.49781987
country/MDG,2020,36106319.12661647
country/MWI,2000,1728328.606290859
country/MWI,2001,1677404.9468124413
country/MWI,2002,3710649.9862807393
country/MWI,2003,9985311.365640663
country/MWI,2004,6306848.434931312
country/MWI,2005,8770479.310927212
country/MWI,2006,25591673.941733316
country/MWI,2007,32333118.296625745
country/MWI,2008,46059912.67776014
country/MWI,2009,44363073.262417294
country/MWI,2010,21658343.21281631
country/MWI,2011,29795598.315399457
country/MWI,2012,15784035.32355616
country/MWI,2013,44865505.68295882
country/MWI,2014,35521488.68786132
country/MWI,2015,41034547.465305164
country/MWI,2016,54611421.14609233
country/MWI,2017,32437184.91385066
country/MWI,2018,36028177.83091489
country/MWI,2019,39579779.731658526
country/MWI,2020,50992301.895168126
country/MLI,2000,2794571.170625308
country/MLI,2001,3154995.575018805
country/MLI,2002,3612199.751280228
country/MLI,2003,4544894.618063308
country/MLI,2004,5263477.20732057
country/MLI,2005,6121954.206604005
country/MLI,2006,6615940.40865345
country/MLI,2007,7854933.122655965
country/MLI,2008,9621756.385322528
country/MLI,2009,9848585.051948953
country/MLI,2010,10423128.643670795
country/MLI,2011,12470674.365563089
country/MLI,2012,11997648.23121259
country/MLI,2013,12931824.286731653
country/MLI,2014,14204785.718889836
country/MLI,2015,11607787.56468696
country/MLI,2016,10537663.499739042
country/MLI,2017,10301063.58771423
country/MLI,2018,10249270.521171454
country/MLI,2019,10356892.805378804
country/MLI,2020,10513874.67923561
country/MRT,2000,2359068.48961313
country/MRT,2001,2330515.313132637
country/MRT,2002,2314838.5509388437
country/MRT,2003,2634862.529749472
country/MRT,2005,3519892.668579032
country/MRT,2006,4569011.543559203
country/MRT,2007,4949894.0726513155
country/MRT,2008,6918699.492310535
country/MRT,2009,5471319.564221722
country/MRT,2010,5492985.570553905
country/MRT,2011,10000984.164438492
country/MRT,2012,9611030.29600163
country/MRT,2013,6437287.827547391
country/MRT,2014,13639759.911470808
country/MRT,2015,11323311.526824508
country/MRT,2016,10274078.130851738
country/MRT,2017,13202826.866853038
country/MRT,2018,14130666.721322984
country/MRT,2019,14814908.028435808
country/MRT,2020,15133800.238779204
country/MUS,2000,3059710.115884487
country/MUS,2001,2614237.4978651083
country/MUS,2002,3135639.9569454915
country/MUS,2003,4153145.120822456
country/MUS,2004,5044219.414501758
country/MUS,2005,5281428.252872985
country/MUS,2006,5459319.78098106
country/MUS,2007,6443063.516736433
country/MUS,2008,7818806.638178011
country/MUS,2009,7703062.13931259
country/MUS,2010,7588661.645833655
country/MUS,2011,9289933.340300506
country/MUS,2012,8880335.710133541
country/MUS,2013,20432996.41237375
country/MUS,2014,30171510.562200807
country/MUS,2015,40978304.86611691
country/MUS,2016,52361166.87588782
country/MUS,2017,56434129.25361484
country/MUS,2018,60978382.55607509
country/MUS,2019,60484397.72525139
country/MUS,2020,45845800.29981154
country/MOZ,2000,1203003.737378718
country/MOZ,2001,1148160.095673996
country/MOZ,2002,1207378.9293755214
country/MOZ,2003,1340597.3921536272
country/MOZ,2004,1622977.0218489054
country/MOZ,2005,2229958.7202877295
country/MOZ,2006,2405123.071191865
country/MOZ,2007,4526642.971237518
country/MOZ,2008,7112898.360321393
country/MOZ,2009,8311777.991367468
country/MOZ,2010,8380540.989303916
country/MOZ,2011,11713454.182553021
country/MOZ,2012,103134021.80422042
country/MOZ,2013,89714878.42045952
country/MOZ,2014,91057052.60649842
country/MOZ,2015,75257473.78643265
country/MOZ,2016,56319277.35356147
country/MOZ,2017,62368187.78901123
country/MOZ,2018,70041281.21264604
country/MOZ,2019,72610865.57472898
country/MOZ,2020,66188529.066004425
country/NAM,2000,142463891.90798914
country/NAM,2001,121345539.75625059
country/NAM,2002,112203937.62617667
country/NAM,2003,164799864.67275453
country/NAM,2004,207201564.13792145
country/NAM,2005,209824076.7781676
country/NAM,2006,235820578.0498437
country/NAM,2007,287792056.63091654
country/NAM,2008,251104851.8932871
country/NAM,2009,270168360.5693962
country/NAM,2010,388865251.70355713
country/NAM,2011,451194642.832045
country/NAM,2012,476049909.12141085
country/NAM,2013,409867637.45407075
country/NAM,2014,405245823.9366589
country/NAM,2015,506325288.1319148
country/NAM,2016,384039160.2391309
country/NAM,2017,437745050.0642234
country/NAM,2018,463429889.1952688
country/NAM,2019,423238461.6287447
country/NAM,2020,358650602.3853097
country/NER,2000,6399736.786171376
country/NER,2001,7109535.050173781
country/NER,2002,8154810.217517975
country/NER,2003,9995943.320596918
country/NER,2004,11470798.870970428
country/NER,2005,13768660.35055037
country/NER,2006,14910225.761232391
country/NER,2007,17339547.24800662
country/NER,2008,20939706.60645643
country/NER,2009,21787877.378611967
country/NER,2010,22187996.479298797
country/NER,2011,23128995.891227715
country/NER,2012,7601669.926868941
country/NER,2013,7268282.4720554305
country/NER,2014,16369791.844186168
country/NER,2015,15383288.08282047
country/NER,2016,11447731.686238816
country/NER,2017,21216662.68538905
country/NER,2018,40192651.18764014
country/NER,2019,21705215.064945508
country/NER,2020,27259949.70922125
country/NGA,2000,98790889.30552143
country/NGA,2001,131678372.75945383
country/NGA,2002,147770626.50719193
country/NGA,2003,159752860.08960477
country/NGA,2004,198721668.11117902
country/NGA,2005,229295698.8291691
country/NGA,2006,279869858.9213742
country/NGA,2007,333132801.65500915
country/NGA,2008,403282750.07028383
country/NGA,2009,360834062.3320795
country/NGA,2010,396720231.54077744
country/NGA,2011,410018919.4898026
country/NGA,2012,392539206.3492063
country/NGA,2013,409880413.61628103
country/NGA,2014,485101687.31026506
country/NGA,2015,309747670.70659184
country/NGA,2016,217705612.01142636
country/NGA,2017,113196881.62009066
country/NGA,2018,102548641.54832546
country/NGA,2019,144513114.8189483
country/NGA,2020,112468026.03980727
country/RWA,2000,6486436.029714254
country/RWA,2001,6805635.40176158
country/RWA,2002,7443182.387220187
country/RWA,2003,10660673.79671959
country/RWA,2004,10452270.684132954
country/RWA,2005,11393837.205289142
country/RWA,2006,23225724.998770516
country/RWA,2007,31868897.138265476
country/RWA,2008,43919252.85960267
country/RWA,2009,51331452.63056525
country/RWA,2010,58213703.69553354
country/RWA,2011,66067350.72300536
country/RWA,2012,69032387.72123729
country/RWA,2013,60191445.24887552
country/RWA,2014,54295599.279639035
country/RWA,2015,79449411.54840305
country/RWA,2016,80383001.73723356
country/RWA,2017,82561101.98890944
country/RWA,2018,90500046.98904447
country/RWA,2019,97551770.7365861
country/RWA,2020,102820571.74508022
country/STP,2000,140490.16702448297
country/STP,2001,134949.42750744475
country/STP,2002,119255.55039019957
country/STP,2003,129397.15398810786
country/STP,2004,134545.61854123694
country/STP,2005,187712.50036031342
country/STP,2006,274651.9373497955
country/STP,2007,261938.6322645264
country/STP,2008,295701.483284623
country/STP,2009,327167.8038107921
country/STP,2010,302182.5932765455
country/STP,2011,409870.27970168804
country/STP,2012,453115.2154271576
country/STP,2013,587254.8076568077
country/STP,2014,460342.6838013835
country/STP,2015,209096.64439215482
country/STP,2016,421678.85626280954
country/STP,2017,317200.72176451946
country/STP,2018,358366.0399328285
country/STP,2019,369970.5940285299
country/STP,2020,413917.9094116894
country/SEN,2000,10811187.815778198
country/SEN,2001,12424409.697979234
country/SEN,2002,15968610.83377067
country/SEN,2003,23357148.60340099
country/SEN,2004,32894560.221343413
country/SEN,2005,42358266.045827016
country/SEN,2006,45672912.7802405
country/SEN,2007,53964752.17463302
country/SEN,2008,72911450.62572943
country/SEN,2009,68114662.16112868
country/SEN,2010,65978084.88605802
country/SEN,2011,72183662.70565674
country/SEN,2012,70159603.99083313
country/SEN,2013,71718943.5653375
country/SEN,2014,57749899.929993324
country/SEN,2015,50804496.24473351
country/SEN,2016,51978266.33270131
country/SEN,2017,74235574.7132803
country/SEN,2018,61698534.99773311
country/SEN,2019,88869284.64700258
country/SEN,2020,103433878.8903056
country/SYC,2000,0.0
country/SYC,2001,0.0
country/SYC,2002,0.0
country/SYC,2003,0.0
country/SYC,2004,0.0
country/SYC,2005,0.0
country/SYC,2006,0.0
country/SYC,2007,0.0
country/SYC,2008,0.0
country/SYC,2009,88170.84866674966
country/SYC,2010,2122960.444285458
country/SYC,2011,25255.649314133676
country/SYC,2012,1884931.9295079599
country/SYC,2013,724810.9534360057
country/SYC,2014,174942.6663981904
country/SYC,2015,26288.26585698808
country/SYC,2016,1203093.9927197343
country/SYC,2017,1325999.7699269874
country/SYC,2018,1323916.7682441035
country/SYC,2019,1699243.9007357461
country/SYC,2020,868117.4375216665
country/SLE,2000,532950947.00364465
country/SLE,2001,600154821.818547
country/SLE,2002,689841180.5674317
country/SLE,2003,720205286.1903856
country/SLE,2004,750046121.9612168
country/SLE,2005,920892687.9701687
country/SLE,2006,1587489600.5982609
country/SLE,2007,628842213.4523941
