dcid,year,climateFinanceReceivedDisbursementsOdaLoansCurrentUSD
country/HTI,2020,5446839.0
country/HTI,2021,1507867.0
country/HND,2014,43341999.99999999
country/HND,2015,15717371.2
country/HND,2016,3681734.0
country/HND,2017,9600231.4
country/HND,2018,20753317.832
country/HND,2019,34490607.19
country/HND,2020,143485788.1
country/HND,2021,16721822.37
country/IND,2013,1177661192.4
country/IND,2014,1176626470.0
country/IND,2015,1415673948.29
country/IND,2016,1699982533.4
country/IND,2017,2336115660.6
country/IND,2018,2033730082.2301857
country/IND,2019,2292628920.9713845
country/IND,2020,1331097380.89
country/IND,2021,2187531100.9437
country/IDN,2013,142592901.6
country/IDN,2014,75231113.8
country/IDN,2015,403575669.2
country/IDN,2016,168004607.4
country/IDN,2017,463368504.0
country/IDN,2018,524830681.20000005
country/IDN,2019,255126411.0
country/IDN,2020,415640383.8
country/IDN,2021,658547525.0
country/IRQ,2013,5338874.2
country/IRQ,2014,7383680.2
country/IRQ,2015,14814147.8
country/IRQ,2016,133762324.0
country/IRQ,2017,129188367.60000001
country/IRQ,2018,38511927.2
country/IRQ,2019,55011206.800000004
country/IRQ,2020,65969685.800000004
country/IRQ,2021,36525519.800000004
country/JAM,2017,3317600.0
country/JAM,2018,12745196.0
country/JAM,2019,187659.2
country/JAM,2021,762064.4
country/JOR,2013,72157219.8
country/JOR,2014,2734995.4
country/JOR,2015,90221596.8
country/JOR,2016,127773054.4
country/JOR,2017,165271170.6
country/JOR,2018,79713452.8
country/JOR,2019,113283140.60000001
country/JOR,2020,99724151.0
country/JOR,2021,78020977.30959846
country/KEN,2013,295167714.4
country/KEN,2014,51565541.15
country/KEN,2015,79331293.0
country/KEN,2016,77697833.7664
country/KEN,2017,100127262.0
country/KEN,2018,239947960.5971
country/KEN,2019,508036281.21685725
country/KEN,2020,690668349.7316471
country/KEN,2021,585186770.3442944
country/XKX,2013,2095466.0
country/XKX,2014,8595306.0
country/XKX,2015,11661441.4
country/XKX,2016,6327658.0
country/XKX,2017,5165415.6
country/XKX,2018,6714028.0
country/XKX,2019,2643891.0
country/XKX,2020,7953946.875
country/XKX,2021,5270417.593989583
country/KGZ,2013,2389533.2
country/KGZ,2014,14219322.0
country/KGZ,2015,7919573.6
country/KGZ,2016,1899094.0
country/KGZ,2017,1761863.968
country/KGZ,2018,4992313.805000001
country/KGZ,2019,5441042.2864
country/KGZ,2020,4731143.9878
country/KGZ,2021,13684387.6395
country/LAO,2013,1400744.0
country/LAO,2014,5980541.2612
country/LAO,2015,24898316.903
country/LAO,2016,4337532.2299
country/LAO,2017,33758600.87208207
country/LAO,2018,16609014.2719
country/LAO,2019,53838008.6914
country/LAO,2020,37213536.5886
country/LAO,2021,32716001.16251046
country/LBN,2013,2403792.8000000003
country/LBN,2014,2604156.0
country/LBN,2015,1751664.0
country/LBN,2016,1632345.2
country/LBN,2017,1337210.0
country/LBN,2018,1847652.8000000003
country/LBN,2019,1135745.6
country/LBN,2020,933595.2000000001
country/LBN,2021,1297588.4000000001
country/LSO,2014,3372720.0
country/LSO,2015,2365368.8000000003
country/LSO,2018,1629525.8200000003
country/LSO,2019,5334052.9
country/LSO,2020,1261149.86
country/LSO,2021,4627302.9532
country/LBR,2018,614975.6799999999
country/LBR,2019,1387851.06
country/LBR,2020,8811413.76
country/LBR,2021,22009186.81422609
country/MDG,2014,674018.0700000001
country/MDG,2015,519142.80000000005
country/MDG,2016,3093753.21
country/MDG,2017,3705301.0100000002
country/MDG,2018,12280801.782
country/MDG,2019,26778979.6024
country/MDG,2020,53234129.0719
country/MDG,2021,64892849.626729466
country/MWI,2014,3350000.0
country/MWI,2015,17023092.0
country/MWI,2017,46818774.96
country/MWI,2018,6921789.529999999
country/MWI,2019,10799744.520000001
country/MWI,2020,51645255.363060206
country/MWI,2021,43400455.809631735
country/MDV,2013,4335683.0
country/MDV,2018,1045469.9999999999
country/MDV,2019,3269089.0
country/MDV,2020,273660.22
country/MDV,2021,2775.0
country/MLI,2013,197350.0
country/MLI,2015,886948.5800000001
country/MLI,2016,4544559.68
country/MLI,2017,967081.9199999999
country/MLI,2018,16557755.637403654
country/MLI,2019,59095692.446100004
country/MLI,2020,38614484.48762819
country/MLI,2021,35513467.6354
country/MRT,2015,28408.17
country/MRT,2016,32669.999999999996
country/MRT,2017,155000.0
country/MRT,2020,1344824.0
country/MRT,2021,869756.2
country/MUS,2013,31701737.0
country/MUS,2014,23497776.0
country/MUS,2017,6101635.0
country/MUS,2018,2977300.8
country/MUS,2019,9732776.0
country/MUS,2020,142450142.8
country/MUS,2021,8308248.0
country/MEX,2013,221481334.6
country/MEX,2014,243116158.6
country/MEX,2015,58234763.8
country/MEX,2016,377478785.6
country/MEX,2017,467849382.23735774
country/MEX,2018,186290640.0
country/MEX,2019,364258798.0
country/MEX,2020,417436702.0
country/MEX,2021,186703101.60000002
country/FSM,2016,1286701.1352000001
country/FSM,2017,605808.8064
country/FSM,2018,35881.128
country/FSM,2019,63064.6992
country/MDA,2013,6547892.61
country/MDA,2014,806435.08
country/MDA,2015,2211176.65
country/MDA,2016,2000260.8
country/MDA,2018,3499247.04
country/MDA,2019,914096.4
country/MDA,2020,7229323.84
country/MDA,2021,5141956.239999999
country/MNG,2013,12085188.600000001
country/MNG,2014,5771970.2
country/MNG,2015,3968651.2
country/MNG,2016,21567624.8
country/MNG,2017,51957869.8
country/MNG,2018,29968372.6
country/MNG,2019,5937935.1697
country/MNG,2020,9956453.0966
country/MNG,2021,21760712.632422794
country/MNE,2013,14566048.0
country/MNE,2014,3424244.2
country/MNE,2015,7345179.4
country/MNE,2016,18695537.4
country/MNE,2017,14236879.3108556
country/MNE,2018,13139886.042
country/MNE,2019,15003456.12665973
country/MNE,2020,17251644.228580583
country/MNE,2021,12405561.6
country/MAR,2013,311722659.0
country/MAR,2014,69706359.0
country/MAR,2015,169235828.6
country/MAR,2016,471870897.2
country/MAR,2017,412953435.9942764
country/MAR,2018,289193590.0
country/MAR,2019,217855981.27745193
country/MAR,2020,252328352.1657024
country/MAR,2021,141999548.3774022
country/MOZ,2013,76285501.34
country/MOZ,2014,2010.0
country/MOZ,2015,41787921.36
country/MOZ,2016,23692020.22
country/MOZ,2017,98297645.0
country/MOZ,2018,46079680.0
country/MOZ,2019,14589024.54
country/MOZ,2020,19782420.5
country/MOZ,2021,35574915.11
country/MMR,2014,190486.0
country/MMR,2015,9816284.15
country/MMR,2016,68062422.6
country/MMR,2017,30069860.5899
country/MMR,2018,185665125.3
country/MMR,2019,130548218.8506
country/MMR,2020,179386212.7719
country/MMR,2021,38923450.156600006
country/NAM,2015,27731560.0
country/NAM,2016,13269931.2
country/NAM,2018,7081317.600000001
country/NAM,2019,10075003.200000001
country/NAM,2020,3418803.6
country/NPL,2014,12504224.4525
country/NPL,2015,7114808.866623572
country/NPL,2016,81802973.42462076
country/NPL,2017,42666146.150060326
country/NPL,2018,247685049.94610915
country/NPL,2019,219913959.61335313
country/NPL,2020,277312655.9065103
country/NPL,2021,180289037.04324308
country/NIC,2013,682274.4
country/NIC,2014,278307.83999999997
country/NIC,2015,8532890.1
country/NIC,2016,4987707.19
country/NIC,2017,29166464.9
country/NIC,2018,12093042.35
country/NIC,2019,21984213.5133
country/NIC,2020,8817989.726400001
country/NIC,2021,51856836.387200005
country/NER,2013,1326689.0
country/NER,2014,4999013.0
country/NER,2015,12262472.6
country/NER,2016,26805294.73
country/NER,2017,21930268.759999998
country/NER,2018,49211011.6784
country/NER,2019,84016487.819
country/NER,2020,90950693.907
country/NER,2021,75529837.8839
country/NGA,2013,38593901.0
country/NGA,2015,5547597.50247594
country/NGA,2016,26772503.32033697
country/NGA,2018,11984474.812686214
country/NGA,2019,361592386.6519067
country/NGA,2020,81080157.05198933
country/NGA,2021,156991097.28514794
country/MKD,2013,54918318.51562768
country/MKD,2014,58186729.985241935
country/MKD,2015,38394195.06312615
country/MKD,2016,3958751.3781472836
country/MKD,2017,290204.0
country/MKD,2018,3855383.7159924945
country/MKD,2019,23276663.571049757
country/MKD,2020,31314716.85426676
country/MKD,2021,9106645.8
country/PAK,2013,45555515.6
country/PAK,2014,82151161.2
country/PAK,2015,178176460.09712118
country/PAK,2016,151333067.83008692
country/PAK,2017,156746830.8723152
country/PAK,2018,69572118.02907091
country/PAK,2019,293825735.04975075
country/PAK,2020,266440468.9276508
country/PAK,2021,546968437.2152861
country/PAN,2019,19940234.0
country/PAN,2021,29048530.8
country/PNG,2014,469807.68
country/PNG,2015,630984.1599999999
country/PNG,2016,2648419.2800000003
country/PNG,2017,1971759.755225
country/PNG,2018,29973775.12933164
country/PNG,2019,14480095.608822525
country/PNG,2020,40820818.86605105
country/PNG,2021,32993966.05964885
country/PRY,2019,768863.2000000001
country/PRY,2020,16639998.8
country/PRY,2021,31104876.0
country/PER,2013,29893812.6
country/PER,2014,34528170.0
country/PER,2015,89123249.2
country/PER,2016,51819255.8
country/PER,2017,105094563.8
country/PER,2018,72843280.8
country/PER,2019,181985238.4
country/PER,2020,185929196.0
country/PER,2021,6007962.8
country/PHL,2013,12089721.2
country/PHL,2014,247455538.0
country/PHL,2015,231112151.4
country/PHL,2016,82902538.4
country/PHL,2017,32207488.000000004
country/PHL,2018,163445933.0
country/PHL,2019,298101365.8
country/PHL,2020,189889195.0
country/PHL,2021,690864413.2
country/RWA,2014,17255210.2
country/RWA,2015,25678343.3
country/RWA,2016,20557202.36
country/RWA,2017,103166538.45
country/RWA,2018,88315237.1443
country/RWA,2019,99942368.38170001
country/RWA,2020,112656182.0318
country/RWA,2021,56897234.7807
country/LCA,2014,1206700.0
country/LCA,2015,1083303.0
country/LCA,2016,2683930.0
country/LCA,2017,2986360.0
country/LCA,2018,3140934.27
country/LCA,2019,2745075.137
country/LCA,2020,7807610.548
country/LCA,2021,16872118.998999998
country/VCT,2013,113575.0
country/VCT,2017,50015.6
country/VCT,2018,162061.55000000002
country/VCT,2019,11116204.73
country/VCT,2020,7477063.75
country/VCT,2021,18637876.64
country/STP,2015,4608073.2
country/STP,2016,692224.3101833519
country/STP,2017,86934.8
country/STP,2019,413236.81922724267
country/STP,2020,323690.6771389764
country/STP,2021,98936.78779912413
country/SEN,2013,11230321.8
country/SEN,2015,1870478.0469084536
country/SEN,2016,5634680.966885173
country/SEN,2017,50779099.03
country/SEN,2018,71673471.68621483
country/SEN,2019,269020289.79792404
country/SEN,2020,204678848.9155966
country/SEN,2021,191440565.62805384
country/SRB,2013,75726320.0776097
country/SRB,2014,39064348.20450413
country/SRB,2015,58524803.2119327
country/SRB,2016,47633390.4509949
country/SRB,2017,52781522.12420247
country/SRB,2018,116156937.08758342
country/SRB,2019,124108403.462388
country/SRB,2020,65633863.59379511
country/SRB,2021,150455813.66989306
country/SYC,2013,2545673.0
country/SLE,2015,2592352.76
country/SLE,2016,2209.6
country/SLE,2017,1471421.0
country/SLE,2018,5630484.156270174
country/SLE,2019,38614607.88433272
country/SLE,2020,27879845.12658079
country/SLE,2021,15438347.343138877
country/SLB,2017,712176.6263237519
country/SLB,2018,167033.28290468987
country/SLB,2019,777005.24
country/SLB,2020,1638038.524
country/SLB,2021,116297.19750000001
country/ZAF,2013,275983394.0
country/ZAF,2014,68051067.0
country/ZAF,2015,288433877.40000004
country/ZAF,2016,276360345.6
country/ZAF,2019,38080577.05092179
country/ZAF,2020,40813005.2
country/ZAF,2021,94607379.2
country/SSD,2015,853369.0000000001
country/SSD,2016,472774.50000000006
country/SSD,2018,7283967.9
country/SSD,2019,112945.25000000001
country/LKA,2013,31344050.400000002
country/LKA,2014,62880413.6
country/LKA,2015,16811214.6
country/LKA,2016,27421954.8
country/LKA,2017,88938586.6922112
country/LKA,2018,94196676.4852971
country/LKA,2019,145478628.9541132
country/LKA,2020,116677701.66417132
country/LKA,2021,111098347.92570172
country/SDN,2015,1580551.6
country/SDN,2016,309816.0
country/SDN,2017,16907.600000000002
country/SUR,2017,217028.0
country/SUR,2018,113611.20000000001
country/SUR,2019,431044.0
country/TJK,2013,1972523.0
country/TJK,2014,1126792.0
country/TJK,2015,259567.0
country/TJK,2016,1060000.0
country/TJK,2018,8036217.0
country/TJK,2019,2727836.25
country/TJK,2020,5912230.5600000005
country/TJK,2021,15523603.280000001
country/TZA,2013,32055831.0
country/TZA,2014,5936397.550000001
country/TZA,2015,38147932.6
country/TZA,2016,29498895.0
country/TZA,2017,42021206.56420788
country/TZA,2018,71430847.82000001
country/TZA,2019,56708839.4971
country/TZA,2020,112269402.70702727
country/TZA,2021,77505670.7754782
country/THA,2013,419212421.0
country/THA,2014,311027847.0
country/THA,2015,113095949.0
country/THA,2016,336725762.0
country/THA,2017,142671274.20000002
country/THA,2018,96278348.00000001
country/THA,2019,91949956.0
country/THA,2020,76600647.6
country/THA,2021,70989162.8
country/TLS,2016,281772.0
country/TLS,2017,463328.3532
country/TLS,2018,1008997.048
country/TLS,2019,999753.3258999999
country/TLS,2020,711579.9345
country/TLS,2021,206066.6394
country/TGO,2017,1263768.6400000001
country/TGO,2018,4198827.2179
country/TGO,2019,23071231.826029368
country/TGO,2020,11362759.60002443
country/TGO,2021,10243531.07844134
country/TON,2014,373803.75
country/TON,2015,1645676.0
country/TON,2016,2031339.74
country/TON,2017,86795.67328115118
country/TON,2018,1726037.1600000001
country/TON,2019,4330143.718193837
country/TON,2020,804500.3318866093
country/TON,2021,501944.6613925323
country/TUN,2013,117975574.23812775
country/TUN,2014,52497005.373534136
country/TUN,2015,18479555.735264078
country/TUN,2016,55213078.24630113
country/TUN,2017,139958892.6876518
country/TUN,2018,183303060.77371296
country/TUN,2019,259913535.15377676
country/TUN,2020,196116835.8
country/TUN,2021,196453944.6
country/TUR,2013,117483651.6
country/TUR,2014,352372710.2
country/TUR,2015,147973370.4
country/TUR,2016,169793757.37502646
country/TUR,2017,447074928.1619677
country/TUR,2018,98887354.8706077
country/TUR,2019,180321393.2
country/TUR,2020,192804577.4
country/TUR,2021,175206267.4
country/UGA,2016,238665.53
country/UGA,2018,9558721.887200002
country/UGA,2019,17324662.5936
country/UGA,2020,7975822.2384
country/UGA,2021,18863387.647
country/UKR,2013,728611.2649064914
country/UKR,2016,1603583.6
country/UKR,2017,9794346.827695042
country/UKR,2018,10932944.4
country/UKR,2019,8749593.809896432
country/UKR,2020,11637158.4
country/UKR,2021,11138273.926205788
country/URY,2013,5711107.2
country/URY,2014,66550920.6
country/URY,2015,16618518.4
country/URY,2017,9819391.200000001
country/UZB,2013,38268795.0
country/UZB,2014,46283960.12
country/UZB,2015,105608374.0
country/UZB,2016,182428976.6
country/UZB,2017,275185192.74769515
country/UZB,2018,421270032.923511
country/UZB,2019,471057613.62592894
country/UZB,2020,423748491.3595591
country/UZB,2021,260434393.33831108
country/VUT,2013,276460.0
country/VUT,2014,730220.4
country/VUT,2015,5897837.4
country/VUT,2016,11023080.2
country/VUT,2017,10094052.1959
country/VUT,2018,12727643.277
country/VUT,2019,17761600.5432
country/VUT,2020,5560906.2072
country/VUT,2021,9638020.0
country/VNM,2013,356498875.4
country/VNM,2014,412556350.544
country/VNM,2015,468588545.596
country/VNM,2016,404393432.2146
country/VNM,2017,323325959.22000635
country/VNM,2018,268194734.5410506
country/VNM,2019,403677719.5137433
country/VNM,2020,437781106.5791172
country/VNM,2021,662100747.0853454
country/PSE,2018,10206176.0
country/PSE,2019,3358334.0
country/PSE,2020,7977208.0
country/PSE,2021,7512189.0
country/ZMB,2013,269053.54000000004
country/ZMB,2014,17722777.194931217
country/ZMB,2015,4310793.599819579
country/ZMB,2016,12679738.969301049
country/ZMB,2017,11486511.523338169
country/ZMB,2018,35016682.598096944
country/ZMB,2019,21498538.42275227
country/ZMB,2020,20721197.158731982
country/ZMB,2021,23633541.596599862
