dcid,year,climateFinanceReceivedDisbursementsAdaptationOdaGrantsCurrentUSD
country/BTN,2014,4549498.2
country/BTN,2015,9035208.254746836
country/BTN,2016,6185178.715822785
country/BTN,2017,3877553.603322785
country/BTN,2018,8995532.66329114
country/BTN,2019,19362955.71152152
country/BTN,2020,17394582.214772154
country/BTN,2021,3984781.360979747
country/BOL,2013,25801906.8
country/BOL,2014,29842291.2
country/BOL,2015,31883536.2
country/BOL,2016,43530288.6
country/BOL,2017,48929697.2
country/BOL,2018,64414271.424
country/BOL,2019,37606445.3727
country/BOL,2020,88983310.1384
country/BOL,2021,39579102.3278
country/BIH,2013,175252.0
country/BIH,2014,2658680.6
country/BIH,2015,3669821.4000000004
country/BIH,2016,4328273.600000001
country/BIH,2017,436565.4
country/BIH,2018,358897.4
country/BIH,2019,299355.80000000005
country/BIH,2020,1374300.6
country/BIH,2021,2257488.0
country/BWA,2013,555958.6
country/BWA,2014,93619.0
country/BWA,2017,21668.800000000003
country/BWA,2018,76714.6
country/BWA,2019,135742.0
country/BWA,2020,1480314.2
country/BWA,2021,1937448.4
country/BRA,2013,4660619.0
country/BRA,2014,8085099.0
country/BRA,2015,9008608.6
country/BRA,2016,6342456.8
country/BRA,2017,13021416.452591483
country/BRA,2018,7806363.4
country/BRA,2019,6863891.0
country/BRA,2020,8436077.6
country/BRA,2021,6037451.4
country/BFA,2013,29473738.400000002
country/BFA,2014,22863547.8
country/BFA,2015,21643756.2
country/BFA,2016,23230746.881974224
country/BFA,2017,36676449.6
country/BFA,2018,43798030.971205935
country/BFA,2019,54710503.671185985
country/BFA,2020,88818424.1430064
country/BFA,2021,83799297.92693801
country/BDI,2013,10125503.6
country/BDI,2014,10524304.200000001
country/BDI,2015,11677721.600000001
country/BDI,2016,19040913.98
country/BDI,2017,18585757.925486725
country/BDI,2018,23084566.240000002
country/BDI,2019,27087592.290355116
country/BDI,2020,17089705.90764752
country/BDI,2021,24543521.196986973
country/CPV,2013,3370860.8
country/CPV,2014,3301167.6
country/CPV,2015,106842.4
country/CPV,2016,12069723.6
country/CPV,2017,15495296.4
country/CPV,2018,327557.60000000003
country/CPV,2019,1147014.0
country/CPV,2020,1036618.2
country/CPV,2021,3380660.4000000004
country/KHM,2013,24784018.599999998
country/KHM,2014,31406722.0
country/KHM,2015,26904948.87823275
country/KHM,2016,22634773.17
country/KHM,2017,36404297.59201759
country/KHM,2018,31982282.4
country/KHM,2019,22897077.8
country/KHM,2020,37816832.355882905
country/KHM,2021,34387215.311733395
country/CMR,2013,8136355.399999999
country/CMR,2014,8566396.4
country/CMR,2015,2536845.2
country/CMR,2016,6808585.199999999
country/CMR,2017,16873206.6
country/CMR,2018,17443198.800000004
country/CMR,2019,21640922.200000003
country/CMR,2020,17014669.8
country/CMR,2021,29636357.8
country/CAF,2013,800000.0
country/CAF,2014,2284820.8000000003
country/CAF,2015,874594.4
country/CAF,2016,3701093.6
country/CAF,2017,3274247.2800000003
country/CAF,2018,3421944.035714308
country/CAF,2019,6816178.6654
country/CAF,2020,17023375.0359
country/CAF,2021,7760726.847998664
country/TCD,2013,16343302.4
country/TCD,2014,13199622.0
country/TCD,2015,10508129.6
country/TCD,2016,11818140.21
country/TCD,2017,16274075.0
country/TCD,2018,28149693.021399997
country/TCD,2019,31820725.45055122
country/TCD,2020,83414819.48767579
country/TCD,2021,46777875.6284
country/CHL,2013,1523455.8
country/CHL,2014,592287.4
country/CHL,2015,2751331.8
country/CHL,2016,577524.8
country/CHL,2017,1635373.8
country/CHN,2013,5118048.0
country/CHN,2014,6069403.8
country/CHN,2015,16814185.0
country/CHN,2016,15729527.0
country/CHN,2017,7985592.600000001
country/CHN,2018,4807980.8
country/CHN,2019,16072971.65
country/CHN,2020,16994668.5
country/CHN,2021,14191223.485036973
country/COL,2013,19968080.4
country/COL,2014,9261373.6
country/COL,2015,9668654.0
country/COL,2016,13208257.4
country/COL,2017,9928189.4
country/COL,2018,12280312.8
country/COL,2019,12372324.600000001
country/COL,2020,18729152.6
country/COL,2021,13268504.535001583
country/COM,2013,2540992.6
country/COM,2014,214318.2
country/COM,2015,1932079.98
country/COM,2016,2011888.34
country/COM,2017,2535426.937594256
country/COM,2018,3006122.4561381405
country/COM,2019,2691838.3385404893
country/COM,2020,16916493.89493072
country/COM,2021,12943590.221752118
country/COG,2013,151744.0
country/COG,2014,46690.600000000006
country/COG,2015,96718.00000000001
country/COG,2016,150867.80000000002
country/COG,2017,283578.0
country/COG,2018,87895.20000000001
country/COG,2019,2027215.2
country/COG,2020,3004817.4
country/COG,2021,3716820.6
country/COK,2013,990218.8
country/COK,2014,1390245.8
country/COK,2015,2512360.6
country/COK,2016,1578367.8
country/COK,2017,543052.8
country/COK,2018,6048594.800000001
country/COK,2019,3764679.2
country/CRI,2013,1941222.2
country/CRI,2014,2476683.6
country/CRI,2015,601716.4
country/CRI,2016,164725.0
country/CRI,2017,221278.40000000002
country/CRI,2018,2794982.4
country/CRI,2019,1195513.8
country/CRI,2020,2823591.4
country/CRI,2021,2850198.6
country/CUB,2013,10149757.6
country/CUB,2014,6517756.2
country/CUB,2015,5119465.4
country/CUB,2016,5431345.4
country/CUB,2017,3317216.6
country/CUB,2018,7904601.8
country/CUB,2019,6204268.4
country/CUB,2020,17149062.97602781
country/CUB,2021,14349311.600000001
country/CIV,2013,4610118.0
country/CIV,2014,3274598.2
country/CIV,2015,1857114.4
country/CIV,2016,1584631.0
country/CIV,2017,440471.4
country/CIV,2018,2197957.8
country/CIV,2019,3615772.4000000004
country/CIV,2020,13110067.850000001
country/CIV,2021,5120865.2
country/PRK,2013,37440.4
country/PRK,2014,191057.0
country/PRK,2015,238862.80000000002
country/PRK,2016,885130.2
country/PRK,2017,807185.8
country/PRK,2018,740170.8
country/PRK,2019,632093.0
country/PRK,2020,521306.6
country/PRK,2021,606729.8
country/COD,2013,43531231.4
country/COD,2014,14971747.8
country/COD,2015,9474970.4
country/COD,2016,13883951.4
country/COD,2017,32412081.780463163
country/COD,2018,16912461.946499445
country/COD,2019,24602723.622888267
country/COD,2020,44827162.28017902
country/COD,2021,63733286.43050604
country/DJI,2013,1182774.8
country/DJI,2014,2415730.0
country/DJI,2015,259404.0
country/DJI,2016,3564811.0
country/DJI,2017,934860.8
country/DJI,2018,20021776.0
country/DJI,2019,29792401.541
country/DJI,2020,37423367.863
country/DJI,2021,14535438.5675
country/DMA,2013,78348.8
country/DMA,2015,95481.0
country/DMA,2017,497613.2
country/DMA,2018,3295229.7
country/DMA,2019,7185401.9309
country/DMA,2020,4286948.3282
country/DMA,2021,10720640.5988
country/DOM,2013,4100075.8
country/DOM,2014,2515186.2
country/DOM,2015,1397975.8
country/DOM,2016,1425089.6
country/DOM,2017,2935830.3
country/DOM,2018,3600741.6
country/DOM,2019,3912599.4
country/DOM,2020,10251145.2
country/DOM,2021,7296662.0
country/ECU,2013,11154127.7
country/ECU,2014,12481274.19
country/ECU,2015,6775857.0
country/ECU,2016,4548717.0
country/ECU,2017,3330208.4000000004
country/ECU,2018,5773212.0
country/ECU,2019,5417009.649800001
country/ECU,2020,6467143.800000001
country/ECU,2021,9614070.34
country/EGY,2013,4645009.8
country/EGY,2014,5414458.800000001
country/EGY,2015,5339402.600000001
country/EGY,2016,10582008.200000001
country/EGY,2017,5754943.800000001
country/EGY,2018,5555959.6
country/EGY,2019,8009081.600000001
country/EGY,2020,12593023.200000001
country/EGY,2021,16208522.000000002
country/SLV,2013,9201245.4
country/SLV,2014,4763817.68
country/SLV,2015,2441675.8000000003
country/SLV,2016,3756619.2
country/SLV,2017,5455218.8
country/SLV,2018,5666085.6
country/SLV,2019,2569138.6
country/SLV,2020,4114721.12
country/SLV,2021,4531984.2
country/GNQ,2013,1752.4
country/GNQ,2014,54284.00000000001
country/GNQ,2015,112700.8
country/GNQ,2016,32732.4
country/GNQ,2020,5121.200000000001
country/GNQ,2021,52404.4
country/ERI,2013,5284.0
country/ERI,2014,2244906.4
country/ERI,2015,2177179.2
country/ERI,2016,1122799.2
country/ERI,2017,167168.80000000002
country/ERI,2018,1610737.2
country/ERI,2019,1312971.8
country/ERI,2020,1534065.1974450168
country/ERI,2021,1944778.0000000002
country/SWZ,2013,1163730.8
country/SWZ,2014,357154.0
country/SWZ,2015,500112.80000000005
country/SWZ,2016,304867.60000000003
country/SWZ,2017,1207337.4
country/SWZ,2018,785465.5065425618
country/SWZ,2019,1561867.1991774447
country/SWZ,2020,2558718.5609719143
country/SWZ,2021,5597055.861302018
country/ETH,2013,192765161.8
country/ETH,2014,136954436.4
country/ETH,2015,149910377.6
country/ETH,2016,155299903.20000002
country/ETH,2017,261021840.31
country/ETH,2018,247510927.34
country/ETH,2019,389877665.22169554
country/ETH,2020,383821612.57000005
country/ETH,2021,185038482.7838
country/FJI,2013,3146491.2
country/FJI,2014,3420023.6
country/FJI,2015,4673460.600000001
country/FJI,2016,3060137.2
country/FJI,2017,9397714.4
country/FJI,2018,3167525.4
country/FJI,2019,13442848.644964136
country/FJI,2020,26397873.19956402
country/FJI,2021,26127358.038954
country/GAB,2013,5996.400000000001
country/GAB,2015,7876.0
country/GAB,2017,105047.51033532238
country/GAB,2018,217914.9244559668
country/GAB,2019,19184.875598169278
country/GAB,2020,496845.4
country/GAB,2021,1640750.4000000001
country/GMB,2013,604855.2
country/GMB,2014,1740136.0195845044
country/GMB,2015,1920441.999167264
country/GMB,2016,3835708.1380158598
country/GMB,2017,1591367.2000000002
country/GMB,2018,414485.25954739476
country/GMB,2019,2780593.1826
country/GMB,2020,6638082.638671971
country/GMB,2021,3168922.905
country/GEO,2013,7311447.0
country/GEO,2014,8398104.600000001
country/GEO,2015,12729732.200000001
country/GEO,2016,11048758.6
country/GEO,2017,6250662.8
country/GEO,2018,7676990.800000001
country/GEO,2019,4658547.2
country/GEO,2020,4632970.8
country/GEO,2021,2926898.828
country/GHA,2013,19583502.0
country/GHA,2014,18988521.6
country/GHA,2015,20668691.8
country/GHA,2016,10175559.6
country/GHA,2017,25304948.200000003
country/GHA,2018,38842404.4
country/GHA,2019,19485582.2
country/GHA,2020,57061189.6
country/GHA,2021,27088874.606617372
country/GRD,2013,1541610.0
country/GRD,2014,2313912.0
country/GRD,2015,1770078.4
country/GRD,2016,1003814.0
country/GRD,2017,805815.0
country/GRD,2018,684845.0
country/GRD,2019,863327.0
country/GRD,2020,15315.0
country/GRD,2021,1401910.2
country/GTM,2013,11955905.6
country/GTM,2014,11637170.0
country/GTM,2015,11868969.0
country/GTM,2016,16374210.8
country/GTM,2017,15488891.8
country/GTM,2018,12081798.200000001
country/GTM,2019,15641961.2
country/GTM,2020,19017607.0
country/GTM,2021,25953034.6
country/GIN,2013,3146923.2
country/GIN,2014,472782.8
country/GIN,2015,1377464.8
country/GIN,2016,3997162.2
country/GIN,2017,3483010.4000000004
country/GIN,2018,4210744.71
country/GIN,2019,9230259.3861
country/GIN,2020,9018770.550447244
country/GIN,2021,10724386.8168
country/GNB,2013,607812.6
country/GNB,2014,744081.2
country/GNB,2015,1679001.5999999999
country/GNB,2016,1827868.8
country/GNB,2017,3822850.8
country/GNB,2018,6055703.0
country/GNB,2019,1093497.8
country/GNB,2020,4541718.600000001
country/GNB,2021,6327395.15
country/GUY,2013,1509532.4000000001
country/GUY,2014,7589580.2
country/GUY,2015,193471.2
country/GUY,2016,1470519.85
country/GUY,2017,4530279.8
country/GUY,2018,16920754.2
country/GUY,2019,324901.2
country/GUY,2020,10000601.200000001
country/GUY,2021,10835593.2
country/HTI,2013,12034762.0
country/HTI,2014,10359039.4
country/HTI,2015,11780268.9
country/HTI,2016,12971119.3
country/HTI,2017,26862948.62
country/HTI,2018,41677068.78
country/HTI,2019,33101285.8024
country/HTI,2020,60719783.3852
country/HTI,2021,92403666.37120001
country/HND,2013,22170930.2
country/HND,2014,15206797.200000001
country/HND,2015,21690180.8
country/HND,2016,22338131.6
country/HND,2017,15701871.2
country/HND,2018,26881396.2
country/HND,2019,24355430.6
country/HND,2020,22662679.6
country/HND,2021,27657379.1
country/IND,2013,22097285.4
country/IND,2014,21428852.6
country/IND,2015,23242173.6
country/IND,2016,26905478.4
country/IND,2017,32257450.0
country/IND,2018,38989550.2
country/IND,2019,32577108.195471894
country/IND,2020,67000832.62269085
country/IND,2021,56083164.900000006
country/IDN,2013,37350753.6
country/IDN,2014,33948047.8
country/IDN,2015,42691914.4
country/IDN,2016,16940112.200000003
country/IDN,2017,27216868.4
country/IDN,2018,24135379.2
country/IDN,2019,32699379.400000002
country/IDN,2020,36259135.4
country/IDN,2021,59986973.4
country/IRN,2014,59795.600000000006
country/IRN,2015,80566.8
country/IRN,2016,58786.8
country/IRN,2017,78164.0
country/IRN,2018,222786.8
country/IRN,2019,2177499.0119000003
country/IRN,2020,6709623.800000001
country/IRN,2021,7407609.4
country/IRQ,2013,3416006.0
country/IRQ,2014,1360272.4000000001
country/IRQ,2015,493532.80000000005
country/IRQ,2016,638610.0
country/IRQ,2017,4275307.2
country/IRQ,2018,3561925.6
country/IRQ,2019,7761344.4
country/IRQ,2020,27900505.0
country/IRQ,2021,31122440.6
country/JAM,2013,3718729.2
country/JAM,2014,5082694.6
country/JAM,2015,3059194.6
country/JAM,2016,2913818.6
country/JAM,2017,4138656.452
country/JAM,2018,3580410.6
country/JAM,2019,2433677.8
country/JAM,2020,7652402.0
country/JAM,2021,6869609.2
country/JOR,2013,5054812.4
country/JOR,2014,12973456.0
country/JOR,2015,15231657.0
country/JOR,2016,52989726.4
country/JOR,2017,20684596.0
country/JOR,2018,27071470.6
country/JOR,2019,53731350.0
country/JOR,2020,35721879.0
country/JOR,2021,42679275.0
country/KAZ,2013,32572.2
country/KAZ,2015,7872.400000000001
country/KAZ,2016,17738.4
country/KAZ,2017,121451.8
country/KAZ,2018,1545143.4
country/KAZ,2019,975603.40269
country/KAZ,2020,743557.55
country/KAZ,2021,2125057.6
country/KEN,2013,47645404.2
country/KEN,2014,64872833.0
country/KEN,2015,77147586.4
country/KEN,2016,66853318.6
country/KEN,2017,82731322.0
country/KEN,2018,66469276.0
country/KEN,2019,71543104.0
country/KEN,2020,61880943.4
country/KEN,2021,58513002.16068755
country/KIR,2013,1785941.2000000002
country/KIR,2014,1791753.6
country/KIR,2015,1445576.6
country/KIR,2016,2270126.6
country/KIR,2017,4081549.4000000004
country/KIR,2018,11306437.38
country/KIR,2019,10849904.512232592
country/KIR,2020,5997585.914774156
country/KIR,2021,8996700.5452
country/XKX,2013,900500.8
country/XKX,2014,230698.0
country/XKX,2015,58521.600000000006
country/XKX,2016,352210.4
country/XKX,2017,373306.4
country/XKX,2018,1124618.8
country/XKX,2019,1412000.0
country/XKX,2020,3764851.4000000004
country/XKX,2021,4139217.2
country/KGZ,2013,663691.6000000001
country/KGZ,2014,2722558.8000000003
country/KGZ,2015,4764213.86
country/KGZ,2016,4267141.8
country/KGZ,2017,4419679.661
country/KGZ,2018,5496180.38
country/KGZ,2019,8842918.3671
country/KGZ,2020,10033577.8199
country/KGZ,2021,11808725.4738
country/LAO,2013,9100161.6
country/LAO,2014,11168042.4
country/LAO,2015,7037837.800000001
country/LAO,2016,10600655.200000001
country/LAO,2017,12931497.352146266
country/LAO,2018,11572240.6395
country/LAO,2019,15937625.601926021
country/LAO,2020,25707126.40793066
country/LAO,2021,29552605.3527
country/LBN,2013,1206763.4
country/LBN,2014,4231380.4
country/LBN,2015,1768390.0
country/LBN,2016,7506250.4
country/LBN,2017,8733165.2
country/LBN,2018,10126751.200000001
country/LBN,2019,2500671.8000000003
country/LBN,2020,17496182.6
country/LBN,2021,10943098.0
country/LSO,2013,1084494.4000000001
country/LSO,2014,119133.0
country/LSO,2015,232549.00000000003
country/LSO,2016,2841555.0
country/LSO,2017,1024380.6000000001
country/LSO,2018,674410.0
country/LSO,2019,3722872.8
country/LSO,2020,9396446.6
country/LSO,2021,10622840.200000001
country/LBR,2013,4340573.8
country/LBR,2014,2864627.4
country/LBR,2015,1796337.2000000002
country/LBR,2016,1721842.6
country/LBR,2017,12885703.6
country/LBR,2018,3428271.81
country/LBR,2019,9308522.16
country/LBR,2020,13077241.21825
country/LBR,2021,17253991.9794
country/LBY,2015,236323.2
country/LBY,2016,50721.600000000006
country/LBY,2020,4969767.6
country/LBY,2021,3871381.6
country/MDG,2013,6173335.2
country/MDG,2014,10818808.200000001
country/MDG,2015,6217195.0
country/MDG,2016,21999388.6
country/MDG,2017,18880914.0
country/MDG,2018,35771468.2244
country/MDG,2019,32318102.12769789
country/MDG,2020,32512585.07680992
country/MDG,2021,48395644.53096926
country/MWI,2013,27108829.2
country/MWI,2014,35820749.6
country/MWI,2015,30560525.6
country/MWI,2016,38516024.4
country/MWI,2017,33462776.8
country/MWI,2018,61508695.1453
country/MWI,2019,146942547.62377658
country/MWI,2020,74348294.6374
country/MWI,2021,39786979.92299317
country/MYS,2013,552783.8
country/MYS,2014,442833.80000000005
country/MYS,2015,323670.0
country/MYS,2016,116595.6
country/MYS,2017,360025.6
country/MYS,2018,35206.6
country/MYS,2019,1080915.6
country/MYS,2020,3517844.0
country/MYS,2021,3258646.6
country/MDV,2013,185914.6
country/MDV,2014,510306.2
country/MDV,2015,11564.0
country/MDV,2016,504904.6
country/MDV,2017,3432056.1878000004
country/MDV,2018,989394.018
country/MDV,2019,4302550.5063000005
country/MDV,2020,5940006.3814
country/MDV,2021,6459466.8086
country/MLI,2013,32501637.8
country/MLI,2014,35881085.52
country/MLI,2015,35444583.12
country/MLI,2016,56842144.32
country/MLI,2017,60294313.4
country/MLI,2018,81334292.63139188
country/MLI,2019,77649320.78625886
country/MLI,2020,83025793.12337048
country/MLI,2021,110364764.77395175
country/MHL,2013,1149408.2
country/MHL,2014,658385.2
country/MHL,2015,1234562.0
country/MHL,2016,646606.6
country/MHL,2017,128412.2
country/MHL,2018,989887.8716287494
country/MHL,2019,2654874.3791297
country/MHL,2020,6033538.542108473
country/MHL,2021,3158628.9530685395
country/MRT,2013,10689375.735687116
country/MRT,2014,11682692.6
country/MRT,2015,5549822.5600000005
country/MRT,2016,11044920.52
country/MRT,2017,5327198.8
country/MRT,2018,14568634.766
country/MRT,2019,14745131.299800001
country/MRT,2020,42600321.0376
country/MRT,2021,27156236.00774902
country/MUS,2013,1953142.6
country/MUS,2014,2769385.0
country/MUS,2015,3283834.8
country/MUS,2016,2649783.0
country/MUS,2017,2096538.2
country/MUS,2018,7883860.0
country/MUS,2019,5757074.8
country/MUS,2020,4208398.8
country/MUS,2021,5226596.2
country/MEX,2013,2081353.2
country/MEX,2014,2089778.94
country/MEX,2015,620117.2000000001
country/MEX,2016,963099.0
country/MEX,2017,2216543.8
country/MEX,2018,2715753.8
country/MEX,2019,4052687.2392579988
country/MEX,2020,5435318.0
country/MEX,2021,8512201.4
country/FSM,2013,934734.0
country/FSM,2014,648961.0
country/FSM,2015,612010.03
country/FSM,2016,793322.29
country/FSM,2017,2432958.6
country/FSM,2018,532921.8
country/FSM,2019,3363664.2
country/FSM,2020,7833219.832
country/FSM,2021,7050190.2596
country/MDA,2013,3415416.6
country/MDA,2014,2003175.8000000003
country/MDA,2015,997175.0
country/MDA,2016,680071.4
country/MDA,2017,1090538.6
country/MDA,2018,2405128.4
country/MDA,2019,8221649.2
country/MDA,2020,3553080.4
country/MDA,2021,11130577.2
country/MNG,2013,15206713.0
country/MNG,2014,7888563.600000001
country/MNG,2015,3928679.2
country/MNG,2016,3825400.42
country/MNG,2017,1595944.2
country/MNG,2018,3190128.8
country/MNG,2019,3403208.8664542404
country/MNG,2020,10507554.4
country/MNG,2021,16829610.600000102
country/MNE,2013,267930.2
country/MNE,2014,88193.8
country/MNE,2015,267757.8
country/MNE,2016,363566.2
country/MNE,2017,498483.60000000003
country/MNE,2018,554047.6
country/MNE,2019,261937.2
country/MNE,2020,406806.00000000006
country/MNE,2021,807868.4
country/MSR,2017,30904.0
country/MSR,2018,73069.2
country/MSR,2019,114093.20000000001
country/MSR,2020,41604.4
country/MSR,2021,554977.0
country/MAR,2013,6367216.4
country/MAR,2014,23543415.0
country/MAR,2015,11919511.4
country/MAR,2016,17096305.84
country/MAR,2017,13060627.200000001
country/MAR,2018,16200345.8
country/MAR,2019,12449629.2
country/MAR,2020,11970512.8
country/MAR,2021,18027071.30195572
country/MOZ,2013,43080715.2
country/MOZ,2014,39086346.6
country/MOZ,2015,51821976.2
country/MOZ,2016,45851794.29
country/MOZ,2017,69127350.0
country/MOZ,2018,53431023.5587
country/MOZ,2019,106821254.04532783
country/MOZ,2020,108841519.03569604
country/MOZ,2021,140659327.5767343
country/MMR,2013,38663684.4
country/MMR,2014,25093442.2
country/MMR,2015,35696659.2
country/MMR,2016,44483990.2
country/MMR,2017,47671472.00000001
country/MMR,2018,51388586.2
country/MMR,2019,23885228.48114052
country/MMR,2020,70839168.01979847
country/MMR,2021,37900279.87045558
country/NAM,2013,4849340.0
country/NAM,2014,4598249.2
country/NAM,2015,4311069.8
country/NAM,2016,9671198.200000001
country/NAM,2017,12035268.4
country/NAM,2018,16207721.2
country/NAM,2019,8059604.2
country/NAM,2020,8394506.200000001
country/NAM,2021,22269254.0
country/NRU,2013,861361.0
country/NRU,2014,72130.8
country/NRU,2015,99206.6
country/NRU,2016,296014.4
country/NRU,2017,122168.4
country/NRU,2018,1195040.444
country/NRU,2019,2516082.4000000004
country/NRU,2020,612697.6
country/NRU,2021,1948502.0
country/NPL,2013,13428804.6
country/NPL,2014,12132948.4
country/NPL,2015,26335098.787853185
country/NPL,2016,31641306.093333334
country/NPL,2017,49970700.46626667
country/NPL,2018,38514886.701
country/NPL,2019,32998836.701866668
country/NPL,2020,61692016.2
country/NPL,2021,40379445.41918716
country/NIC,2013,24632785.0
country/NIC,2014,11936437.4
country/NIC,2015,31793585.32
country/NIC,2016,37101424.95
country/NIC,2017,14052282.7348
country/NIC,2018,18616128.0
country/NIC,2019,20871117.918
country/NIC,2020,27419237.400000002
country/NIC,2021,31932783.6
country/NER,2013,20328032.8
country/NER,2014,18854192.2
country/NER,2015,14896978.6
country/NER,2016,42519942.4
country/NER,2017,41948824.0
country/NER,2018,75371116.38340001
country/NER,2019,85293518.3123
country/NER,2020,111079331.07306878
country/NER,2021,93548371.66142124
country/NGA,2013,19765102.0
country/NGA,2014,14823140.0
country/NGA,2015,19741892.6
country/NGA,2016,8762172.4
country/NGA,2017,10632335.600000001
country/NGA,2018,10778232.6
country/NGA,2019,27441093.6
country/NGA,2020,29134502.8
country/NGA,2021,33154918.6
country/NIU,2013,2078907.4000000004
country/NIU,2014,490382.0
country/NIU,2015,3445907.2
country/NIU,2016,403348.20000000007
country/NIU,2017,421386.0
country/NIU,2018,24531.0
country/NIU,2019,1249225.6
country/NIU,2020,923972.4
country/NIU,2021,1365705.6
country/MKD,2013,1041360.4
country/MKD,2014,1125232.0
country/MKD,2015,1578178.2
country/MKD,2016,2310248.6
country/MKD,2017,5169062.4
country/MKD,2018,2511328.2
country/MKD,2019,4485160.8
country/MKD,2020,3995381.2
country/MKD,2021,4456489.600000001
country/PAK,2013,19258617.0
country/PAK,2014,15849814.8
country/PAK,2015,110304981.60000001
country/PAK,2016,90643358.0
country/PAK,2017,51363744.8
country/PAK,2018,53951663.2
country/PAK,2019,53702219.2
country/PAK,2020,43161035.6
country/PAK,2021,25082373.36
country/PLW,2013,1117586.8
country/PLW,2014,995050.0
country/PLW,2015,839917.4
country/PLW,2016,3034820.8
country/PLW,2017,2242850.4000000004
country/PLW,2018,3070827.6
country/PLW,2019,1714903.2
country/PLW,2020,3028265.1999999997
country/PLW,2021,2870736.4
country/PAN,2013,2835688.4000000004
country/PAN,2014,178740.80000000002
country/PAN,2015,99513.6
country/PAN,2016,111946.4
country/PAN,2017,6029647.08
country/PAN,2018,267939.0
country/PAN,2019,534473.0
country/PAN,2020,11319649.600000001
country/PAN,2021,348360.2
country/PNG,2013,5439599.8
country/PNG,2014,4255894.0
country/PNG,2015,3572891.8000000003
country/PNG,2016,4683040.800000001
country/PNG,2017,2739462.4000000004
country/PNG,2018,5407934.800000001
country/PNG,2019,36303511.400000006
