dcid,year,principalRepaymentsCurrentUSD
country/ARG,2001,11685324119.6
country/ARG,2007,5273662212.9
country/ARG,2017,25518575852.9
country/ARG,2019,29842371547.7
country/ARG,2021,16661374872.5
country/ARG,2022,13917931845.7
country/ARG,2026,7260292538.6
country/ARM,1997,7532306.8
country/ARM,1999,25672410.8
country/ARM,2001,24046000.0
country/ARM,2004,82255687.7
country/ARM,2007,58538029.3
country/ARM,2008,253054063.2
country/ARM,2020,1538085365.2
country/ARM,2021,1625925690.6
country/ARM,2022,1631487450.2
country/ARM,1998,40163505.4
country/ARM,2003,67942600.6
country/ARM,2009,299740050.7
country/ARM,2012,854079866.9
country/ARM,2017,1116712361.3
country/ARM,2019,1585531363.9
country/ARM,2028,586449785.5
country/ARM,1993,592000.0
country/ARM,2005,69175470.6
country/ARM,2006,48598853.4
country/ARM,2010,857044767.0
country/ARM,2011,742194787.2
country/ARM,2014,1077085863.7
country/ARM,2018,1281847771.1
country/ARM,2023,1284581774.5
country/ARM,2024,1195482275.6
country/ARM,2025,1658276002.0
country/ARM,2026,840253785.3
country/ARM,2027,661348687.3
country/ARM,1995,2817000.0
country/ARM,1996,32829954.7
country/ARM,2000,12848251.0
country/ARM,2002,32919868.3
country/ARM,2013,1599386090.1
country/ARM,2015,1307806479.9
country/ARM,2016,1173444146.3
country/AZE,1997,57609867.0
country/AZE,1998,2686000.0
country/AZE,1999,16622815.5
country/AZE,2006,180203055.5
country/AZE,2008,172795051.3
country/AZE,2014,1564824926.0
country/AZE,2016,1329286949.5
country/AZE,2021,1568417633.7
country/AZE,2023,1080033872.8
country/AZE,2026,2991608477.2
country/AZE,2001,58947281.5
country/AZE,2005,151638585.1
country/AZE,2010,305376281.1
country/AZE,2011,863473088.7
country/AZE,2017,1770977496.8
country/AZE,2018,2122184142.0
country/AZE,2024,2847197978.1
country/AZE,2028,675810933.1
country/AZE,2000,21544173.2
country/AZE,2004,146851386.6
country/AZE,2007,74876111.5
country/AZE,2009,265216034.2
country/AZE,2015,1584312952.9
country/AZE,2020,1292818176.5
country/AZE,2025,1550181960.2
country/AZE,2002,86975604.9
country/AZE,2003,116856655.0
country/AZE,2012,947493255.4
country/AZE,2013,1585572978.8
country/AZE,2019,1644213393.8
country/AZE,2022,1077182350.5
country/AZE,2027,849521162.4
country/BGD,1976,41912025.6
country/BGD,1979,55023999.1
country/BGD,1981,56379459.4
country/BGD,1986,142737879.1
country/BGD,1995,510828430.0
country/BGD,2002,447346613.7
country/BGD,2010,820684140.8
country/BGD,2013,1437962620.0
country/BGD,2014,1547239306.2
country/BGD,2015,1290147903.3
country/BGD,2016,1325359572.1
country/BGD,2021,4206885416.9
country/BGD,2025,4693049086.1
country/BGD,1973,6249139.2
country/BGD,1977,50257795.2
country/BGD,1978,63376698.8
country/BGD,1984,93595055.0
country/BGD,1994,304127458.3
country/BGD,1999,408962985.7
country/BGD,2000,488655171.4
country/BGD,2003,412157193.1
country/BGD,1980,33739599.2
country/BGD,1983,71204073.1
country/BGD,1987,169877500.0
country/BGD,1990,333703802.3
country/BGD,1997,382562755.8
country/BGD,2001,424756413.1
country/BGD,2007,743998292.1
country/BGD,2008,669272940.3
country/BGD,2023,4983179990.8
country/BGD,2005,574839419.5
country/BGD,2006,481708657.1
country/BGD,2012,1142587416.3
country/BGD,2017,1468121310.1
country/BGD,2018,2033199304.3
country/BGD,2020,2871375969.7
country/BGD,2024,4348856158.2
country/BGD,2027,5575103949.2
country/BGD,2028,5635135488.0
country/BGD,1974,16135538.9
country/BGD,1975,57257159.4
country/BGD,1982,69358937.1
country/BGD,1985,107826112.6
country/BGD,1988,214614438.5
country/BGD,1989,198546034.3
country/BGD,1991,272948144.5
country/BGD,1992,288739726.5
country/BGD,1993,266340119.9
country/BGD,1996,367302910.5
country/BGD,1998,354049041.1
country/BGD,2004,451849669.7
country/BGD,2009,770299165.1
country/BGD,2011,1081402569.6
country/BGD,2019,4680723130.6
country/BGD,2022,3935955306.3
country/BGD,2026,4888732342.7
country/BLR,2013,1937647408.3
country/BLR,2015,3710482596.6
country/BLR,2016,5014285257.0
country/BLR,2022,5262294200.1
country/BLR,2024,4247737696.3
country/BLR,2025,3586882533.0
country/BLR,2026,3323243472.7
country/BLR,1996,58940227.7
country/BLR,2003,299312005.5
country/BLR,2005,510515547.1
country/BLR,2007,757304258.9
country/BLR,2010,1265259122.7
country/BLR,2012,3419611866.2
country/BLR,2019,2900396712.6
country/BLR,2021,2967919993.7
country/BLR,2023,5177615225.2
country/BLR,1993,2000246.3
country/BLR,1997,69366341.6
country/BLR,2001,189321801.2
country/BLR,2006,482472532.7
country/BLR,2008,858202089.5
country/BLR,2011,2347413011.0
country/BLR,2020,2881090453.1
country/BLR,2027,3207639979.5
country/BLR,2028,2198372730.0
country/BLR,1994,87170700.7
country/BLR,1995,107934273.5
country/BLR,1998,60468628.0
country/BLR,1999,90303774.5
country/BLR,2000,205702768.3
country/BLR,2002,249183171.7
country/BLR,2004,240066040.6
country/BLR,2009,1283222570.2
country/BLR,2014,2976139060.7
country/BLR,2017,3030281987.6
country/BLR,2018,4130079044.1
country/BLZ,1973,198721.2
country/BLZ,1974,192123.2
country/BLZ,1975,180523.2
country/BLZ,1983,4151904.1
country/BLZ,1986,8243696.6
country/BLZ,1990,9048396.1
country/BLZ,1993,11503283.9
country/BLZ,1998,25042293.7
country/BLZ,2001,48147511.3
country/BLZ,2002,139447348.0
country/BLZ,2007,585074893.1
country/BLZ,2012,102945536.4
country/BLZ,2015,51934043.8
country/BLZ,2018,64679299.1
country/BLZ,2025,89254276.7
country/BLZ,2027,81230818.4
country/BLZ,1971,5071.9
country/BLZ,1978,132491.7
country/BLZ,1984,3161216.3
country/BLZ,1985,10081542.7
country/BLZ,1987,7979627.6
country/BLZ,1989,6290808.6
country/BLZ,1991,10582595.2
country/BLZ,1992,10307039.1
country/BLZ,1994,16692368.9
country/BLZ,1997,25461287.3
country/BLZ,1999,24526272.4
country/BLZ,2004,254463369.9
country/BLZ,2005,155456703.7
country/BLZ,2011,72320903.7
country/BLZ,2014,47061719.6
country/BLZ,2021,598913593.2
country/BLZ,2022,113084115.6
country/BLZ,2023,113416264.2
country/BLZ,1972,30018.4
country/BLZ,1976,156721.4
country/BLZ,1980,572839.7
country/BLZ,1981,1511958.0
country/BLZ,1988,8316096.1
country/BLZ,2000,41182907.1
country/BLZ,2006,72741347.1
country/BLZ,2010,68868529.7
country/BLZ,2013,101799527.3
country/BLZ,2017,56752231.1
country/BLZ,2019,50431878.1
country/BLZ,2020,45070367.5
country/BLZ,2024,111059665.9
country/BLZ,2028,78859578.6
country/BLZ,1977,151623.1
country/BLZ,1979,235806.9
country/BLZ,1982,3191027.1
country/BLZ,1995,25386504.5
country/BLZ,1996,27331758.8
country/BLZ,2003,86076653.3
country/BLZ,2008,86998846.7
country/BLZ,2009,68925397.5
country/BLZ,2016,54017665.3
country/BLZ,2026,82425997.4
country/BEN,1988,10249221.2
country/BEN,1990,18446928.5
country/BEN,1993,17868801.6
country/BEN,1998,27755776.3
country/BEN,2001,20456660.7
country/BEN,2003,26602956.3
country/BEN,2005,24500456.6
country/BEN,2006,27433978.2
country/BEN,2007,18662146.5
country/BEN,2017,54079811.3
country/BEN,1970,1378055.5
country/BEN,1971,2710783.6
country/BEN,1972,2400881.4
country/BEN,1977,3024704.4
country/BEN,1983,11845874.9
country/BEN,1984,22175797.0
country/BEN,1992,15054984.4
country/BEN,1996,24194159.5
country/BEN,2000,43328937.3
country/BEN,2002,21436740.3
country/BEN,2009,31555196.6
country/BEN,2010,25599004.3
country/BEN,2013,62459007.6
country/BEN,2016,60607908.7
country/BEN,2018,169598817.2
country/BEN,1975,5268660.3
country/BEN,1978,3175780.4
country/BEN,1986,29762046.8
country/BEN,1987,13938938.1
country/BEN,1994,18893689.9
country/BEN,1995,23311668.0
country/BEN,1997,25549604.3
country/BEN,2011,29445323.2
country/BEN,2014,47119588.5
country/BEN,2015,45157757.7
country/BEN,1973,1879158.2
country/BEN,1974,5437913.4
country/BEN,1976,3362889.8
country/BEN,1979,3408380.2
country/BEN,1980,5826840.6
country/BEN,1981,6927198.0
country/BEN,1982,8569425.3
country/BEN,1985,27311267.2
country/BEN,1989,7152033.1
country/BEN,1991,15295237.6
country/BEN,1999,34996492.0
country/BEN,2004,18013803.7
country/BEN,2008,16457515.6
country/BEN,2012,39952426.6
country/BEN,2023,459756488.9
country/BEN,2019,415595636.5
country/BEN,2022,369452278.5
country/BEN,2027,581648275.8
country/BTN,1991,5236762.4
country/BTN,1992,4085431.5
country/BTN,1993,4648844.4
country/BTN,1998,7026758.8
country/BTN,2005,4620185.7
country/BTN,2009,41056990.9
country/BTN,2011,45472127.7
country/BTN,2012,76755507.6
country/BTN,2016,75356461.8
country/BTN,2020,37220669.7
country/BTN,2022,189558588.2
country/BTN,2023,119674277.5
country/BTN,2025,137987449.3
country/BTN,2026,183377930.2
country/BTN,1994,5094964.4
country/BTN,1995,7172100.6
country/BTN,2000,4722081.3
country/BTN,2017,46298953.8
country/BTN,2018,51317258.6
country/BTN,2019,28447152.2
country/BTN,2021,73089465.8
country/BTN,2027,183894814.8
country/BEN,2021,621401439.8
country/BEN,2020,99400246.1
country/BEN,2024,587990225.9
country/BTN,2001,4539049.9
country/BEN,2025,635705525.8
country/BEN,2026,658433292.5
country/BEN,2028,563546453.3
country/BTN,1988,645271.7
country/BTN,1989,4065905.2
country/BTN,1990,2939366.7
country/BTN,1996,4305748.7
country/BTN,1997,4858142.1
country/BTN,1999,4921835.6
country/BTN,2003,4820180.6
country/BTN,2006,5900402.7
country/BTN,2007,23920464.2
country/BTN,2014,42293057.8
country/BTN,2028,186573566.5
country/BTN,2002,4524317.0
country/BTN,2004,6740200.2
country/BTN,2008,43470533.2
country/BTN,2010,46643857.9
country/BTN,2013,40842465.5
country/BTN,2015,91704896.1
country/BTN,2024,143628823.3
country/BOL,1971,21949351.7
country/BOL,1986,107193793.7
country/BOL,1989,158727478.1
country/BOL,1994,177700914.5
country/BOL,1998,236985017.0
country/BOL,2003,282239234.8
country/BOL,2004,357820716.8
country/BOL,2006,209549223.1
country/BOL,2007,525610574.1
country/BOL,2014,817429638.0
country/BOL,2017,687709080.8
country/BOL,2018,639667050.2
country/BOL,2019,658041102.8
country/BOL,2021,771875607.8
country/BOL,2025,942576853.1
country/BOL,1970,23273242.9
country/BOL,1973,35929011.9
country/BOL,1978,283490035.0
country/BOL,1980,148895822.4
country/BOL,1981,131799658.5
country/BOL,1982,126821578.2
country/BOL,1987,91466644.8
country/BOL,1991,152418362.1
country/BOL,1992,134507286.2
country/BOL,1993,173324409.0
country/BOL,1997,233667362.1
country/BOL,2001,344063143.1
country/BOL,2002,348541103.6
country/BOL,2012,559391763.5
country/BOL,2013,427187260.7
country/BOL,2015,811163741.0
country/BOL,2016,549902979.5
country/BOL,2027,814483287.7
country/BIH,2000,170844480.0
country/BIH,2006,98610163.1
country/BIH,2009,229622487.9
country/BIH,2011,1277412728.3
country/BIH,2012,939193947.6
country/BIH,2013,1012877678.4
country/BIH,2014,1094782808.2
country/BIH,2015,1729500216.7
country/BIH,2020,707483664.8
country/BIH,2022,1726938135.5
country/BIH,2001,199697384.0
country/BIH,2002,70485088.4
country/BIH,2004,73231639.5
country/BIH,2005,95231489.1
country/BIH,2008,136511790.0
country/BIH,2018,1033995139.1
country/BIH,2019,895403358.5
country/BIH,2023,1333646922.5
country/BIH,2026,1108197296.9
country/BOL,1972,34238850.4
country/BOL,1977,110427420.7
country/BOL,1979,165938523.0
country/BOL,1984,153618866.2
country/BOL,1990,200144049.9
country/BOL,1996,202709627.9
country/BOL,1999,269156233.8
country/BOL,2005,316380624.8
country/BOL,2009,454561036.6
country/BOL,2011,358249814.1
country/BOL,2020,763934753.3
country/BOL,2022,1687036367.5
country/BOL,2024,993415110.8
country/BOL,1974,56694200.3
country/BOL,1975,57940358.0
country/BOL,1976,78392284.6
country/BOL,1983,109763979.6
country/BOL,1985,177924383.3
country/BOL,1988,196541571.1
country/BOL,1995,177002258.8
country/BOL,2000,438374995.0
country/BOL,2008,767788263.9
country/BOL,2010,568570538.7
country/BOL,2023,1660900072.6
country/BOL,2026,874376810.3
country/BOL,2028,762976798.9
country/BIH,2007,109332606.8
country/BIH,2017,889025463.7
country/BIH,2021,1336579009.2
country/BIH,2025,847278273.0
country/BIH,2028,601190468.3
country/BIH,1999,3944509.6
country/BIH,2003,71074152.3
country/BIH,2010,372771136.6
country/BIH,2016,952159483.7
country/BIH,2024,1147999738.9
country/BIH,2027,660341701.4
country/BWA,1972,392492.3
country/BWA,1974,253946.5
country/BWA,1983,11907330.1
country/BWA,1985,26691361.7
country/BWA,1986,17415803.6
country/BWA,1994,61433963.3
country/BWA,2000,52131430.2
country/BWA,2001,39255281.8
country/BWA,2002,44612320.2
country/BWA,2003,38045441.5
country/BWA,2004,36800501.6
country/BWA,2008,60913266.5
country/BWA,2012,33241850.4
country/BWA,2013,154490249.5
country/BWA,2014,38975145.1
country/BWA,2017,143752822.2
country/BWA,2022,162686392.5
country/BWA,2027,186637288.7
country/BWA,1973,252682.6
country/BWA,1977,2415309.0
country/BWA,1987,37510009.6
country/BWA,1989,37347693.4
country/BWA,1991,53415705.7
country/BWA,1998,53044912.5
country/BWA,1999,52316314.2
country/BWA,2009,35928950.8
country/BWA,2011,55416538.0
country/BWA,2016,141406976.3
country/BWA,2021,144580459.2
country/BWA,2024,152750439.2
country/BWA,2026,187597727.7
country/BWA,2028,185912313.7
country/BWA,1976,1104013.1
country/BWA,1978,3621577.9
country/BWA,1979,3497701.2
country/BWA,1981,1982182.3
country/BWA,1984,16804453.1
country/BWA,1993,56376660.0
country/BWA,1995,63940011.1
country/BWA,1996,72782847.8
country/BWA,2006,44507198.8
country/BWA,2007,36964922.3
country/BWA,2010,57912561.6
country/BWA,2018,144301642.5
country/BWA,2020,147313175.5
country/BWA,1970,183800.0
country/BWA,1971,299312.9
country/BWA,1975,3699156.4
country/BWA,1980,5971195.8
country/BWA,1982,3988180.2
country/BWA,1988,40046380.9
country/BWA,1990,66451300.3
country/BWA,1992,61310057.4
country/BWA,1997,74101826.0
country/BWA,2005,40459167.7
country/BWA,2015,220453921.5
country/BWA,2019,151723811.3
country/BWA,2023,159614480.1
country/BWA,2025,171936208.4
country/BRA,1975,2259929112.2
country/BRA,1977,3711701968.9
country/BRA,1983,3717132580.6
country/BRA,1989,8133139119.1
country/BRA,1991,4277848111.8
country/BRA,1995,11046652368.2
country/BRA,1998,35934440306.8
country/BRA,2006,47429109631.7
country/BRA,2015,71342439951.9
country/BRA,2018,74509455468.1
country/BRA,2019,123459727457.2
country/BRA,2020,109826900072.8
country/BRA,2024,58650894176.3
country/BRA,2026,38531209692.2
country/BRA,1971,574104014.1
country/BRA,1973,1164601177.2
country/BRA,1974,1938714999.2
country/BRA,1978,5247735271.9
country/BRA,1980,6884321391.8
country/BRA,1981,7463451817.3
country/BRA,1982,7620996817.3
country/BRA,1986,3259972157.0
country/BRA,1988,3331520237.6
country/BRA,1992,4305643668.0
country/BRA,1993,6587648250.3
country/BRA,1996,14741013782.9
country/BRA,2002,32435478131.2
country/BRA,2007,40466409196.9
country/BRA,2008,40354820311.1
country/BRA,2013,63667218401.1
country/BRA,2028,56386339364.4
country/BRA,1976,2556066121.4
country/BRA,1984,4401398388.6
country/BRA,1985,2336669073.8
country/BRA,1987,3518007145.6
country/BRA,1994,9650748305.5
country/BRA,1999,48437635506.2
country/BRA,2000,34745613387.9
country/BRA,2005,25787645012.6
country/BRA,2010,32026158450.3
country/BRA,2012,30633388454.9
country/BRA,2014,45025208431.7
country/BRA,2016,94708740476.9
country/BRA,2017,75667928043.0
country/BRA,2022,60954206099.7
country/BRA,2025,43217022421.9
country/BRA,2027,29262280463.3
country/BRA,1970,462609685.8
country/BRA,1972,769808196.1
country/BRA,1979,6561657521.0
country/BRA,1990,5179532542.8
country/BRA,1997,26406170273.1
country/BRA,2001,32863772426.3
country/BRA,2003,29552499225.0
country/BRA,2004,34649564961.0
country/BRA,2009,30472995739.1
country/BRA,2011,41777635133.8
country/BRA,2021,125912658719.8
country/BRA,2023,68272128151.5
country/BGR,1984,253436093.0
country/BGR,1986,1254853489.2
country/BGR,1988,1855727959.0
country/BGR,1990,864821899.2
country/BGR,1991,129294119.0
country/BGR,1993,84461953.6
country/BGR,1994,449711574.8
country/BGR,1999,626706443.3
country/BGR,2000,526951088.1
country/BGR,2001,502289938.1
country/BGR,2005,3349211919.7
country/BGR,2006,2601031560.3
country/BGR,2008,3960372085.6
country/BGR,2009,3989546775.5
country/BGR,2012,3778182087.0
country/BGR,2013,5197652324.6
country/BGR,2018,5054575742.2
country/BGR,2024,6144769701.8
country/BGR,2026,1629066399.9
country/BGR,1985,960312650.1
country/BGR,1989,1904342362.6
country/BGR,1997,380750886.6
country/BGR,2019,4285772100.9
country/BGR,2020,3919306198.3
country/BGR,2022,6245032460.8
country/BGR,2028,2628066451.2
country/BGR,1983,191152842.2
country/BGR,1987,1573637478.8
country/BGR,1992,138036071.7
country/BGR,1998,586173465.1
country/BGR,2003,526918289.3
country/BGR,2004,1765443586.6
country/BGR,2007,4440098323.8
country/BGR,2010,3550274056.6
country/BGR,2011,3566860731.7
country/BGR,2014,4438333990.5
country/BGR,2015,7174963860.5
country/BGR,2027,2295105652.7
country/BGR,1981,25000000.0
country/BGR,1982,85371623.2
country/BGR,1995,319255356.7
country/BGR,1996,478048859.1
country/BGR,2002,753079847.1
country/BGR,2016,5795416026.4
country/BGR,2017,6843802654.4
country/BGR,2021,4679771190.7
country/BGR,2023,4744427846.1
country/BGR,2025,2686104958.7
country/BFA,1975,3719711.7
country/BFA,1985,14946864.9
country/BFA,1990,18246670.3
country/BFA,1991,25125816.9
country/BFA,1997,31203405.1
country/BFA,2000,26229534.6
country/BFA,2003,27645973.4
country/BFA,2006,27915285.2
country/BFA,2009,206932624.5
country/BFA,2010,292651185.1
country/BFA,2011,407429175.5
country/BFA,2012,528909778.7
country/BFA,2014,834086885.7
country/BFA,2016,813801777.9
country/BFA,2027,1007042646.6
country/BFA,2028,1013008272.5
country/BFA,1978,4541538.9
country/BFA,1982,7695978.4
country/BFA,1984,12218142.9
country/BFA,1986,18683102.7
country/BFA,1993,19834674.3
country/BFA,1994,26975277.0
country/BFA,1999,38452147.6
country/BFA,2013,680997048.0
country/BFA,2019,1933485918.0
country/BFA,2021,411741010.1
country/BFA,1972,1511702.2
country/BFA,1974,2498385.8
country/BFA,1977,3765867.5
country/BFA,1988,21244776.5
country/BFA,1992,14611289.8
country/BFA,1995,28611166.2
country/BFA,2001,18357359.7
country/BFA,2002,19338871.8
country/BFA,2005,25116790.6
country/BFA,2007,74670030.5
country/BFA,2008,134719948.1
country/BFA,2015,1068289798.7
country/BFA,2018,2383665554.5
country/BFA,2022,554171860.2
country/BFA,2023,917584105.8
country/BFA,2025,962107699.0
country/BFA,1970,1751136.2
country/BFA,1971,1549248.6
country/BFA,1973,2318713.3
country/BFA,1976,3094193.9
country/BFA,1979,4680316.4
country/BFA,1980,10610285.3
country/BFA,1981,7569110.6
country/BFA,1983,7486022.0
country/BFA,1987,14263209.9
country/BFA,1989,15751352.6
country/BFA,1996,29911805.1
country/BFA,1998,32385713.0
country/BFA,2004,32646729.2
country/BFA,2017,1043849556.2
country/BFA,2020,1863959865.4
country/BFA,2024,936766041.0
country/BFA,2026,979953424.4
country/BDI,1972,1620936.0
country/BDI,1974,742504.7
country/BDI,1973,666731.0
country/BDI,1978,1918968.6
country/BDI,1981,3629587.9
country/BDI,1982,3289332.9
country/BDI,1983,3569279.9
country/BDI,1985,12401935.8
country/BDI,1988,23512759.9
country/BDI,1997,12495029.9
country/BDI,1998,13000358.9
country/BDI,1999,14140353.1
country/BDI,2002,14010539.0
country/BDI,2005,27177212.0
country/BDI,2018,9102106.7
country/BDI,2019,18299478.3
country/BDI,2022,44336622.2
country/BDI,2025,77645559.8
country/BDI,2026,80448138.7
country/BDI,2027,56835324.3
country/BDI,1976,2292451.5
country/BDI,1979,2886721.6
country/BDI,1992,21539396.3
country/BDI,2001,12144427.2
country/BDI,2009,8509064.6
country/BDI,2010,2444606.2
country/BDI,2013,18237138.9
country/BDI,2014,9643125.2
country/BDI,2024,65302334.4
country/BDI,1970,444060.7
country/BDI,1977,2384485.7
country/BDI,1984,7752214.0
country/BDI,1971,362790.8
country/BDI,1975,1602213.0
country/BDI,1986,16428825.6
country/BDI,1987,24290491.1
country/BDI,1989,23624151.9
country/BDI,1991,25272380.6
country/BDI,1994,21744335.1
country/BDI,1995,17748726.2
country/BDI,2007,11291304.9
country/BDI,2008,11293550.3
country/BDI,2012,10234746.9
country/BDI,2015,5723735.0
country/BDI,2016,11542916.0
country/BDI,2017,8049168.3
country/BDI,2020,10289174.6
country/BDI,1980,4290638.7
country/BDI,1990,27548539.9
country/BDI,1993,18915997.0
country/BDI,1996,12658909.2
country/BDI,2000,9434516.1
country/BDI,2003,21413602.9
country/BDI,2004,42752418.5
country/BDI,2006,13672302.1
country/BDI,2011,5822401.3
country/BDI,2021,13011564.1
country/BDI,2023,56136936.0
country/BDI,2028,52834824.6
country/CPV,1982,561334.8
