dcid,year,HivNewInfectionsMalePeople
country/BLR,1992,100.0
country/BLR,1995,100.0
country/BLR,2007,1200.0
country/BLR,2008,1200.0
country/BLR,2011,1300.0
country/BLR,2015,1200.0
country/BEL,1991,500.0
country/BEL,1995,500.0
country/BEL,2005,500.0
country/BEL,2014,500.0
country/BEL,2015,500.0
country/BEL,2018,500.0
country/BEL,2019,500.0
country/BEL,2022,500.0
country/BLZ,2001,500.0
country/BLZ,2002,500.0
country/BLZ,2005,500.0
country/BLZ,2006,500.0
country/BEN,1992,2800.0
country/BEN,1998,3500.0
country/BEN,1999,3400.0
country/BEN,2001,3200.0
country/BEN,2002,3100.0
country/BEN,2004,3000.0
country/BEN,2006,2800.0
country/BEN,2008,2500.0
country/BEN,2012,1900.0
country/BEN,2017,1200.0
country/BTN,1990,100.0
country/BTN,1996,100.0
country/BTN,2002,100.0
country/BTN,2008,100.0
country/BTN,2012,100.0
country/BTN,2017,100.0
country/BTN,2018,100.0
country/BOL,1990,500.0
country/BOL,1994,1300.0
country/BOL,1997,1000.0
country/BOL,2002,1200.0
country/BOL,2005,1300.0
country/BOL,2009,1400.0
country/BOL,2012,1400.0
country/BOL,2014,1400.0
country/BOL,2015,1400.0
country/BOL,2016,1400.0
country/BOL,2022,1400.0
country/BWA,1991,9800.0
country/BWA,1994,15000.0
country/BWA,1996,14000.0
country/BWA,1997,13000.0
country/BWA,1998,12000.0
country/BWA,1999,12000.0
country/BWA,2003,8900.0
country/BWA,2011,5700.0
country/BWA,2012,5000.0
country/BWA,2015,4200.0
country/BWA,2016,3800.0
country/BWA,2017,3300.0
country/BRA,1995,23000.0
country/BRA,1999,26000.0
country/BRA,2002,26000.0
country/BRA,2008,29000.0
country/BRA,2010,31000.0
country/BRA,2012,32000.0
country/BGR,1995,100.0
country/BGR,1996,100.0
country/BGR,1997,500.0
country/BGR,1999,500.0
country/BGR,2007,500.0
country/BGR,2016,500.0
country/BGR,2021,500.0
country/BFA,1997,6300.0
country/BFA,1999,5700.0
country/BFA,2000,5400.0
country/BFA,2001,5100.0
country/BFA,2003,4600.0
country/BFA,2007,3500.0
country/BFA,2015,1800.0
country/BFA,2020,1000.0
country/BFA,2022,1000.0
country/BDI,1990,13000.0
country/BDI,1994,7100.0
country/BDI,1999,4800.0
country/BDI,2004,3100.0
country/BDI,2005,2800.0
country/BDI,2008,2500.0
country/BDI,2010,2100.0
country/AFG,1998,500.0
country/AFG,2000,500.0
country/AFG,2007,1000.0
country/AFG,2012,1000.0
country/AFG,2013,1000.0
country/AFG,2014,1000.0
country/AFG,2015,1000.0
country/AFG,2017,1000.0
country/AFG,2019,1000.0
country/AFG,2021,1000.0
country/ALB,1990,100.0
country/ALB,1998,100.0
country/ALB,2002,100.0
country/ALB,2004,100.0
country/ALB,2011,100.0
country/ALB,2013,100.0
country/ALB,2022,100.0
country/DZA,1991,100.0
country/DZA,2002,500.0
country/DZA,2003,500.0
country/DZA,2011,1000.0
country/DZA,2013,1000.0
country/DZA,2015,1000.0
country/AGO,1990,2900.0
country/AGO,1991,3400.0
country/AGO,1994,5000.0
country/AGO,1996,6300.0
country/AGO,1997,7000.0
country/AGO,1998,7700.0
country/AGO,2002,10000.0
country/AGO,2003,11000.0
country/AGO,2004,11000.0
country/AGO,2006,12000.0
country/AGO,2009,12000.0
country/AGO,2010,12000.0
country/AGO,2011,12000.0
country/AGO,2016,8900.0
country/AGO,2019,7200.0
country/AGO,2021,6100.0
country/ARM,1992,100.0
country/ARM,1997,100.0
country/ARM,1998,100.0
country/ARM,2005,500.0
country/ARM,2016,500.0
country/AUS,1991,1000.0
country/AUS,1992,1000.0
country/AUS,1998,1000.0
country/AUS,2001,1000.0
country/AUS,2005,1000.0
country/AUS,2016,1000.0
country/AUS,2018,1000.0
country/AZE,1992,100.0
country/AZE,1995,500.0
country/AZE,1997,500.0
country/AZE,2003,1000.0
country/AZE,2015,500.0
country/AZE,2018,500.0
country/BHS,1992,500.0
country/BHS,1993,500.0
country/BHS,1994,500.0
country/BHS,1997,500.0
country/BHS,2008,500.0
country/BHS,2014,100.0
country/BHS,2020,100.0
country/BHS,2021,100.0
country/BGD,1991,100.0
country/BGD,1992,100.0
country/BGD,2000,500.0
country/BGD,2006,1000.0
country/BGD,2009,1000.0
country/BGD,2010,1000.0
country/BGD,2015,1000.0
country/BRB,1992,100.0
country/BRB,1995,500.0
country/BRB,2002,100.0
country/BRB,2003,100.0
country/BRB,2004,100.0
country/BRB,2007,100.0
country/BRB,2014,100.0
country/BRB,2015,100.0
country/BRB,2016,100.0
country/BRB,2018,100.0
country/BRB,2019,100.0
country/BLR,1998,500.0
country/BLR,2013,1300.0
country/BLR,2014,1200.0
country/BLR,2017,1000.0
country/BLR,2020,1000.0
country/BLR,2021,1000.0
country/BEL,1992,500.0
country/BEL,1994,500.0
country/BEL,2001,500.0
country/BEL,2006,500.0
country/BEL,2009,1000.0
country/BEL,2011,500.0
country/BLZ,1991,100.0
country/BLZ,1993,100.0
country/BLZ,1997,500.0
country/BLZ,2008,500.0
country/BLZ,2012,500.0
country/BLZ,2014,100.0
country/BLZ,2016,100.0
country/BLZ,2020,100.0
country/BLZ,2021,100.0
country/BEN,1993,3200.0
country/BEN,2003,3100.0
country/BEN,2009,2300.0
country/BEN,2010,2100.0
country/BEN,2013,1900.0
country/BEN,2015,1400.0
country/BEN,2019,1000.0
country/BEN,2020,1000.0
country/BEN,2021,1000.0
country/BTN,1993,100.0
country/BTN,1994,100.0
country/BTN,1995,100.0
country/BTN,1999,100.0
country/BTN,2000,100.0
country/BTN,2001,100.0
country/BTN,2004,100.0
country/BTN,2006,100.0
country/BTN,2010,100.0
country/BTN,2011,100.0
country/BTN,2013,100.0
country/BTN,2015,100.0
country/BTN,2021,100.0
country/BOL,1991,1000.0
country/BOL,1992,1100.0
country/BOL,1996,1000.0
country/BOL,2011,1400.0
country/BOL,2020,1400.0
country/BWA,1990,7200.0
country/BWA,1993,14000.0
country/BWA,2000,11000.0
country/BWA,2001,10000.0
country/BWA,2007,6400.0
country/BWA,2008,6100.0
country/BWA,2009,5700.0
country/BWA,2021,1800.0
country/BRA,1992,21000.0
country/BRA,1993,22000.0
country/BRA,1994,23000.0
country/BRA,2000,25000.0
country/BRA,2001,25000.0
country/BRA,2006,28000.0
country/BRA,2007,29000.0
country/BRA,2011,31000.0
country/BRA,2014,33000.0
country/BRA,2017,34000.0
country/BRA,2020,35000.0
country/BGR,1993,100.0
country/BGR,2000,500.0
country/BGR,2001,500.0
country/BGR,2005,500.0
country/BGR,2006,500.0
country/BGR,2008,500.0
country/BGR,2011,500.0
country/BGR,2012,500.0
country/BGR,2017,500.0
country/BGR,2018,500.0
country/BFA,1990,9500.0
country/BFA,1993,8500.0
country/BFA,2006,3900.0
country/BFA,2012,2300.0
country/BFA,2014,1800.0
country/BDI,1992,11000.0
country/BDI,1995,7800.0
country/BDI,1998,5200.0
country/AFG,1991,500.0
country/AFG,1994,500.0
country/AFG,1997,500.0
country/AFG,2001,500.0
country/AFG,2003,1000.0
country/AFG,2004,1000.0
country/AFG,2008,1000.0
country/AFG,2010,1000.0
country/AFG,2011,1000.0
country/ALB,1999,100.0
country/ALB,2003,100.0
country/ALB,2006,100.0
country/ALB,2007,100.0
country/ALB,2008,100.0
country/ALB,2010,100.0
country/ALB,2015,100.0
country/ALB,2017,100.0
country/ALB,2019,100.0
country/ALB,2021,100.0
country/DZA,1993,500.0
country/DZA,1997,500.0
country/DZA,1998,500.0
country/DZA,2000,500.0
country/DZA,2001,500.0
country/DZA,2008,1000.0
country/DZA,2021,1100.0
country/DZA,2022,1200.0
country/AGO,2014,9500.0
country/AGO,2015,9100.0
country/AGO,2017,8600.0
country/ARM,1993,100.0
country/ARM,1994,100.0
country/ARM,1995,100.0
country/ARM,1999,100.0
country/ARM,2001,100.0
country/ARM,2004,500.0
country/ARM,2008,500.0
country/ARM,2010,500.0
country/ARM,2012,500.0
country/ARM,2013,500.0
country/ARM,2014,500.0
country/ARM,2020,500.0
country/AUS,1996,1000.0
country/AUS,1999,1000.0
country/AUS,2000,1000.0
country/AUS,2008,1000.0
country/AUS,2009,1000.0
country/AUS,2014,1000.0
country/AUS,2020,500.0
country/AZE,1991,100.0
country/AZE,1993,100.0
country/AZE,2001,1000.0
country/AZE,2005,1000.0
country/AZE,2006,1000.0
country/AZE,2007,1000.0
country/AZE,2010,500.0
country/AZE,2011,500.0
country/AZE,2019,500.0
country/AZE,2020,500.0
country/BHS,1990,500.0
country/BHS,2002,500.0
country/BHS,2003,500.0
country/BHS,2005,500.0
country/BHS,2007,500.0
country/BHS,2010,100.0
country/BHS,2015,100.0
country/BHS,2018,100.0
country/BHS,2019,100.0
country/BGD,1990,100.0
country/BGD,1995,100.0
country/BGD,1997,100.0
country/BGD,1999,500.0
country/BGD,2005,1000.0
country/BGD,2007,1000.0
country/BGD,2012,1000.0
country/BGD,2013,1000.0
country/BGD,2021,1000.0
country/BGD,2022,1000.0
country/BRB,1993,500.0
country/BRB,1994,500.0
country/BRB,1996,500.0
country/BRB,2009,100.0
country/BRB,2020,100.0
country/BLR,1991,100.0
country/BLR,1996,500.0
country/BLR,1997,500.0
country/BLR,2001,500.0
country/BLR,2004,1000.0
country/BLR,2009,1300.0
country/BLR,2012,1300.0
country/BLR,2016,1100.0
country/BLR,2019,1000.0
country/BLR,2022,1000.0
country/BEL,1993,500.0
country/BEL,1999,500.0
country/BEL,2002,500.0
country/BEL,2003,500.0
country/BEL,2004,500.0
country/BEL,2008,1000.0
country/BEL,2012,500.0
country/BEL,2016,500.0
country/BEL,2017,500.0
country/BEL,2020,500.0
country/BEL,2021,500.0
country/BLZ,1995,100.0
country/BLZ,1999,500.0
country/BLZ,2004,500.0
country/BLZ,2009,500.0
country/BLZ,2011,500.0
country/BLZ,2013,100.0
country/BLZ,2015,100.0
country/BLZ,2017,100.0
country/BLZ,2018,100.0
country/BEN,1990,2100.0
country/BEN,1991,2500.0
country/BEN,1994,3400.0
country/BEN,1995,3700.0
country/BEN,1996,3700.0
country/BEN,2005,2900.0
country/BEN,2007,2800.0
country/BEN,2011,2000.0
country/BEN,2018,1100.0
country/BEN,2022,1000.0
country/BTN,1992,100.0
country/BTN,1997,100.0
country/BTN,1998,100.0
country/BTN,2003,100.0
country/BTN,2005,100.0
country/BTN,2007,100.0
country/BTN,2019,100.0
country/BTN,2020,100.0
country/BTN,2022,100.0
country/BOL,1998,1000.0
country/BOL,2000,1200.0
country/BOL,2004,1300.0
country/BOL,2006,1300.0
country/BOL,2007,1400.0
country/BOL,2013,1400.0
country/BOL,2019,1300.0
country/BOL,2021,1400.0
country/BWA,1995,15000.0
country/BWA,2002,9600.0
country/BWA,2010,5700.0
country/BWA,2014,4500.0
country/BRA,1990,20000.0
country/BRA,1996,23000.0
country/BRA,2005,28000.0
country/BRA,2019,35000.0
country/BRA,2021,37000.0
country/BGR,1990,100.0
country/BGR,1992,100.0
country/BGR,1994,100.0
country/BGR,2002,500.0
country/BGR,2004,500.0
country/BGR,2009,500.0
country/BGR,2010,500.0
country/BGR,2013,500.0
country/BGR,2020,500.0
country/BFA,1991,9500.0
country/BFA,1998,6100.0
country/BFA,2002,4900.0
country/BFA,2004,4400.0
country/BFA,2008,3300.0
country/BFA,2010,2700.0
country/BFA,2011,2500.0
country/BFA,2018,1200.0
country/BDI,1991,13000.0
country/BDI,1996,6900.0
country/BDI,1997,5800.0
country/BDI,2003,3400.0
country/AFG,1992,500.0
country/AFG,1996,500.0
country/AFG,2002,1000.0
country/AFG,2005,1000.0
country/AFG,2006,1000.0
country/AFG,2009,1000.0
country/AFG,2018,1000.0
country/ALB,1991,100.0
country/ALB,1997,100.0
country/ALB,2005,100.0
country/ALB,2020,100.0
country/DZA,1990,100.0
country/DZA,1994,500.0
country/DZA,1996,500.0
country/DZA,2005,500.0
country/DZA,2006,500.0
country/DZA,2007,1000.0
country/DZA,2014,1000.0
country/DZA,2017,1000.0
country/DZA,2018,1000.0
country/DZA,2019,1100.0
country/DZA,2020,1100.0
country/AGO,1992,3900.0
country/AGO,1999,8400.0
country/AGO,2000,9100.0
country/AGO,2007,12000.0
country/AGO,2008,12000.0
country/AGO,2012,12000.0
country/ARM,1990,100.0
country/ARM,1991,100.0
country/ARM,1996,100.0
country/ARM,2000,100.0
country/ARM,2003,100.0
country/ARM,2006,500.0
country/ARM,2007,500.0
country/ARM,2017,500.0
country/ARM,2018,500.0
country/ARM,2019,500.0
country/AUS,1995,500.0
country/AUS,2002,1000.0
country/AUS,2004,1000.0
country/AUS,2006,1000.0
country/AUS,2007,1000.0
country/AUS,2011,1000.0
country/AUS,2015,1000.0
country/AUS,2021,500.0
country/AZE,1994,100.0
country/AZE,1998,500.0
country/AZE,2000,1000.0
country/AZE,2002,1000.0
country/AZE,2008,1000.0
country/AZE,2014,500.0
country/AZE,2016,500.0
country/AZE,2021,500.0
country/AZE,2022,500.0
country/BHS,1991,500.0
country/BHS,1999,500.0
country/BHS,2000,500.0
country/BHS,2001,500.0
country/BHS,2004,500.0
country/BHS,2011,100.0
country/BHS,2016,100.0
country/BHS,2017,100.0
country/BGD,1993,100.0
country/BGD,2001,500.0
country/BGD,2003,1000.0
country/BGD,2004,1000.0
country/BGD,2008,1000.0
country/BGD,2011,1000.0
country/BGD,2017,1000.0
country/BGD,2019,1000.0
country/BRB,1998,500.0
country/BRB,2001,100.0
country/BRB,2005,100.0
country/BRB,2006,100.0
country/BRB,2008,100.0
country/BRB,2010,100.0
country/BRB,2012,100.0
country/BRB,2013,100.0
country/BRB,2021,100.0
country/BRB,2022,100.0
country/BLR,1993,100.0
country/BLR,1994,100.0
country/BLR,1999,500.0
country/BLR,2000,500.0
country/BLR,2002,1000.0
country/BLR,2003,1000.0
country/BLR,2005,1000.0
country/BLR,2006,1100.0
country/BLR,2010,1300.0
country/BLR,2018,1000.0
country/BEL,1990,500.0
country/BEL,1996,500.0
country/BEL,1997,500.0
country/BEL,1998,500.0
country/BEL,2000,500.0
country/BEL,2007,500.0
country/BEL,2010,500.0
country/BEL,2013,500.0
country/BLZ,1990,100.0
country/BLZ,1992,100.0
country/BLZ,1994,100.0
country/BLZ,1996,500.0
country/BLZ,1998,500.0
country/BLZ,2000,500.0
country/BLZ,2003,500.0
country/BLZ,2007,500.0
country/BLZ,2010,500.0
country/BLZ,2019,100.0
country/BLZ,2022,100.0
country/BEN,1997,3600.0
country/BEN,2000,3200.0
country/BEN,2014,1800.0
country/BEN,2016,1300.0
country/BTN,1991,100.0
country/BTN,2009,100.0
country/BTN,2014,100.0
country/BTN,2016,100.0
country/BOL,1993,1600.0
country/BOL,1995,1100.0
country/BOL,1999,1100.0
country/BOL,2001,1200.0
country/BOL,2003,1200.0
country/BOL,2008,1400.0
country/BOL,2010,1400.0
country/BOL,2017,1400.0
country/BOL,2018,1400.0
country/BWA,1992,12000.0
country/BWA,2004,8200.0
country/BWA,2005,7200.0
country/BWA,2006,6600.0
country/BWA,2013,4600.0
country/BWA,2018,2700.0
country/BWA,2019,2200.0
country/BWA,2020,2000.0
country/BWA,2022,1600.0
country/BRA,1991,20000.0
country/BRA,1997,24000.0
country/BRA,1998,25000.0
country/BRA,2003,26000.0
country/BRA,2004,27000.0
country/BRA,2009,30000.0
country/BRA,2013,32000.0
country/BRA,2015,33000.0
country/BRA,2016,34000.0
country/BRA,2018,34000.0
country/BRA,2022,37000.0
country/BGR,1991,100.0
country/BGR,1998,500.0
country/BGR,2003,500.0
country/BGR,2014,500.0
country/BGR,2015,500.0
country/BGR,2019,500.0
country/BGR,2022,500.0
country/BFA,1992,9200.0
country/BFA,1994,7900.0
country/BFA,1995,7100.0
country/BFA,1996,6800.0
country/BFA,2005,4200.0
country/BFA,2009,3100.0
country/BFA,2013,2100.0
country/BFA,2016,1700.0
country/BFA,2017,1400.0
country/BFA,2019,1100.0
country/BFA,2021,1000.0
country/BDI,1993,8200.0
country/BDI,2000,4300.0
country/BDI,2001,3900.0
country/BDI,2002,3600.0
country/BDI,2006,2800.0
country/BDI,2007,2700.0
country/BDI,2009,2400.0
country/BDI,2014,1500.0
country/BDI,2011,2000.0
country/BDI,2015,1400.0
country/BDI,2017,1000.0
country/CPV,1990,500.0
country/CPV,1994,500.0
country/CPV,2011,100.0
country/CPV,2015,100.0
country/CPV,2018,100.0
country/CPV,2019,100.0
country/KHM,1998,6700.0
country/KHM,1999,5200.0
country/KHM,2000,3700.0
country/KHM,2003,2200.0
country/KHM,2004,1900.0
country/KHM,2008,1200.0
country/KHM,2010,1000.0
country/KHM,2012,1000.0
country/KHM,2017,1000.0
country/KHM,2022,1100.0
country/CMR,1991,8200.0
country/CMR,1992,11000.0
country/CMR,1993,14000.0
country/CMR,1996,22000.0
country/CMR,1998,24000.0
country/CMR,2007,16000.0
country/CMR,2019,5900.0
country/CMR,2020,5100.0
country/CAN,1990,2000.0
country/CAN,1994,1900.0
country/CAN,1996,1900.0
country/CAN,2000,1900.0
country/CAN,2004,1900.0
country/CAN,2005,1800.0
country/CAN,2007,1800.0
country/CAN,2009,1700.0
country/CAN,2010,1600.0
country/CAN,2011,1500.0
country/CAN,2014,1400.0
country/CAN,2016,1400.0
country/CAF,2003,5700.0
country/CAF,2005,5300.0
country/CAF,2006,5100.0
country/CAF,2008,4700.0
country/CAF,2014,3900.0
country/CAF,2018,3600.0
country/TCD,1995,5000.0
country/TCD,2001,4500.0
country/TCD,2011,3300.0
country/TCD,2015,2800.0
country/TCD,2016,2600.0
country/TCD,2018,2200.0
country/TCD,2020,1900.0
country/CHL,1992,1000.0
country/CHL,1995,1600.0
country/CHL,1996,1900.0
country/CHL,2000,2000.0
country/CHL,2001,1800.0
country/CHL,2002,1600.0
country/CHL,2003,1400.0
country/CHL,2004,1300.0
country/CHL,2013,3200.0
country/CHL,2014,3400.0
country/COL,1992,4400.0
country/COL,1993,5300.0
country/COL,1994,6100.0
country/BDI,2020,1000.0
country/BDI,2021,1000.0
country/CPV,1993,500.0
country/CPV,1996,500.0
country/CPV,1997,500.0
country/CPV,2003,500.0
country/CPV,2006,100.0
country/CPV,2014,100.0
country/CPV,2017,100.0
country/CPV,2022,100.0
country/KHM,1992,1600.0
country/KHM,1995,7600.0
country/KHM,2006,1500.0
country/KHM,2007,1300.0
country/KHM,2016,1000.0
country/KHM,2018,1000.0
country/KHM,2021,1000.0
country/CMR,1997,24000.0
country/CMR,2003,20000.0
country/CMR,2004,18000.0
country/CMR,2008,15000.0
country/CMR,2012,11000.0
country/CMR,2015,8000.0
country/CMR,2016,7800.0
country/CMR,2022,3600.0
country/CAN,1995,1900.0
country/CAN,1999,1900.0
country/CAN,2001,1900.0
country/CAN,2002,1900.0
country/CAN,2012,1400.0
country/CAF,1995,7700.0
country/CAF,1999,6700.0
country/CAF,2002,5900.0
country/CAF,2019,3400.0
country/CAF,2020,3500.0
country/CAF,2021,3800.0
country/TCD,1990,3800.0
country/TCD,1994,5100.0
country/TCD,2003,4300.0
country/TCD,2013,2800.0
country/TCD,2021,1700.0
country/CHL,1990,1000.0
country/CHL,1999,2100.0
country/CHL,2007,1600.0
country/CHL,2008,1900.0
country/CHL,2010,2500.0
country/CHL,2011,2800.0
country/CHL,2012,3000.0
country/CHL,2015,3500.0
country/COL,1995,6800.0
country/COL,1997,7900.0
country/COL,2008,7900.0
country/COL,2012,7400.0
country/COL,2019,8400.0
country/COM,1992,100.0
country/COM,2004,100.0
country/COM,2005,100.0
country/COM,2008,100.0
country/COM,2009,100.0
country/COM,2012,100.0
country/COM,2015,100.0
country/COM,2019,100.0
country/COM,2020,100.0
country/COG,1995,2900.0
country/COG,2004,2900.0
country/COG,2008,2900.0
country/COG,2010,3200.0
country/COG,2011,3300.0
country/COG,2013,3700.0
country/COG,2014,3700.0
country/COG,2020,4600.0
country/COG,2022,5400.0
country/CRI,1990,500.0
country/CRI,1992,500.0
country/CRI,1999,500.0
country/CRI,2000,500.0
country/CRI,2002,500.0
country/CRI,2004,1000.0
country/CRI,2008,1000.0
country/CRI,2015,1000.0
country/CRI,2017,1000.0
country/CUB,2000,1000.0
country/CUB,2015,1800.0
country/CUB,2016,1800.0
country/CUB,2022,1600.0
country/CYP,1997,100.0
country/CYP,1999,100.0
country/CYP,2002,100.0
country/CYP,2015,100.0
country/CYP,2021,100.0
country/CZE,1990,100.0
country/CZE,1995,100.0
country/CZE,1997,100.0
country/CZE,2000,100.0
country/CZE,2004,500.0
country/CZE,2010,500.0
country/CZE,2011,500.0
country/CZE,2012,500.0
country/CIV,1990,42000.0
country/CIV,1994,42000.0
country/CIV,2005,18000.0
country/CIV,2007,15000.0
country/CIV,2008,13000.0
country/CIV,2009,12000.0
country/CIV,2013,8200.0
country/CIV,2014,7100.0
country/CIV,2021,3600.0
country/COD,1991,33000.0
country/COD,1993,33000.0
country/COD,1996,31000.0
country/COD,1997,30000.0
country/COD,1999,26000.0
country/COD,2001,24000.0
country/COD,2002,23000.0
country/COD,2004,22000.0
country/COD,2008,18000.0
country/COD,2011,16000.0
country/COD,2013,15000.0
country/COD,2016,11000.0
country/DNK,1992,500.0
country/DNK,1993,500.0
country/DNK,1999,500.0
country/DNK,2002,500.0
country/DNK,2009,500.0
country/DNK,2019,100.0
country/DNK,2022,100.0
country/DOM,1991,3500.0
country/DOM,1995,5200.0
country/COL,1998,8000.0
country/COL,2003,7500.0
country/COL,2005,7300.0
country/COL,2007,7400.0
country/COL,2020,8100.0
country/COM,1997,100.0
country/COM,2000,100.0
country/COM,2003,100.0
country/COM,2022,100.0
country/COG,1991,3200.0
country/COG,1993,3100.0
country/COG,1994,2900.0
country/COG,1997,2800.0
country/COG,1998,3000.0
country/COG,2003,3000.0
country/COG,2005,3100.0
country/COG,2012,3500.0
country/COG,2016,4200.0
country/COG,2017,4300.0
country/COG,2018,4500.0
country/CRI,1994,500.0
country/CRI,1996,500.0
country/CRI,1997,500.0
country/CRI,1998,500.0
country/CRI,2003,500.0
country/CRI,2005,1000.0
country/CRI,2007,1000.0
country/CRI,2011,1000.0
country/CRI,2012,1000.0
country/CRI,2013,1000.0
country/CRI,2021,1000.0
country/CRI,2022,1000.0
country/CUB,2003,1500.0
country/CUB,2005,1700.0
country/CUB,2007,1800.0
country/CUB,2008,1900.0
country/CUB,2009,1900.0
country/CUB,2010,1900.0
country/CUB,2012,1800.0
country/CUB,2013,1800.0
country/CUB,2014,1800.0
country/CUB,2017,1800.0
country/CUB,2020,1700.0
country/CYP,1990,100.0
country/CYP,1992,100.0
country/CYP,1994,100.0
country/CYP,1996,100.0
country/CYP,1998,100.0
country/CYP,2009,100.0
country/CYP,2010,100.0
country/CYP,2011,100.0
country/CYP,2012,100.0
country/CYP,2014,100.0
country/CYP,2018,100.0
country/CYP,2020,100.0
country/CZE,1992,100.0
country/CZE,2001,100.0
country/CZE,2002,100.0
country/CZE,2003,500.0
country/CZE,2007,500.0
country/CZE,2013,500.0
country/CZE,2014,500.0
country/CIV,1991,43000.0
country/CIV,1992,46000.0
country/DOM,2001,4200.0
country/DOM,2003,3700.0
country/DOM,2008,2800.0
country/DOM,2016,2100.0
country/DOM,2020,2700.0
country/ECU,1990,500.0
country/ECU,1991,1000.0
country/ECU,1992,1000.0
country/ECU,1994,1400.0
country/ECU,1995,1700.0
country/ECU,1997,2200.0
country/ECU,1998,2300.0
country/ECU,2000,2200.0
country/ECU,2004,1600.0
country/ECU,2007,1400.0
country/ECU,2008,1300.0
country/ECU,2011,1400.0
country/ECU,2015,1500.0
country/ECU,2016,1500.0
country/ECU,2017,1400.0
country/ECU,2019,1400.0
country/ECU,2022,1400.0
country/EGY,1991,100.0
country/EGY,1993,100.0
country/EGY,1995,100.0
country/EGY,1998,100.0
country/EGY,2003,500.0
country/EGY,2004,500.0
country/EGY,2008,500.0
country/EGY,2014,1600.0
country/EGY,2020,3600.0
country/SLV,1999,1300.0
country/SLV,2001,1400.0
country/SLV,2003,1300.0
country/SLV,2020,1000.0
country/GNQ,1996,1000.0
country/GNQ,2003,1400.0
country/GNQ,2004,1500.0
country/GNQ,2007,1800.0
country/GNQ,2012,2100.0
country/ERI,2015,500.0
country/ERI,2016,500.0
country/ERI,2021,100.0
country/EST,1990,100.0
country/EST,2000,500.0
country/EST,2001,1000.0
country/EST,2005,500.0
country/SWZ,1994,10000.0
country/SWZ,1995,10000.0
country/SWZ,2003,7300.0
country/SWZ,2005,6800.0
country/SWZ,2006,6300.0
country/SWZ,2010,5200.0
country/SWZ,2014,4800.0
country/SWZ,2021,1600.0
country/ETH,1991,56000.0
country/ETH,1994,52000.0
country/ETH,1997,38000.0
country/ETH,2002,24000.0
country/ETH,2003,22000.0
country/ETH,2010,12000.0
country/ETH,2012,9200.0
country/ETH,2013,8100.0
country/FJI,1990,100.0
country/CIV,1995,40000.0
country/CIV,1996,38000.0
country/CIV,2011,11000.0
country/CIV,2012,9300.0
country/CIV,2015,6600.0
country/COD,1990,32000.0
country/COD,1992,33000.0
country/COD,2003,22000.0
country/COD,2007,19000.0
country/COD,2010,17000.0
country/COD,2017,10000.0
country/COD,2019,9300.0
country/COD,2020,8700.0
country/COD,2021,7500.0
country/DNK,1994,500.0
country/DNK,1996,500.0
country/DNK,2000,500.0
country/DNK,2006,500.0
country/DNK,2010,500.0
country/DNK,2012,500.0
country/DNK,2015,500.0
country/DNK,2016,500.0
country/DNK,2018,500.0
country/DNK,2020,100.0
country/DOM,1993,4700.0
country/DOM,2005,3300.0
country/DOM,2006,3200.0
country/DOM,2013,2200.0
